number,file,vector_file,caption,source
2.1,fig_2_01.png,fig_2_01.svg,Схема области тела с разбиением границы на участки Γᵤ и Γₜ,generated schematic/chart; editable SVG saved
2.2,fig_2_02.png,fig_2_02.svg,Аппроксимация поля перемещений внутри конечного элемента по узловым значениям,generated schematic/chart; editable SVG saved
2.3,fig_2_03.png,fig_2_03.svg,"Четырехузловой изопараметрический конечный элемент в локальных координатах ξ, η",generated schematic/chart; editable SVG saved
2.4,fig_2_04.png,fig_2_04.svg,Структура матрицы деформаций четырехузлового элемента,generated schematic/chart; editable SVG saved
2.5,fig_2_05.png,fig_2_05.svg,Формирование элементной матрицы жесткости четырехузлового элемента,generated schematic/chart; editable SVG saved
2.6,fig_2_06.png,fig_2_06.svg,Схема квадратуры Гаусса 2×2 для четырехузлового элемента,generated schematic/chart; editable SVG saved
2.7,fig_2_07.png,fig_2_07.svg,Схема сборки локальных матриц в глобальную систему,generated schematic/chart; editable SVG saved
2.8,fig_2_08.png,fig_2_08.svg,Схема учета закреплений и внешних нагрузок в конечно-элементной модели,generated schematic/chart; editable SVG saved
2.9,fig_2_09.png,fig_2_09.svg,Точки Гаусса четырехузлового элемента и восстановление напряжений,generated schematic/chart; editable SVG saved
2.10,fig_2_10.png,fig_2_10.svg,Преобразование компонентов напряжений из декартовой системы координат в полярную,generated schematic/chart; editable SVG saved
2.11,fig_2_11.png,,Типовая конечно-элементная сетка поперечного сечения массивной шины с локальным сгущением в зоне контакта,results\main_scale_hyperelastic_reference_triplet_coarse\penalty_contact\computational_mesh.png
2.12,fig_2_12.png,fig_2_12.svg,Характерные зоны концентрации напряжений в поперечном сечении шины,generated schematic/chart; editable SVG saved
3.1,fig_3_01.png,fig_3_01.svg,Расчетная схема кольцевого сектора шины и жесткой опорной плоскости,generated schematic/chart; editable SVG saved
3.2,fig_3_02.png,,Конечно-элементная сетка с локальным сгущением в зоне контакта,results\main_scale_hyperelastic_reference_triplet_coarse\penalty_contact\computational_mesh.png
