contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,-1.0758094195597037,-0.7173211617922199,-0.417655793672256
inner,-29.5000000000001,249.99999999999997,-0.7565588807818276,-0.5153056125827028,-0.3346060148335858
inner,-29.00000000000013,250.0,-0.3922574703003857,-0.3052967413593286,-0.227950692870465
inner,-28.50000000000006,249.99999999999997,-0.30617825571595425,-0.2586355308157868,-0.19342757162881585
inner,-28.00000000000009,249.99999999999997,-0.2345470177817231,-0.2039648838143563,-0.18262089661125924
inner,-27.50000000000012,249.99999999999997,-0.1879072042506535,-0.1655817135575767,-0.1805340349094713
inner,-27.000000000000153,249.99999999999994,-0.15113706370795138,-0.1338005411327598,-0.18262435256868054
inner,-26.500000000000185,249.99999999999997,-0.12194690850166492,-0.10790162160957335,-0.18704669773025584
inner,-26.000000000000213,249.99999999999997,-0.09784646961787671,-0.08612371365961419,-0.19301915002921194
inner,-25.500000000000245,249.99999999999994,-0.07761441549521758,-0.06757971735208365,-0.20016357927144862
inner,-25.000000000000277,249.99999999999994,-0.06037254395612841,-0.05157637610090571,-0.20830384237689129
inner,-24.500000000000256,249.99999999999997,-0.04554512678151684,-0.037641728985299966,-0.2173707495271221
inner,-24.000000000000288,249.99999999999997,-0.03273415424609849,-0.025436173847036475,-0.22735943606354736
inner,-23.50000000000037,249.99999999999997,-0.02167492400214946,-0.014723558998258335,-0.23830605678069586
inner,-23.0000000000003,249.99999999999997,-0.01220312922409851,-0.0053464951644129205,-0.25027441514535337
inner,-22.50000000000033,249.99999999999997,-0.0042370214882727075,0.0027874912337779723,-0.2633472419894137
inner,-22.000000000000362,249.99999999999997,0.002232692628169969,0.009714502337876268,-0.27761955902635693
inner,-21.500000000000394,250.0,0.007146142222141161,0.015417938845456475,-0.29319212247175525
inner,-21.000000000000423,249.99999999999997,0.010372676530360336,0.019828518407123547,-0.31016310172982997
inner,-20.500000000000405,250.00000000000003,0.011711087505927947,0.02282484531854781,-0.3286172807987212
inner,-20.000000000000437,250.00000000000003,0.010902526032135984,0.0242417987584522,-0.3486152503221355
inner,-19.500000000000465,250.00000000000003,0.007655784103781871,0.023887132820959667,-0.3701872116027992
inner,-19.000000000000497,250.00000000000006,0.001668416187952354,0.02155576446755164,-0.3933328119391862
inner,-18.50000000000053,250.00000000000006,-0.00736684627779699,0.017034448206646235,-0.4180233104348778
inner,-18.000000000000508,250.00000000000003,-0.019763454349355558,0.010100779021165407,-0.44420215512693345
inner,-17.50000000000054,250.00000000000003,-0.03584119930076496,0.000522077591335407,-0.471783258664866
inner,-17.000000000000572,250.00000000000006,-0.055922899450811525,-0.011944262753225104,-0.5006480331698524
inner,-16.5000000000006,250.00000000000003,-0.08032843640057274,-0.027549204148706485,-0.5306422521672474
inner,-16.000000000000632,250.00000000000003,-0.10936733450481248,-0.046549820069896636,-0.5615732842927912
inner,-15.500000000000613,250.00000000000003,-0.14333023134733064,-0.06920642881560679,-0.5932079412566962
inner,-15.000000000000645,250.00000000000003,-0.18247948685581605,-0.09577908294964532,-0.6252711408867733
inner,-14.500000000000727,250.00000000000003,-0.22703928258145534,-0.12652342613694578,-0.6574455201057503
inner,-14.000000000000655,250.00000000000003,-0.27718541782759165,-0.1616857756585442,-0.689372127370383
inner,-13.500000000000636,250.00000000000006,-0.3330351321919211,-0.2014973352383807,-0.7206523041905099
inner,-13.000000000000616,250.00000000000003,-0.3946372479059596,-0.24616738860085327,-0.7508508454228313
inner,-12.500000000000647,250.00000000000006,-0.4619629747163416,-0.29587535526468495,-0.7795005080048831
inner,-12.000000000000627,250.00000000000003,-0.534897747891715,-0.35076163754542167,-0.8061079018382358
inner,-11.500000000000608,250.00000000000003,-0.6132344466996822,-0.4109172350767397,-0.8301607604055543
inner,-11.000000000000588,250.00000000000003,-0.6966683667575306,-0.4763722247219296,-0.8511365429012304
inner,-10.50000000000067,250.00000000000003,-0.7847943407795877,-0.5470833721260815,-0.8685122521290145
inner,-10.000000000000599,249.99999999999997,-0.8771062348239671,-0.6229212108022172,-0.881775290703146
inner,-9.500000000000579,250.0,-0.9729991718016249,-0.7036572256643416,-0.8904351143294625
inner,-9.00000000000056,249.99999999999997,-1.0717747047319004,-0.7889519434736534,-0.8940353166317024
inner,-8.500000000000592,250.00000000000003,-1.1726488089396918,-0.8783447011704314,-0.8921657576097886
inner,-8.000000000000622,249.99999999999997,-1.2747627590652544,-0.9712461834237002,-0.8844742943908943
inner,-7.500000000000552,249.99999999999997,-1.3771966722907267,-1.0669347602320411,-0.8706775962980111
inner,-7.000000000000583,249.99999999999997,-1.4789852209036138,-1.164557478954614,-0.8505705648779267
inner,-6.500000000000562,249.99999999999997,-1.579134997111835,-1.2631364555754867,-0.8240339177784939
inner,-6.000000000000543,249.99999999999997,-1.676642865080504,-1.3615810847436054,-0.7910395730310398
inner,-5.500000000000523,249.99999999999997,-1.7705146300677623,-1.4587061670652566,-0.7516535679673335
inner,-5.000000000000504,249.99999999999994,-1.859783105387135,-1.5532554591924952,-0.7060363974376722
inner,-4.500000000000535,249.99999999999997,-1.9435249191208444,-1.6439298707629417,-0.6544408424792187
inner,-4.000000000000514,250.0,-2.020875502040089,-1.7294191801837753,-0.5972074588124706
inner,-3.5000000000004947,250.0,-2.0910416148659747,-1.8084356994737238,-0.5347580745409282
inner,-3.0000000000004747,250.00000000000003,-2.153311300195626,-1.8797484278424548,-0.467587739062852
inner,-2.5000000000005063,250.00000000000003,-2.2070611359108487,-1.9422161083571436,-0.396255594872643
inner,-2.0000000000004863,250.00000000000009,-2.2517609741680045,-1.9948178215498855,-0.3213751793504138
inner,-1.5000000000004665,250.00000000000006,-2.2869766081793688,-2.036680073393705,-0.24360456887447843
inner,-1.0000000000004468,250.00000000000006,-2.3123707793794046,-2.0670995212301904,-0.16363670408138978
inner,-0.5000000000004778,249.99999999999997,-2.3277031696448836,-2.0855609007431464,-0.08219010052782674
inner,-4.579998741307465e-13,249.99999999999997,-2.332829927494355,-2.0917499031280644,8.607745673480783e-13
inner,0.4999999999995618,250.00000000000006,-2.327703169644616,-2.0855609007428386,0.0821901005295397
inner,0.9999999999995816,250.00000000000003,-2.312370779378887,-2.0670995212296024,0.1636367040830741
