contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.2333680787778754,0.16258755067364267,0.11697638444516568
inner,-29.5000000000001,249.99999999999997,0.17794082577558815,0.13505528242689635,0.09428778444900522
inner,-29.00000000000013,250.0,0.10818913810641714,0.102915632196874,0.06269676788760438
inner,-28.50000000000006,249.99999999999997,0.08716449371928267,0.09197332446735496,0.04851042109383955
inner,-28.00000000000009,249.99999999999997,0.07413250945207649,0.08256402574305693,0.04060851853899271
inner,-27.50000000000012,249.99999999999997,0.06523068459102291,0.07424073404170103,0.03518112423222897
inner,-27.000000000000153,249.99999999999994,0.058424397705190534,0.06638938279041913,0.031057939758896914
inner,-26.500000000000185,249.99999999999997,0.05287566729710763,0.0588407301381689,0.027709365756075723
inner,-26.000000000000213,249.99999999999997,0.04805981864440853,0.051475466492831246,0.024841576393829366
inner,-25.500000000000245,249.99999999999994,0.043622724649934996,0.04422547598707049,0.02225913544459507
inner,-25.000000000000277,249.99999999999994,0.039287787187610876,0.03704819691094789,0.0198175887094754
inner,-24.500000000000256,249.99999999999997,0.03481756054454878,0.029919989446806065,0.017400870989277614
inner,-24.000000000000288,249.99999999999997,0.029991071055162622,0.022831317296524233,0.014909529791799759
inner,-23.50000000000037,249.99999999999997,0.02459046090394056,0.015784638773112546,0.012253855885276322
inner,-23.0000000000003,249.99999999999997,0.018392059649376173,0.00879355902800933,0.009349693161300465
inner,-22.50000000000033,249.99999999999997,0.011160021200983592,0.0018828848301847818,0.006115806638471296
inner,-22.000000000000362,249.99999999999997,0.0026414928202153787,-0.004910735807073225,0.0024722460041846648
inner,-21.500000000000394,250.0,-0.007437170796964095,-0.011537770152725502,-0.0016605954562368382
inner,-21.000000000000423,249.99999999999997,-0.019373363229128922,-0.017934497879063482,-0.006362377861210937
inner,-20.500000000000405,250.00000000000003,-0.033490382975950694,-0.024021584306056203,-0.011712729272551332
inner,-20.000000000000437,250.00000000000003,-0.050138682368670584,-0.029702688254110692,-0.01779067760125347
inner,-19.500000000000465,250.00000000000003,-0.06969596967196634,-0.03486331332142395,-0.024673551283807115
inner,-19.000000000000497,250.00000000000006,-0.09256578458712805,-0.039370192616371945,-0.03243525666707854
inner,-18.50000000000053,250.00000000000006,-0.1191739946574439,-0.04307161430804786,-0.04114379735400316
inner,-18.000000000000508,250.00000000000003,-0.14996239647508589,-0.04579927238917865,-0.05085782794228238
inner,-17.50000000000054,250.00000000000003,-0.1853784512268475,-0.047372993619400776,-0.0616217946802718
inner,-17.000000000000572,250.00000000000006,-0.22585962326868353,-0.047609549403350715,-0.07345923645494429
inner,-16.5000000000006,250.00000000000003,-0.2718110016073461,-0.04633484159266327,-0.08636461385165524
inner,-16.000000000000632,250.00000000000003,-0.3235771873186736,-0.043397285501873314,-0.10029501755713452
inner,-15.500000000000613,250.00000000000003,-0.38141151224982844,-0.038680598684310445,-0.11516325236112838
inner,-15.000000000000645,250.00000000000003,-0.44544513442592276,-0.03211736249035937,-0.1308323171771488
inner,-14.500000000000727,250.00000000000003,-0.5156562062378356,-0.023710457247777147,-0.14710874885428876
inner,-14.000000000000655,250.00000000000003,-0.5918384675047849,-0.01355881311684347,-0.163736320535526
inner,-13.500000000000636,250.00000000000006,-0.6735801890916894,-0.0018374080411383167,-0.18040823580952706
inner,-13.000000000000616,250.00000000000003,-0.7603080435389088,0.011276194489753649,-0.19680604771448149
inner,-12.500000000000647,250.00000000000006,-0.851404857343576,0.025630190278548196,-0.21263145111655693
inner,-12.000000000000627,250.00000000000003,-0.9462782317144386,0.041070456455527246,-0.22760870789711263
inner,-11.500000000000608,250.00000000000003,-1.0443383170667917,0.05742556984871567,-0.24147680629824125
inner,-11.000000000000588,250.00000000000003,-1.1449689813390556,0.07450824706925588,-0.25398704838738645
inner,-10.50000000000067,250.00000000000003,-1.247522695554913,0.09211792076001099,-0.2649052213796946
inner,-10.000000000000599,249.99999999999997,-1.3513242839856514,0.11004393423910595,-0.2740151591548626
inner,-9.500000000000579,250.0,-1.4556766865454402,0.12806931467615554,-0.28112234536113434
inner,-9.00000000000056,249.99999999999997,-1.5598671539902582,0.1459751176229239,-0.28605730348264
inner,-8.500000000000592,250.00000000000003,-1.6631739073196707,0.16354585971531288,-0.2886788399889861
inner,-8.000000000000622,249.99999999999997,-1.764873930376203,0.18057511653731875,-0.288876873972603
inner,-7.500000000000552,249.99999999999997,-1.8642511328236977,0.1968717476267163,-0.2865748348601793
inner,-7.000000000000583,249.99999999999997,-1.9606052798988518,0.2122658004350885,-0.2817313451281227
inner,-6.500000000000562,249.99999999999997,-2.0532607936909155,0.22661389582125965,-0.27434108846672567
inner,-6.000000000000543,249.99999999999997,-2.1415752398393093,0.23980365885230118,-0.26443478289838557
inner,-5.500000000000523,249.99999999999997,-2.2249470211262845,0.2517565167857393,-0.25207816214323775
inner,-5.000000000000504,249.99999999999994,-2.302821588084278,0.2624286474162154,-0.23737005049440338
inner,-4.500000000000535,249.99999999999997,-2.374696120733533,0.27181008918045085,-0.22043972073082618
inner,-4.000000000000514,250.0,-2.4401226079230516,0.2799217274191928,-0.2014436157463135
inner,-3.5000000000004947,250.0,-2.498708956966159,0.28681041155771664,-0.1805617076158415
inner,-3.0000000000004747,250.00000000000003,-2.550118550887668,0.2925427486258428,-0.15799376741521476
inner,-2.5000000000005063,250.00000000000003,-2.5940686112949494,0.29719778829637,-0.13395567758708748
inner,-2.0000000000004863,250.00000000000009,-2.630327501403955,0.3008593062887858,-0.10867602776301558
inner,-1.5000000000004665,250.00000000000006,-2.658711633129342,0.30360819994126254,-0.08239307751814126
inner,-1.0000000000004468,250.00000000000006,-2.6790822838936523,0.30551550458992216,-0.05535214016141705
inner,-0.5000000000004778,249.99999999999997,-2.691342695885823,0.3066364813120187,-0.027803384880354404
inner,-4.579998741307465e-13,249.99999999999997,-2.6954357868201093,0.3070061447979329,-1.5470085461306136e-14
inner,0.4999999999995618,250.00000000000006,-2.6913426958859232,0.30663648131195453,0.027803384880300697
inner,0.9999999999995816,250.00000000000003,-2.679082283893525,0.30551550459003174,0.05535214016137039
inner,1.4999999999995506,250.00000000000006,-2.658711633129114,0.3036081999415163,0.0823930775181005
inner,1.9999999999995703,250.00000000000006,-2.630327501403927,0.30085930628890317,0.10867602776298033
inner,2.49999999999959,250.00000000000006,-2.594068611294977,0.297197788296397,0.13395567758704907
inner,2.9999999999996096,250.0,-2.550118550887746,0.29254274862584556,0.1579937674151847
inner,3.4999999999995786,250.00000000000003,-2.4987089569662295,0.2868104115577512,0.18056170761581294
inner,3.9999999999995985,249.99999999999997,-2.440122607923104,0.27992172741923993,0.20144361574628114
inner,4.499999999999618,250.0,-2.3746961207336144,0.2718100891804446,0.22043972073080317
inner,4.9999999999996385,249.99999999999997,-2.3028215880844938,0.2624286474161618,0.23737005049438217
inner,5.499999999999607,249.99999999999994,-2.2249470211265643,0.2517565167856302,0.2520781621432149
inner,5.999999999999627,249.99999999999997,-2.141575239839487,0.2398036588522643,0.26443478289835876
inner,6.4999999999996465,249.99999999999994,-2.05326079369109,0.22661389582125915,0.2743410884667187
inner,6.999999999999666,249.99999999999997,-1.9606052798991214,0.21226580043500642,0.28173134512813147
inner,7.499999999999635,249.99999999999997,-1.8642511328239433,0.19687174762667287,0.2865748348601784
inner,7.999999999999655,249.99999999999997,-1.7648739303764192,0.18057511653729594,0.2888768739725931
inner,8.499999999999675,249.99999999999994,-1.663173907319957,0.16354585971522506,0.2886788399890005
inner,8.999999999999694,250.0,-1.5598671539905056,0.1459751176228555,0.28605730348265523
inner,9.499999999999664,250.00000000000003,-1.455676686545603,0.12806931467616214,0.2811223453611438
inner,9.999999999999684,249.99999999999997,-1.3513242839858135,0.1100439342391171,0.27401515915487645
inner,10.499999999999703,250.00000000000003,-1.247522695555052,0.09211792076001636,0.264905221379705
inner,10.999999999999723,249.99999999999997,-1.1449689813391728,0.07450824706928304,0.253987048387409
inner,11.499999999999691,250.0,-1.0443383170669636,0.05742556984869584,0.24147680629826068
inner,11.999999999999712,250.00000000000003,-0.9462782317145719,0.041070456455524165,0.22760870789713544
inner,12.499999999999732,250.00000000000003,-0.8514048573437131,0.025630190278534803,0.21263145111658593
inner,12.999999999999751,250.00000000000006,-0.7603080435391162,0.0112761944896617,0.19680604771450452
inner,13.49999999999972,250.00000000000003,-0.6735801890919144,-0.0018374080412694007,0.18040823580954898
inner,13.99999999999974,250.00000000000003,-0.5918384675049464,-0.013558813116945161,0.1637363205355592
inner,14.49999999999976,250.00000000000006,-0.5156562062379435,-0.02371045724785334,0.14710874885431557
inner,14.99999999999978,250.00000000000006,-0.4454451344260462,-0.03211736249045575,0.13083231717717006
inner,15.499999999999748,250.00000000000006,-0.3814115122499462,-0.03868059868442448,0.11516325236115761
inner,15.999999999999767,250.00000000000006,-0.32357718731871465,-0.04339728550196124,0.10029501755715993
inner,16.499999999999787,250.00000000000006,-0.27181100160737387,-0.046334841592762153,0.08636461385167059
inner,16.999999999999808,250.00000000000006,-0.22585962326878786,-0.04760954940352889,0.07345923645495897
inner,17.499999999999776,250.00000000000003,-0.18537845122689456,-0.04737299361954734,0.06162179468028619
inner,17.999999999999797,250.00000000000006,-0.14996239647514079,-0.04579927238936145,0.050857827942296624
inner,18.499999999999815,250.0,-0.11917399465751151,-0.04307161430826221,0.04114379735401483
inner,18.999999999999783,249.99999999999997,-0.0925657845871294,-0.039370192616538284,0.032435256667086465
inner,19.499999999999805,250.00000000000003,-0.06969596967201477,-0.03486331332165432,0.024673551283811893
inner,19.999999999999826,250.0,-0.05013868236869384,-0.029702688254335793,0.017790677601260456
inner,20.499999999999844,250.0,-0.03349038297593141,-0.02402158430626029,0.011712729272566077
inner,20.999999999999865,250.00000000000003,-0.019373363229161774,-0.017934497879345552,0.0063623778612234665
inner,21.499999999999833,250.00000000000003,-0.007437170797033668,-0.011537770153050197,0.0016605954562540304
inner,21.999999999999854,249.99999999999997,0.0026414928201294553,-0.004910735807420721,-0.002472246004162881
inner,22.499999999999872,249.99999999999997,0.011160021200898235,0.0018828848298094681,-0.00611580663844902
inner,22.99999999999984,249.99999999999997,0.01839205964929652,0.00879355902761831,-0.009349693161267245
inner,23.49999999999986,249.99999999999997,0.024590460903920898,0.015784638772766733,-0.012253855885234125
inner,23.999999999999883,249.99999999999997,0.02999107105517238,0.022831317296182083,-0.014909529791754863
inner,24.4999999999999,249.99999999999994,0.034817560544461924,0.0299199894463225,-0.01740087098923146
inner,24.99999999999987,249.99999999999997,0.03928778718747454,0.03704819691037517,-0.019817588709418764
inner,25.49999999999989,249.99999999999997,0.04362272464974555,0.04422547598639473,-0.022259135444522543
inner,25.99999999999991,249.99999999999994,0.048059818644233365,0.051475466492085314,-0.02484157639374107
inner,26.49999999999993,249.99999999999997,0.052875667296965786,0.05884073013735573,-0.027709365755959905
inner,26.99999999999995,249.99999999999994,0.05842439770496306,0.06638938278939703,-0.03105793975874568
inner,27.49999999999992,249.99999999999994,0.06523068459075318,0.07424073404046558,-0.03518112423201916
inner,27.999999999999936,249.99999999999997,0.07413250945182102,0.08256402574153791,-0.04060851853859205
inner,28.499999999999957,249.99999999999994,0.0871644937179007,0.0919733244640941,-0.04851042109289572
inner,28.999999999999925,249.99999999999997,0.10818913810447471,0.10291563218574484,-0.06269676788414817
