facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,25051,0,0,0,-64.036297825480816,-293.08198655889817,-61.895138056700539,-301.60256087647338,0,1,1,3.0342811314606006,0,3.0342811314606006,0,0.39743912352665239,0,0,0,0
1,25052,0,0,0,-61.068749855262048,-293.71466779109295,-58.76777695159916,-301.84312348317104,0,1,1,3.0342811230063726,0,3.0342811230063726,0,0.15687651682893033,0,0,0,0
2,25053,0,0,0,-58.094954683388202,-294.31730245596452,-55.653952144509283,-301.96855126804707,0,1,1,3.034281054484222,0,3.034281054484222,0,0.031448731952991693,0,0,0,0
3,25054,0,1,2,-55.115216765568292,-294.88982886200171,-52.535739413650191,-301.99999999999994,0,1,1,3.0342805564308479,3.0342805564308479,3.0342805564308479,3.0342805564308479,5.6843418860808015e-14,0,0,3.2003361723640702,1.0547265201239497
4,25055,0,1,2,-52.129842491863243,-295.43218817873486,-49.370831225937742,-302,0,1,1,3.034277309761209,3.034277309761209,3.034277309761209,3.034277309761209,-2.8421709430404007e-14,2.8421709430404007e-14,5.6843418860808015e-14,3.6766652894569449,1.2117103725586276
5,25056,0,1,2,-49.139146410211623,-295.94432349553051,-46.163966232441545,-302,0,1,1,3.0342582939388416,3.0342582939388416,3.0342582939388416,3.0342582939388416,0,0,0,4.254379547566975,1.4021151581147251
6,25057,0,1,2,-46.143482194607216,-296.4261754996686,-42.936647779340014,-302,0,1,1,3.03415859548095,3.03415859548095,3.03415859548095,3.03415859548095,0,0,0,4.6733872399102596,1.5402580626044937
7,25058,0,1,2,-43.143378851510505,-296.87766511089791,-39.693631266137182,-302,0,1,1,3.0336905422659295,3.0336905422659295,3.0336905422659295,3.0336905422659295,-2.8421709430404007e-14,2.8421709430404007e-14,5.6843418860808015e-14,5.0728297152238522,1.6721645285002753
8,25059,0,1,2,-40.14006887830709,-297.29863274119066,-36.437806757570762,-302,0,1,1,3.0317260188620012,3.0317260188620012,3.0317260188620012,3.0317260188620012,-2.8421709430404007e-14,2.8421709430404007e-14,5.6843418860808015e-14,5.426308041256326,1.78984116885772
9,25060,0,1,2,-37.137282070866675,-297.68865543444684,-33.173891541820723,-302,0,1,1,3.0243716835374528,3.0243716835374528,3.0243716835374528,3.0243716835374528,0,0,0,5.735925566479076,1.8965676731141912
10,25061,0,1,2,-34.146393240223084,-298.04659632058008,-29.914766442075067,-302,0,1,1,3.0001669294940183,3.0001669294940183,3.0001669294940183,3.0001669294940183,0,0,0,5.9722052186123564,1.9906243082346007
11,25062,0,1,2,-31.198040638250234,-298.36979270997847,-26.694465363289662,-301.99999999999994,0,1,1,2.9319335180343735,2.9319335180343735,2.9319335180343735,2.9319335180343735,5.6843418860808009e-14,0,0,6.0682456037046091,2.0697077769256107
12,25063,0,1,2,-28.358406147262858,-298.6534358180831,-23.586314811622575,-301.99999999999994,0,1,1,2.7756619685974959,2.7756619685974959,2.7756619685974959,2.7756619685974959,2.8421709430404007e-14,0,0,5.9155041492130263,2.1312048138923956
13,25064,0,1,2,-25.729880285179984,-298.89196535814312,-20.703966964428552,-301.99999999999989,0,1,1,2.5030420347023812,2.5030420347023812,2.5030420347023812,2.5030420347023812,5.6843418860808015e-14,0,0,5.4508473976657399,2.1776891167206709
14,25065,0,1,2,-23.410707009682056,-299.0832359111804,-18.157048138883049,-302.00000000000011,0,1,1,2.1510873566947701,2.1510873566947701,2.1510873566947701,2.1510873566947701,-1.1368683772161603e-13,1.4210854715202004e-13,2.8421709430404007e-13,4.769138282566022,2.2170825688334617
15,25066,0,1,2,-21.440622032068134,-299.23149818427703,-15.990927856075308,-301.99999999999972,0,1,1,1.8002458399016603,1.8002458399016603,1.8002458399016603,1.8002458399016603,2.8421709430404012e-13,5.6843418860808015e-14,1.1368683772161603e-13,4.057891519230898,2.2540763207388186
16,25067,0,1,2,-19.792357729356169,-299.34544751605858,-14.176906455445872,-302.00000000000074,0,1,1,1.5041634536279922,1.5041634536279922,1.5041634536279922,1.5041634536279922,-7.673861546209081e-13,8.8107299234252413e-13,1.7621459846850485e-12,3.4406886155466703,2.2874433009576478
17,25068,0,1,2,-18.406827686197452,-299.43410599838995,-12.650816581029076,-301.99999999999858,0,1,1,1.272571374210316,1.272571374210316,1.272571374210316,1.272571374210316,1.4210854715202004e-12,4.2632564145606011e-13,8.5265128291212022e-13,2.9467008147028571,2.3155485612988969
18,25069,0,1,2,-17.224798254494104,-299.50460128270061,-11.347987353356075,-302.00000000000233,0,1,1,1.0956926257553086,1.0956926257553086,1.0956926257553086,1.0956926257553086,-2.3021584638627246e-12,3.3821834222180773e-12,6.7643668444361538e-12,2.5622848414404373,2.3385069692096749
19,25070,0,1,2,-16.198543537633796,-299.56197484885217,-10.216198983006393,-301.99999999999676,0,1,1,0.96002482269267786,0.96002482269267786,0.96002482269267786,0.96002482269267786,3.2116531656356524e-12,2.2168933355715126e-12,4.4337866711430252e-12,2.2628228554484511,2.3570461950157546
20,25071,0,1,2,-15.292913722676918,-299.60965366559287,-9.2169476862297106,-302.00000000000409,0,1,1,0.8537452881709815,0.8537452881709815,0.8537452881709815,0.8537452881709815,-4.0927261579781779e-12,7.9865003499435261e-12,1.5973000699887052e-11,2.0253395433033883,2.3722995269963576
21,25072,0,1,2,-14.481905179943395,-299.65000598968282,-8.3217208583341638,-301.99999999999437,0,1,1,0.77027979898352794,0.77027979898352794,0.77027979898352794,0.77027979898352794,5.5990767577895895e-12,5.9117155615240335e-12,1.1823431123048067e-11,1.8371334403147894,2.3850209271216727
22,25073,0,1,2,-13.746176159039205,-299.68469956601677,-7.5092938772441036,-302.00000000000875,0,1,1,0.70281443051718329,0.70281443051718329,0.70281443051718329,0.70281443051718329,-8.7538865045644343e-12,1.7251977624255233e-11,3.4503955248510465e-11,1.6836878540920326,2.3956364311601419
23,25074,0,1,2,-13.071854303315078,-299.71490105415057,-6.7644384126377544,-301.99999999998681,0,1,1,0.64718211860131181,0.64718211860131181,0.64718211860131181,0.64718211860131181,1.3216094885137863e-11,1.2619238987099379e-11,2.5238477974198759e-11,1.5563334654933574,2.4047844042058837
24,25075,0,1,2,-12.448193407538515,-299.74147543980428,-6.0753502874757821,-302.00000000001597,0,1,1,0.60127217705551805,0.60127217705551805,0.60127217705551805,0.60127217705551805,-1.6001422409317459e-11,3.5640823625726625e-11,7.1281647251453251e-11,1.4507277087193744,2.4127637434077087
25,25076,0,1,2,-11.86667839919534,-299.76507932283073,-5.4326704614698453,-301.99999999998687,0,1,1,0.56271608158830033,0.56271608158830033,0.56271608158830033,0.56271608158830033,1.3187673175707461e-11,2.9473312679328956e-11,5.8946625358657911e-11,1.3615691034237645,2.4196378031007271
26,25077,0,1,2,-11.321193097143945,-299.78619148923383,-4.829677258784681,-302.00000000000284,0,1,1,0.52907178199724469,0.52907178199724469,0.52907178199724469,0.52907178199724469,-2.870592652470808e-12,4.2120973375858739e-11,8.4241946751717478e-11,1.2834245107596012,2.4258041241864698
27,25078,0,1,2,-10.806513915519833,-299.80519760271704,-4.2606256546445858,-302.00000000001216,0,1,1,0.50098858059976492,0.50098858059976492,0.50098858059976492,0.50098858059976492,-1.2192913345643321e-11,4.411049303598702e-11,8.8220986071974039e-11,1.2180792151847757,2.4313512570017792
28,25079,0,1,2,-10.318163532672246,-299.82241207310284,-3.7205883923268646,-301.99999999997368,0,1,1,0.47631913490858757,0.47631913490858757,0.47631913490858757,0.47631913490858757,2.6346924641984515e-11,1.3727685654885136e-11,2.7455371309770271e-11,1.160429047003658,2.4362427665778341
