contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.30795060966104465,0.1919810348502811,0.14549381079109108
inner,-29.812500000000043,249.99999999999997,0.23712976304485278,0.1651154243574181,0.12207773673597619
inner,-29.625000000000014,249.99999999999994,0.14770818503900113,0.13279453463476595,0.08736461633448443
inner,-29.43750000000009,249.99999999999997,0.1195305464705021,0.12166203287218524,0.06953590480223015
inner,-29.250000000000064,249.99999999999994,0.10303021310548163,0.11268873498796037,0.05930402259126239
inner,-29.062500000000036,249.99999999999997,0.09205317423132961,0.10558645980487419,0.05239808182746217
inner,-28.875000000000114,249.99999999999997,0.08381788514998573,0.09961057931238174,0.04724842202927519
inner,-28.687500000000085,249.99999999999994,0.07725952304917222,0.09446668557033748,0.043151761139428785
inner,-28.50000000000006,249.99999999999997,0.07180702848169487,0.08993209961582502,0.03975537007955115
inner,-28.312500000000135,249.99999999999997,0.067138447117835,0.08585732762683951,0.0368572435526805
inner,-28.125000000000107,249.99999999999997,0.06305111405964753,0.08213423179007591,0.034330922379021134
inner,-27.93750000000008,249.99999999999994,0.059409861758209934,0.07868420138943119,0.032091543475943785
inner,-27.750000000000156,249.99999999999997,0.056119385966957924,0.07544889537895438,0.030079191966236284
inner,-27.56250000000013,249.99999999999997,0.05310957196688582,0.07238443469526998,0.028249820231262036
inner,-27.375000000000206,249.99999999999994,0.050326902065673376,0.06945736998184938,0.02656995503692855
inner,-27.187500000000178,249.99999999999994,0.04772922479528025,0.06664190779979356,0.02501343152566692
inner,-27.000000000000153,249.99999999999994,0.045282410647999545,0.06391795415770926,0.0235592909669303
inner,-26.812500000000227,249.99999999999997,0.04295813684118882,0.06126971761654156,0.022190378785177822
inner,-26.625000000000203,249.99999999999994,0.040732370984613755,0.05868469689579833,0.020892381525942964
inner,-26.437500000000174,249.99999999999994,0.038584303822344054,0.05615293790658023,0.019653148072665716
inner,-26.25000000000025,249.99999999999994,0.036495579069342615,0.05366648206968911,0.018462200260233066
inner,-26.062500000000224,249.99999999999994,0.03444972511966146,0.051218952376103966,0.017310372854414974
inner,-25.875000000000195,249.99999999999997,0.03243172714955139,0.04880523989994753,0.01618954387985051
inner,-25.687500000000274,249.99999999999994,0.030427698921283098,0.04642126444350314,0.01509242932766
inner,-25.500000000000245,249.99999999999994,0.02842462673210567,0.04406379048953911,0.014012424588026033
inner,-25.31250000000022,249.99999999999997,0.02641016647419614,0.04173028484438151,0.012943480370567665
inner,-25.125000000000295,249.99999999999994,0.024372480408296374,0.03941880600115086,0.011880004482943603
inner,-24.937500000000266,250.0,0.022300104078378388,0.037127917856935935,0.010816783283326177
inner,-24.75000000000024,249.99999999999994,0.020181836406768374,0.034856622271443996,0.00974891830952036
inner,-24.562500000000316,249.99999999999997,0.018006647859547413,0.03260430632554132,0.008671774769595447
inner,-24.37500000000029,249.99999999999994,0.01576360286612638,0.030370701119674576,0.0075809394202307895
inner,-24.187500000000263,249.99999999999997,0.013441793627801492,0.028155849698345226,0.006472185965829424
inner,-24.000000000000288,249.99999999999997,0.01103028313597914,0.025960082233742483,0.0053414465555284155
inner,-23.812500000000263,249.99999999999997,0.008518055729761557,0.023783997011909582,0.0041847882823755015
inner,-23.625000000000288,249.99999999999994,0.0058939739075471054,0.02162844607922064,0.0029983938342285866
inner,-23.437500000000362,249.99999999999997,0.003146740399465972,0.01949452464277602,0.0017785456336962672
inner,-23.250000000000334,249.99999999999997,0.00026486473567952605,0.017383563502320697,0.0005216129457715889
inner,-23.06250000000031,249.99999999999997,-0.0027633662863034295,0.015297123922639306,-0.0007759584588422422
inner,-22.875000000000384,250.0,-0.005949914682699765,0.013236994468415435,-0.0021176544091616742
inner,-22.687500000000306,250.0,-0.009307014252565643,0.01120518939712423,-0.0035068984641762058
inner,-22.50000000000033,249.99999999999997,-0.01284719068237093,0.009203948269213337,-0.004947056272507258
inner,-22.312500000000405,249.99999999999997,-0.0165832789532491,0.007235736482614967,-0.006441438319696846
inner,-22.12500000000038,249.99999999999997,-0.02052843815778065,0.00530324646377789,-0.007993301186390921
inner,-21.93750000000035,249.99999999999997,-0.024696163769234995,0.003409399280001049,-0.00960584741287502
inner,-21.750000000000377,249.99999999999997,-0.029100297360723736,0.0015573464501227926,-0.011282224040432158
inner,-21.5625000000004,250.0,-0.033755033730560796,-0.0002495282638015027,-0.013025519881265844
inner,-21.375000000000377,250.0,-0.03867492533960107,-0.0020076072881188398,-0.014838761551674485
inner,-21.18750000000045,250.0,-0.04387488393971409,-0.003713038107865669,-0.016724908289350044
inner,-21.000000000000423,249.99999999999997,-0.04937017922818225,-0.005361732783138498,-0.01868684556535684
inner,-20.812500000000398,250.00000000000003,-0.05517643433500841,-0.006949368330987942,-0.020727377491931695
inner,-20.625000000000473,249.99999999999997,-0.0613096179165069,-0.008471388198262066,-0.022849218019981365
inner,-20.437500000000448,250.0,-0.06778603260263362,-0.009923005064467008,-0.02505498091479757
inner,-20.25000000000042,250.00000000000003,-0.07462229951405654,-0.011299205220646941,-0.02734716849481177
inner,-20.062500000000444,250.00000000000003,-0.08183533853625352,-0.012594754777618686,-0.02972815911682347
inner,-19.87500000000047,250.00000000000003,-0.08944234402522763,-0.013804207981486764,-0.032200193390126745
inner,-19.68750000000044,249.99999999999997,-0.09746075558277437,-0.014921917910524128,-0.034765359103326336
inner,-19.500000000000465,250.00000000000003,-0.1059082235354752,-0.015942049850187632,-0.0374255748520288
inner,-19.31250000000049,250.00000000000003,-0.11480256872761667,-0.016858597644161588,-0.040182572359732244
inner,-19.125000000000465,250.0,-0.12416173622431662,-0.017665403325944847,-0.043037877490937
inner,-18.93750000000049,250.00000000000003,-0.13400374252080677,-0.018356180348182847,-0.045992789963816304
inner,-18.75000000000051,250.0,-0.14434661583314667,-0.018924540718954573,-0.04904836177826005
inner,-18.562500000000487,250.00000000000003,-0.15520832904785672,-0.019364026374796766,-0.05220537438149969
inner,-18.37500000000051,250.00000000000003,-0.16660672487498,-0.019668145108556773,-0.05546431459827556
inner,-18.187500000000536,250.0,-0.17855943273337369,-0.019830411391962774,-0.05882534935094653
inner,-18.000000000000508,250.00000000000003,-0.191083776867559,-0.019844392431985863,-0.06228829919440447
inner,-17.812500000000533,250.00000000000003,-0.204196675205744,-0.019703759724007015,-0.06585261071338915
inner,-17.625000000000558,250.00000000000006,-0.2179145286840164,-0.01940234608866224,-0.06951732794637952
inner,-17.43750000000053,250.00000000000006,-0.23225310152288908,-0.018934207376462866,-0.07328106337461801
inner,-17.250000000000554,250.00000000000003,-0.24722739470875932,-0.018293685737824267,-0.07714197001176692
inner,-17.06250000000058,250.00000000000006,-0.26285151862741385,-0.017475467991334592,-0.08109771768322627
inner,-16.875000000000554,250.00000000000003,-0.27913857549510707,-0.01647463026993641,-0.08514547780256938
