facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,76530,0,0,0,-64.898124341993835,-292.89482100196341,-62.832932479148731,-301.55748737984362,0,1,1,1.8517960135416398,0,1.8517960135416398,0,0.44251262015635001,0,0,0,0
1,76531,0,0,0,-63.088958384004314,-293.28983283247885,-60.921010679660398,-301.73507984864648,0,1,1,1.851796012504878,0,1.851796012504878,0,0.26492015135346492,0,0,0,0
2,76532,0,0,0,-61.277388635059914,-293.6736698360163,-59.00853405631117,-301.87088990943442,0,1,1,1.8517960085624339,0,1.8517960085624339,0,0.12911009056557532,0,0,0,0
3,76533,0,0,0,-59.463484125514739,-294.04631738648533,-57.099465854313358,-301.96032706404446,0,1,1,1.8517959941676396,0,1.8517959941676396,0,0.039672935955508144,0,0,0,0
4,76534,0,0,0,-57.647313990989836,-294.40776128113532,-55.201638485764633,-301.9964128334168,0,1,1,1.8517959437058245,0,1.8517959437058245,0,0.0035871665832303283,0,0,0,0
5,76535,0,1,2,-55.82894750705583,-294.75798773461145,-53.2928341516524,-302.00000000000006,0,1,1,1.8517957738848958,1.8517957738848958,1.8517957738848958,1.8517957738848958,-8.526512829121201e-14,8.526512829121201e-14,1.7053025658242404e-13,2.4420092722937254,1.318724940801985
6,76536,0,1,2,-54.008454201932182,-295.09698336026537,-51.355919241463518,-301.99999999999994,0,1,1,1.8517952252562133,1.8517952252562133,1.8517952252562133,1.8517952252562133,2.8421709430404007e-14,0,0,1.8156442031911459,0.98047785112953545
7,76537,0,1,2,-52.18590419488531,-295.42473511632102,-49.405740939829528,-302,0,1,1,1.8517935239015484,1.8517935239015484,1.8517935239015484,1.8517935239015484,-2.8421709430404004e-14,2.8421709430404004e-14,5.6843418860808015e-14,2.2664765290552222,1.2239358761121364
8,76538,0,1,2,-50.361369157910666,-295.74123015977284,-47.447919062043034,-302,0,1,1,1.8517884597336705,1.8517884597336705,1.8517884597336705,1.8517884597336705,2.8421709430404007e-14,0,0,2.392274610561254,1.2918725127519792
9,76539,0,1,2,-48.534924919295598,-296.04645546999598,-45.484203893150408,-302,0,1,1,1.8517739927065091,1.8517739927065091,1.8517739927065091,1.8517739927065091,0,0,0,2.5846271536684546,1.3957573461169657
10,76540,0,1,2,-46.706658189054878,-296.34039692691499,-43.515256368086959,-302,0,1,1,1.8517343321668274,1.8517343321668274,1.8517343321668274,1.8517343321668274,-2.8421709430404007e-14,2.8421709430404007e-14,5.6843418860808015e-14,2.7438315603886094,1.4817630762280487
11,76541,0,1,2,-44.876683152082457,-296.62303716312715,-41.541379635597103,-302.00000000000006,0,1,1,1.8516299734822419,1.8516299734822419,1.8516299734822419,1.8516299734822419,-5.6843418860808015e-14,5.6843418860808015e-14,5.6843418860808015e-14,2.8988736782699456,1.5655793650921623
12,76542,0,1,2,-43.045180506097026,-296.89435081479246,-39.562805931912024,-302,0,1,1,1.8513664795969405,1.8513664795969405,1.8513664795969405,1.8513664795969405,-5.6843418860808015e-14,5.6843418860808015e-14,5.6843418860808015e-14,3.043098985286762,1.643704268616375
13,76543,0,1,2,-41.212484588450124,-297.1542946258644,-37.579884206078489,-302,0,1,1,1.8507289933820825,1.8507289933820825,1.8507289933820825,1.8507289933820825,0,0,0,3.178728060442479,1.7175545808214563
14,76544,0,1,2,-39.379268141917308,-297.40278799596013,-35.593316148242337,-302,0,1,1,1.8492515642145213,1.8492515642145213,1.8492515642145213,1.8492515642145213,2.8421709430404007e-14,0,0,3.3048521988005408,1.7871295948879151
15,76545,0,1,2,-37.546911555013018,-297.63967733550191,-33.604573155517784,-302.00000000000006,0,1,1,1.8459775711749735,1.8459775711749735,1.8459775711749735,1.8459775711749735,-2.8421709430404007e-14,2.8421709430404007e-14,5.6843418860808015e-14,3.4200833525769494,1.8527220514386045
16,76546,0,1,2,-35.718189425824157,-297.86467633116365,-31.616656467423745,-302,0,1,1,1.8390631006311722,1.8390631006311722,1.8390631006311722,1.8390631006311722,-2.8421709430404007e-14,2.8421709430404007e-14,5.6843418860808015e-14,3.5206979657187945,1.9143975889193143
17,76547,0,1,2,-33.898428827269925,-298.07727799631192,-29.635379201640717,-302,0,1,1,1.8252291383509569,1.8252291383509569,1.8252291383509569,1.8252291383509569,-2.8421709430404007e-14,2.8421709430404007e-14,5.6843418860808015e-14,3.5993849331760481,1.9720181195594932
18,76548,0,1,2,-32.09721263850534,-298.27664950893364,-27.671257065057311,-302,0,1,1,1.7992204570737214,1.7992204570737214,1.7992204570737214,1.7992204570737214,-2.8421709430404004e-14,2.8421709430404004e-14,5.6843418860808015e-14,3.6436807912254614,2.0251441544587578
19,76549,0,1,2,-30.33024028031668,-298.46156764495367,-25.741585689531561,-302.00000000000006,0,1,1,1.7540392868861623,1.7540392868861623,1.7540392868861623,1.7540392868861623,0,0,0,3.6363596437265775,2.073134661756626
20,76550,0,1,2,-28.620177940635209,-298.63050330543649,-23.871417295731487,-302,0,1,1,1.6827479764382307,1.6827479764382307,1.6827479764382307,1.6827479764382307,-5.6843418860808015e-14,5.6843418860808015e-14,5.6843418860808015e-14,3.5597706897234613,2.11545088127707
21,76551,0,1,2,-26.994733262842317,-298.7819581384785,-22.091478266599935,-302,0,1,1,1.5822351335622271,1.5822351335622271,1.5822351335622271,1.5822351335622271,2.8421709430404007e-14,0,0,3.4053917790456487,2.152266566966432
22,76552,0,1,2,-25.480772869570231,-298.91503681093161,-20.431700244736533,-302.00000000000006,0,1,1,1.4573706306076504,1.4573706306076504,1.4573706306076504,1.4573706306076504,-8.5265128291212022e-14,8.5265128291212022e-14,1.7053025658242404e-13,3.1833566685961197,2.1843150957892021
23,76553,0,1,2,-24.097498273546773,-299.02989119910694,-18.913665418397208,-301.99999999999983,0,1,1,1.3187060425567478,1.3187060425567478,1.3187060425567478,1.3187060425567478,1.7053025658242404e-13,2.8421709430404007e-14,5.6843418860808015e-14,2.9179806976084595,2.2127605421076169
24,76554,0,1,2,-22.851641083915023,-299.12782215431031,-17.545245727542344,-302.00000000000045,0,1,1,1.1806997776550883,1.1806997776550883,1.1806997776550883,1.1806997776550883,-4.5474735088646412e-13,5.1159076974727213e-13,1.0231815394945443e-12,2.6427790621982128,2.2383158803052088
25,76555,0,1,2,-21.738107806298075,-299.21092509509702,-16.321249089112417,-301.99999999999903,0,1,1,1.0525639895319063,1.0525639895319063,1.0525639895319063,1.0525639895319063,9.6633812063373605e-13,2.2737367544323206e-13,4.5474735088646412e-13,2.3798988226467128,2.2610490633496738
26,76556,0,1,2,-20.744777865288505,-299.28152918128166,-15.228668802981019,-302.00000000000205,0,1,1,0.93911071447155592,0.93911071447155592,0.93911071447155592,0.93911071447155592,-2.0463630789890885e-12,2.5863755581667647e-12,5.1727511163335294e-12,2.1423319266603662,2.2812346762179914
27,76557,0,1,2,-19.85629894672747,-299.34186171643535,-14.250859765739254,-301.99999999999613,0,1,1,0.84194127274207964,0.84194127274207964,0.84194127274207964,0.84194127274207964,3.836930773104541e-12,1.3358203432289883e-12,2.6716406864579767e-12,1.9355590911413161,2.2989241100361824
28,76558,0,1,2,-19.05732607810684,-299.39384455358453,-13.371116223774626,-302.00000000000648,0,1,1,0.75938442638238368,0.75938442638238368,0.75938442638238368,0.75938442638238368,-6.4801497501321129e-12,9.4928509497549385e-12,1.8985701899509877e-11,1.7574897932901941,2.314361122287778
29,76559,0,1,2,-18.334124957043755,-299.43904369989252,-12.574452568005633,-301.99999999999028,0,1,1,0.68984100588260744,0.68984100588260744,0.68984100588260744,0.68984100588260744,9.6633812063373641e-12,6.0822458181064576e-12,1.2164491636212915e-11,1.6058331701131889,2.3278308427876482
30,76560,0,1,2,-17.674990524263258,-299.47870580172935,-11.848078603484668,-302.00000000001285,0,1,1,0.63081308942839942,0.63081308942839942,0.63081308942839942,0.63081308942839942,-1.2875034371973015e-11,2.3845814212108962e-11,4.7691628424217924e-11,1.4758999994753332,2.3396787799896401
31,76561,0,1,2,-17.070074346937709,-299.51381963966935,-11.181220224219437,-301.99999999998465,0,1,1,0.58105643660146133,0.58105643660146133,0.58105643660146133,0.58105643660146133,1.531930138298776e-11,1.7905676941154528e-11,3.5811353882309049e-11,1.3655115343924829,2.3500497514135077
32,76562,0,1,2,-16.511497673569309,-299.54515206052668,-10.565252911597435,-302.00000000001756,0,1,1,0.53785355502598875,0.53785355502598875,0.53785355502598875,0.53785355502598875,-1.7593038137420081e-11,4.385469765111339e-11,8.7709395302226767e-11,1.2689586335236092,2.3593013779787957
33,76563,0,1,2,-15.99260498163409,-299.57331944006319,-9.9928845490321407,-301.99999999997868,0,1,1,0.50146012107030868,0.50146012107030868,0.50146012107030868,0.50146012107030868,2.1287860363372598e-11,3.5640823625726625e-11,7.1281647251453251e-11,1.1872520238670785,2.3675901113193731
34,76564,0,1,2,-15.507850356922329,-299.59881758049227,-9.4580348824042826,-302.00000000002871,0,1,1,0.46938972398810375,0.46938972398810375,0.46938972398810375,0.46938972398810375,-2.8705926524708054e-11,7.5061734605696984e-11,1.5012346921139397e-10,1.1147610589384183,2.3749157724779484
35,76565,0,1,2,-15.0531038896744,-299.62202085262652,-8.9561768926124898,-301.99999999996135,0,1,1,0.4412866413724813,0.4412866413724813,0.4412866413724813,0.4412866413724813,3.8681946534779854e-11,6.085087989049498e-11,1.2170175978098996e-10,1.0509827179081306,2.3816327515362445
36,76566,0,1,2,-14.624595769475388,-299.64325083669229,-8.4831741110630343,-302.00000000004451,0,1,1,0.41678099078524428,0.41678099078524428,0.41678099078524428,0.41678099078524428,-4.4536818677443073e-11,1.2647660696529783e-10,2.5295321393059567e-10,0.99518854318181749,2.3877973448520606
37,76567,0,1,2,-14.218924467996294,-299.66278227633103,-8.0352910779221407,-301.99999999996317,0,1,1,0.39550161399243183,0.39550161399243183,0.39550161399243183,0.39550161399243183,3.6862957131233991e-11,1.0928147275990341e-10,2.1856294551980682e-10,0.94655271631570825,2.393296722004834
38,76568,0,1,2,-13.833714671795615,-299.68081860385485,-7.6099212795321645,-302.00000000001103,0,1,1,0.37576217380138188,0.37576217380138188,0.37576217380138188,0.37576217380138188,-1.1084466677857573e-11,1.4708234630234074e-10,2.9416469260468148e-10,0.90123879169730114,2.3984287257547976
39,76569,0,1,2,-13.466722239441912,-299.69753948722928,-7.2045997308924754,-302.00000000002541,0,1,1,0.35898426931118138,0.35898426931118138,0.35898426931118138,0.35898426931118138,-2.5380586521350775e-11,1.5009504750196356e-10,3.0019009500392713e-10,0.86270539190879036,2.4031843890099935
40,76570,0,1,2,-13.11595574195702,-299.71309990015322,-6.8171380755651567,-301.99999999994492,0,1,1,0.34323878471946573,0.34323878471946573,0.34323878471946573,0.34323878471946573,5.5109694585553377e-11,8.6629370343871415e-11,1.7325874068774283e-10,0.82634032349375663,2.4074794582702448
41,76571,0,1,2,-12.780071103806049,-299.72761417062884,-6.4460609562404958,-302.00000000006412,0,1,1,0.32915749625019458,0.32915749625019458,0.32915749625019458,0.32915749625019458,-6.4119376474991441e-11,1.1181100489920938e-10,2.2362200979841873e-10,0.79379548426058932,2.4115977709868734
