facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,119658,0,0,0,-64.713572291560467,-292.93602647053319,-62.639732592314928,-301.57713028804693,0,1,1,1.5974441086477675,0,1.5974441086477675,0,0.42286971195301248,0,0,0,0
1,119659,0,0,0,-63.152830622021597,-293.27646006372032,-60.990468927777599,-301.72864561937217,0,1,1,1.5974441077420825,0,1.5974441077420825,0,0.27135438062782669,0,0,0,0
2,119660,0,0,0,-61.590298341658027,-293.60857820109504,-59.340698290216238,-301.84914134383632,0,1,1,1.597444104857995,0,1.597444104857995,0,0.15085865616367758,0,0,0,0
3,119661,0,0,0,-60.026019757848587,-293.93237146513894,-57.692810194049599,-301.93583813265184,0,1,1,1.5974440960067076,0,1.5974440960067076,0,0.06416186734816165,0,0,0,0
4,119662,0,0,0,-58.460039235215945,-294.24783067293504,-56.050672436067053,-301.98518197665294,0,1,1,1.5974440694528491,0,1.5974440694528491,0,0.014818023347032749,0,0,0,0
5,119663,0,1,2,-56.892401208442621,-294.55494687394105,-54.411216420948939,-302,0,1,1,1.5974439926263153,1.5974439926263153,1.5974439926263153,1.5974439926263153,0,2.8421709430404007e-14,5.6843418860808015e-14,1.0687232539807614,0.66902079754527222
6,119664,0,1,2,-55.323150219076034,-294.85371134374884,-52.755368106420512,-302,0,1,1,1.5974437765692309,1.5974437765692309,1.5974437765692309,1.5974437765692309,2.8421709430404004e-14,0,0,1.6635830696698568,1.0414032055905409
7,119665,0,1,2,-53.752331014222442,-295.14411556789378,-51.079527823475125,-302,0,1,1,1.5974431861329637,1.5974431861329637,1.5974431861329637,1.5974431861329637,2.8421709430404007e-14,0,0,1.7524424462096067,1.0970295916763462
8,119666,0,1,2,-52.179988793844061,-295.42615120285927,-49.395578889521715,-302,0,1,1,1.5974416291298239,1.5974416291298239,1.5974416291298239,1.5974416291298239,-2.8421709430404007e-14,2.8421709430404007e-14,5.6843418860808015e-14,1.926733822984096,1.2061372308380669
9,119667,0,1,2,-50.606169829881807,-295.69980998204124,-47.706269476232109,-302,0,1,1,1.5974376155044943,1.5974376155044943,1.5974376155044943,1.5974376155044943,0,0,0,2.0594093433403047,1.2891954736460323
10,119668,0,1,2,-49.030922899611085,-295.96508350789429,-46.012733993650642,-302,0,1,1,1.5974276540977228,1.5974276540977228,1.5974276540977228,1.5974276540977228,0,0,0,2.1906486081147141,1.3713601379663489
