facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,43001,0,0,0,-64.407147263331154,-293.00243115306034,-62.30942233471351,-301.60525479340191,0,1,1,2.2757150926644361,0,2.2757150926644361,0,0.39474520659811668,0,0,0,0
1,43002,0,0,0,-62.182676642298851,-293.48257189449305,-59.959345636599238,-301.80491506563192,0,1,1,2.2757150903055479,0,2.2757150903055479,0,0.19508493436811133,0,0,0,0
2,43003,0,0,0,-59.954627844113119,-293.9458247369646,-57.611394091846556,-301.93856340036206,0,1,1,2.2757150784862761,0,2.2757150784862761,0,0.061436599638000182,0,0,0,0
3,43004,0,0,0,-57.72312910382098,-294.39216301856163,-55.278046118074791,-301.99391248585192,0,1,1,2.2757150228037561,0,2.2757150228037561,0,0.0060875141480494221,0,0,0,0
4,43005,0,1,2,-55.488308944361037,-294.82156103490729,-52.932106669696267,-302.00000000000369,0,1,1,2.2757147761662844,2.2757147761662844,2.2757147761662844,2.2757147761662844,-3.666400516522117e-12,2.2708945834892802e-11,4.5417891669785604e-11,2.9897646544124004,1.3137694959510782
5,43006,0,1,2,-53.250296443005794,-295.23399399538164,-50.550024215094723,-301.99999999999523,0,1,1,2.2757137491179007,2.2757137491179007,2.2757137491179007,2.2757137491179007,4.7748471843078724e-12,1.6058265828178264e-11,3.2116531656356528e-11,2.3414491633506551,1.028885625117937
6,43007,0,1,2,-51.009222246890161,-295.62943786450023,-48.150084630494163,-302.00000000000495,0,1,1,2.2757097239826463,2.2757097239826463,2.2757097239826463,2.2757097239826463,-5.0306425691815093e-12,1.8133050616597757e-11,3.6266101233195513e-11,2.9293299708344622,1.2872160012165068
7,43008,0,1,2,-48.76522213987954,-296.0078688360237,-45.739502489483513,-301.9999999999946,0,1,1,2.2756948860210029,2.2756948860210029,2.2756948860210029,2.2756948860210029,5.3717030823463574e-12,9.9191765912109986e-12,1.9838353182421997e-11,3.1289679863639122,1.3749505724973687
8,43009,0,1,2,-46.518448671506718,-296.36926172400649,-43.32029007022566,-302.00000000000512,0,1,1,2.2756435254149521,2.2756435254149521,2.2756435254149521,2.2756435254149521,-5.1443294069031253e-12,1.2164491636212915e-11,2.432898327242583e-11,3.400135229256072,1.4941422904257708
9,43010,0,1,2,-44.269106524218131,-296.71358539713503,-40.89321960029821,-301.99999999999557,0,1,1,2.2754764990769387,2.2754764990769387,2.2754764990769387,2.2754764990769387,4.4337866711430252e-12,4.60431692772545e-12,9.2086338554508984e-12,3.6271746951405883,1.5940286338320675
10,43011,0,1,2,-42.017552617837815,-297.04079080808617,-38.458827387333727,-302.00000000000341,0,1,1,2.2749664735871562,2.2749664735871562,2.2749664735871562,2.2749664735871562,-3.4674485505092885e-12,6.2811977841192856e-12,1.2562395568238571e-11,3.844000406531026,1.6896954092118224
11,43012,0,1,2,-39.764558910979403,-297.35078215412386,-36.017990614574799,-301.99999999999756,0,1,1,2.2735056155664659,2.2735056155664659,2.2735056155664659,2.2735056155664659,2.444267011014745e-12,1.6200374375330286e-12,3.2400748750660568e-12,4.0419924473598456,1.7778678089399591
12,43013,0,1,2,-37.511951425541184,-297.64335327555852,-33.572721603758296,-302.00000000000165,0,1,1,2.2695824540094152,2.2695824540094152,2.2695824540094152,2.2695824540094152,-1.6484591469634324e-12,2.5011104298755527e-12,5.0022208597511053e-12,4.221054972029318,1.8598376827299032
13,43014,0,1,2,-35.264010735063685,-297.91806406757701,-31.127732575247791,-301.99999999999903,0,1,1,2.2597779575480761,2.2597779575480761,2.2597779575480761,2.2597779575480761,9.3791641120333225e-13,4.5474735088646412e-13,9.0949470177292824e-13,4.3735015799346124,1.9353678379445682
14,43015,0,1,2,-33.030157798119824,-298.17403880064364,-28.693401722587044,-302.00000000000063,0,1,1,2.237195694213336,2.237195694213336,2.237195694213336,2.237195694213336,-5.6843418860808015e-13,7.9580786405131221e-13,1.5916157281026244e-12,4.4837255702479766,2.0041722688119989
15,43016,0,1,2,-30.829191590234345,-298.40972168334281,-26.290467191076704,-301.99999999999966,0,1,1,2.1899322021227703,2.1899322021227703,2.1899322021227703,2.1899322021227703,3.1263880373444408e-13,8.526512829121201e-14,1.7053025658242404e-13,4.5231217795922047,2.0654163517974666
16,43017,0,1,2,-28.69341572612791,-298.62280956910934,-23.954641258297919,-302.00000000000023,0,1,1,2.10285426887926,2.10285426887926,2.10285426887926,2.10285426887926,-2.2737367544323206e-13,2.2737367544323206e-13,3.979039320256561e-13,4.4542179052917898,2.1181771705300889
17,43018,0,1,2,-26.668102885762071,-298.81072068040385,-21.736118694079806,-301.99999999999983,0,1,1,1.9651920334269615,1.9651920334269615,1.9651920334269615,1.9651920334269615,1.4210854715202006e-13,0,0,4.2496277190970222,2.1624490873222157
18,43019,0,1,2,-24.801111706592657,-298.97175515040408,-19.688194823765222,-302.00000000000011,0,1,1,1.7826726047527703,1.7826726047527703,1.7826726047527703,1.7826726047527703,-1.1368683772161603e-13,1.4210854715202004e-13,2.8421709430404007e-13,3.9216716766686202,2.1998832910838928
19,43020,0,1,2,-23.125634848192583,-299.106304911667,-17.848194892063145,-301.99999999999977,0,1,1,1.579081957280041,1.579081957280041,1.579081957280041,1.579081957280041,2.5579538487363607e-13,5.6843418860808009e-14,1.1368683772161603e-13,3.5252754933061405,2.2324841830112514
20,43021,0,1,2,-21.649936844532171,-299.21698433063801,-16.2260063948364,-302.00000000000091,0,1,1,1.3806124821862209,1.3806124821862209,1.3806124821862209,1.3806124821862209,-9.0949470177292824e-13,9.6633812063373625e-13,1.9326762412674725e-12,3.1220225693567198,2.2613315536688106
21,43022,0,1,2,-20.360518626821083,-299.30767867730674,-14.807426174721286,-301.99999999999682,0,1,1,1.2046012601626439,1.2046012601626439,1.2046012601626439,1.2046012601626439,3.1832314562052492e-12,1.1368683772161603e-13,2.2737367544323206e-13,2.7545366524608852,2.286679205440123
22,43023,0,1,2,-19.23236720612136,-299.38242587525519,-13.56540215317839,-302.00000000000927,0,1,1,1.0566526321280418,1.0566526321280418,1.0566526321280418,1.0566526321280418,-9.2938989837421104e-12,9.9475983006414026e-12,1.9895196601282805e-11,2.4393056013564771,2.3085217669347458
