contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.27512362429973536,0.1783080333181111,0.13210982201779362
inner,-29.750000000000032,249.99999999999997,0.2104704924342841,0.15127437368762534,0.10927770506928931
inner,-29.5000000000001,249.99999999999997,0.12942676793240682,0.11927220300120063,0.07621357315274604
inner,-29.250000000000064,249.99999999999994,0.10467726718794838,0.10885195768761922,0.06009260675020822
inner,-29.00000000000013,250.0,0.08984710544177127,0.1005083805878262,0.05095556867433214
inner,-28.750000000000096,249.99999999999994,0.07981272534754451,0.09385411303075177,0.044717389676151076
inner,-28.50000000000006,249.99999999999997,0.07217083317080518,0.08814977791645634,0.039999751976938246
inner,-28.250000000000124,249.99999999999997,0.06601221910543338,0.08312493878915053,0.0362024663665553
inner,-28.00000000000009,249.99999999999997,0.0608372588104993,0.07858149062526446,0.03302435660848406
inner,-27.750000000000156,249.99999999999997,0.05635920275997581,0.07439132757021621,0.030289349271336682
inner,-27.50000000000012,249.99999999999997,0.05239303663232719,0.07046418152043227,0.027884450704677224
inner,-27.25000000000019,249.99999999999997,0.04881182076903345,0.06673622299244894,0.025731822865342507
inner,-27.000000000000153,249.99999999999994,0.04552297565801294,0.06316134547074284,0.023775006943476926
inner,-26.75000000000022,249.99999999999997,0.0424556565087382,0.05970585543449121,0.02197129275779648
inner,-26.500000000000185,249.99999999999997,0.03955329568737302,0.0563448601812199,0.020287213580730365
inner,-26.25000000000025,249.99999999999994,0.0367690258860463,0.05305983904987763,0.018695733754800683
inner,-26.000000000000213,249.99999999999997,0.03406272095675386,0.04983696798310126,0.017174419951091147
inner,-25.75000000000018,249.99999999999994,0.03139900845036954,0.04666595185236834,0.01570420967316294
inner,-25.500000000000245,249.99999999999994,0.028745885692146,0.04353920014751126,0.01426855723994568
inner,-25.25000000000021,249.99999999999994,0.026073725555760645,0.040451239676203024,0.012852826272245306
inner,-25.000000000000277,249.99999999999994,0.02335454163577756,0.03739829304107127,0.0114438479786747
inner,-24.75000000000024,249.99999999999994,0.020561431072833994,0.034377974761884866,0.010029593950711794
inner,-24.500000000000256,249.99999999999997,0.01766814215377647,0.03138907195262696,0.008598929999397984
inner,-24.250000000000274,249.99999999999997,0.01464873162875837,0.028431386508663233,0.0071414286702178075
inner,-24.000000000000288,249.99999999999997,0.011477287995518871,0.025505622545971527,0.005647225174869283
inner,-23.750000000000306,249.99999999999997,0.008127704359061953,0.022613307460240983,0.004106906130691967
inner,-23.50000000000037,249.99999999999997,0.004573489388507839,0.019756738168233146,0.002511423612235314
inner,-23.250000000000334,249.99999999999997,0.0007876082650763155,0.016938946331413518,0.0008520291464656675
inner,-23.0000000000003,249.99999999999997,-0.0032576521303921283,0.014163677916182501,-0.000879776231845715
inner,-22.750000000000366,249.99999999999997,-0.00759079784229103,0.011435383541914338,-0.0026922786952937885
inner,-22.50000000000033,249.99999999999997,-0.012241225082660151,0.00875921682639697,-0.004593577177541069
inner,-22.250000000000345,250.0,-0.017239301942157566,0.006141038472886107,-0.006591599274579654
inner,-22.000000000000362,249.99999999999997,-0.022616435674764814,0.0035874242012324947,-0.008694108582429663
inner,-21.750000000000377,249.99999999999997,-0.028405126070972175,0.001105674835908864,-0.010908704240018084
inner,-21.500000000000394,250.0,-0.03463900491199438,-0.0012961729809639194,-0.013242813203068663
inner,-21.25000000000041,250.0,-0.04135286107821184,-0.003609336938824455,-0.015703675581989186
inner,-21.000000000000423,249.99999999999997,-0.048582650493559844,-0.005824281549059156,-0.01829832322982683
inner,-20.750000000000387,250.0,-0.05636548973652024,-0.007930714497391904,-0.02103355164831587
inner,-20.500000000000405,250.00000000000003,-0.06473963181911133,-0.009917588450496742,-0.023915885190636393
inner,-20.25000000000042,250.00000000000003,-0.07374442233118847,-0.011773109997415087,-0.026951535478712152
inner,-20.000000000000437,250.00000000000003,-0.08342023387653051,-0.013484757536506057,-0.030146352906759183
inner,-19.75000000000045,250.0,-0.09380837644065475,-0.01503931001728923,-0.033505771081302045
inner,-19.500000000000465,250.00000000000003,-0.10495098111218469,-0.016422888573656227,-0.037034744052285545
inner,-19.250000000000483,250.00000000000003,-0.11689085437694854,-0.017621013190028227,-0.04073767621351716
inner,-19.000000000000497,250.00000000000006,-0.12967130004028207,-0.018618676615650018,-0.04461834480296146
inner,-18.75000000000051,250.0,-0.14333590574141417,-0.019400437790872083,-0.048679815014738004
inner,-18.50000000000053,250.00000000000006,-0.1579282909872872,-0.019950537039090197,-0.052924347844681266
inner,-18.250000000000544,250.00000000000003,-0.17349181368124209,-0.02025303520786337,-0.05735330093499607
inner,-18.000000000000508,250.00000000000003,-0.19006923223968092,-0.020291978815089904,-0.06196702284823893
inner,-17.750000000000526,250.00000000000003,-0.20770232053124824,-0.020051593101714147,-0.06676474136672418
inner,-17.50000000000054,250.00000000000003,-0.22643143291878426,-0.019516504802333925,-0.0717444465206734
inner,-17.250000000000554,250.00000000000003,-0.24629501639785206,-0.018671996653852576,-0.07690276897103931
inner,-17.000000000000572,250.00000000000006,-0.26732906590632044,-0.017504296494414658,-0.08223485393313261
inner,-16.750000000000586,250.00000000000003,-0.28956651730291316,-0.016000905008281666,-0.08773423005080573
inner,-16.5000000000006,250.00000000000003,-0.31303657210276814,-0.014150965668975241,-0.09339267239080494
inner,-16.250000000000618,250.00000000000006,-0.33776395601264664,-0.011945671170982166,-0.09920006269314695
