contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.30774471425205685,0.19185271653097566,0.14539655442447766
inner,-29.812500000000043,249.99999999999997,0.23697119821930804,0.16500514584828382,0.12199609846150059
inner,-29.625000000000014,249.99999999999994,0.1476093108701414,0.13270604121639412,0.08730609295332026
inner,-29.43750000000009,249.99999999999997,0.11945032242872736,0.12158118699961662,0.0694891751028941
inner,-29.250000000000064,249.99999999999994,0.10296076839274036,0.11261410451986134,0.059263983310391025
inner,-29.062500000000036,249.99999999999997,0.09199076982762731,0.1055167953718054,0.05236249117012923
inner,-28.875000000000114,249.99999999999997,0.08376065254266518,0.0995451237503631,0.047216091908129934
inner,-28.687500000000085,249.99999999999994,0.07720631269008976,0.09440487535581957,0.04312197669640842
inner,-28.50000000000006,249.99999999999997,0.07175707733542003,0.08987351839473771,0.03972765444203445
inner,-28.312500000000135,249.99999999999997,0.06709121058269976,0.08580165821790142,0.03683125643836814
inner,-28.125000000000107,249.99999999999997,0.06300618515854282,0.08208122913748563,0.03430640913318461
inner,-27.93750000000008,249.99999999999994,0.0593669252590991,0.07863367321971806,0.03206830692533209
inner,-27.750000000000156,249.99999999999997,0.05607819117751722,0.07540068891616167,0.030057075487016225
inner,-27.56250000000013,249.99999999999997,0.053069915474508164,0.07233842717013948,0.028228696949524845
inner,-27.375000000000206,249.99999999999994,0.05028861631924873,0.0694134617781319,0.026549720613090817
inner,-27.187500000000178,249.99999999999994,0.0476921702542944,0.06660001741526597,0.024993999156151078
inner,-27.000000000000153,249.99999999999994,0.04524647021939579,0.06387801444382306,0.02354058781800271
inner,-26.812500000000227,249.99999999999997,0.04292321183853773,0.06123167293431425,0.02217234338371816
inner,-26.625000000000203,249.99999999999994,0.040698378128721985,0.05864850093339284,0.02087496180917406
inner,-26.437500000000174,249.99999999999994,0.038551172978881804,0.05611855198203426,0.019636299905091442
inner,-26.25000000000025,249.99999999999994,0.036463251523371806,0.05363387379840669,0.018445886287640774
inner,-26.062500000000224,249.99999999999994,0.03441815224339395,0.05118809461017899,0.017294561605845075
inner,-25.875000000000195,249.99999999999997,0.032400869367350066,0.04877610987227443,0.016174209056975697
inner,-25.687500000000274,249.99999999999994,0.030397524906276764,0.046393843070133625,0.015077549237451675
inner,-25.500000000000245,249.99999999999994,0.02839511278245877,0.0440380617929545,0.01399798168597924
inner,-25.31250000000022,249.99999999999997,0.02638129603414851,0.04170623547294095,0.012929460890808589
inner,-25.125000000000295,249.99999999999994,0.024344243703647732,0.03939642482042313,0.011866398137561598
inner,-24.937500000000266,250.0,0.022272497846364654,0.03710719559653254,0.0108035830176245
inner,-24.75000000000024,249.99999999999994,0.02015486370870749,0.0348375512191264,0.009736120102983793
inner,-24.562500000000316,249.99999999999997,0.017980317959168553,0.03258688005433097,0.008659377473934308
inner,-24.37500000000029,249.99999999999994,0.015737931165878197,0.0303549142422014,0.007568944628071223
inner,-24.187500000000263,249.99999999999997,0.01341680165535089,0.028141697640716383,0.006460597905687379
inner,-24.000000000000288,249.99999999999997,0.01100599857659289,0.02594756102605851,0.005330272008365887
inner,-23.812500000000263,249.99999999999997,0.008494512496565881,0.02377310308787288,0.004174036516545648
inner,-23.625000000000288,249.99999999999994,0.005871212248745179,0.021619176083965713,0.002988076556139484
inner,-23.437500000000362,249.99999999999997,0.0031248070399458984,0.01948687524698226,0.001768676952089584
inner,-23.250000000000334,249.99999999999997,0.00024381304724172773,0.017377531215845596,0.0005122093475764828
inner,-23.06250000000031,249.99999999999997,-0.002783476085435302,0.015292704907740817,-0.0007848781227087227
inner,-22.875000000000384,250.0,-0.005969015300219446,0.01323418435139461,-0.0021260689291488096
inner,-22.687500000000306,250.0,-0.009325031068440605,0.011203983076391739,-0.003514784270095395
inner,-22.50000000000033,249.99999999999997,-0.012864041470083597,0.009204339718334772,-0.004954387425069023
inner,-22.312500000000405,249.99999999999997,-0.01659887357799286,0.007237718544679721,-0.006448186496297557
inner,-22.12500000000038,249.99999999999997,-0.02054267824979147,0.005306810637988301,-0.007999435661943182
inner,-21.93750000000035,249.99999999999997,-0.02470894237329883,0.0034145355007767875,-0.009611335036997699
inner,-21.750000000000377,249.99999999999997,-0.02911149856607928,0.0015640428544696236,-0.011287029211800451
inner,-21.5625000000004,250.0,-0.0337645322779977,-0.00024128557966504398,-0.013029604519333311
inner,-21.375000000000377,250.0,-0.03868258620727562,-0.0019978345247855475,-0.014842085066239609
inner,-21.18750000000045,250.0,-0.043880561908670374,-0.003701754030614855,-0.01672742754959496
inner,-21.000000000000423,249.99999999999997,-0.049373718428631204,-0.00534895900172922,-0.018688514869124644
inner,-20.812500000000398,250.00000000000003,-0.05517766777537014,-0.006935129593596431,-0.02072814853544336
inner,-20.625000000000473,249.99999999999997,-0.06130836699544096,-0.008455712699045005,-0.022849039869209765
inner,-20.437500000000448,250.0,-0.06778210660538021,-0.009905924762877437,-0.025053799979862595
inner,-20.25000000000042,250.00000000000003,-0.07461549509700652,-0.011280756173318725,-0.027344928508522794
inner,-20.062500000000444,250.00000000000003,-0.08182543920101056,-0.012574977481816874,-0.02972480111827804
inner,-19.87500000000047,250.00000000000003,-0.08942911958508125,-0.013783147728520802,-0.03219565571471909
inner,-19.68750000000044,249.99999999999997,-0.0974439616267988,-0.014899625147665737,-0.03475957738123286
inner,-19.500000000000465,250.00000000000003,-0.10588760089315657,-0.015918580547548203,-0.03741848201693434
inner,-19.31250000000049,250.00000000000003,-0.11477784293952806,-0.016834013664570054,-0.04017409866937254
inner,-19.125000000000465,250.0,-0.12413261702650931,-0.017639772795008973,-0.04302795056166497
inner,-18.93750000000049,250.00000000000003,-0.13396992334848126,-0.018329578018846507,-0.045981334821613
inner,-18.75000000000051,250.0,-0.14430777335233058,-0.01889704832630731,-0.049035300928613336
inner,-18.562500000000487,250.00000000000003,-0.15516412272342667,-0.01933573297317979,-0.05219062790114837
inner,-18.37500000000051,250.00000000000003,-0.16655679658714706,-0.01963914738553401,-0.05544780025172482
inner,-18.187500000000536,250.0,-0.17850340645550666,-0.019800813952445127,-0.05880698273458412
inner,-18.000000000000508,250.00000000000003,-0.1910212584153501,-0.019814308040372867,-0.06226799391147518
inner,-17.812500000000533,250.00000000000003,-0.20412725207458518,-0.019673309496055766,-0.06583027858393818
inner,-17.625000000000558,250.00000000000006,-0.21783776999176413,-0.01937165962355843,-0.06949287925507952
inner,-17.43750000000053,250.00000000000006,-0.23216855807296102,-0.018903422817369144,-0.07325440715939951
inner,-17.250000000000554,250.00000000000003,-0.24713459918961897,-0.01826294975079608,-0.07711301439595675
inner,-17.06250000000058,250.00000000000006,-0.26274998596294036,-0.017444935657569948,-0.0810663702510881
inner,-16.875000000000554,250.00000000000003,-0.2790278033524347,-0.016444464889399532,-0.08511164601575893
inner,-16.68750000000058,250.00000000000006,-0.2959800332342746,-0.015257035484648343,-0.08924551137042988
inner,-16.5000000000006,250.00000000000003,-0.31361748886191426,-0.013878576450602665,-0.0934641386455605
inner,-16.312500000000625,250.00000000000006,-0.3319497632734824,-0.012305469126962554,-0.09776320873231241
inner,-16.1250000000006,250.00000000000006,-0.3509851730132775,-0.010534590454866849,-0.10213791069872784
inner,-15.937500000000624,250.00000000000006,-0.3707306747461349,-0.008563372574858289,-0.10658293507895943
inner,-15.7500000000007,250.00000000000003,-0.3911917576863723,-0.006389857091484371,-0.11109246810853177
inner,-15.562500000000622,250.00000000000006,-0.412372338318584,-0.004012750085091634,-0.11566018811211762
inner,-15.375000000000647,250.00000000000006,-0.43427465724775516,-0.0014314678526436671,-0.1202792670905552
inner,-15.187500000000671,250.00000000000009,-0.456899188822115,0.0013538248360371397,-0.12494237774082824
inner,-15.000000000000645,250.00000000000003,-0.48024456344060223,0.00434218374789367,-0.1296417054683323
inner,-14.81250000000067,250.00000000000003,-0.5043075023900696,0.007531857438809416,-0.13436896401345907
inner,-14.625000000000643,250.00000000000006,-0.5290827607385773,0.010920271970159776,-0.13911541671825872
inner,-14.437500000000666,250.00000000000006,-0.5545630871126563,0.014504016912612366,-0.14387190040241937
inner,-14.25000000000064,250.00000000000003,-0.5807391906730754,0.01827883708601705,-0.1486288525434744
inner,-14.062500000000664,250.00000000000006,-0.6075997185994741,0.022239640556609375,-0.1533763445458616
inner,-13.875000000000638,250.00000000000003,-0.6351312549415457,0.026380504986665894,-0.15810411617679448
inner,-13.687500000000663,250.00000000000009,-0.6633183238063132,0.030694688339722533,-0.16280161180488717
inner,-13.500000000000636,250.00000000000006,-0.6921434013963917,0.03517465838354028,-0.16745802261810025
inner,-13.31250000000066,250.00000000000006,-0.7215869524228345,0.03981211932135385,-0.17206232890978226
inner,-13.125000000000634,250.00000000000003,-0.751627469961113,0.04459804521144789,-0.17660334414026066
inner,-12.937500000000608,250.00000000000006,-0.7822415265653762,0.04952272899232632,-0.181069763140379
inner,-12.750000000000632,250.00000000000003,-0.8134038460638464,0.05457582513663114,-0.1854502084331486
inner,-12.562500000000606,250.00000000000006,-0.8450873741956415,0.059746404291999615,-0.1897332786959495
inner,-12.375000000000629,250.00000000000006,-0.8772633650426178,0.06502301250846214,-0.1939075978268597
inner,-12.187500000000604,250.00000000000003,-0.9099014773718194,0.07039373270538685,-0.19796186341333538
inner,-12.000000000000627,250.00000000000003,-0.9429698774832993,0.07584625183533275,-0.20188489537412513
inner,-11.8125000000006,250.00000000000006,-0.976435351924232,0.08136793277615625,-0.2056656843072314
inner,-11.625000000000625,250.0,-1.0102634276972906,0.08694588399977596,-0.20929343711620588
inner,-11.437500000000599,249.99999999999997,-1.0444184926723252,0.09256702848926772,-0.21275762053013053
inner,-11.250000000000675,250.00000000000003,-1.078863919982163,0.09821818721847132,-0.21604800682098074
inner,-11.062500000000648,250.00000000000003,-1.113562209324796,0.10388615001062887,-0.21915471360993535
inner,-10.875000000000622,250.00000000000003,-1.1484751167134248,0.10955774790215704,-0.2220682416462641
inner,-10.687500000000595,250.00000000000003,-1.1835637878223755,0.11521993076459011,-0.2247795118509836
inner,-10.50000000000067,250.00000000000003,-1.2187888986046291,0.1208598376416996,-0.22727989796409226
inner,-10.312500000000643,249.99999999999997,-1.2541107892355225,0.1264648659440292,-0.2295612563727157
inner,-10.125000000000616,249.99999999999997,-1.2894895979647698,0.1320227407130862,-0.23161595379692654
inner,-9.93750000000059,249.99999999999997,-1.324885395420121,0.13752157760269998,-0.23343689064782386
