contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.33557698588976614,0.2019052530269082,0.15597859475235545
inner,-29.850000000000026,249.99999999999997,0.2598615463147701,0.17572179985979874,0.1324784484447282
inner,-29.700000000000088,249.99999999999997,0.1635368059357515,0.14386045445679718,0.0968735470251628
inner,-29.550000000000043,249.99999999999997,0.1322544957592862,0.1323408950474292,0.07765867705207047
inner,-29.400000000000105,249.99999999999997,0.11418498612060764,0.1228681924244505,0.06643043875362846
inner,-29.250000000000064,249.99999999999994,0.10229505544461676,0.11532027225042066,0.05888406342557273
inner,-29.100000000000122,249.99999999999994,0.09347215191612043,0.1089940690714811,0.053312370315268996
inner,-28.95000000000008,249.99999999999997,0.08650717903500663,0.10359573890313274,0.048922217401575485
inner,-28.800000000000143,249.99999999999994,0.08075969363297972,0.0988934428845181,0.04531068659352146
inner,-28.6500000000001,249.99999999999997,0.07587082095945646,0.09472661420288936,0.042248345327760714
inner,-28.50000000000006,249.99999999999997,0.0716169605601926,0.09097671265728696,0.03959323449988947
inner,-28.35000000000012,249.99999999999997,0.0678505962769202,0.08755598289743362,0.037251374897785315
inner,-28.200000000000077,249.99999999999994,0.0644690734706529,0.0843982413564644,0.035157321217951606
inner,-28.05000000000014,249.99999999999997,0.061398015287819484,0.0814529321685529,0.033263631242665896
inner,-27.900000000000098,249.99999999999994,0.058581648562548855,0.07868092376897946,0.03153477741132956
inner,-27.750000000000156,249.99999999999997,0.05597692668278804,0.07605157162686885,0.029943418731034677
inner,-27.600000000000115,249.99999999999997,0.053549783654249714,0.07354061930761756,0.02846801600727175
inner,-27.450000000000177,249.99999999999997,0.051272661488506,0.07112868145184165,0.027091249982351635
inner,-27.300000000000132,249.99999999999997,0.049122825279185336,0.06880013137109928,0.02579894009789109
inner,-27.150000000000194,249.99999999999997,0.04708118384192714,0.06654227499739583,0.024579286153456135
