facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,43001,0,0,0,-64.407147263331154,-293.00243115306034,-62.315985807031652,-301.60709942159713,0,1,1,2.2757150926644361,0,2.2757150926644361,0,0.3929005784029016,0,0,0,0
1,43002,0,0,0,-62.182676642298851,-293.48257189449305,-59.966653953382121,-301.80711097250099,0,1,1,2.2757150903055479,0,2.2757150903055479,0,0.19288902749903514,0,0,0,0
2,43003,0,0,0,-59.954627844113119,-293.9458247369646,-57.619951815737046,-301.94087033827026,0,1,1,2.2757150784862761,0,2.2757150784862761,0,0.059129661729770078,0,0,0,0
3,43004,0,1,1,-57.72312910382098,-294.39216301856163,-55.284710293020495,-301.9997286962078,0,1,1,2.2757150228037561,1.1378575114018781,2.2757150228037561,1.1378575114018781,0.00027130379220352536,0.0026537861239148697,0.0053075722478297394,0.60392609495012195,0.26537861239148697
4,43005,0,1,2,-55.488308944361037,-294.82156103490729,-52.937899868774934,-302.00985325252634,0,1,1,2.2757147761662844,2.2757147761662844,2.2757147761662844,2.2757147761662844,-0.0098532525263408388,0.0098532525263408388,0.010119791802196687,2.2423192367491618,0.98532525263408388
5,43006,0,1,2,-53.250296443005794,-295.23399399538164,-50.557836510339285,-302.01112758597156,0,1,1,2.2757137491179007,2.2757137491179007,2.2757137491179007,2.2757137491179007,-0.011127585971564713,0.011127585971564713,0.011596783453342141,2.5323200389981291,1.1127585971564713
6,43007,0,1,2,-51.009222246890161,-295.62943786450023,-48.158451091937671,-302.01256421119484,0,1,1,2.2757097239826463,2.2757097239826463,2.2757097239826463,2.2757097239826463,-0.012564211194899144,0.012564211194899144,0.01292444967253914,2.8592497590403605,1.2564211194899144
7,43008,0,1,2,-48.76522213987954,-296.0078688360237,-45.748543307326123,-302.01376371394537,0,1,1,2.2756948860210029,2.2756948860210029,2.2756948860210029,2.2756948860210029,-0.013763713945365907,0.013763713945365907,0.014096008703631924,3.1322013438125156,1.3763713945365907
8,43009,0,1,2,-46.518448671506718,-296.36926172400649,-43.329899337685148,-302.01486855468852,0,1,1,2.2756435254149521,2.2756435254149521,2.2756435254149521,2.2756435254149521,-0.014868554688575843,0.014868554688575843,0.01517414003075146,3.383553020933574,1.4868554688575841
9,43010,0,1,2,-44.269106524218131,-296.71358539713503,-40.903385356925043,-302.01588941525353,0,1,1,2.2754764990769387,2.2754764990769387,2.2754764990769387,2.2754764990769387,-0.015889415253496963,0.015889415253496963,0.016173224033252609,3.6155990993406979,1.5889415253496963
10,43011,0,1,2,-42.017552617837815,-297.04079080808617,-38.469547900475611,-302.01683804745028,0,1,1,2.2749664735871562,2.2749664735871562,2.2749664735871562,2.2749664735871562,-0.016838047450306707,0.016838047450306707,0.017101931724710084,3.8305993430117447,1.6838047450306703
11,43012,0,1,2,-39.764558910979403,-297.35078215412386,-36.029274504312099,-302.01771963572344,0,1,1,2.2735056155664659,2.2735056155664659,2.2735056155664659,2.2735056155664659,-0.017719635723466354,0.017719635723466354,0.017964736675878612,4.0285691323092916,1.7719635723466356
12,43013,0,1,2,-37.511951425541184,-297.64335327555852,-33.584581225383587,-302.01853699968768,0,1,1,2.2695824540094152,2.2695824540094152,2.2695824540094152,2.2695824540094152,-0.018536999687711386,0.018536999687711386,0.018763804040077048,4.2071249241207767,1.8536999687711384
13,43014,0,1,2,-35.264010735063685,-297.91806406757701,-31.140182297336821,-302.01929032254486,0,1,1,2.2597779575480761,2.2597779575480761,2.2597779575480761,2.2597779575480761,-0.019290322544861734,0.019290322544861734,0.019498449346826874,4.3591845680871266,1.9290322544861738
14,43015,0,1,2,-33.030157798119824,-298.17403880064364,-28.70645709739145,-302.01997596013422,0,1,1,2.237195694213336,2.237195694213336,2.237195694213336,2.237195694213336,-0.019975960134189563,0.019975960134189563,0.020163686378964485,4.4690131999986145,1.9975960134189563
15,43016,0,1,2,-30.829191590234345,-298.40972168334281,-26.304142771950623,-302.02058617798207,0,1,1,2.1899322021227703,2.1899322021227703,2.1899322021227703,2.1899322021227703,-0.020586177982067962,0.020586177982067962,0.020750761176032029,4.5082334081561388,2.0586177982067966
16,43017,0,1,2,-28.69341572612791,-298.62280956910934,-23.9689433680619,-302.02111306645321,0,1,1,2.10285426887926,2.10285426887926,2.10285426887926,2.10285426887926,-0.021113066453239071,0.021113066453239071,0.021252682459930838,4.4397701920325279,2.1113066453239071
17,43018,0,1,2,-26.668102885762071,-298.81072068040385,-21.751032287820479,-302.02155759588925,0,1,1,1.9651920334269615,1.9651920334269615,1.9651920334269615,1.9651920334269615,-0.021557595889305507,0.021557595889305507,0.021674629072151674,4.2364815701500991,2.1557595889305508
18,43019,0,1,2,-24.801111706592657,-298.97175515040408,-19.703675883472975,-302.02193409469982,0,1,1,1.7826726047527703,1.7826726047527703,1.7826726047527703,1.7826726047527703,-0.021934094699815887,0.021934094699815887,0.022034433206556514,3.910130973141472,2.1934094699815887
19,43020,0,1,2,-23.125634848192583,-299.106304911667,-17.864181818124351,-302.0222603484799,0,1,1,1.579081957280041,1.579081957280041,1.579081957280041,1.579081957280041,-0.02226034847993219,0.02226034847993219,0.0223483726809377,3.5150914647427109,2.226034847993219
20,43021,0,1,2,-21.649936844532171,-299.21698433063801,-16.242437801966837,-302.02254712099466,0,1,1,1.3806124821862209,1.3806124821862209,1.3806124821862209,1.3806124821862209,-0.022547120994659053,0.022547120994659053,0.022624664982231479,3.1128836682589291,2.2547120994659053
21,43022,0,1,2,-20.360518626821083,-299.30767867730674,-14.824249759642044,-302.0227980669523,0,1,1,1.2046012601626439,1.2046012601626439,1.2046012601626439,1.2046012601626439,-0.022798066952304907,0.022798066952304907,0.022865406680921296,2.7462580180018819,2.2798066952304907
22,43023,0,1,2,-19.23236720612136,-299.38242587525519,-13.582575195343713,-302.02301457477807,0,1,1,1.0566526321280418,1.0566526321280418,1.0566526321280418,1.0566526321280418,-0.023014574778102315,0.023014574778102315,0.023072235900997384,2.4318411016589456,2.3014574778102315
23,43024,0,1,2,-18.238434239742848,-299.44472095151707,-12.48797645813881,-302.02319954302317,0,1,1,0.93511657171031748,0.93511657171031748,0.93511657171031748,0.93511657171031748,-0.023199543023110891,0.023199543023110891,0.023248673366254025,2.1694277137017473,2.3199543023110891
24,43025,0,1,2,-17.354408107200388,-299.49732848204189,-11.513916282583594,-302.02335708552101,0,1,1,0.83606547257851416,0.83606547257851416,0.83606547257851416,0.83606547257851416,-0.02335708552104165,0.02335708552104165,0.023398912381480841,1.9528052744206461,2.3357085521041654
25,43026,0,1,2,-16.560317026311928,-299.54234011112948,-10.638559093958936,-302.02349172035372,0,1,1,0.75466744055957291,0.75466744055957291,0.75466744055957291,0.75466744055957291,-0.023491720353746359,0.023491720353746359,0.023527624950247628,1.7728436473702991,2.3491720353746359
26,43027,0,1,2,-15.840485437809857,-299.58130948509756,-9.8447490993985376,-302.02360800763626,0,1,1,0.68710490824377346,0.68710490824377346,0.68710490824377346,0.68710490824377346,-0.023608007636255483,0.023608007636255483,0.023639241533601307,1.6221177920727623,2.3608007636255479
27,43028,0,1,2,-15.18200415341572,-299.61543186591234,-9.1183429938972971,-302.02370909199198,0,1,1,0.63162548556936393,0.63162548556936393,0.63162548556936393,0.63162548556936393,-0.023709091992003547,0.023709091992003547,0.023736219174679718,1.4975266741857962,2.370909199200355
28,43029,0,1,2,-14.574643366105047,-299.64561457280479,-8.4481247042827086,-302.02379752945046,0,1,1,0.58459571315017211,0.58459571315017211,0.58459571315017211,0.58459571315017211,-0.023797529450490625,0.023797529450490625,0.023821461658315002,1.3911933700321792,2.3797529450490629
29,43030,0,1,2,-14.010528966498351,-299.6725393561851,-7.8254572009234282,-302.02387562640308,0,1,1,0.54491795571149415,0.54491795571149415,0.54491795571149415,0.54491795571149415,-0.023875626403082609,0.023875626403082609,0.023896783491863971,1.3010257530899147,2.3875626403082606
30,43031,0,1,2,-13.483560663599457,-299.69672759975253,-7.2436474827181554,-302.02394531540176,0,1,1,0.51012873190934549,0.51012873190934549,0.51012873190934549,0.51012873190934549,-0.023945315401732614,0.023945315401732614,0.023964393275093698,1.2215193381055178,2.3945315401732614
31,43032,0,1,2,-12.98866231317079,-299.71859618484524,-6.6971230223972356,-302.02400803640637,0,1,1,0.4806341648676975,0.4806341648676975,0.4806341648676975,0.4806341648676975,-0.024008036406371502,0.024008036406371502,0.024025170521952077,1.1539082528289644,2.4008036406371502
32,43033,0,1,2,-12.521351302360994,-299.73849276138844,-6.1809592994065543,-302.02406461021928,0,1,1,0.45483488845944592,0.45483488845944592,0.45483488845944592,0.45483488845944592,-0.024064610219284074,0.024064610219284074,0.024080139009811319,1.0945424304908116,2.4064610219284077
33,43034,0,1,2,-12.078203774146658,-299.75668515127404,-5.6913945004244919,-302.0241159926158,0,1,1,0.43220694196069359,0.43220694196069359,0.43220694196069359,0.43220694196069359,-0.024115992615861611,0.024115992615861611,0.024130129465788741,1.0423099420848216,2.4115992615861614
34,43035,0,1,2,-11.656402173181284,-299.77339081456182,-5.2253324606799092,-302.02416292344935,0,1,1,0.41205784569161724,0.41205784569161724,0.41205784569161724,0.41205784569161724,-0.024162923449353002,0.024162923449353002,0.024175882128815829,0.9956522182151859,2.4162923449353002
35,43036,0,1,2,-11.253687232698832,-299.78878518459419,-4.780290348455881,-302.02420611624439,0,1,1,0.39396047458345568,0.39396047458345568,0.39396047458345568,0.39396047458345568,-0.024206116244357645,0.024206116244357645,0.024218094936713896,0.95362530434494341,2.4206116244357649
36,43037,0,1,2,-10.8677938101095,-299.80302745326475,-4.3537765437496443,-302.02424586468658,0,1,1,0.37835199470704561,0.37835199470704561,0.37835199470704561,0.37835199470704561,-0.024245864686605501,0.024245864686605501,0.024256834768038971,0.91734712675743091,2.4245864686605501
37,43038,0,1,2,-10.497026109366486,-299.81624269162512,-3.9439260889244538,-302.02428261317436,0,1,1,0.36365442856833957,0.36365442856833957,0.36365442856833957,0.36365442856833957,-0.024282613174392505,0.024282613174392505,0.02429285984226226,0.88304798180797417,2.4282613174392509
38,43039,0,1,2,-10.140021585006926,-299.82853300011601,-3.5492406543151329,-302.02431682918444,0,1,1,0.35077773003252627,0.35077773003252627,0.35077773003252627,0.35077773003252627,-0.024316829184442668,0.024316829184442668,0.024326337139143561,0.85298021429074855,2.4316829184442668
