contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.2742165006388811,0.17772049598793271,0.13167435094304206
inner,-29.750000000000032,249.99999999999997,0.20977633992607275,0.15077640751305474,0.10891725837124369
inner,-29.5000000000001,249.99999999999997,0.12899912050302628,0.11888071179651631,0.07596153829729363
inner,-29.250000000000064,249.99999999999994,0.10433001549581009,0.108495884641545,0.05989296166395881
inner,-29.00000000000013,250.0,0.08954721923601205,0.10018088939360045,0.05078517420936629
inner,-28.750000000000096,249.99999999999994,0.07954416382446491,0.09354960063796683,0.04456660683308863
inner,-28.50000000000006,249.99999999999997,0.07192553449225224,0.08786505797061,0.039863506894323227
inner,-28.250000000000124,249.99999999999997,0.06578515162962409,0.08285770811250703,0.03607767749632973
inner,-28.00000000000009,249.99999999999997,0.060625057124001236,0.07833009791600075,0.03290894390206474
inner,-27.750000000000156,249.99999999999997,0.056159457207927296,0.07415454683509852,0.030181818304881064
inner,-27.50000000000012,249.99999999999997,0.05220395212811632,0.07024108984335281,0.027783682331240844
inner,-27.25000000000019,249.99999999999997,0.04863202130356699,0.06652611487091548,0.02563695563704278
inner,-27.000000000000153,249.99999999999994,0.04535138812568233,0.06296367526553123,0.023685365442871174
inner,-26.75000000000022,249.99999999999997,0.04229143691819868,0.05952019693768919,0.021886341433402803
inner,-26.500000000000185,249.99999999999997,0.03939578048704329,0.0561708778479101,0.020206525686701036
inner,-26.25000000000025,249.99999999999994,0.036617698758850785,0.052897267085441346,0.0186189697473679
inner,-26.000000000000213,249.99999999999997,0.03391718964680456,0.04968559485612392,0.017101312053153177
inner,-25.75000000000018,249.99999999999994,0.031258988352993636,0.046525608595950306,0.015634550606882035
inner,-25.500000000000245,249.99999999999994,0.028611188173552616,0.04340975134254417,0.014202191859884533
inner,-25.25000000000021,249.99999999999994,0.025944249684041527,0.04033257634936527,0.012789645269875895
inner,-25.000000000000277,249.99999999999994,0.02323026844809182,0.03729032693789213,0.011383783101477165
inner,-24.75000000000024,249.99999999999994,0.020442419782609557,0.0342806336116269,0.009972614350672735
inner,-24.500000000000256,249.99999999999997,0.017554527878237604,0.03130229544527004,0.008545039439061118
inner,-24.250000000000274,249.99999999999997,0.014540724340583528,0.028355122779187232,0.007090663390587114
inner,-24.000000000000288,249.99999999999997,0.011375172485023722,0.025439825013671532,0.0055996522808110325
inner,-23.750000000000306,249.99999999999997,0.008031841045518998,0.022557931902426057,0.0040626223854193936
inner,-23.50000000000037,249.99999999999997,0.004484315865759941,0.019711739939002198,0.0024705545589340495
inner,-23.250000000000334,249.99999999999997,0.0007056414944472938,0.01690427765265883,0.0008147284941241351
inner,-23.0000000000003,249.99999999999997,-0.003331813045911705,0.014139285182737068,-0.0009133270095916125
inner,-22.750000000000366,249.99999999999997,-0.007656468354721697,0.011421204590286862,-0.0027218705884163507
inner,-22.50000000000033,249.99999999999997,-0.012297631404831155,0.008755178127415948,-0.004618973728507082
inner,-22.250000000000345,250.0,-0.017285576793037865,0.0061470522133271225,-0.0066125365555145975
inner,-22.000000000000362,249.99999999999997,-0.02265161358989243,0.0036033852221064146,-0.008710295084836896
inner,-21.750000000000377,249.99999999999997,-0.028428138298554718,0.0011314574046360484,-0.010919820699594665
inner,-21.500000000000394,250.0,-0.034648673916314314,-0.0012607185888762293,-0.013248512379278207
inner,-21.25000000000041,250.0,-0.04134789467187508,-0.003564388068404067,-0.015703582012587786
inner,-21.000000000000423,249.99999999999997,-0.04856163561878105,-0.005770047015262514,-0.018292032980159065
inner,-20.750000000000387,250.0,-0.05632688592390784,-0.00786743866620494,-0.02102063207626428
inner,-20.500000000000405,250.00000000000003,-0.06468176435921152,-0.00984555555666554,-0.023895874749729182
inner,-20.25000000000042,250.00000000000003,-0.07366547519725737,-0.011692648692495642,-0.02692394358353039
inner,-20.000000000000437,250.00000000000003,-0.08331824245023477,-0.013396245652443175,-0.030110659888381217
inner,-19.75000000000045,250.0,-0.09368122011075508,-0.014943179524976327,-0.03346142826392081
inner,-19.500000000000465,250.00000000000003,-0.10479637582846862,-0.01631963069876551,-0.03698117398655004
inner,-19.250000000000483,250.00000000000003,-0.11670634526103328,-0.01751118362789559,-0.04067427310750494
inner,-19.000000000000497,250.00000000000006,-0.12945425418788406,-0.01850290077594211,-0.044544475197447427
inner,-18.75000000000051,250.0,-0.14308350537301648,-0.019279415971759483,-0.048594818756433726
inner,-18.50000000000053,250.00000000000006,-0.15763752714403284,-0.01982504940475664,-0.0528275394195066
inner,-18.250000000000544,250.00000000000003,-0.17315948070404405,-0.02012394641157334,-0.05724397123078795
inner,-18.000000000000508,250.00000000000003,-0.18969192331603402,-0.02016024207343462,-0.06184444142535948
inner,-17.750000000000526,250.00000000000003,-0.2072764246488101,-0.019918253482284345,-0.06662815932513683
inner,-17.50000000000054,250.00000000000003,-0.22595313361967398,-0.019382701447235882,-0.07159310005747653
inner,-17.250000000000554,250.00000000000003,-0.24576029278880296,-0.018538963630895643,-0.07673588372772026
inner,-17.000000000000572,250.00000000000006,-0.26673369643135525,-0.017373361932425033,-0.08205165023204873
inner,-16.750000000000586,250.00000000000003,-0.2889060868285166,-0.015873488155758113,-0.08753392911507535
inner,-16.5000000000006,250.00000000000003,-0.31230648289140966,-0.014028571515393107,-0.09317450363120482
inner,-16.250000000000618,250.00000000000006,-0.336959443135449,-0.011829882315436873,-0.09896327211342933
inner,-16.000000000000632,250.00000000000003,-0.3628842918022589,-0.009271120380752947,-0.10488812800954202
inner,-15.7500000000007,250.00000000000003,-0.3900944083786303,-0.006348668212139847,-0.11093491067747444
inner,-15.500000000000613,250.00000000000003,-0.4185967628312787,-0.003061563481377528,-0.11708749288844765
inner,-15.250000000000629,250.00000000000006,-0.4483918808794645,0.0005887680753370265,-0.1233280042849926
