contact_method,contact_parameter_name,contact_parameter_value,mesh,success,nodes,elements,candidate_facets,active_facets,active_gauss_points,nonlinear_iterations,linear_iterations,max_penetration,minimum_signed_distance,contact_force_norm_n,contact_force_norm_kn,max_normal_multiplier,mean_normal_multiplier,contact_state_relative_update_norm,assembly_time_seconds,solve_time_seconds,total_time_seconds,matrix_nonzeros,min_radial_step,max_radial_step,min_angular_step,max_angular_step,min_outer_arc_step,max_outer_arc_step,min_aspect_ratio,max_aspect_ratio,linear_solver_backend
penalty,penalty_parameter,100.00000000,contact_focused_medium,true,43621,43200,160,154,0,7,0,0.02479483,-0.02479487,227.08733455,0.22708733,0.00000000,0.00000000,0.00000000,1.08554540,41.12891560,43.38388260,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
penalty,penalty_parameter,500.00000000,contact_focused_medium,true,43621,43200,160,154,0,8,0,0.00497116,-0.00497116,227.63233033,0.22763233,0.00000000,0.00000000,0.00000000,1.10413800,46.13857740,48.40502700,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
penalty,penalty_parameter,2000.00000000,contact_focused_medium,true,43621,43200,160,152,0,9,0,0.00124336,-0.00124337,227.74060103,0.22774060,0.00000000,0.00000000,0.00000000,1.16094120,51.24863140,53.63130400,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
penalty,penalty_parameter,100.00000000,contact_focused_dense,true,77361,76800,222,214,0,8,0,0.02479472,-0.02479474,227.07036525,0.22707037,0.00000000,0.00000000,0.00000000,3.86003920,95.06247120,102.83938910,2764786,0.10433160,0.41663770,0.00048288,0.00616436,0.14245893,1.85179895,1.38824065,17.72220204,PardisoLDLT
penalty,penalty_parameter,500.00000000,contact_focused_dense,true,77361,76800,222,214,0,9,0,0.00497115,-0.00497116,227.63230589,0.22763231,0.00000000,0.00000000,0.00000000,4.02807890,105.55698280,113.59290070,2764786,0.10433160,0.41663770,0.00048288,0.00616436,0.14245893,1.85179895,1.38824065,17.72220204,PardisoLDLT
penalty,penalty_parameter,2000.00000000,contact_focused_dense,true,77361,76800,222,212,0,11,0,0.00124336,-0.00124336,227.72922161,0.22772922,0.00000000,0.00000000,0.00000000,4.09247730,126.95657560,135.14000410,2764786,0.10433160,0.41663770,0.00048288,0.00616436,0.14245893,1.85179895,1.38824065,17.72220204,PardisoLDLT
penalty,penalty_parameter,100.00000000,contact_focused_heavy,true,120701,120000,286,276,0,8,0,0.02479497,-0.02479498,227.07789627,0.22707790,0.00000000,0.00000000,0.00000000,8.48716690,152.37380460,169.73891410,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,500.00000000,contact_focused_heavy,true,120701,120000,286,276,0,9,0,0.00497122,-0.00497122,227.64751923,0.22764752,0.00000000,0.00000000,0.00000000,8.68500000,171.50144280,189.15277970,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,2000.00000000,contact_focused_heavy,true,120701,120000,286,276,0,11,0,0.00124338,-0.00124338,227.75279625,0.22775280,0.00000000,0.00000000,0.00000000,9.66692180,206.51759740,225.67078840,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
augmented_lagrangian,augmentation_parameter,100.00000000,contact_focused_medium,true,43621,43200,160,152,304,25,0,0.00000000,-0.00000001,227.78078243,0.22778078,2.48711546,2.29958703,0.00000005,2.34404310,251.37746080,257.00901510,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
