case_name,contact_method,contact_parameter_name,contact_parameter_value,mesh_label,group_label,contact_patch_length,max_average_pressure_mpa,mean_active_pressure_mpa,total_normal_force_kn,center_of_pressure_arc
augmented_lagrangian_contact_focused_dense_augmentation_parameter_100,augmented_lagrangian,augmentation_parameter,100.0,контактно-ориентированная плотная,Расширенный метод Лагранжа / контактно-ориентированная плотная,114.16487287753353,2.487103178643224,1.9950933506882276,0.22776957876013393,8.020251129892131e-11
augmented_lagrangian_contact_focused_dense_augmentation_parameter_2000,augmented_lagrangian,augmentation_parameter,2000.0,контактно-ориентированная плотная,Расширенный метод Лагранжа / контактно-ориентированная плотная,114.16487287753353,2.4871031786801723,1.995093350684531,0.2277695787597119,3.623767952376511e-11
augmented_lagrangian_contact_focused_dense_augmentation_parameter_500,augmented_lagrangian,augmentation_parameter,500.0,контактно-ориентированная плотная,Расширенный метод Лагранжа / контактно-ориентированная плотная,114.16487287753353,2.487103178623329,1.9950933506916075,0.2277695787605198,-2.291500322826323e-11
augmented_lagrangian_contact_focused_heavy_augmentation_parameter_100,augmented_lagrangian,augmentation_parameter,100.0,контактно-ориентированная тяжелая,Расширенный метод Лагранжа / контактно-ориентированная тяжелая,116.0758824142727,2.4871370354134115,1.9624025412607329,0.22778760662885078,6.128431095930864e-11
augmented_lagrangian_contact_focused_heavy_augmentation_parameter_2000,augmented_lagrangian,augmentation_parameter,2000.0,контактно-ориентированная тяжелая,Расширенный метод Лагранжа / контактно-ориентированная тяжелая,116.0758824142727,2.487137035473097,1.962402541267844,0.2277876066296762,-1.3322676295501878e-10
augmented_lagrangian_contact_focused_heavy_augmentation_parameter_500,augmented_lagrangian,augmentation_parameter,500.0,контактно-ориентированная тяжелая,Расширенный метод Лагранжа / контактно-ориентированная тяжелая,116.0758824142727,2.4871370354446753,1.962402541267402,0.22778760662962488,-7.034373084024992e-11
augmented_lagrangian_contact_focused_medium_augmentation_parameter_100,augmented_lagrangian,augmentation_parameter,100.0,контактно-ориентированная средняя,Расширенный метод Лагранжа / контактно-ориентированная средняя,113.89569484801537,2.487109536016874,1.9999068686261907,0.22778078243349859,3.943512183468556e-11
augmented_lagrangian_contact_focused_medium_augmentation_parameter_2000,augmented_lagrangian,augmentation_parameter,2000.0,контактно-ориентированная средняя,Расширенный метод Лагранжа / контактно-ориентированная средняя,113.89569484801537,2.4871095359912943,1.999906868660445,0.22778078243740002,1.3375967000683886e-10
augmented_lagrangian_contact_focused_medium_augmentation_parameter_500,augmented_lagrangian,augmentation_parameter,500.0,контактно-ориентированная средняя,Расширенный метод Лагранжа / контактно-ориентированная средняя,113.89569484801537,2.4871095359770834,1.9999068686454402,0.22778078243569103,1.1723955140041653e-11
penalty_contact_focused_dense_penalty_parameter_100,penalty,penalty_parameter,100.0,контактно-ориентированная плотная,Штрафной метод / контактно-ориентированная плотная,116.01666882123949,2.479468732440182,1.9572219023141237,0.22707036525045404,1.9184653865522705e-11
penalty_contact_focused_dense_penalty_parameter_2000,penalty,penalty_parameter,2000.0,контактно-ориентированная плотная,Штрафной метод / контактно-ориентированная плотная,114.16487287753353,2.486716340172279,1.9947398518894162,0.22772922161470524,-1.0258460747536446e-10
penalty_contact_focused_dense_penalty_parameter_500,penalty,penalty_parameter,500.0,контактно-ориентированная плотная,Штрафной метод / контактно-ориентированная плотная,116.01666882123949,2.4855746084568864,1.9620655221569316,0.22763230588965308,3.144151605738443e-11
penalty_contact_focused_heavy_penalty_parameter_100,penalty,penalty_parameter,100.0,контактно-ориентированная тяжелая,Штрафной метод / контактно-ориентированная тяжелая,116.0758824142727,2.4794957715329247,1.956288348126478,0.22707789626554084,7.993605777301127e-13
penalty_contact_focused_heavy_penalty_parameter_2000,penalty,penalty_parameter,2000.0,контактно-ориентированная тяжелая,Штрафной метод / контактно-ориентированная тяжелая,116.0758824142727,2.4867544354378883,1.9621026479989117,0.22775279625385478,2.291500322826323e-11
penalty_contact_focused_heavy_penalty_parameter_500,penalty,penalty_parameter,500.0,контактно-ориентированная тяжелая,Штрафной метод / контактно-ориентированная тяжелая,116.0758824142727,2.485606662474993,1.9611956807643713,0.22764751923178467,6.794564910705958e-11
penalty_contact_focused_medium_penalty_parameter_100,penalty,penalty_parameter,100.0,контактно-ориентированная средняя,Штрафной метод / контактно-ориентированная средняя,116.17140987081912,2.4794770418793637,1.9547609416019949,0.22708733454631366,-6.128431095930864e-12
penalty_contact_focused_medium_penalty_parameter_2000,penalty,penalty_parameter,2000.0,контактно-ориентированная средняя,Штрафной метод / контактно-ориентированная средняя,113.89569484801537,2.486722705555167,1.9995540773867806,0.22774060103014968,6.181721801112872e-11
penalty_contact_focused_medium_penalty_parameter_500,penalty,penalty_parameter,500.0,контактно-ориентированная средняя,Штрафной метод / контактно-ориентированная средняя,116.17140987081912,2.4855720866696625,1.959452248882358,0.2276323303272107,1.0658141036401503e-12
