facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,10704,0,0,0,-61.048937481930281,-293.71566178612625,-58.73597765685814,-301.85429549977471,0,1,1,4.068048114407862,0,4.068048114407862,0,0.14570450022529258,0,0,0,0
1,10705,0,0,0,-57.060584853006816,-294.51647220946722,-54.568179188601036,-301.99182645378232,0,1,1,4.0680479461034436,0,4.0680479461034436,0,0.0081735462177050522,0,0,0,0
2,10706,0,1,2,-53.061741214903606,-295.26312734614123,-50.36827552182784,-302.0000000002164,0,1,1,4.0680457318045722,4.0680457318045722,4.0680457318045722,4.0680457318045722,-2.1634605218423536e-10,1.2526299997261958e-09,2.5052599994523916e-09,6.5810170215617516,1.6177342772010661
3,10707,0,1,2,-49.053153648226846,-295.95548806702186,-46.083234491240042,-301.99999999978513,0,1,1,4.0680217178981062,4.0680217178981062,4.0680217178981062,4.0680217178981062,2.1483970158442381e-10,9.1256424639141197e-10,1.8251284927828237e-09,5.1283162185188793,1.2606413077776324
4,10708,0,1,2,-45.035664187113113,-296.593412244197,-41.757238942745424,-302.0000000002027,0,1,1,4.0678075516724972,4.0678075516724972,4.0678075516724972,4.0678075516724972,-2.0270363165764138e-10,1.0007852324633859e-09,2.0015704649267718e-09,6.5796559129792085,1.6174943945600262
5,10709,0,1,2,-41.010778509469588,-297.17668561656131,-37.402395685280943,-301.99999999976734,0,1,1,4.0662375743127477,4.0662375743127477,4.0662375743127477,4.0662375743127477,2.3266011339728723e-10,6.574225608346751e-10,1.3148451216693502e-09,7.0970815405430443,1.7453681470499305
6,10710,0,1,2,-36.983799033463271,-297.70469279881229,-33.027282760001597,-302.00000000024346,0,1,1,4.0568434119240466,4.0568434119240466,4.0568434119240466,4.0568434119240466,-2.4346036298084073e-10,7.5806383392773569e-10,1.5161276678554714e-09,7.7398484050852598,1.9078499264566062
7,10711,0,1,2,-32.977092289567253,-298.17526337667965,-28.657705848690949,-301.99999999978132,0,1,1,4.0118296938235369,4.0118296938235369,4.0118296938235369,4.0118296938235369,2.1864821064809806e-10,3.936122539016651e-10,7.872245078033302e-10,8.160871024463944,2.0342017601166162
8,10712,0,1,2,-29.067640304359642,-298.58226274277104,-24.379786941091361,-302.00000000017326,0,1,1,3.8494999899519318,3.8494999899519318,3.8494999899519318,3.8494999899519318,-1.732303189783124e-10,4.7640469347243197e-10,9.5280938694486395e-10,8.2179650147801322,2.1348136215692648
9,10713,0,1,2,-25.430248910263046,-298.91523337234639,-20.388572072561985,-301.99999999987648,0,1,1,3.4558346706809711,3.4558346706809711,3.4558346706809711,3.4558346706809711,1.2357759260339662e-10,2.4232349460362457e-10,4.8464698920724913e-10,7.6037478510003051,2.2002637786783907
10,10714,0,1,2,-22.279831552750885,-299.16810750101286,-16.924730284335155,-302.00000000010363,0,1,1,2.8653518063005641,2.8653518063005641,2.8653518063005641,2.8653518063005641,-1.0362555258325301e-10,2.9032776183157694e-10,5.8065552366315387e-10,6.4366966849331773,2.2463896652340059
11,10715,0,1,2,-19.711653021874049,-299.34953939895502,-14.097163877107384,-301.99999999988216,0,1,1,2.2838535668501136,2.2838535668501136,2.2838535668501136,2.2838535668501136,1.1783640729845499e-10,1.1567635738174431e-10,2.3135271476348862e-10,5.2263877923859177,2.2884075705405849
12,10716,0,1,2,-17.656973723771117,-299.47853134938993,-11.832703214816249,-302.00000000016354,0,1,1,1.8336190777099293,1.8336190777099293,1.8336190777099293,1.8336190777099293,-1.6353851606254468e-10,1.7513457351014949e-10,3.5026914702029899e-10,4.2651382122229471,2.3260764812448542
13,10717,0,1,2,-15.986424080717576,-299.57279932903572,-9.9901030281709371,-301.99999999978161,0,1,1,1.5128083510809203,1.5128083510809203,1.5128083510809203,1.5128083510809203,2.1842083697265482e-10,0,0,3.5645307391868428,2.3562341764176153
14,10718,0,1,2,-14.58947350025727,-299.64434686703856,-8.4482310700238141,-302.00000000025358,0,1,1,1.2847624079227766,1.2847624079227766,1.2847624079227766,1.2847624079227766,-2.5360691324749496e-10,2.7995383788947947e-10,5.5990767577895895e-10,3.0571760155651075,2.3795652773713982
15,10719,0,1,2,-13.38869760638898,-299.70056639648971,-7.1221284517925323,-301.99999999977803,0,1,1,1.119424902299579,1.119424902299579,1.119424902299579,1.119424902299579,2.2194512894202487e-10,1.794546733435709e-10,3.5890934668714181e-10,2.6839765321827636,2.3976387577846476
16,10720,0,1,2,-12.332364119983605,-299.74600112447899,-5.954987801938187,-302.00000000010522,0,1,1,0.99519866559090475,0.99519866559090475,0.99519866559090475,0.99519866559090475,-1.0521716831135562e-10,4.3746695155277848e-10,8.7493390310555696e-10,2.4003638935939402,2.4119444454527184
17,10721,0,1,2,-11.385393635612132,-299.78353891986239,-4.9082646850897644,-302.00000000006594,0,1,1,0.90023207127002858,0.90023207127002858,0.90023207127002858,0.90023207127002858,-6.5966787587967688e-11,4.2919623410853092e-10,8.5839246821706183e-10,2.181742557209263,2.4235334719094226
18,10722,0,1,2,-10.523249990524945,-299.81509462682482,-3.9549840237707459,-301.99999999979082,0,1,1,0.82521159723007131,0.82521159723007131,0.82521159723007131,0.82521159723007131,2.0921220311720392e-10,2.1216806089796589e-10,4.2433612179593183e-10,2.0077945688287477,2.4330663499739558
19,10723,0,1,2,-9.7284953334595716,-299.84197503472205,-3.0759659413177172,-302.00000000026478,0,1,1,0.76520800833997937,0.76520800833997937,0.76520800833997937,0.76520800833997937,-2.6477664505364368e-10,3.1232616493070959e-10,6.2465232986141928e-10,1.8679499490164091,2.4411008884612784
20,10724,0,1,2,-8.9881139299208481,-299.86511224908099,-2.2568871104108386,-301.99999999977996,0,1,1,0.71627879726400812,0.71627879726400812,0.71627879726400812,0.71627879726400812,2.200408744101878e-10,0,0,1.7533891958014911,2.4479144189371027
