contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.2102079067363572,0.1456321691823491,0.10295995948924698
inner,-29.5000000000001,249.99999999999997,0.15888202429172987,0.12050179509407077,0.0827260027904238
inner,-29.00000000000013,250.0,0.0945906447534619,0.09159407734626354,0.0545087019651703
inner,-28.50000000000006,249.99999999999997,0.07542630835254743,0.08226976879130588,0.04166511436349314
inner,-28.00000000000009,249.99999999999997,0.06320708971552588,0.07417173342506055,0.03436373693693749
inner,-27.50000000000012,249.99999999999997,0.05454713288403015,0.06703189207511624,0.0291991942508231
inner,-27.000000000000153,249.99999999999994,0.0476369912266857,0.06030390389770472,0.025142697189088452
inner,-26.500000000000185,249.99999999999997,0.04173891609302253,0.05384814047888639,0.021729665507675668
inner,-26.000000000000213,249.99999999999997,0.03638165495098731,0.047568135858414275,0.01870205474068228
inner,-25.500000000000245,249.99999999999994,0.031240224702729663,0.04141480200336431,0.01588711053508973
inner,-25.000000000000277,249.99999999999994,0.026054777240140194,0.03536272946215341,0.013156348093011984
inner,-24.500000000000256,249.99999999999997,0.02059779986778179,0.029404233634473278,0.01040617358301418
inner,-24.000000000000288,249.99999999999997,0.014654920752299813,0.02354512667765226,0.007547962279732424
inner,-23.50000000000037,249.99999999999997,0.008013412954319888,0.01780278286143571,0.004502279987834779
inner,-23.0000000000003,249.99999999999997,0.00045455825266948894,0.012205414683690153,0.001195440688399746
inner,-22.50000000000033,249.99999999999997,-0.008251917077613144,0.006791757313791636,-0.0024425307342367188
inner,-22.000000000000362,249.99999999999997,-0.01835144068657109,0.0016116487545162173,-0.006478974888046548
inner,-21.500000000000394,250.0,-0.03010719681830008,-0.0032731738607206934,-0.010979106040319766
inner,-21.000000000000423,249.99999999999997,-0.043802645741914094,-0.007788820686794413,-0.01600606549060538
inner,-20.500000000000405,250.00000000000003,-0.059742363368183414,-0.011848313548787587,-0.021620409611226202
inner,-20.000000000000437,250.00000000000003,-0.07825209920119326,-0.015351426303163333,-0.027879144550886657
inner,-19.500000000000465,250.00000000000003,-0.09967781302602574,-0.018184949883918673,-0.034834402454314836
inner,-19.000000000000497,250.00000000000006,-0.12438291876233651,-0.020223350106496778,-0.042531584546871365
inner,-18.50000000000053,250.00000000000006,-0.15274385480954591,-0.02133130184592925,-0.05100686859228492
inner,-18.000000000000508,250.00000000000003,-0.185142774479853,-0.021367554207933938,-0.06028402594472644
inner,-17.50000000000054,250.00000000000003,-0.22195648116449532,-0.020190810594296435,-0.07037036768096498
inner,-17.000000000000572,250.00000000000006,-0.26354137626863994,-0.017670051749886753,-0.08125147113959093
inner,-16.5000000000006,250.00000000000003,-0.3102120558201967,-0.013697193757296618,-0.09288503067358264
inner,-16.000000000000632,250.00000000000003,-0.3622153357086955,-0.008200025491778498,-0.10519519356204196
inner,-15.500000000000613,250.00000000000003,-0.4197024295789465,-0.001152940886198663,-0.11806868914118043
inner,-15.000000000000645,250.00000000000003,-0.4827021461419665,0.007413321175789415,-0.1313527507285885
inner,-14.500000000000727,250.00000000000003,-0.5510953848205322,0.0173971337411546,-0.14485258065670845
inner,-14.000000000000655,250.00000000000003,-0.6245893896793948,0.02861155884638753,-0.1583296061536319
