contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.30795060961493487,0.19198103469670488,0.14549381073414755
inner,-29.812500000000043,249.99999999999997,0.237129763024118,0.16511542424010212,0.12207773669595146
inner,-29.625000000000014,249.99999999999994,0.14770818504240682,0.13279453456438564,0.08736461631797617
inner,-29.43750000000009,249.99999999999997,0.11953054647156187,0.12166203281941186,0.06953590479432124
inner,-29.250000000000064,249.99999999999994,0.10303021310497329,0.1126887349458736,0.05930402258641838
inner,-29.062500000000036,249.99999999999997,0.09205317422951044,0.10558645976937574,0.05239808182392451
inner,-28.875000000000114,249.99999999999997,0.08381788514760323,0.09961057928176272,0.04724842202639997
inner,-28.687500000000085,249.99999999999994,0.077259523046799,0.09446668554362406,0.043151761137018435
inner,-28.50000000000006,249.99999999999997,0.07180702847950093,0.08993209959205407,0.039755370077567534
inner,-28.312500000000135,249.99999999999997,0.06713844711610517,0.08585732760571393,0.03685724355103341
inner,-28.125000000000107,249.99999999999997,0.06305111405785277,0.0821342317707727,0.03433092237756462
inner,-27.93750000000008,249.99999999999994,0.05940986175631703,0.07868420137154315,0.03209154347462852
inner,-27.750000000000156,249.99999999999997,0.05611938596528579,0.0754488953625199,0.03007919196499408
inner,-27.56250000000013,249.99999999999997,0.05310957196515073,0.07238443468010618,0.028249820229897762
inner,-27.375000000000206,249.99999999999994,0.05032690206332503,0.06945736996728091,0.02656995503544883
inner,-27.187500000000178,249.99999999999994,0.04772922479253239,0.06664190778563925,0.025013431524103222
inner,-27.000000000000153,249.99999999999994,0.045282410645238635,0.06391795414403298,0.023559290965406966
inner,-26.812500000000227,249.99999999999997,0.04295813683877392,0.06126971760349397,0.022190378783866434
inner,-26.625000000000203,249.99999999999994,0.04073237098256874,0.058684696883495605,0.02089238152477307
inner,-26.437500000000174,249.99999999999994,0.03858430382028951,0.056152937894650305,0.019653148071571057
inner,-26.25000000000025,249.99999999999994,0.03649557906741558,0.05366648205816774,0.018462200259222013
inner,-26.062500000000224,249.99999999999994,0.03444972511788441,0.051218952365034084,0.01731037285345991
inner,-25.875000000000195,249.99999999999997,0.03243172714784562,0.04880523988945785,0.016189543878867542
inner,-25.687500000000274,249.99999999999994,0.030427698919498945,0.046421264433645956,0.015092429326702565
inner,-25.500000000000245,249.99999999999994,0.028424626730129337,0.04406379048020119,0.014012424587117234
inner,-25.31250000000022,249.99999999999997,0.026410166472152337,0.04173028483572502,0.012943480369587835
inner,-25.125000000000295,249.99999999999994,0.02437248040621579,0.03941880599299484,0.011880004481953605
inner,-24.937500000000266,250.0,0.02230010407635929,0.03712791784883704,0.010816783282427942
inner,-24.75000000000024,249.99999999999994,0.020181836405204996,0.03485662226362568,0.00974891830871883
inner,-24.562500000000316,249.99999999999997,0.018006647858109785,0.032604306317832336,0.008671774768919074
inner,-24.37500000000029,249.99999999999994,0.01576360286496767,0.03037070111262284,0.007580939419536846
inner,-24.187500000000263,249.99999999999997,0.013441793626566266,0.028155849691664195,0.00647218596513757
inner,-24.000000000000288,249.99999999999997,0.011030283134630977,0.025960082227111908,0.0053414465549381914
inner,-23.812500000000263,249.99999999999997,0.00851805572853936,0.0237839970054981,0.004184788281887567
inner,-23.625000000000288,249.99999999999994,0.005893973906394149,0.021628446072541906,0.002998393833963542
inner,-23.437500000000362,249.99999999999997,0.0031467403990907044,0.019494524636050378,0.001778545633732448
inner,-23.250000000000334,249.99999999999997,0.0002648647362042296,0.017383563495912656,0.0005216129459712365
inner,-23.06250000000031,249.99999999999997,-0.0027633662854324847,0.01529712391640975,-0.0007759584585488293
inner,-22.875000000000384,250.0,-0.005949914681499418,0.013236994462143587,-0.002117654408593458
inner,-22.687500000000306,250.0,-0.00930701425082013,0.011205189390868984,-0.0035068984633718865
inner,-22.50000000000033,249.99999999999997,-0.012847190680299107,0.009203948263248132,-0.004947056271660319
inner,-22.312500000000405,249.99999999999997,-0.016583278951450977,0.007235736476945953,-0.006441438319027583
inner,-22.12500000000038,249.99999999999997,-0.02052843815670089,0.005303246457907638,-0.007993301185937452
inner,-21.93750000000035,249.99999999999997,-0.024696163768289935,0.003409399273835041,-0.009605847412412796
inner,-21.750000000000377,249.99999999999997,-0.029100297359594445,0.0015573464438441847,-0.011282224039939073
inner,-21.5625000000004,250.0,-0.033755033729441684,-0.00024952827013942466,-0.013025519880801422
