facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,76530,0,0,0,-64.898124341993835,-292.89482100196341,-62.832932479028145,-301.55748737988557,0,1,1,1.8517960135416398,0,1.8517960135416398,0,0.44251262011439957,0,0,0,0
1,76531,0,0,0,-63.088958384004314,-293.28983283247885,-60.921010679537304,-301.73507984869622,0,1,1,1.851796012504878,0,1.851796012504878,0,0.26492015130372693,0,0,0,0
2,76532,0,0,0,-61.277388635059914,-293.6736698360163,-59.008534056182647,-301.87088990949462,0,1,1,1.8517960085624339,0,1.8517960085624339,0,0.12911009050534972,0,0,0,0
3,76533,0,0,0,-59.463484125514739,-294.04631738648533,-57.099465854175591,-301.96032706411813,0,1,1,1.8517959941676396,0,1.8517959941676396,0,0.039672935881867495,0,0,0,0
4,76534,0,0,0,-57.647313990989836,-294.40776128113532,-55.201638485605351,-301.99641283351281,0,1,1,1.8517959437058245,0,1.8517959437058245,0,0.0035871664872217939,0,0,0,0
5,76535,0,1,2,-55.82894750705583,-294.75798773461145,-53.292834151601973,-302.00000000000182,0,1,1,1.8517957738848958,1.8517957738848958,1.8517957738848958,1.8517957738848958,-1.8189894035458547e-12,3.245759216952137e-11,6.4915184339042753e-11,2.4420092715674149,1.3187249404097654
6,76536,0,1,2,-54.008454201932182,-295.09698336026537,-51.355919241361001,-301.99999999999847,0,1,1,1.8517952252562133,1.8517952252562133,1.8517952252562133,1.8517952252562133,1.5347723092418178e-12,2.9814373192493804e-11,5.9628746384987608e-11,1.8156442033437763,0.98047785121195841
7,76537,0,1,2,-52.18590419488531,-295.42473511632102,-49.405740939718569,-301.99999999999994,0,1,1,1.8517935239015484,1.8517935239015484,1.8517935239015484,1.8517935239015484,2.842170943040301e-14,3.0127011996228248e-11,6.0254023992456496e-11,2.2664765292131159,1.2239358761974017
8,76538,0,1,2,-50.361369157910666,-295.74123015977284,-47.447919061928395,-301.99999999999892,0,1,1,1.8517884597336705,1.8517884597336705,1.8517884597336705,1.8517884597336705,1.0800249583553509e-12,2.9302782422746532e-11,5.8605564845493063e-11,2.3922746102691521,1.2918725125942387
9,76539,0,1,2,-48.534924919295598,-296.04645546999598,-45.484203893033396,-302.00000000000233,0,1,1,1.8517739927065091,1.8517739927065091,1.8517739927065091,1.8517739927065091,-2.3021584638627262e-12,3.0013325158506632e-11,6.0026650317013264e-11,2.5846271537105596,1.3957573461397033
10,76540,0,1,2,-46.706658189054878,-296.34039692691499,-43.515256367977635,-301.99999999999551,0,1,1,1.8517343321668274,1.8517343321668274,1.8517343321668274,1.8517343321668274,4.46220838057343e-12,2.4670043785590682e-11,4.9340087571181357e-11,2.7438315607412269,1.4817630764184742
11,76541,0,1,2,-44.876683152082457,-296.62303716312715,-41.541379635474591,-302.00000000000608,0,1,1,1.8516299734822419,1.8516299734822419,1.8516299734822419,1.8516299734822419,-6.0538241086760536e-12,2.6886937121162194e-11,5.3773874242324382e-11,2.8988736773805579,1.5655793646118354
12,76542,0,1,2,-43.045180506097026,-296.89435081479246,-39.56280593181009,-301.99999999999261,0,1,1,1.8513664795969405,1.8513664795969405,1.8513664795969405,1.8513664795969405,7.3612227424746379e-12,1.63140612130519e-11,3.2628122426103801e-11,3.0430989863470348,1.6437042691890724
13,76543,0,1,2,-41.212484588450124,-297.1542946258644,-37.579884205953491,-302.0000000000075,0,1,1,1.8507289933820825,1.8507289933820825,1.8507289933820825,1.8507289933820825,-7.474909580196254e-12,1.9440449250396341e-11,3.8880898500792682e-11,3.178728058906533,1.7175545799915424
14,76544,0,1,2,-39.379268141917308,-297.40278799596013,-35.593316148142939,-301.99999999999289,0,1,1,1.8492515642145213,1.8492515642145213,1.8492515642145213,1.8492515642145213,7.1054273576010011e-12,7.9580786405131221e-12,1.5916157281026244e-11,3.3048522005770313,1.7871295958485689
15,76545,0,1,2,-37.546911555013018,-297.63967733550191,-33.604573155395741,-302.0000000000058,0,1,1,1.8459775711749735,1.8459775711749735,1.8459775711749735,1.8459775711749735,-5.7696070143720143e-12,1.0686562745831908e-11,2.1373125491663814e-11,3.4200833509583783,1.8527220505617947
16,76546,0,1,2,-35.718189425824157,-297.86467633116365,-31.61665646732208,-301.99999999999534,0,1,1,1.8390631006311722,1.8390631006311722,1.8390631006311722,1.8390631006311722,4.6043169277254492e-12,2.5011104298755527e-12,5.0022208597511053e-12,3.5206979669941658,1.9143975896128043
17,76547,0,1,2,-33.898428827269925,-298.07727799631192,-29.635379201524064,-302.00000000000307,0,1,1,1.8252291383509569,1.8252291383509569,1.8252291383509569,1.8252291383509569,-3.0979663279140372e-12,4.1211478674085811e-12,8.2422957348171622e-12,3.599384932143713,1.9720181189939012
18,76548,0,1,2,-32.09721263850534,-298.27664950893364,-27.671257064952549,-301.99999999999761,0,1,1,1.7992204570737214,1.7992204570737214,1.7992204570737214,1.7992204570737214,2.3874235921539366e-12,0,0,3.6436807918621157,2.0251441548126077
19,76549,0,1,2,-30.33024028031668,-298.46156764495367,-25.741585689419168,-302.00000000000148,0,1,1,1.7540392868861623,1.7540392868861623,1.7540392868861623,1.7540392868861623,-1.4210854715202004e-12,1.4210854715202004e-12,1.6484591469634324e-12,3.6363596433277552,2.0731346615292523
20,76550,0,1,2,-28.620177940635209,-298.63050330543649,-23.871417295625353,-301.99999999999875,0,1,1,1.6827479764382307,1.6827479764382307,1.6827479764382307,1.6827479764382307,1.1937117960769683e-12,3.1263880373444413e-13,6.2527760746888816e-13,3.559770689436502,2.1154508811065398
21,76551,0,1,2,-26.994733262842317,-298.7819581384785,-22.091478266490924,-301.99999999999989,0,1,1,1.5822351335622271,1.5822351335622271,1.5822351335622271,1.5822351335622271,1.1368683772161613e-13,1.1652900866465643e-12,2.3305801732931286e-12,3.40539178053415,2.1522665679071906
