facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,119658,0,0,0,-64.713572291560467,-292.93602647053319,-62.639732592638104,-301.57713028804847,0,1,1,1.5974441086477675,0,1.5974441086477675,0,0.42286971195150613,0,0,0,0
1,119659,0,0,0,-63.152830622021597,-293.27646006372032,-60.990468928100334,-301.72864561937342,0,1,1,1.5974441077420825,0,1.5974441077420825,0,0.27135438062654771,0,0,0,0
2,119660,0,0,0,-61.590298341658027,-293.60857820109504,-59.340698290539009,-301.84914134383672,0,1,1,1.597444104857995,0,1.597444104857995,0,0.15085865616330807,0,0,0,0
3,119661,0,0,0,-60.026019757848587,-293.93237146513894,-57.692810194372349,-301.93583813265121,0,1,1,1.5974440960067076,0,1.5974440960067076,0,0.064161867348815349,0,0,0,0
4,119662,0,0,0,-58.460039235215945,-294.24783067293504,-56.050672436390094,-301.98518197665095,0,1,1,1.5974440694528491,0,1.5974440694528491,0,0.014818023348993847,0,0,0,0
5,119663,0,1,2,-56.892401208442621,-294.55494687394105,-54.411216421268556,-301.99999999999989,0,1,1,1.5974439926263153,1.5974439926263153,1.5974439926263153,1.5974439926263153,1.4210854715202009e-13,7.1054273576010019e-13,1.4210854715202004e-12,1.0687232518922654,0.66902079623787358
6,119664,0,1,2,-55.323150219076034,-294.85371134374884,-52.755368106740157,-302.00000000000034,0,1,1,1.5974437765692309,1.5974437765692309,1.5974437765692309,1.5974437765692309,-3.1263880373444408e-13,7.9580786405131221e-13,1.5916157281026244e-12,1.663583074210065,1.0414032084327116
7,119665,0,1,2,-53.752331014222442,-295.14411556789378,-51.079527823795431,-301.99999999999966,0,1,1,1.5974431861329637,1.5974431861329637,1.5974431861329637,1.5974431861329637,3.4106051316484814e-13,2.8421709430404007e-13,5.6843418860808015e-13,1.7524424413969875,1.097029588663645
8,119666,0,1,2,-52.179988793844061,-295.42615120285927,-49.395578889840664,-302.00000000000023,0,1,1,1.5974416291298239,1.5974416291298239,1.5974416291298239,1.5974416291298239,-2.2737367544323206e-13,3.979039320256561e-13,7.9580786405131221e-13,1.9267338257082174,1.2061372325433695
9,119667,0,1,2,-50.606169829881807,-295.69980998204124,-47.706269476551526,-301.99999999999983,0,1,1,1.5974376155044943,1.5974376155044943,1.5974376155044943,1.5974376155044943,1.4210854715202004e-13,8.5265128291212022e-14,1.7053025658242404e-13,2.0594093415242281,1.2891954725091637
