facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,43001,0,0,0,-64.407147263331154,-293.00243115306034,-62.30942514534059,-301.60527117835147,0,1,1,2.2757150926644361,0,2.2757150926644361,0,0.39472882164855605,0,0,0,0
1,43002,0,0,0,-62.182676642298851,-293.48257189449305,-59.959347061747621,-301.80493458122305,0,1,1,2.2757150903055479,0,2.2757150903055479,0,0.19506541877700556,0,0,0,0
2,43003,0,0,0,-59.954627844113119,-293.9458247369646,-57.611392964195232,-301.93858689598653,0,1,1,2.2757150784862761,0,2.2757150784862761,0,0.061413104013496422,0,0,0,0
3,43004,0,0,0,-57.72312910382098,-294.39216301856163,-55.278037981512,-301.99394334825769,0,1,1,2.2757150228037561,0,2.2757150228037561,0,0.0060566517422557808,0,0,0,0
4,43005,0,1,2,-55.488308944361037,-294.82156103490729,-52.932127241377891,-302.00000266844285,0,1,1,2.2757147761662844,2.2757147761662844,2.2757147761662844,2.2757147761662844,-2.6684428178214148e-06,1.0955034809967401e-05,2.1910069619934802e-05,2.9893484460918129,1.3135866047008451
5,43006,0,1,2,-53.250296443005794,-295.23399399538164,-50.550036714464198,-301.9999956815526,0,1,1,2.2757137491179007,2.2757137491179007,2.2757137491179007,2.2757137491179007,4.318447366813416e-06,5.4446482522507722e-06,1.0889296504501544e-05,2.3420946942345751,1.0291692859624391
6,43007,0,1,2,-51.009222246890161,-295.62943786450023,-48.150084031959111,-302.0000043146805,0,1,1,2.2757097239826463,2.2757097239826463,2.2757097239826463,2.2757097239826463,-4.3146805239757668e-06,7.2690428396526841e-06,1.4538085679305368e-05,2.9286533441543878,1.2869186756512363
7,43008,0,1,2,-48.76522213987954,-296.0078688360237,-45.739512543071498,-301.99999656982425,0,1,1,2.2756948860210029,2.2756948860210029,2.2756948860210029,2.2756948860210029,3.4301757239063582e-06,1.1608672991769708e-06,2.3217345983539417e-06,3.129581045109664,1.3752199665842111
8,43009,0,1,2,-46.518448671506718,-296.36926172400649,-43.320291152805083,-302.00000202166689,0,1,1,2.2756435254149521,2.2756435254149521,2.2756435254149521,2.2756435254149521,-2.0216669156525313e-06,2.3129772159791173e-06,4.6259544319582346e-06,3.3996921982422976,1.493947606588506
9,43010,0,1,2,-44.269106524218131,-296.71358539713503,-40.893226335640506,-301.99999910943666,0,1,1,2.2754764990769387,2.2754764990769387,2.2754764990769387,2.2754764990769387,8.9056331376013986e-07,1.6173629546756274e-08,3.2347259093512548e-08,3.6274369082477795,1.594143868204867
10,43011,0,1,2,-42.017552617837815,-297.04079080808617,-38.458831736309314,-302.00000027575174,0,1,1,2.2749664735871562,2.2749664735871562,2.2749664735871562,2.2749664735871562,-2.757517449936131e-07,2.757517449936131e-07,5.2529003369272687e-07,3.8438753352494648,1.6896404320141303
11,43012,0,1,2,-39.764558910979403,-297.35078215412386,-36.017996132402459,-301.99999993880647,0,1,1,2.2735056155664659,2.2735056155664659,2.2735056155664659,2.2735056155664659,6.1193532019387931e-08,0,0,4.0420418398700466,1.7778895342041778
12,43013,0,1,2,-37.511951425541184,-297.64335327555852,-33.572727096768197,-302.00000001452429,0,1,1,2.2695824540094152,2.2695824540094152,2.2695824540094152,2.2695824540094152,-1.4524289326800499e-08,1.4524289326800499e-08,2.5811402792896843e-08,4.221037766197969,1.8598301016740493
