contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.27512362431081633,0.1783080332883972,0.13210982201298796
inner,-29.750000000000032,249.99999999999997,0.2104704924472442,0.15127437366686508,0.10927770506763364
inner,-29.5000000000001,249.99999999999997,0.12942676794528427,0.11927220299192678,0.07621357315526431
inner,-29.250000000000064,249.99999999999994,0.10467726719779777,0.10885195768211697,0.060092606753884614
inner,-29.00000000000013,250.0,0.08984710545039862,0.10050838058482936,0.05095556867815463
inner,-28.750000000000096,249.99999999999994,0.07981272535511709,0.0938541130294965,0.044717389679636906
inner,-28.50000000000006,249.99999999999997,0.07217083317715527,0.088149777916228,0.03999975197994296
inner,-28.250000000000124,249.99999999999997,0.06601221911099434,0.08312493878977943,0.03620246636912198
inner,-28.00000000000009,249.99999999999997,0.06083725881536598,0.0785814906262155,0.03302435661076486
inner,-27.750000000000156,249.99999999999997,0.056359202764507045,0.07439132757130518,0.030289349273488135
inner,-27.50000000000012,249.99999999999997,0.05239303663645224,0.07046418152146303,0.027884450706731262
inner,-27.25000000000019,249.99999999999997,0.04881182077276221,0.06673622299355675,0.025731822867240503
inner,-27.000000000000153,249.99999999999994,0.0455229756616137,0.0631613454722022,0.02377500694525169
inner,-26.75000000000022,249.99999999999997,0.04245565651249959,0.05970585543665241,0.021971292759510742
inner,-26.500000000000185,249.99999999999997,0.03955329569103254,0.056344860183941886,0.020287213582338072
inner,-26.25000000000025,249.99999999999994,0.036769025889287266,0.05305983905258817,0.018695733756304542
inner,-26.000000000000213,249.99999999999997,0.03406272095962983,0.04983696798560926,0.017174419952471952
inner,-25.75000000000018,249.99999999999994,0.03139900845260164,0.046665951854634236,0.015704209674308224
inner,-25.500000000000245,249.99999999999994,0.028745885693959923,0.043539200150086034,0.014268557240770884
inner,-25.25000000000021,249.99999999999994,0.026073725557127454,0.04045123967899701,0.012852826272803968
inner,-25.000000000000277,249.99999999999994,0.023354541636433076,0.03739829304330364,0.011443847979134114
inner,-24.75000000000024,249.99999999999994,0.02056143107336008,0.034377974763803276,0.010029593951145525
inner,-24.500000000000256,249.99999999999997,0.017668142154538706,0.03138907195455786,0.008598929999867513
inner,-24.250000000000274,249.99999999999997,0.014648731629693688,0.028431386510603878,0.0071414286706639974
inner,-24.000000000000288,249.99999999999997,0.011477287996494358,0.02550562254812874,0.0056472251752214
inner,-23.750000000000306,249.99999999999997,0.008127704360070528,0.02261330746268929,0.0041069061311076625
inner,-23.50000000000037,249.99999999999997,0.004573489389800759,0.019756738171123073,0.0025114236127004395
inner,-23.250000000000334,249.99999999999997,0.0007876082659656666,0.01693894633398907,0.0008520291469009313
inner,-23.0000000000003,249.99999999999997,-0.0032576521299236333,0.014163677918428284,-0.0008797762315122214
inner,-22.750000000000366,249.99999999999997,-0.007590797841939154,0.01143538354394324,-0.0026922786949821727
inner,-22.50000000000033,249.99999999999997,-0.012241225082180524,0.00875921682804845,-0.00459357717714357
inner,-22.250000000000345,250.0,-0.017239301941068586,0.006141038474900291,-0.006591599274166219
inner,-22.000000000000362,249.99999999999997,-0.02261643567361827,0.0035874242034475866,-0.008694108582029353
inner,-21.750000000000377,249.99999999999997,-0.028405126070072433,0.001105674838100016,-0.010908704239691995
inner,-21.500000000000394,250.0,-0.03463900491134989,-0.001296172978967217,-0.013242813202769708
inner,-21.25000000000041,250.0,-0.04135286107773506,-0.003609336937030689,-0.01570367558175866
inner,-21.000000000000423,249.99999999999997,-0.04858265049341008,-0.0058242815474475575,-0.018298323229762808
inner,-20.750000000000387,250.0,-0.05636548973675951,-0.007930714496225122,-0.02103355164833167
inner,-20.500000000000405,250.00000000000003,-0.06473963181925517,-0.009917588449548823,-0.02391588519067533
inner,-20.25000000000042,250.00000000000003,-0.07374442233127086,-0.011773109996784784,-0.026951535478718668
inner,-20.000000000000437,250.00000000000003,-0.08342023387676567,-0.013484757536428953,-0.03014635290670163
inner,-19.75000000000045,250.0,-0.09380837644089446,-0.01503931001732181,-0.03350577108123926
inner,-19.500000000000465,250.00000000000003,-0.10495098111221174,-0.016422888573249965,-0.03703474405223348
inner,-19.250000000000483,250.00000000000003,-0.11689085437690551,-0.017621013189228277,-0.04073767621353928
inner,-19.000000000000497,250.00000000000006,-0.12967130004040495,-0.018618676614801436,-0.04461834480308874
inner,-18.75000000000051,250.0,-0.14333590574137817,-0.01940043779021529,-0.04867981501474513
inner,-18.50000000000053,250.00000000000006,-0.15792829098679914,-0.019950537038724046,-0.05292434784445761
inner,-18.250000000000544,250.00000000000003,-0.17349181368020986,-0.020253035207311337,-0.05735330093464841
inner,-18.000000000000508,250.00000000000003,-0.19006923223833105,-0.02029197881427121,-0.06196702284780696
inner,-17.750000000000526,250.00000000000003,-0.20770232052984966,-0.020051593100924796,-0.06676474136623128
inner,-17.50000000000054,250.00000000000003,-0.22643143291735354,-0.01951650480152723,-0.07174444652017918
inner,-17.250000000000554,250.00000000000003,-0.2462950163965304,-0.018671996653163284,-0.07690276897056596
inner,-17.000000000000572,250.00000000000006,-0.2673290659052131,-0.017504296493722475,-0.08223485393278639
inner,-16.750000000000586,250.00000000000003,-0.2895665173022336,-0.016000905007398973,-0.08773423005066852
inner,-16.5000000000006,250.00000000000003,-0.3130365721025655,-0.014150965668209028,-0.09339267239074654
inner,-16.250000000000618,250.00000000000006,-0.33776395601253,-0.011945671170338384,-0.09920006269311825
inner,-16.000000000000632,250.00000000000003,-0.3637681402042783,-0.009378654718840577,-0.10514426833403738
inner,-15.7500000000007,250.00000000000003,-0.39106262597785413,-0.006446245679281141,-0.11121109230114765
inner,-15.500000000000613,250.00000000000003,-0.41965447586316257,-0.0031474435866419358,-0.11738436040810361
inner,-15.250000000000629,250.00000000000006,-0.44954427630562466,0.0005163484806181115,-0.1236461450735713
inner,-15.000000000000645,250.00000000000003,-0.4807264769697639,0.00454151628270494,-0.1299770097452354
inner,-14.75000000000066,250.00000000000006,-0.5131896963175466,0.00892220159876049,-0.13635617315267937
inner,-14.500000000000727,250.00000000000003,-0.5469167209399698,0.013650156295256784,-0.14276159820518855
inner,-14.25000000000064,250.00000000000003,-0.5818842937218444,0.018714618071285376,-0.14917006397459487
inner,-14.000000000000655,250.00000000000003,-0.6180628955122268,0.02410228710682858,-0.15555726981147475
inner,-13.75000000000062,250.00000000000003,-0.6554166631067307,0.029797370526145756,-0.16189797525916216
inner,-13.500000000000636,250.00000000000006,-0.6939034349624805,0.035781684141960236,-0.16816616874757728
inner,-13.250000000000652,250.00000000000006,-0.7334749004478354,0.04203482585717322,-0.17433526173401967
inner,-13.000000000000616,250.00000000000003,-0.7740768559118101,0.04853432983555163,-0.18037827988400207
inner,-12.750000000000632,250.00000000000003,-0.8156494693456819,0.05525587051139177,-0.18626806147245456
inner,-12.500000000000647,250.00000000000006,-0.8581276146481605,0.06217349621976824,-0.19197746100128676
inner,-12.250000000000613,250.00000000000006,-0.9014412655136017,0.06925988941105377,-0.19747955526804098
inner,-12.000000000000627,250.00000000000003,-0.9455159356569887,0.07648663360366244,-0.20274784230976653
inner,-11.750000000000592,250.00000000000006,-0.9902731380657587,0.08382446544595389,-0.2077564261071063
inner,-11.500000000000608,250.00000000000003,-1.0356308424071654,0.09124357045351052,-0.21248020124851796
inner,-11.250000000000675,250.00000000000003,-1.0815039906244797,0.09871386134065568,-0.21689502449986897
inner,-11.000000000000588,250.00000000000003,-1.1278050107937891,0.10620527756725683,-0.22097787875651526
inner,-10.750000000000604,250.0,-1.1744443531126556,0.11368804020046165,-0.2247070126460742
inner,-10.50000000000067,250.00000000000003,-1.2213309889181163,0.12113293144027805,-0.22806207376473864
inner,-10.250000000000634,250.0,-1.268372940440217,0.12851156666144453,-0.23102422824599328
inner,-10.000000000000599,249.99999999999997,-1.3154778024735347,0.13579661534434845,-0.2335762538517884
inner,-9.750000000000563,250.00000000000003,-1.3625532114458203,0.14296203833175697,-0.23570262476966955
inner,-9.500000000000579,250.0,-1.4095073313646536,0.14998329543571995,-0.23738957832487104
inner,-9.250000000000595,250.0,-1.456249308920477,0.1568375303895829,-0.23862516425191593
inner,-9.00000000000056,249.99999999999997,-1.5026896975237614,0.16350373083572056,-0.23939927701556005
inner,-8.750000000000627,249.99999999999994,-1.5487408492913393,0.16996286381246498,-0.23970367248822938
inner,-8.500000000000592,250.00000000000003,-1.5943172747793564,0.17619798557369643,-0.23953196958816333
inner,-8.250000000000556,249.99999999999994,-1.6393359672852328,0.18219432289245624,-0.23887963708840798
inner,-8.000000000000622,249.99999999999997,-1.683716687620757,0.1879393281079285,-0.23774396724966806
inner,-7.750000000000586,249.99999999999994,-1.72738221013897,0.19342270401454043,-0.2361240364008956
inner,-7.500000000000552,249.99999999999997,-1.770258528706555,0.19863640813545058,-0.23402065659724178
inner,-7.250000000000617,249.99999999999994,-1.8122750318950995,0.20357463284990326,-0.23143631756367214
inner,-7.000000000000583,249.99999999999997,-1.8533646343185115,0.20823374820263152,-0.22837511611232508
inner,-6.750000000000547,249.99999999999997,-1.8934638561778332,0.21261222974660537,-0.22484268200485624
inner,-6.500000000000562,249.99999999999997,-1.9325128823201543,0.21671057321728754,-0.22084610024750712
inner,-6.250000000000528,249.99999999999997,-1.970455588175508,0.22053117295619099,-0.21639382331346052
inner,-6.000000000000543,249.99999999999997,-2.007239517044143,0.22407819834119108,-0.2114955864460993
inner,-5.750000000000609,249.99999999999997,-2.042815846635285,0.22735745098481566,-0.20616231850032257
inner,-5.500000000000523,249.99999999999997,-2.0771393182705595,0.2303762054922309,-0.20040605165513606
inner,-5.250000000000538,249.99999999999997,-2.1101681414032365,0.23314304892443913,-0.19423983450569351
inner,-5.000000000000504,249.99999999999994,-2.1418638861172035,0.2356677075181594,-0.18767764440362028
inner,-4.750000000000519,250.00000000000003,-2.172191351320865,0.23796087206181143,-0.18073430364189397
inner,-4.500000000000535,249.99999999999997,-2.201118423615179,0.2400340202909195,-0.1734253984104533
inner,-4.250000000000499,250.00000000000003,-2.2286159237158154,0.2418992390154269,-0.16576720131017075
inner,-4.000000000000514,250.0,-2.2546574457635487,0.24356904909472277,-0.1577765986805632
inner,-3.750000000000479,249.99999999999997,-2.2792191933991806,0.2450562343466483,-0.1494710220548898
inner,-3.5000000000004947,250.0,-2.30227981229768,0.24637367428225768,-0.1408683842032422
inner,-3.2500000000005103,250.00000000000006,-2.3238202240487946,0.2475341865013218,-0.13198702104830876
inner,-3.0000000000004747,250.00000000000003,-2.3438234637263453,0.2485503735792266,-0.12284563688985942
inner,-2.7500000000004907,250.00000000000006,-2.36227451981847,0.2494344817618161,-0.11346325628758884
inner,-2.5000000000005063,250.00000000000003,-2.379160184320384,0.25019826760735236,-0.10385917915439721
inner,-2.2500000000004707,250.00000000000003,-2.3944689074364134,0.25085287492101216,-0.09405294112861567
inner,-2.0000000000004863,250.00000000000009,-2.408190663947889,0.2514087230440858,-0.08406427816465196
inner,-1.7500000000005018,250.00000000000006,-2.420316828957067,0.25187540459351654,-0.07391309447120908
inner,-1.5000000000004665,250.00000000000006,-2.4308400642450443,0.25226159502877343,-0.06361943488705094
inner,-1.250000000000482,250.00000000000006,-2.439754218501091,0.2525749731228828,-0.053203459933027844
inner,-1.0000000000004468,250.00000000000006,-2.44705423836213,0.25282215175275025,-0.04268542378516918
inner,-0.7500000000004622,250.0,-2.452736092824127,0.2530086200132134,-0.032085655024770676
inner,-0.5000000000004778,249.99999999999997,-2.456796711621363,0.2531386960136706,-0.02142453916693112
inner,-0.2500000000004424,249.99999999999997,-2.4592339364752607,0.25321549016451267,-0.010722502966268371
inner,-4.579998741307465e-13,249.99999999999997,-2.460046486321163,0.253240879118772,6.884107175851506e-14
inner,0.24999999999952646,250.00000000000003,-2.459233936475252,0.25321549016460587,0.010722502966372694
inner,0.4999999999995618,250.00000000000006,-2.456796711621723,0.25313869601385414,0.02142453916699581
inner,0.7499999999995463,250.00000000000003,-2.452736092824793,0.2530086200130674,0.0320856550248179
inner,0.9999999999995816,250.00000000000003,-2.447054238362248,0.2528221517525203,0.04268542378511054
inner,1.2499999999995661,250.00000000000003,-2.4397542185008594,0.2525749731226795,0.05320345993291514
inner,1.4999999999995506,250.00000000000006,-2.4308400642446113,0.25226159502876555,0.06361943488698878
inner,1.7499999999995859,250.00000000000003,-2.420316828956368,0.25187540459364377,0.07391309447117746
inner,1.9999999999995703,250.00000000000006,-2.4081906639467126,0.2514087230446839,0.08406427816461896
inner,2.2499999999995546,250.00000000000003,-2.394468907435202,0.2508528749221662,0.09405294112859588
inner,2.49999999999959,250.00000000000006,-2.3791601843199466,0.25019826760830627,0.103859179154425
inner,2.7499999999995746,250.00000000000003,-2.3622745198190938,0.24943448176199226,0.11346325628761932
inner,2.9999999999996096,250.0,-2.343823463727426,0.2485503735789712,0.12284563688989053
inner,3.249999999999594,250.00000000000003,-2.3238202240499777,0.24753418650052084,0.13198702104835686
inner,3.4999999999995786,250.00000000000003,-2.302279812298113,0.24637367428172674,0.14086838420325887
inner,3.749999999999614,249.99999999999997,-2.279219193398983,0.24505623434681903,0.14947102205487306
inner,3.9999999999995985,249.99999999999997,-2.25465744576379,0.2435690490947684,0.1577765986805634
inner,4.249999999999583,250.0,-2.228615923716132,0.24189923901526086,0.16576720131018677
inner,4.499999999999618,250.0,-2.201118423614709,0.24003402029090148,0.17342539841044338
inner,4.749999999999603,249.99999999999997,-2.172191351319847,0.23796087206186242,0.18073430364190676
inner,4.9999999999996385,249.99999999999997,-2.141863886116908,0.2356677075176756,0.1876776444036628
inner,5.2499999999996225,249.99999999999991,-2.110168141403614,0.2331430489240793,0.19423983450580037
inner,5.499999999999607,249.99999999999994,-2.0771393182716893,0.2303762054917877,0.20040605165541175
inner,5.749999999999642,249.99999999999997,-2.042815846637568,0.22735745098333257,0.20616231850062744
