facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,4737,0,0,0,-63.09505483724314,-293.27629516752222,-60.867089093399713,-301.66374216689246,0,1,1,5.667009051581716,0,5.667009051581716,0,0.3362578331075099,0,0,0,0
1,4738,0,0,0,-57.544046767232146,-294.41578411196366,-55.053997731095322,-301.95814436021141,0,1,1,5.6670088717805269,0,5.6670088717805269,0,0.041855639788593635,0,0,0,0
2,4739,0,1,2,-51.972508213591745,-295.45021519734087,-49.202211753493785,-301.99999999992031,0,1,1,5.6670026762271677,5.6670026762271677,5.6670026762271677,5.6670026762271677,7.969447324285285e-11,1.1959855328314006e-10,2.3919710656628013e-10,8.8815713281269399,1.5672431857822742
3,4740,0,1,2,-46.382500015385318,-296.37920875026509,-43.226591231509076,-301.99999999981191,0,1,1,5.6668555264933627,5.6668555264933627,5.6668555264933627,5.6668555264933627,1.8803802959155291e-10,3.4134473025915213e-11,6.8268946051830426e-11,8.0743642837915548,1.4248403274166321
4,4741,0,1,2,-40.777206134552969,-297.20228457110954,-37.170797419131681,-302.00000000011261,0,1,1,5.6644525148973104,5.6644525148973104,5.6644525148973104,5.6644525148973104,-1.1257839105383027e-10,1.1257839105383027e-10,1.9537083062459715e-10,10.190049594112587,1.798946953357472
5,4742,0,1,2,-35.171789341328953,-297.91777208683732,-31.074045109363478,-302.00000000004695,0,1,1,5.6378397793534951,5.6378397793534951,5.6378397793534951,5.6378397793534951,-4.6924242269597023e-11,4.6924242269597023e-11,9.1745278041344136e-11,11.128931290614632,1.9739708338946118
6,4743,0,1,2,-29.659946202822628,-298.51776838242779,-25.045187018538183,-301.99999999993986,0,1,1,5.4514406245835199,5.4514406245835199,5.4514406245835199,5.4514406245835199,6.0168758864165284e-11,2.3277380023500882e-11,4.6554760047001764e-11,11.692277155680948,2.1448050085979276
7,4744,0,1,2,-24.569542711258009,-298.98268229992993,-19.452687378684491,-302.00000000000881,0,1,1,4.7721088415209811,4.7721088415209811,4.7721088415209811,4.7721088415209811,-8.8107299234252472e-12,7.7648110163863761e-11,1.552962203277275e-10,10.667604629971231,2.2354068157781626
8,4745,0,1,2,-20.361908301554791,-299.30257228435619,-14.817043139641319,-302.00000000004985,0,1,1,3.6676500851827285,3.6676500851827285,3.6676500851827285,3.6676500851827285,-4.9823256631498219e-11,8.6316731540136971e-11,1.7263346308027394e-10,8.383422849238185,2.2857749933962168
9,4746,0,1,2,-17.172766816942591,-299.50499434800952,-11.298482691804891,-302.00000000007236,0,1,1,2.7235568286210583,2.7235568286210583,2.7235568286210583,2.7235568286210583,-7.2418515628669411e-11,1.0413714335300028e-10,2.0827428670600057e-10,6.3487936391695943,2.3310670709904002
10,4747,0,1,2,-14.759744498300364,-299.63484015704466,-8.6340965348766279,-301.9999999999352,0,1,1,2.1095083855509627,2.1095083855509627,2.1095083855509627,2.1095083855509627,6.4744654082460329e-11,7.5146999733988196e-11,1.5029399946797639e-10,5.0019651607620181,2.3711520632119232
11,4748,0,1,2,-12.846374029975385,-299.72358915994516,-6.5200196197043141,-301.9999999998841,0,1,1,1.7213661579020056,1.7213661579020056,1.7213661579020056,1.7213661579020056,1.1590373105718753e-10,3.4816594052244909e-11,6.9633188104489818e-11,4.1322644777402449,2.4005726258593536
12,4749,0,1,2,-11.253888009442537,-299.78794598302107,-4.7594645062666885,-301.99999999991911,0,1,1,1.4662168355020611,1.4662168355020611,1.4662168355020611,1.4662168355020611,8.0859763329499401e-11,4.2234660213580355e-11,8.446932042716071e-11,3.5511151927040077,2.4219577259785297
13,4750,0,1,2,-9.8770180763650828,-299.83667048905374,-3.2365423407556726,-301.999999999968,0,1,1,1.2892539824398586,1.2892539824398586,1.2892539824398586,1.2892539824398586,3.2059688237495714e-11,8.0717654782347381e-11,1.6143530956469476e-10,3.1429107066173834,2.4377746739006056
14,4751,0,1,2,-8.6517492428578073,-299.87465615346883,-1.8807689575530988,-301.99999999992787,0,1,1,1.1624661329768256,1.1624661329768256,1.1624661329768256,1.1624661329768256,7.2105876824934967e-11,7.2247985372086987e-11,1.4449597074417397e-10,2.8478761898245808,2.4498573412472524
15,4752,0,1,2,-7.5368963733001983,-299.90483491416489,-0.64678327897113341,-301.99999999962222,0,1,1,1.0680602336653493,1.0680602336653493,1.0680602336653493,1.0680602336653493,3.7778136174893007e-10,0,0,2.626638580304248,2.4592607209896751
16,4753,0,1,2,-6.5048279804293969,-299.92905642192591,0.49585829967616579,-301.99999999989694,0,1,1,0.99664797847551811,0.99664797847551811,0.99664797847551811,0.99664797847551811,1.0305711839464493e-10,7.73070496506989e-12,1.546140993013978e-11,2.4584880310935002,2.4667566524883
17,4754,0,1,2,-5.5356874011803932,-299.94855277341316,1.5690436679733404,-302.00000000010021,0,1,1,0.94202787948668354,0.94202787948668354,0.94202787948668354,0.94202787948668354,-1.0021494745160453e-10,1.0021494745160453e-10,1.0129497240995988e-10,2.3293971868242034,2.4727476092252232
18,4755,0,1,2,-4.6148115539938175,-299.96416622408447,2.5889425801272825,-301.99999999999409,0,1,1,0.89999069095146889,0.89999069095146889,0.89999069095146889,0.89999069095146889,5.8548721426632271e-12,2.7142732506035827e-11,5.4285465012071654e-11,2.2297659592403374,2.477543358679668
19,4756,0,1,2,-3.73092560732601,-299.9764855079859,3.5679935242901282,-301.99999999985187,0,1,1,0.86795481388952234,0.86795481388952234,0.86795481388952234,0.86795481388952234,1.4816237126069609e-10,0,0,2.1536834855833709,2.4813313448106555
20,4757,0,1,2,-2.8750933556178859,-299.98592605657296,4.5160585708212571,-302.00000000016018,0,1,1,0.84381556477649255,0.84381556477649255,0.84381556477649255,0.84381556477649255,-1.6018475434975701e-10,1.8007995095103982e-10,3.6015990190207958e-10,2.0962477476557448,2.4842487329692635
21,4758,0,1,2,-2.039777413071544,-299.99278054292495,5.4414595745605778,-302.0000000001254,0,1,1,0.82687418534381452,0.82687418534381452,0.82687418534381452,0.82687418534381452,-1.2539658200694248e-10,1.7271872820856518e-10,3.4543745641713031e-10,2.0559227885052471,2.4863792157816538
22,4759,0,1,2,-1.2184259930857659,-299.99724837647989,6.3514326411429014,-301.99999999996834,0,1,1,0.81585449689860201,0.81585449689860201,0.81585449689860201,0.81585449689860201,3.1718627724330866e-11,4.8800075092003681e-11,9.7600150184007362e-11,2.0296572975904636,2.4877687201652066
