facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,10704,0,0,0,-61.048937481930281,-293.71566178612625,-58.736824591892073,-301.85568802056116,0,1,1,4.068048114407862,0,4.068048114407862,0,0.14431197943883942,0,0,0,0
1,10705,0,0,0,-57.060584853006816,-294.51647220946722,-54.568860862668274,-301.99375618020247,0,1,1,4.0680479461034436,0,4.0680479461034436,0,0.0062438197975609464,0,0,0,0
2,10706,0,1,2,-53.061741214903606,-295.26312734614123,-50.369506650261123,-302.00161200989538,0,1,1,4.0680457318045722,4.0680457318045722,4.0680457318045722,4.0680457318045722,-0.0016120098953820163,0.0016120098953820163,0.0019920529829278166,6.5577299745355457,1.6120098953820161
3,10707,0,1,2,-49.053153648226846,-295.95548806702186,-46.084749863873014,-302.00126568784367,0,1,1,4.0680217178981062,4.0680217178981062,4.0680217178981062,4.0680217178981062,-0.0012656878436985153,0.0012656878436985153,0.0014457818014648183,5.1488456362451842,1.2656878436985153
4,10708,0,1,2,-45.035664187113113,-296.593412244197,-41.758493904138682,-302.00161458058722,0,1,1,4.0678075516724972,4.0678075516724972,4.0678075516724972,4.0678075516724972,-0.0016145805872440633,0.0016145805872440633,0.0016359199489102139,6.5678031055752157,1.6145805872440633
5,10709,0,1,2,-41.010778509469588,-297.17668561656131,-37.403831412710417,-302.00174569664051,0,1,1,4.0662375743127477,4.0662375743127477,4.0662375743127477,4.0662375743127477,-0.0017456966404836296,0.0017456966404836296,0.0018000571674861021,7.0984172728860662,1.7456966404836294
6,10710,0,1,2,-36.983799033463271,-297.70469279881229,-33.028813910226759,-302.00190688761847,0,1,1,4.0568434119240466,4.0568434119240466,4.0568434119240466,4.0568434119240466,-0.0019068876184746841,0.0019068876184746841,0.0019455907460041999,7.7359444722885566,1.9068876184746839
7,10711,0,1,2,-32.977092289567253,-298.17526337667965,-28.659372176526922,-302.00203358341741,0,1,1,4.0118296938235369,4.0118296938235369,4.0118296938235369,4.0118296938235369,-0.0020335834173863532,0.0020335834173863532,0.0020680281434692915,8.1583903387377141,2.0335834173863527
8,10712,0,1,2,-29.067640304359642,-298.58226274277104,-24.381587849865067,-302.00213398980964,0,1,1,3.8494999899519318,3.8494999899519318,3.8494999899519318,3.8494999899519318,-0.0021339898096357501,0.0021339898096357501,0.0021575147411567741,8.2147937507503457,2.1339898096357501
9,10713,0,1,2,-25.430248910263046,-298.91523337234639,-20.390509682526787,-302.00219958834094,0,1,1,3.4558346706809711,3.4558346706809711,3.4558346706809711,3.4558346706809711,-0.0021995883409147154,0.0021995883409147154,0.002213936739053679,7.601413649758709,2.1995883409147154
10,10714,0,1,2,-22.279831552750885,-299.16810750101286,-16.926782257667725,-302.00224581359907,0,1,1,2.8653518063005641,2.8653518063005641,2.8653518063005641,2.8653518063005641,-0.0022458135990746086,0.0022458135990746086,0.0022581533661991671,6.4350460527228002,2.2458135990746086
11,10715,0,1,2,-19.711653021874049,-299.34953939895502,-14.099301043876698,-302.00228777781484,0,1,1,2.2838535668501136,2.2838535668501136,2.2838535668501136,2.2838535668501136,-0.0022877778148711054,0.0022877778148711054,0.0022996660990202145,5.2249495226539349,2.2877778148711059
12,10716,0,1,2,-17.656973723771117,-299.47853134938993,-11.834908000419549,-302.00232536063902,0,1,1,1.8336190777099293,1.8336190777099293,1.8336190777099293,1.8336190777099293,-0.0023253606390483128,0.0023253606390483128,0.0023351708085783685,4.2638256303147397,2.3253606390483132
13,10717,0,1,2,-15.986424080717576,-299.57279932903572,-9.9923657179544794,-302.00235549051712,0,1,1,1.5128083510809203,1.5128083510809203,1.5128083510809203,1.5128083510809203,-0.0023554905171181417,0.0023554905171181417,0.0023630758408330621,3.5634057251882401,2.3554905171181417
14,10718,0,1,2,-14.58947350025727,-299.64434686703856,-8.450543797362716,-302.00237880627162,0,1,1,1.2847624079227766,1.2847624079227766,1.2847624079227766,1.2847624079227766,-0.0023788062716505465,0.0023788062716505465,0.002384682305091701,3.0562008735475588,2.3788062716505465
15,10719,0,1,2,-13.38869760638898,-299.70056639648971,-7.1244848538972843,-302.00239687885244,0,1,1,1.119424902299579,1.119424902299579,1.119424902299579,1.119424902299579,-0.0023968788524371121,0.0023968788524371121,0.0024014370283680364,2.6831258752133413,2.3968788524371121
16,10720,0,1,2,-12.332364119983605,-299.74600112447899,-5.9573827804937256,-302.00241118284799,0,1,1,0.99519866559090475,0.99519866559090475,0.99519866559090475,0.99519866559090475,-0.0024111828480499753,0.0024111828480499753,0.0024148830877948058,2.3996059528750129,2.4111828480499753
17,10721,0,1,2,-11.385393635612132,-299.78353891986239,-4.9106942440895986,-302.00242276891197,0,1,1,0.90023207127002858,0.90023207127002858,0.90023207127002858,0.90023207127002858,-0.002422768911969797,0.002422768911969797,0.0024257578893411846,2.1810542758312037,2.422768911969797
18,10722,0,1,2,-10.523249990524945,-299.81509462682482,-3.9574450827148162,-302.00243230399377,0,1,1,0.82521159723007131,0.82521159723007131,0.82521159723007131,0.82521159723007131,-0.0024323039937144126,0.0024323039937144126,0.0024348200983581592,2.0071654636021523,2.4323039937144131
19,10723,0,1,2,-9.7284953334595716,-299.84197503472205,-3.0784559831810636,-302.00244033411707,0,1,1,0.76520800833997937,0.76520800833997937,0.76520800833997937,0.76520800833997937,-0.0024403341170966542,0.0024403341170966542,0.0024424542063457011,1.8673632094276327,2.4403341170966537
20,10724,0,1,2,-8.9881139299208481,-299.86511224908099,-2.2594041747617144,-302.00244714906933,0,1,1,0.71627879726400812,0.71627879726400812,0.71627879726400812,0.71627879726400812,-0.0024471490693258602,0.0024471490693258602,0.0024489635945883492,1.7528409921024639,2.4471490693258602
21,10725,0,1,2,-8.2923999243139068,-299.8851812795865,-1.4896054299814878,-302.00245302992926,0,1,1,0.67572895397106425,0.67572895397106425,0.67572895397106425,0.67572895397106425,-0.0024530299292280229,0.0024530299292280229,0.0024546107200649203,1.657583348136966,2.4530299292280233
22,10726,0,1,2,-7.6337471213738048,-299.90268896788507,-0.76068324071569826,-302.00245813462959,0,1,1,0.64204273665558187,0.64204273665558187,0.64204273665558187,0.64204273665558187,-0.0024581346296486117,0.0024581346296486117,0.0024595010390271455,1.5782274846874498,2.4581346296486117
23,10727,0,1,2,-7.0061658411664194,-299.91802137611717,-0.06603916652200148,-302.00246258798251,0,1,1,0.61349504007963007,0.61349504007963007,0.61349504007963007,0.61349504007963007,-0.0024625879825066477,0.0024625879825066477,0.0024637927176627272,1.5107855130275312,2.4625879825066477
