contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.3059403293442999,0.19072805865394993,0.14454417333407546
inner,-29.812500000000043,249.99999999999997,0.23558166298810618,0.1640383394604138,0.12128070694976958
inner,-29.625000000000014,249.99999999999994,0.14674318316737528,0.13192960197137027,0.08679356673378776
inner,-29.43750000000009,249.99999999999997,0.11874823022103081,0.12087112783544937,0.06908040062432419
inner,-29.250000000000064,249.99999999999994,0.10235393371667532,0.11195783860764728,0.05891431281544156
inner,-29.062500000000036,249.99999999999997,0.09144656999330825,0.1049033687115494,0.05205233504758831
inner,-28.875000000000114,249.99999999999997,0.08326282347203481,0.09896791357620896,0.04693508156231359
inner,-28.687500000000085,249.99999999999994,0.07674486899427918,0.09385896594043124,0.04286388127350173
inner,-28.50000000000006,249.99999999999997,0.07132540611601898,0.0893552891343812,0.03948832195078823
inner,-28.312500000000135,249.99999999999997,0.06668460323990795,0.08530836007309008,0.036607727111706886
inner,-28.125000000000107,249.99999999999997,0.06262113251254266,0.08161074571621556,0.03409647022680112
inner,-27.93750000000008,249.99999999999994,0.05900071782615565,0.07818435001312206,0.03187024710286728
inner,-27.750000000000156,249.99999999999997,0.05572868247883318,0.07497121603183823,0.029869537223232732
inner,-27.56250000000013,249.99999999999997,0.0527353720892115,0.07192775560270558,0.02805058248466421
inner,-27.375000000000206,249.99999999999994,0.04996761882546163,0.06902074297347136,0.026380129174119648
inner,-27.187500000000178,249.99999999999994,0.04738354521544841,0.06622455886268361,0.02483218350496339
inner,-27.000000000000153,249.99999999999994,0.044949242053765014,0.06351924656991262,0.02338592326235513
inner,-26.812500000000227,249.99999999999997,0.042636567889870115,0.06088912406964363,0.022024305115927303
inner,-26.625000000000203,249.99999999999994,0.0404216427955342,0.0583217781370098,0.02073310797548816
inner,-26.437500000000174,249.99999999999994,0.0382837882266647,0.055807326161868766,0.019500258721643824
inner,-26.25000000000025,249.99999999999994,0.03620476201479131,0.05333786802527972,0.018315346080000905
inner,-26.062500000000224,249.99999999999994,0.03416819388466101,0.050907074830909886,0.017169263004034836
inner,-25.875000000000195,249.99999999999997,0.03215916043211841,0.04850987744214007,0.016053938807669452
inner,-25.687500000000274,249.99999999999994,0.030163859139449835,0.046142228674351395,0.014962135250356492
