facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,119658,0,0,0,-64.713572291560467,-292.93602647053319,-62.639796616607704,-301.57714891597163,0,1,1,1.5974441086477675,0,1.5974441086477675,0,0.42285108402830929,0,0,0,0
1,119659,0,0,0,-63.152830622021597,-293.27646006372032,-60.990537478746994,-301.7286670791666,0,1,1,1.5974441077420825,0,1.5974441077420825,0,0.27133292083340166,0,0,0,0
2,119660,0,0,0,-61.590298341658027,-293.60857820109504,-59.340772207665616,-301.84916581915945,0,1,1,1.597444104857995,0,1.597444104857995,0,0.15083418084057598,0,0,0,0
3,119661,0,0,0,-60.026019757848587,-293.93237146513894,-57.6928907708607,-301.93586564800034,0,1,1,1.5974440960067076,0,1.5974440960067076,0,0.064134351999626915,0,0,0,0
4,119662,0,0,0,-58.460039235215945,-294.24783067293504,-56.050763461460825,-301.98521093294977,0,1,1,1.5974440694528491,0,1.5974440694528491,0,0.01478906705020222,0,0,0,0
5,119663,0,1,2,-56.892401208442621,-294.55494687394105,-54.411275331655389,-302.00006700152881,0,1,1,1.5974439926263153,1.5974439926263153,1.5974439926263153,1.5974439926263153,-6.7001528805121779e-05,6.7001528805121779e-05,8.9001395281229634e-05,1.0703118968652081,0.67001528805121779
6,119664,0,1,2,-55.323150219076034,-294.85371134374884,-52.755417342551752,-302.00010401529875,0,1,1,1.5974437765692309,1.5974437765692309,1.5974437765692309,1.5974437765692309,-0.00010401529871728597,0.00010401529871728597,0.00010464525519182644,1.6615859160391802,1.0401529871728599
7,119665,0,1,2,-53.752331014222442,-295.14411556789378,-51.079605069492139,-302.00010974490777,0,1,1,1.5974431861329637,1.5974431861329637,1.5974431861329637,1.5974431861329637,-0.00010974490777471148,0.00010974490777471148,0.00011368285555590774,1.7531125513750334,1.0974490777471146
8,119666,0,1,2,-52.179988793844061,-295.42615120285927,-49.39565947766399,-302.00012058980661,0,1,1,1.5974416291298239,1.5974416291298239,1.5974416291298239,1.5974416291298239,-0.00012058980658480323,0.00012058980658480323,0.00012291316403434394,1.9263517708727842,1.2058980658480321
9,119667,0,1,2,-50.606169829881807,-295.69980998204124,-47.706356452165394,-302.00012892048193,0,1,1,1.5974376155044943,1.5974376155044943,1.5974376155044943,1.5974376155044943,-0.00012892048189883099,0.00012892048189883099,0.00013140684205836806,2.0594242719415892,1.2892048189883101
