facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,43001,0,0,0,-64.407147263331154,-293.00243115306034,-62.372844103572511,-301.63091059330731,0,1,1,2.2757150926644361,0,2.2757150926644361,0,0.36908940669272283,0,0,0,0
1,43002,0,0,0,-62.182676642298851,-293.48257189449305,-60.028676411046312,-301.83569242171222,0,1,1,2.2757150903055479,0,2.2757150903055479,0,0.16430757828780429,0,0,0,0
2,43003,0,1,1,-59.954627844113119,-293.9458247369646,-57.688767425203451,-301.97431195586466,0,1,1,2.2757150784862761,1.137857539243138,2.2757150784862761,1.137857539243138,0.025688044135392826,0.0020360853856402628,0.0040721707712805255,0.046335502131870904,0.020360853856402628
3,43004,0,1,2,-57.72312910382098,-294.39216301856163,-55.352036917479424,-302.04835035020716,0,1,1,2.2757150228037561,2.2757150228037561,2.2757150228037561,2.2757150228037561,-0.048350350207186921,0.048350350207186921,0.061336222204545265,1.1003161832431798,0.48350350207186926
4,43005,0,1,2,-55.488308944361037,-294.82156103490729,-52.999820631394783,-302.08326350353536,0,1,1,2.2757147761662844,2.2757147761662844,2.2757147761662844,2.2757147761662844,-0.083263503535334848,0.083263503535334848,0.090434750010217613,1.8948398531073516,0.83263503535334837
5,43006,0,1,2,-53.250296443005794,-295.23399399538164,-50.623750445823021,-302.10426501470721,0,1,1,2.2757137491179007,2.2757137491179007,2.2757137491179007,2.2757137491179007,-0.10426501470718108,0.10426501470718108,0.1092189963607666,2.372773275211121,1.0426501470718108
6,43007,0,1,2,-51.009222246890161,-295.62943786450023,-48.231525564379794,-302.11969347612103,0,1,1,2.2757097239826463,2.2757097239826463,2.2757097239826463,2.2757097239826463,-0.11969347612111392,0.11969347612111392,0.12364712081802054,2.7238760750610362,1.1969347612111392
7,43008,0,1,2,-48.76522213987954,-296.0078688360237,-45.827714069384363,-302.13245979981286,0,1,1,2.2756948860210029,2.2756948860210029,2.2756948860210029,2.2756948860210029,-0.13245979981289224,0.13245979981289224,0.13587679553597809,3.014380890375647,1.3245979981289224
8,43009,0,1,2,-46.518448671506718,-296.36926172400649,-43.414570522525906,-302.14370248174976,0,1,1,2.2756435254149521,2.2756435254149521,2.2756435254149521,2.2756435254149521,-0.14370248174975589,0.14370248174975589,0.14677645146929308,3.2701562217989224,1.4370248174975586
9,43010,0,1,2,-44.269106524218131,-296.71358539713503,-40.993217438602827,-302.15390704635803,0,1,1,2.2754764990769387,2.2754764990769387,2.2754764990769387,2.2754764990769387,-0.15390704635800034,0.15390704635800034,0.15672468476196855,3.5021186702997475,1.5390704635800037
10,43011,0,1,2,-42.017552617837815,-297.04079080808617,-38.564423020953484,-302.16329519918634,0,1,1,2.2749664735871562,2.2749664735871562,2.2749664735871562,2.2749664735871562,-0.1632951991863365,0.1632951991863365,0.16589781334499776,3.7149110344665219,1.632951991863365
