contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.26643186902410365,0.17267744448502992,0.12793697342224888
inner,-29.750000000000032,249.99999999999997,0.20381989581043006,0.1465008428668357,0.1058244087657649
inner,-29.5000000000001,249.99999999999997,0.12533164901668298,0.11551628467782946,0.07380068078932889
inner,-29.250000000000064,249.99999999999994,0.10135573840621408,0.10543253311948446,0.05818376091097488
inner,-29.00000000000013,250.0,0.08698356047862552,0.09735991739556697,0.049329361026740515
inner,-28.750000000000096,249.99999999999994,0.07725408434512313,0.09092301448084966,0.043281681642845286
inner,-28.50000000000006,249.99999999999997,0.06984031919440496,0.08540566061529001,0.03870609071187102
inner,-28.250000000000124,249.99999999999997,0.06386200167549463,0.08054590479185558,0.03502145233511567
inner,-28.00000000000009,249.99999999999997,0.0588354213279285,0.07615189174291478,0.03193616325534757
inner,-27.750000000000156,249.99999999999997,0.05448295824516029,0.07209958304881722,0.02927974741630042
inner,-27.50000000000012,249.99999999999997,0.05062547408921535,0.0683016000370192,0.026942799446991343
inner,-27.25000000000019,249.99999999999997,0.04714004287363584,0.0646961777919717,0.02484994748397261
inner,-27.000000000000153,249.99999999999994,0.04393699337912183,0.061238720569588956,0.02294651536464727
inner,-26.75000000000022,249.99999999999997,0.04094768779153672,0.057896656907249426,0.02119113545903991
inner,-26.500000000000185,249.99999999999997,0.03811730334871853,0.054645939882580666,0.019551387536898994
inner,-26.25000000000025,249.99999999999994,0.03540040268457813,0.051468694008933696,0.018001076497310795
inner,-26.000000000000213,249.99999999999997,0.0327580700463876,0.04835159206689965,0.016518462352244717
inner,-25.75000000000018,249.99999999999994,0.03015598805786527,0.045284723913164224,0.015085068368538802
inner,-25.500000000000245,249.99999999999994,0.02756309863771111,0.04226079796850307,0.013684854609104923
inner,-25.25000000000021,249.99999999999994,0.024950641093341303,0.03927457232944901,0.01230363008152323
inner,-25.000000000000277,249.99999999999994,0.02229144127678767,0.03632244647553656,0.010928625372926682
inner,-24.75000000000024,249.99999999999994,0.019559372698084554,0.03340216693357477,0.009548176125865532
inner,-24.500000000000256,249.99999999999997,0.01672893842662878,0.03051261482575702,0.008151484964205868
inner,-24.250000000000274,249.99999999999997,0.013774939862946471,0.02765365296889141,0.006728440224793433
inner,-24.000000000000288,249.99999999999997,0.010672209410405444,0.024826016767803685,0.0052694767274458695
inner,-23.750000000000306,249.99999999999997,0.00739539119113082,0.022031237617069002,0.0037654683183054568
inner,-23.50000000000037,249.99999999999997,0.003918758717720849,0.019271590638425845,0.0022076449336407584
inner,-23.250000000000334,249.99999999999997,0.00021606168379890468,0.016550060732357222,0.0005875289922766154
inner,-23.0000000000003,249.99999999999997,-0.0037396036770102007,0.013870322434130215,-0.0011031126403443794
inner,-22.750000000000366,249.99999999999997,-0.007975904571811231,0.011236730128136894,-0.0028723038546207558
inner,-22.50000000000033,249.99999999999997,-0.012521364670114936,0.008654315905548174,-0.004727883664600016
inner,-22.250000000000345,250.0,-0.017405441940362247,0.006128792872754217,-0.006677521200842501
inner,-22.000000000000362,249.99999999999997,-0.022658592361853105,0.0036665620587135227,-0.008728722382123305
inner,-21.750000000000377,249.99999999999997,-0.02831231999538432,0.001274721278244737,-0.010888829010193009
inner,-21.500000000000394,250.0,-0.0343992133907057,-0.0010389255397584972,-0.013165010797449842
inner,-21.25000000000041,250.0,-0.040952967913993825,-0.0032658600126618848,-0.015564250653539276
inner,-21.000000000000423,249.99999999999997,-0.048008393193467655,-0.005396843388331021,-0.018093323414656297
inner,-20.750000000000387,250.0,-0.05560140454581104,-0.007421914527815843,-0.020758768087288992
inner,-20.500000000000405,250.00000000000003,-0.06376899694208231,-0.0093303933298807,-0.02356685359628293
inner,-20.25000000000042,250.00000000000003,-0.07254919977770394,-0.011110891217477669,-0.02652353796798672
inner,-20.000000000000437,250.00000000000003,-0.08198101045567678,-0.012751330420918115,-0.02963442083996497
inner,-19.75000000000045,250.0,-0.0921043045379116,-0.014238973883097424,-0.03290468917328946
inner,-19.500000000000465,250.00000000000003,-0.10295972002016872,-0.015560467722210944,-0.036339056050638474
inner,-19.250000000000483,250.00000000000003,-0.11458851310239576,-0.016701898263013455,-0.03994169247344032
inner,-19.000000000000497,250.00000000000006,-0.1270323827064483,-0.0176488657121496,-0.043716152128372696
inner,-18.75000000000051,250.0,-0.14033326092404813,-0.01838657656625141,-0.04766528917992965
inner,-18.50000000000053,250.00000000000006,-0.1545330665795982,-0.018899956802719862,-0.051791169260644566
inner,-18.250000000000544,250.00000000000003,-0.16967341918324758,-0.019173787805567208,-0.05609497397780471
inner,-18.000000000000508,250.00000000000003,-0.18579531070945626,-0.019192866821522294,-0.060576899423674155
inner,-17.750000000000526,250.00000000000003,-0.20293873281405345,-0.01894219355435611,-0.06523604934292687
inner,-17.50000000000054,250.00000000000003,-0.22114225718766295,-0.018407184408229218,-0.07007032370996229
inner,-17.250000000000554,250.00000000000003,-0.24044256648384252,-0.01757391610428302,-0.07507630338175214
inner,-17.000000000000572,250.00000000000006,-0.26087393234847245,-0.016429401237862632,-0.08024913103821991
inner,-16.750000000000586,250.00000000000003,-0.2824676354860574,-0.014961899589157095,-0.08558238782725823
inner,-16.5000000000006,250.00000000000003,-0.3052513221887223,-0.013161268599743198,-0.09106796485240398
inner,-16.250000000000618,250.00000000000006,-0.3292482993307515,-0.011019347566711205,-0.09669593243708578
inner,-16.000000000000632,250.00000000000003,-0.3544767957105705,-0.00853032571498716,-0.10245442780636509
inner,-15.7500000000007,250.00000000000003,-0.3809492868758636,-0.0056909778517614095,-0.10832961161300791
inner,-15.500000000000613,250.00000000000003,-0.4086720599550405,-0.002500627111728379,-0.1143057570338055
inner,-15.250000000000629,250.00000000000006,-0.43764519635916466,0.0010391241035342565,-0.12036547017490604
inner,-15.000000000000645,250.00000000000003,-0.46786291710550004,0.0049245890425630425,-0.12648992903765563
inner,-14.75000000000066,250.00000000000006,-0.4993138918589327,0.009149971358450554,-0.1326590434109357
inner,-14.500000000000727,250.00000000000003,-0.5319812478396867,0.013707228797733876,-0.13885154067168806
inner,-14.25000000000064,250.00000000000003,-0.5658423714973316,0.018585956462009084,-0.14504503433886462
inner,-14.000000000000655,250.00000000000003,-0.6008687015407309,0.023773366180871173,-0.1512161229673621
inner,-13.75000000000062,250.00000000000003,-0.6370256515020064,0.02925432981012073,-0.15734052296604323
inner,-13.500000000000636,250.00000000000006,-0.6742726533431128,0.035011476222620394,-0.16339322860323452
inner,-13.250000000000652,250.00000000000006,-0.7125632986400394,0.04102535593196081,-0.16934869606595115
inner,-13.000000000000616,250.00000000000003,-0.7518455806090035,0.04727458562154022,-0.1751810242394376
inner,-12.750000000000632,250.00000000000003,-0.7920621422457144,0.05373603951876561,-0.18086414218791602
inner,-12.500000000000647,250.00000000000006,-0.8331505898399947,0.060385068269949216,-0.18637200153861003
inner,-12.250000000000613,250.00000000000006,-0.8750438625375105,0.06719574256693325,-0.19167877121970842
inner,-12.000000000000627,250.00000000000003,-0.9176706454157554,0.07414110259804876,-0.19675902542621937
inner,-11.750000000000592,250.00000000000006,-0.9609558000543309,0.08119339263779723,-0.20158791804540185
inner,-11.500000000000608,250.00000000000003,-1.0048207927582944,0.08832433756390631,-0.2061413573480994
inner,-11.250000000000675,250.00000000000003,-1.0491841787373275,0.09550540249259602,-0.21039616840690614
inner,-11.000000000000588,250.00000000000003,-1.093962084634803,0.10270807303212745,-0.21433024859015792
inner,-10.750000000000604,250.0,-1.139068712736231,0.10990409266269263,-0.21792270001038466
inner,-10.50000000000067,250.00000000000003,-1.184416810000735,0.11706572438711212,-0.22115395632498822
inner,-10.250000000000634,250.0,-1.2299181675324946,0.12416600573540248,-0.2240058968514591
inner,-10.000000000000599,249.99999999999997,-1.2754841131782788,0.13117895509885985,-0.22646193562387554
inner,-9.750000000000563,250.00000000000003,-1.321025954401292,0.13807979464391984,-0.22850710294811644
inner,-9.500000000000579,250.0,-1.3664554386957597,0.14484514547726196,-0.23012810998113295
inner,-9.250000000000595,250.0,-1.411685185552578,0.15145320189277056,-0.23131339693046898
inner,-9.00000000000056,249.99999999999997,-1.4566290898497127,0.15788388251707727,-0.23205316531271963
inner,-8.750000000000627,249.99999999999994,-1.501202695779929,0.1641189588369147,-0.23233939549436464
inner,-8.500000000000592,250.00000000000003,-1.5453235411632864,0.17014215999517546,-0.23216585005238322
inner,-8.250000000000556,249.99999999999994,-1.5889114690845532,0.17593925109983438,-0.23152806310610197
inner,-8.000000000000622,249.99999999999997,-1.6318889028834365,0.1814980872030773,-0.23042331716236752
