contact_method,contact_parameter_name,contact_parameter_value,mesh,success,nodes,elements,candidate_facets,active_facets,active_gauss_points,nonlinear_iterations,linear_iterations,max_penetration,minimum_signed_distance,contact_force_norm_n,contact_force_norm_kn,max_normal_multiplier,mean_normal_multiplier,contact_state_relative_update_norm,assembly_time_seconds,solve_time_seconds,total_time_seconds,matrix_nonzeros,min_radial_step,max_radial_step,min_angular_step,max_angular_step,min_outer_arc_step,max_outer_arc_step,min_aspect_ratio,max_aspect_ratio,linear_solver_backend
penalty,penalty_parameter,10.00000000,contact_focused_very_coarse,true,4941,4800,48,46,0,5,9604,0.24138992,-0.24139687,221.17742717,0.22117743,0.00000000,0.00000000,0.00000000,0.02663100,2.16754330,2.21504820,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,25.00000000,contact_focused_very_coarse,true,4941,4800,48,46,0,5,9381,0.09832625,-0.09832909,225.29685263,0.22529685,0.00000000,0.00000000,0.00000000,0.02561720,2.07481090,2.12071690,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,50.00000000,contact_focused_very_coarse,true,4941,4800,48,46,0,5,9292,0.04946471,-0.04946614,226.64667825,0.22664668,0.00000000,0.00000000,0.00000000,0.02617250,2.08266570,2.12931940,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,100.00000000,contact_focused_very_coarse,true,4941,4800,48,44,0,6,10705,0.02480795,-0.02480867,227.25761718,0.22725762,0.00000000,0.00000000,0.00000000,0.02727460,2.40280810,2.45093920,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,250.00000000,contact_focused_very_coarse,true,4941,4800,48,44,0,6,10598,0.00994178,-0.00994207,227.74811223,0.22774811,0.00000000,0.00000000,0.00000000,0.02703370,2.35435740,2.40225520,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,500.00000000,contact_focused_very_coarse,true,4941,4800,48,44,0,6,10520,0.00497400,-0.00497414,227.91339978,0.22791340,0.00000000,0.00000000,0.00000000,0.03154060,2.40104450,2.45376640,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,1000.00000000,contact_focused_very_coarse,true,4941,4800,48,44,0,7,11826,0.00248778,-0.00248785,227.99642193,0.22799642,0.00000000,0.00000000,0.00000000,0.02819690,2.68038280,2.72999540,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,2000.00000000,contact_focused_very_coarse,true,4941,4800,48,44,0,6,10258,0.00124408,-0.00124412,228.03802032,0.22803802,0.00000000,0.00000000,0.00000000,0.02730820,2.33503900,2.38318190,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,5000.00000000,contact_focused_very_coarse,true,4941,4800,48,44,0,13,19916,0.00049768,-0.00049769,228.06301746,0.22806302,0.00000000,0.00000000,0.00000000,0.03734900,4.46927150,4.53069390,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,10000.00000000,contact_focused_very_coarse,true,4941,4800,48,44,0,8,12694,0.00024885,-0.00024886,228.07139557,0.22807140,0.00000000,0.00000000,0.00000000,0.02975710,2.84410690,2.89605340,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,10.00000000,contact_focused_coarse,true,11011,10800,74,72,0,4,0,0.24130897,-0.24131132,221.12178219,0.22112178,0.00000000,0.00000000,0.00000000,0.06618340,5.57856030,5.76018700,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,PardisoLDLT
penalty,penalty_parameter,25.00000000,contact_focused_coarse,true,11011,10800,74,72,0,4,0,0.09828758,-0.09828854,225.10763638,0.22510764,0.00000000,0.00000000,0.00000000,0.06631950,5.50124520,5.68333890,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,PardisoLDLT
penalty,penalty_parameter,50.00000000,contact_focused_coarse,true,11011,10800,74,72,0,5,0,0.04944553,-0.04944601,226.50046633,0.22650047,0.00000000,0.00000000,0.00000000,0.07264820,6.63516730,6.78434120,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,PardisoLDLT
penalty,penalty_parameter,100.00000000,contact_focused_coarse,true,11011,10800,74,72,0,5,0,0.02479889,-0.02479913,227.20148722,0.22720149,0.00000000,0.00000000,0.00000000,0.07409630,6.58197170,6.74594810,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,PardisoLDLT
penalty,penalty_parameter,250.00000000,contact_focused_coarse,true,11011,10800,74,72,0,5,0,0.00993781,-0.00993791,227.58850436,0.22758850,0.00000000,0.00000000,0.00000000,0.07322750,6.56200030,6.74474960,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,PardisoLDLT
penalty,penalty_parameter,500.00000000,contact_focused_coarse,true,11011,10800,74,72,0,5,3971,0.00497191,-0.00497196,227.68605004,0.22768605,0.00000000,0.00000000,0.00000000,0.07517930,6.43919400,6.58906260,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,PardisoLDLT
penalty,penalty_parameter,1000.00000000,contact_focused_coarse,true,11011,10800,74,70,0,6,5925,0.00248672,-0.00248674,227.75203273,0.22775203,0.00000000,0.00000000,0.00000000,0.07495890,7.34283690,7.49889090,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,PardisoLDLT
penalty,penalty_parameter,2000.00000000,contact_focused_coarse,true,11011,10800,74,70,0,9,15787,0.00124355,-0.00124357,227.79438544,0.22779439,0.00000000,0.00000000,0.00000000,0.08451060,10.21297050,10.36473640,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,ConjugateGradient
penalty,penalty_parameter,5000.00000000,contact_focused_coarse,true,11011,10800,74,70,0,11,21387,0.00049747,-0.00049747,227.81986556,0.22781987,0.00000000,0.00000000,0.00000000,0.09133540,11.99001700,12.15094740,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,ConjugateGradient
penalty,penalty_parameter,10000.00000000,contact_focused_coarse,true,11011,10800,74,70,0,15,28696,0.00024874,-0.00024875,227.82835308,0.22782835,0.00000000,0.00000000,0.00000000,0.10310000,15.68993970,15.86655060,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,ConjugateGradient
penalty,penalty_parameter,10.00000000,contact_focused_medium,true,43621,43200,160,156,0,4,0,0.24127979,-0.24128021,220.97257021,0.22097257,0.00000000,0.00000000,0.00000000,0.95711380,25.33901750,27.33289190,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
penalty,penalty_parameter,25.00000000,contact_focused_medium,true,43621,43200,160,154,0,5,0,0.09827417,-0.09827434,225.01808708,0.22501809,0.00000000,0.00000000,0.00000000,0.98124070,30.18957170,32.20613490,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
penalty,penalty_parameter,50.00000000,contact_focused_medium,true,43621,43200,160,154,0,6,0,0.04943764,-0.04943772,226.37709395,0.22637709,0.00000000,0.00000000,0.00000000,1.02270540,35.19117860,37.33569670,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
penalty,penalty_parameter,100.00000000,contact_focused_medium,true,43621,43200,160,154,0,7,0,0.02479483,-0.02479487,227.08733455,0.22708733,0.00000000,0.00000000,0.00000000,1.04413360,68.12352240,70.39267200,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
penalty,penalty_parameter,250.00000000,contact_focused_medium,true,43621,43200,160,154,0,8,0,0.00993623,-0.00993625,227.50472661,0.22750473,0.00000000,0.00000000,0.00000000,1.07471050,81.20658010,83.50792730,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
penalty,penalty_parameter,500.00000000,contact_focused_medium,true,43621,43200,160,154,0,8,0,0.00497116,-0.00497116,227.63233033,0.22763233,0.00000000,0.00000000,0.00000000,1.23844890,81.47985220,83.93216430,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
penalty,penalty_parameter,1000.00000000,contact_focused_medium,true,43621,43200,160,152,0,9,0,0.00248634,-0.00248635,227.70059534,0.22770060,0.00000000,0.00000000,0.00000000,1.27018120,90.59206570,93.10550880,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
penalty,penalty_parameter,2000.00000000,contact_focused_medium,true,43621,43200,160,152,0,9,0,0.00124336,-0.00124337,227.74060103,0.22774060,0.00000000,0.00000000,0.00000000,1.28346770,90.62247180,93.15217840,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
penalty,penalty_parameter,5000.00000000,contact_focused_medium,true,43621,43200,160,152,0,9,0,0.00049739,-0.00049739,227.76468762,0.22776469,0.00000000,0.00000000,0.00000000,1.27058540,90.37650170,92.88700330,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
penalty,penalty_parameter,10000.00000000,contact_focused_medium,true,43621,43200,160,152,0,10,0,0.00024870,-0.00024870,227.77273121,0.22777273,0.00000000,0.00000000,0.00000000,1.30609900,99.38728920,101.95861040,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
penalty,penalty_parameter,10.00000000,contact_focused_dense,true,77361,76800,222,216,0,5,0,0.24128134,-0.24128154,220.96955403,0.22096955,0.00000000,0.00000000,0.00000000,4.43007680,110.37148360,119.22511720,2764786,0.10433160,0.41663770,0.00048288,0.00616436,0.14245893,1.85179895,1.38824065,17.72220204,PardisoLDLT
penalty,penalty_parameter,25.00000000,contact_focused_dense,true,77361,76800,222,214,0,6,0,0.09827409,-0.09827417,225.00516696,0.22500517,0.00000000,0.00000000,0.00000000,4.49521240,128.66833810,137.69916270,2764786,0.10433160,0.41663770,0.00048288,0.00616436,0.14245893,1.85179895,1.38824065,17.72220204,PardisoLDLT
penalty,penalty_parameter,50.00000000,contact_focused_dense,true,77361,76800,222,214,0,6,0,0.04943778,-0.04943782,226.38205991,0.22638206,0.00000000,0.00000000,0.00000000,3.46003380,70.32910330,77.30639190,2764786,0.10433160,0.41663770,0.00048288,0.00616436,0.14245893,1.85179895,1.38824065,17.72220204,PardisoLDLT
penalty,penalty_parameter,100.00000000,contact_focused_dense,true,77361,76800,222,214,0,8,0,0.02479472,-0.02479474,227.07036525,0.22707037,0.00000000,0.00000000,0.00000000,3.61203080,90.91030470,98.16470680,2764786,0.10433160,0.41663770,0.00048288,0.00616436,0.14245893,1.85179895,1.38824065,17.72220204,PardisoLDLT
penalty,penalty_parameter,250.00000000,contact_focused_dense,true,77361,76800,222,214,0,8,0,0.00993621,-0.00993621,227.49623343,0.22749623,0.00000000,0.00000000,0.00000000,3.59667650,92.01675620,99.23085950,2764786,0.10433160,0.41663770,0.00048288,0.00616436,0.14245893,1.85179895,1.38824065,17.72220204,PardisoLDLT
penalty,penalty_parameter,500.00000000,contact_focused_dense,true,77361,76800,222,214,0,9,0,0.00497115,-0.00497116,227.63230589,0.22763231,0.00000000,0.00000000,0.00000000,3.70084390,101.19077680,108.62551390,2764786,0.10433160,0.41663770,0.00048288,0.00616436,0.14245893,1.85179895,1.38824065,17.72220204,PardisoLDLT
penalty,penalty_parameter,1000.00000000,contact_focused_dense,true,77361,76800,222,214,0,9,0,0.00248634,-0.00248634,227.69302699,0.22769303,0.00000000,0.00000000,0.00000000,3.86404930,100.93770170,108.62748250,2764786,0.10433160,0.41663770,0.00048288,0.00616436,0.14245893,1.85179895,1.38824065,17.72220204,PardisoLDLT
penalty,penalty_parameter,2000.00000000,contact_focused_dense,true,77361,76800,222,212,0,11,0,0.00124336,-0.00124336,227.72922161,0.22772922,0.00000000,0.00000000,0.00000000,4.10335770,121.03322490,129.13500370,2764786,0.10433160,0.41663770,0.00048288,0.00616436,0.14245893,1.85179895,1.38824065,17.72220204,PardisoLDLT
penalty,penalty_parameter,5000.00000000,contact_focused_dense,true,77361,76800,222,212,0,11,0,0.00049739,-0.00049739,227.75340152,0.22775340,0.00000000,0.00000000,0.00000000,3.96067250,121.93287320,129.85958460,2764786,0.10433160,0.41663770,0.00048288,0.00616436,0.14245893,1.85179895,1.38824065,17.72220204,PardisoLDLT
penalty,penalty_parameter,10000.00000000,contact_focused_dense,true,77361,76800,222,212,0,11,0,0.00024870,-0.00024870,227.76148416,0.22776148,0.00000000,0.00000000,0.00000000,3.99658840,121.84607860,129.83540200,2764786,0.10433160,0.41663770,0.00048288,0.00616436,0.14245893,1.85179895,1.38824065,17.72220204,PardisoLDLT
penalty,penalty_parameter,10.00000000,contact_focused_heavy,true,120701,120000,286,278,0,5,0,0.24128309,-0.24128320,220.95627114,0.22095627,0.00000000,0.00000000,0.00000000,7.93825660,99.20661860,115.37839230,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,25.00000000,contact_focused_heavy,true,120701,120000,286,278,0,6,0,0.09827489,-0.09827493,225.00148469,0.22500148,0.00000000,0.00000000,0.00000000,8.05369190,115.41367850,131.82185520,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,50.00000000,contact_focused_heavy,true,120701,120000,286,278,0,6,0,0.04943826,-0.04943828,226.38598876,0.22638599,0.00000000,0.00000000,0.00000000,8.10394990,115.27878640,131.72141030,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,100.00000000,contact_focused_heavy,true,120701,120000,286,276,0,8,0,0.02479497,-0.02479498,227.07789627,0.22707790,0.00000000,0.00000000,0.00000000,8.42870910,148.01141290,165.21307400,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,250.00000000,contact_focused_heavy,true,120701,120000,286,276,0,9,0,0.00993631,-0.00993632,227.50594998,0.22750595,0.00000000,0.00000000,0.00000000,8.51426960,164.82124010,182.23864220,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,500.00000000,contact_focused_heavy,true,120701,120000,286,276,0,9,0,0.00497122,-0.00497122,227.64751923,0.22764752,0.00000000,0.00000000,0.00000000,8.50404040,164.98694940,182.29147040,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,1000.00000000,contact_focused_heavy,true,120701,120000,286,276,0,10,0,0.00248637,-0.00248637,227.71782515,0.22771783,0.00000000,0.00000000,0.00000000,8.72487330,181.37172930,199.24588350,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,2000.00000000,contact_focused_heavy,true,120701,120000,286,276,0,11,0,0.00124338,-0.00124338,227.75279625,0.22775280,0.00000000,0.00000000,0.00000000,8.76429730,198.30824210,216.28380790,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,5000.00000000,contact_focused_heavy,true,120701,120000,286,276,0,12,0,0.00049740,-0.00049740,227.77370423,0.22777370,0.00000000,0.00000000,0.00000000,8.96274370,214.84639240,233.38174640,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,10000.00000000,contact_focused_heavy,true,120701,120000,286,276,0,12,0,0.00024871,-0.00024871,227.78065929,0.22778066,0.00000000,0.00000000,0.00000000,8.88618770,214.57383790,233.07358130,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
augmented_lagrangian,augmentation_parameter,10.00000000,contact_focused_very_coarse,true,4941,4800,48,44,88,55,149871,0.00000001,-0.00000002,228.07970298,0.22807970,2.48855666,2.27944837,0.00000002,0.13738330,33.68658720,33.92130650,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
augmented_lagrangian,augmentation_parameter,25.00000000,contact_focused_very_coarse,true,4941,4800,48,44,88,24,71393,0.00000001,-0.00000001,228.07970279,0.22807970,2.48855673,2.27944838,0.00000004,0.07595020,16.03152170,16.16049390,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
augmented_lagrangian,augmentation_parameter,50.00000000,contact_focused_very_coarse,true,4941,4800,48,44,88,14,46679,0.00000001,-0.00000001,228.07970301,0.22807970,2.48855669,2.27944838,0.00000006,0.05606070,10.46631550,10.56197940,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
augmented_lagrangian,augmentation_parameter,100.00000000,contact_focused_very_coarse,true,4941,4800,48,44,88,9,32954,0.00000000,-0.00000000,228.07970359,0.22807970,2.48855673,2.27944839,0.00000007,0.04482740,7.36839840,7.44608990,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
augmented_lagrangian,augmentation_parameter,250.00000000,contact_focused_very_coarse,true,4941,4800,48,44,88,7,26712,0.00000000,-0.00000000,228.07970398,0.22807970,2.48855669,2.27944840,0.00000002,0.04062960,6.01099030,6.08135940,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
