facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,25051,0,0,0,-64.036297825480816,-293.08198655889817,-61.89513834563553,-301.60256348335537,0,1,1,3.0342811314606006,0,3.0342811314606006,0,0.39743651664463192,0,0,0,0
1,25052,0,0,0,-61.068749855262048,-293.71466779109295,-58.767776882483844,-301.84312667442379,0,1,1,3.0342811230063726,0,3.0342811230063726,0,0.15687332557618561,0,0,0,0
2,25053,0,0,0,-58.094954683388202,-294.31730245596452,-55.65395109298678,-301.9685555076,0,1,1,3.034281054484222,0,3.034281054484222,0,0.03144449239999858,0,0,0,0
3,25054,0,1,2,-55.115216765568292,-294.88982886200171,-52.535742403611216,-302.00000028377991,0,1,1,3.0342805564308479,3.0342805564308479,3.0342805564308479,3.0342805564308479,-2.8377991156958155e-07,1.4921998001682368e-06,2.9843996003364737e-06,3.2002881931725478,1.054710707745816
4,25055,0,1,2,-52.129842491863243,-295.43218817873486,-49.370832798942111,-301.99999957306545,0,1,1,3.0342773097612086,3.0342773097612086,3.0342773097612086,3.0342773097612086,4.2693454815889698e-07,9.3167693648865679e-07,1.8633538729773136e-06,3.6767305154531584,1.2117318689446053
5,25056,0,1,2,-49.139146410211623,-295.94432349553051,-46.163966450556998,-302.00000048713258,0,1,1,3.0342582939388416,3.0342582939388416,3.0342582939388416,3.0342582939388416,-4.8713255296206636e-07,1.1248420719311982e-06,2.249684143862396e-06,4.2542963361810084,1.402087734152127
6,25057,0,1,2,-46.143482194607216,-296.4261754996686,-42.936649243211235,-301.99999950935097,0,1,1,3.0341585954809496,3.0341585954809496,3.0341585954809496,3.0341585954809496,4.9064905738305242e-07,3.5369001238905184e-07,7.0738002477810369e-07,4.6734380144118042,1.5402747968983506
7,25058,0,1,2,-43.143378851510505,-296.87766511089791,-39.693631416538913,-302.00000039557619,0,1,1,3.0336905422659295,3.0336905422659295,3.0336905422659295,3.0336905422659295,-3.9557616560159659e-07,5.409714560755674e-07,1.0819429121511348e-06,5.0725914435370667,1.6720859866439237
8,25059,0,1,2,-40.14006887830709,-297.29863274119066,-36.43780802850479,-301.99999975155987,0,1,1,3.0317260188620012,3.0317260188620012,3.0317260188620012,3.0317260188620012,2.4844013069014181e-07,3.305180484858284e-08,6.6103609697165666e-08,5.4257140575498237,1.7896452462371379
9,25060,0,1,2,-37.137282070866675,-297.68865543444684,-33.173892150848687,-302.000000116406,0,1,1,3.0243716835374528,3.0243716835374528,3.0243716835374528,3.0243716835374528,-1.1640602792795107e-07,1.1640602792795107e-07,2.2030570789866033e-07,5.7335776359973138,1.8957913364970544
10,25061,0,1,2,-34.146393240223084,-298.04659632058008,-29.914767447610615,-301.99999996832554,0,1,1,3.0001669294940183,3.0001669294940183,3.0001669294940183,3.0001669294940183,3.1674431966166594e-08,0,0,5.9653466415218741,1.9883382430750067
11,25062,0,1,2,-31.198040638250234,-298.36979270997847,-26.694466293396552,-302.00000000090461,0,1,1,2.9319335180343735,2.9319335180343735,2.9319335180343735,2.9319335180343735,-9.0457774604146834e-10,9.0457774604146834e-10,1.3087060324323829e-09,6.0522108530952821,2.0642387748112392
12,25063,0,1,2,-28.358406147262858,-298.6534358180831,-23.586315793101861,-302.00000000501285,0,1,1,2.7756619685974959,2.7756619685974959,2.7756619685974959,2.7756619685974959,-5.012822157368646e-09,5.012822157368646e-09,6.9805992097826675e-09,5.8914201155658397,2.1225279526896763
13,25064,0,1,2,-25.729880285179984,-298.89196535814312,-20.703967981784515,-301.9999999997687,0,1,1,2.5030420347023812,2.5030420347023812,2.5030420347023812,2.5030420347023812,2.3126744963519725e-10,2.3821087324904511e-09,4.7642174649809022e-09,5.4336297427612834,2.1708104248466435
14,25065,0,1,2,-23.410707009682056,-299.0832359111804,-18.157049177454873,-301.99999999778845,0,1,1,2.1510873566947701,2.1510873566947701,2.1510873566947701,2.1510873566947701,2.2115216324891662e-09,8.2033579928975087e-10,1.6406715985795017e-09,4.7693564883696542,2.2171840086020294
