contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-28.937521374918266,289.3336583813765,0.016301648512454303,-2.5848019433932085e-05,0.002140693768190742
inner,-28.545465644554277,289.3526300512408,0.017536356953733644,5.184499949879417e-05,0.004054835597903017
inner,-28.153487915410967,289.37263364917743,0.019678202346507554,0.00034489407867389996,0.007920489320168079
inner,-27.76156727609323,289.3936039717537,0.021219814406220856,0.0008849107323550629,0.011684477380045999
inner,-27.369686502985292,289.4154890564425,0.022258707413099134,0.0016222590266759286,0.015385684595230998
inner,-26.9778315698666,289.43823939827445,0.022878643992177893,0.0025119340184734298,0.019034854221053013
inner,-26.585991308226358,289.46180107069796,0.02315320778517791,0.0035119445345909404,0.02262623960065235
inner,-26.19415712755594,289.48611162771726,0.023147282449002143,0.004582717038878991,0.026145593772388148
inner,-25.802322750521995,289.5110978803378,0.022917488566527033,0.005686970758319906,0.02957529828229621
inner,-25.410483945580125,289.5366748507876,0.02251219621013701,0.006789719010603174,0.03289734496742246
inner,-25.01863825520896,289.5627453892384,0.02197145406532121,0.007858203708913141,0.03609476874360273
inner,-24.626784725592763,289.5892000853534,0.021327000082721786,0.008861676102346608,0.03915201006873806
inner,-24.23492364617927,289.61591722198165,0.020602410206442424,0.009771005135521843,0.042054573872929726
inner,-23.84305630715015,289.64276260442387,0.019813378354338523,0.010558134121925487,0.04478825337830947
inner,-23.47794286640286,289.3264383200831,0.019475048330422365,0.010303561142071682,0.04736134909780441
inner,-23.088037196877952,289.353001002227,0.018547431835181736,0.010652477922081691,0.049683619706568774
inner,-22.698135308687277,289.3792223158213,0.017556916631137332,0.010788991097478775,0.05178337065197258
inner,-22.30824068012905,289.4049147466668,0.01649131193049763,0.01068320931673559,0.053636645778285544
inner,-21.91835694338272,289.4298736729553,0.015332064916540586,0.010303011611242738,0.05521395604754206
inner,-21.528487780401896,289.45387533085545,0.01405422878348394,0.009613432765984347,0.05647902453113827
inner,-21.138636827587817,289.4766744128904,0.012626184367440677,0.008576145257075934,0.05738748206237614
inner,-20.748807579516374,289.49800128469946,0.01100905614493427,0.007149064302463631,0.05788548879206149
inner,-20.359003279831164,289.5175588026384,0.009155756760531347,0.005286107791136856,0.057908257145252454
inner,-19.96922678487975,289.5350187126236,0.007009584120778695,0.0029371518303165194,0.0573784551568869
