contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-28.93756895838579,289.33356516256424,0.016289896306271937,-2.5818258980610763e-05,0.0021392443688843794
inner,-28.54551287463556,289.35254724554403,0.017523902171350043,5.1840549215358134e-05,0.004052085200149206
inner,-28.153534775073705,289.37256026508726,0.01966454345498163,0.0003447387749409788,0.007915121455182871
inner,-27.761613760552905,289.39353907310203,0.021205320066971206,0.0008844570682230203,0.011676589391553251
inner,-27.369732617453074,289.4154317516903,0.022243686384941598,0.001621390763400629,0.015375342766575777
inner,-26.977877327591106,289.43818883755614,0.02286335385115589,0.0025105636045869,0.01902211413983073
inner,-26.586036728738687,289.46175644787917,0.0231378613717148,0.003510011486658122,0.022611158384463745
inner,-26.19420223508159,289.48607218551217,0.02313205336488316,0.0045801866619770955,0.026128236699703926
inner,-25.80236757255322,289.5110629171665,0.022902516402878288,0.005683832935909175,0.02955574180945913
inner,-25.410528511610487,289.5366437285369,0.022497591775788323,0.006785986984926547,0.032875677621100836
inner,-25.018682595634637,289.56271754145143,0.02195730467228002,0.007853912892173574,0.03607109095736615
inner,-24.626828870780272,289.5891750256206,0.02131337485231934,0.008856883033967207,0.03912643371221024
inner,-24.23496762569438,289.6158945524937,0.02058936531111569,0.009765786688621575,0.042027221967377494
inner,-23.84310014913762,289.64274202475184,0.01980096211711607,0.010552587054611814,0.04475926030629791
inner,-23.477986026539302,289.32641966872376,0.01946299822067394,0.01029840033049107,0.047330872743128694
inner,-23.088080247052645,289.3529841446235,0.01853612439809876,0.010647313200389186,0.04965182815184188
inner,-22.69817826882586,289.3792072934741,0.01754640693136889,0.010783983424408755,0.05175044202812915
inner,-22.30828356742774,289.4049017366871,0.01648166586514883,0.010678541465692342,0.05360277774992402
inner,-21.91839977223508,289.4298630004575,0.015323363717690903,0.010298889767896727,0.05517937001516293
inner,-21.52853056240209,289.4538674828261,0.01404657368486088,0.009610088471719153,0.05644397072696819
