facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,119658,0,0,0,-64.713572291560467,-292.93602647053319,-62.639732592404286,-301.5771302880683,0,1,1,1.5974441086477675,0,1.5974441086477675,0,0.42286971193163936,0,0,0,0
1,119659,0,0,0,-63.152830622021597,-293.27646006372032,-60.990468927867312,-301.72864561939076,0,1,1,1.5974441077420825,0,1.5974441077420825,0,0.27135438060923889,0,0,0,0
2,119660,0,0,0,-61.590298341658027,-293.60857820109504,-59.340698290306747,-301.84914134385139,0,1,1,1.597444104857995,0,1.597444104857995,0,0.15085865614858565,0,0,0,0
3,119661,0,0,0,-60.026019757848587,-293.93237146513894,-57.692810194141252,-301.93583813266275,0,1,1,1.5974440960067076,0,1.5974440960067076,0,0.064161867337219292,0,0,0,0
4,119662,0,0,0,-58.460039235215945,-294.24783067293504,-56.050672436160333,-301.98518197665908,0,1,1,1.5974440694528491,0,1.5974440694528491,0,0.01481802334089366,0,0,0,0
5,119663,0,1,2,-56.892401208442621,-294.55494687394105,-54.41121642104288,-302.0000000000021,0,1,1,1.5974439926263153,1.5974439926263153,1.5974439926263153,1.5974439926263153,-2.1316282072803006e-12,2.1316282072803006e-12,2.8990143619012088e-12,1.0687232542440934,0.66902079771011802
6,119664,0,1,2,-55.323150219076034,-294.85371134374884,-52.755368106513018,-302.00000000000051,0,1,1,1.5974437765692309,1.5974437765692309,1.5974437765692309,1.5974437765692309,-5.1159076974727203e-13,5.1159076974727203e-13,6.2527760746888816e-13,1.6635830701329581,1.0414032058804423
7,119665,0,1,2,-53.752331014222442,-295.14411556789378,-51.07952782356638,-302.00000000000023,0,1,1,1.5974431861329637,1.5974431861329637,1.5974431861329637,1.5974431861329637,-2.5579538487363607e-13,2.5579538487363607e-13,2.8421709430404007e-13,1.7524424463821344,1.0970295917843487
8,119666,0,1,2,-52.179988793844061,-295.42615120285927,-49.395578889612651,-302.00000000000023,0,1,1,1.5974416291298239,1.5974416291298239,1.5974416291298239,1.5974416291298239,-2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,1.9267338228660509,1.2061372307641705
9,119667,0,1,2,-50.606169829881807,-295.69980998204124,-47.706269476323058,-302.00000000000023,0,1,1,1.5974376155044943,1.5974376155044943,1.5974376155044943,1.5974376155044943,-2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,2.0594093434174878,1.2891954736943489
10,119668,0,1,2,-49.030922899611085,-295.96508350789429,-46.012733993741989,-302.00000000000011,0,1,1,1.5974276540977228,1.5974276540977228,1.5974276540977228,1.5974276540977228,-1.7053025658242404e-13,1.7053025658242404e-13,2.2737367544323206e-13,2.1906486079739689,1.3713601378782416
11,119669,0,1,2,-47.454302588311315,-296.2219627936189,-44.315431219469055,-302.00000000000011,0,1,1,1.5974035843550445,1.5974035843550445,1.5974035843550445,1.5974035843550445,-1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,2.3124961957892687,1.447659325694417
12,119670,0,1,2,-45.876376581446152,-296.47043729895842,-42.614576243575456,-302.00000000000006,0,1,1,1.5973472029424134,1.5973472029424134,1.5973472029424134,1.5973472029424134,-8.5265128291212022e-14,8.5265128291212022e-14,1.1368683772161603e-13,2.4283955356107008,1.5202678109915266
13,119671,0,1,2,-44.297240913283972,-296.71049302282017,-40.910301984402338,-302,0,1,1,1.5972196159829339,1.5972196159829339,1.5972196159829339,1.5972196159829339,-5.6843418860808015e-14,5.6843418860808015e-14,5.6843418860808015e-14,2.5381800376178099,1.5891240078815374
14,119672,0,1,2,-42.717052196480495,-296.94210866619983,-39.202757698385462,-302.00000000000011,0,1,1,1.5969377119055346,1.5969377119055346,1.5969377119055346,1.5969377119055346,-1.1368683772161603e-13,1.1368683772161603e-13,1.7053025658242404e-13,2.6423537953762137,1.6546379834835536
15,119673,0,1,2,-41.136089103504929,-297.16524880746005,-37.492202564982016,-302.00000000000011,0,1,1,1.5963388974243498,1.5963388974243498,1.5963388974243498,1.5963388974243498,-1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,2.7409843906088427,1.7170441658919342
16,119674,0,1,2,-39.55487117939397,-297.37985150146562,-35.779147826736775,-302.00000000000011,0,1,1,1.5951011851969417,1.5951011851969417,1.5951011851969417,1.5951011851969417,-1.1368683772161602e-13,1.1368683772161602e-13,1.1368683772161603e-13,2.8338355435046623,1.7765866954420062
17,119675,0,1,2,-37.97437357122724,-297.58580751408476,-34.064599206114039,-302.00000000000011,0,1,1,1.5926306074229213,1.5926306074229213,1.5926306074229213,1.5926306074229213,-1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,2.9199973755675241,1.8334429603186211
18,119676,0,1,2,-36.396386540199913,-297.78292883111703,-32.350457989266857,-302.00000000000011,0,1,1,1.5878835954992241,1.5878835954992241,1.5878835954992241,1.5878835954992241,-1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,2.9974115443275737,1.8876771274818793
19,119677,0,1,2,-34.824111084642979,-297.97090113039121,-30.640183168868688,-302.00000000000011,0,1,1,1.5790715082956541,1.5790715082956541,1.5790715082956541,1.5790715082956541,-1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,3.0621164135827508,1.9391879325894479
20,119678,0,1,2,-33.262984774264879,-298.14922893367259,-28.939709994321795,-302.00000000000011,0,1,1,1.5634962916216466,1.5634962916216466,1.5634962916216466,1.5634962916216466,-1.4210854715202004e-13,1.4210854715202004e-13,1.7053025658242404e-13,3.1077045574479811,1.9876635295531742
21,119679,0,1,2,-31.721668365555079,-298.31718834115338,-27.258549442606032,-302.00000000000017,0,1,1,1.5373956349008755,1.5373956349008755,1.5373956349008755,1.5373956349008755,-1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,3.1249271196536972,2.0326108964496825
22,119680,0,1,2,-30.212865427647174,-298.47382285821118,-25.610707962575653,-302.00000000000017,0,1,1,1.4964371768210205,1.4964371768210205,1.4964371768210205,1.4964371768210205,-1.9895196601282808e-13,1.9895196601282808e-13,2.8421709430404007e-13,3.1028242245662865,2.0734744315547009
23,119681,0,1,2,-28.753325421918468,-298.61803383470283,-24.014710119204548,-302.00000000000017,0,1,1,1.4368658636328777,1.4368658636328777,1.4368658636328777,1.4368658636328777,-1.9895196601282803e-13,1.9895196601282803e-13,2.8421709430404007e-13,3.0317381944671262,2.1099660526431308
24,119682,0,1,2,-27.362058474366584,-298.74881883249247,-22.491647778671499,-302,0,1,1,1.3579429088909403,1.3579429088909403,1.3579429088909403,1.3579429088909403,2.8421709430404007e-14,0,0,2.9090290288513905,2.1422322026978691
25,119683,0,1,2,-26.056942503221215,-298.86558371827027,-21.061442778248438,-302.00000000000085,0,1,1,1.2627210640193132,1.2627210640193132,1.2627210640193132,1.2627210640193132,-8.8107299234252413e-13,8.8107299234252413e-13,1.4210854715202004e-12,2.7411910712795544,2.1708603343910231
26,119684,0,1,2,-24.850892956622264,-298.96838930354238,-19.738606670629935,-301.99999999999778,0,1,1,1.1581303968369348,1.1581303968369348,1.1581303968369348,1.1581303968369348,2.2453150450019166e-12,2.8421709430404007e-14,5.6843418860808015e-14,2.5439332740922036,2.1965862229677668
27,119685,0,1,2,-23.749475261171959,-299.05799731103195,-18.529575723328634,-302.00000000000659,0,1,1,1.0519869462716731,1.0519869462716731,1.0519869462716731,1.0519869462716731,-6.5654148784233249e-12,6.9917405198793858e-12,1.3983481039758772e-11,2.3352137398886064,2.2198124683626475
