contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.3357970783152484,0.202037665663532,0.15608088609582388
inner,-29.850000000000026,249.99999999999997,0.26003198341941947,0.17583700647064868,0.1325653410801027
inner,-29.700000000000088,249.99999999999997,0.1636440993039836,0.14395468688141072,0.09693712466073552
inner,-29.550000000000043,249.99999999999997,0.13234134620628385,0.13242747802325816,0.07770970458810117
inner,-29.400000000000105,249.99999999999997,0.11426008925696787,0.12294845986097708,0.06647416616718788
inner,-29.250000000000064,249.99999999999994,0.10236248662897215,0.11539548293160881,0.05892291474360793
inner,-29.100000000000122,249.99999999999994,0.09353394019861343,0.10906502369672946,0.053347647941794016
inner,-28.95000000000008,249.99999999999997,0.08656455710200602,0.10366304735062623,0.0489547020926908
inner,-28.800000000000143,249.99999999999994,0.08081347174785335,0.09895756416881613,0.045340893751762104
inner,-28.6500000000001,249.99999999999997,0.07592157229463717,0.09478790275940904,0.04227663905154967
inner,-28.50000000000006,249.99999999999997,0.07166511038206565,0.09103544559659643,0.03961988515417554
inner,-28.35000000000012,249.99999999999997,0.06789647218287226,0.08761237998090891,0.037276590735088724
inner,-28.200000000000077,249.99999999999994,0.06451293506577555,0.08445247899607639,0.03518126721009708
inner,-28.05000000000014,249.99999999999997,0.0614400729244239,0.08150515357103752,0.033286440979839224
inner,-27.900000000000098,249.99999999999994,0.05862207569184068,0.07873124635248396,0.03155656098837638
inner,-27.750000000000156,249.99999999999997,0.05601586832054762,0.07610009253139094,0.029964268174035018
inner,-27.600000000000115,249.99999999999997,0.053587362366993165,0.07358741954388477,0.028488009124990738
inner,-27.450000000000177,249.99999999999997,0.05130898174091837,0.07117382906758174,0.02711045317104317
inner,-27.300000000000132,249.99999999999997,0.049157976662275046,0.06884368389614715,0.025817410429576262
inner,-27.150000000000194,249.99999999999997,0.04711524351642572,0.06658428135356617,0.024597072960946296
inner,-27.000000000000153,249.99999999999994,0.04516447900397065,0.06438523200621955,0.023439470461316066
inner,-26.85000000000021,249.99999999999997,0.04329156109678444,0.06223798748133366,0.02233607199961352
inner,-26.70000000000017,249.99999999999994,0.041484087413790574,0.06013547791141595,0.021279489382400554
inner,-26.55000000000023,249.99999999999997,0.039731025110203266,0.058071830937193945,0.020263252637629528
inner,-26.40000000000019,249.99999999999994,0.038022441210685654,0.0560421520530539,0.019281637590202447
inner,-26.25000000000025,249.99999999999994,0.03634929193983838,0.05404235157048797,0.01832953167149479
inner,-26.100000000000207,249.99999999999997,0.03470325596534025,0.052069007342603016,0.017402328207689235
inner,-25.950000000000166,249.99999999999994,0.03307660077012986,0.05011925515609496,0.01649584221141228
inner,-25.800000000000228,249.99999999999994,0.031462074356165035,0.04819070072991366,0.015606242613982562
inner,-25.650000000000187,249.99999999999994,0.0298528165203877,0.04628134869409793,0.014729997214796895
inner,-25.500000000000245,249.99999999999994,0.02824228542305921,0.044389545011415,0.013863827577795798
inner,-25.350000000000204,249.99999999999994,0.026624196246165212,0.04251393013448093,0.013004671787859398
inner,-25.200000000000266,249.99999999999997,0.02499246947049309,0.04065340075822507,0.012149653478227372
inner,-25.050000000000225,249.99999999999997,0.02334118689446592,0.03880707851352437,0.011296055909158116
inner,-24.900000000000283,249.99999999999997,0.02166455394252572,0.03697428430210738,0.01044130015108508
inner,-24.75000000000024,249.99999999999994,0.01995686710682886,0.03515451722194412,0.009582926630281732
inner,-24.600000000000303,249.99999999999994,0.0182124856266819,0.033347437260814725,0.008718579452238265
inner,-24.45000000000026,249.99999999999997,0.01642580669189725,0.031552851093112434,0.00784599303923364
inner,-24.30000000000032,249.99999999999997,0.014591243593047063,0.029770700437601882,0.006962980709971892
inner,-24.15000000000028,249.99999999999994,0.012703206364310424,0.02800105254704851,0.006067424900829413
inner,-24.000000000000288,249.99999999999997,0.010756084548636415,0.026244092474641594,0.005157268786761883
inner,-23.850000000000296,249.99999999999994,0.008744231779004484,0.02450011681878041,0.004230509104727728
inner,-23.70000000000031,249.99999999999997,0.00666195193509909,0.022769528711835792,0.0032851900159853575
inner,-23.550000000000317,249.99999999999997,0.004503486677526875,0.021052833854089865,0.0023193978750803202
inner,-23.400000000000276,249.99999999999997,0.0022630041935326837,0.019350637417658675,0.0013312567974045112
inner,-23.250000000000334,249.99999999999997,-6.541097062142363e-05,0.01766364169003453,0.000318924932386987
inner,-23.100000000000293,249.99999999999997,-0.0024877670994856963,0.015992644337356948,-0.0007194086321446755
inner,-22.950000000000355,249.99999999999997,-0.005010173608895106,0.01433853717578745,-0.0017855263950557138
inner,-22.800000000000313,250.0,-0.007638848516977414,0.012702305371897277,-0.002881184449995928
inner,-22.65000000000037,249.99999999999997,-0.01038012514079513,0.01108502699324533,-0.004008114018572098
inner,-22.50000000000033,249.99999999999997,-0.01324045805730387,0.009487872836459355,-0.005168022542920256
inner,-22.35000000000034,249.99999999999997,-0.016226428351228863,0.007912106474032638,-0.006362594366791062
inner,-22.20000000000035,249.99999999999997,-0.019344748168416807,0.006359084462425205,-0.007593491028695269
inner,-22.05000000000036,249.99999999999997,-0.02260226457907316,0.0048302566604138866,-0.008862351185897356
inner,-21.900000000000368,250.0,-0.026005962752466305,0.003327166602036919,-0.010170790183618553
inner,-21.750000000000377,249.99999999999997,-0.029562968430188616,0.0018514518816301834,-0.011520399281350346
inner,-21.600000000000385,249.99999999999994,-0.0332805496829817,0.00040484450296811953,-0.012912744544730872
inner,-21.450000000000447,249.99999999999997,-0.0371661179262683,-0.0010108288548162216,-0.01434936540861619
inner,-21.300000000000406,250.0,-0.04122722816600494,-0.002393646699282284,-0.015831772916504783
inner,-21.150000000000464,250.0,-0.04547157844404318,-0.003741592766380116,-0.017361447637487242
inner,-21.000000000000423,249.99999999999997,-0.049907008430713926,-0.005052556280088381,-0.01893983726106855
inner,-20.850000000000485,249.99999999999997,-0.05454149712915095,-0.006324332486165288,-0.020568353871051877
inner,-20.70000000000039,250.0,-0.05938315963944606,-0.00755462350791967,-0.022248370896542382
inner,-20.550000000000402,250.00000000000003,-0.06444024292363741,-0.008741039573387647,-0.023981219737464976
inner,-20.40000000000046,250.0,-0.06972112051250255,-0.009881100667062624,-0.02576818606273512
inner,-20.25000000000042,250.00000000000003,-0.07523428609388133,-0.010972238659882921,-0.027610505779514547
inner,-20.100000000000428,250.00000000000003,-0.08098834591821993,-0.012011799974015849,-0.029509360671238057
inner,-19.95000000000044,249.99999999999997,-0.08699200994573926,-0.01299704883350232,-0.03146587370233156
inner,-19.800000000000498,250.0,-0.09325408167070129,-0.013925171163346291,-0.03348110398916785
inner,-19.650000000000457,250.0,-0.09978344654799136,-0.014793279189431926,-0.03555604143810338
inner,-19.500000000000465,250.00000000000003,-0.10658905894838164,-0.015598416798119557,-0.03769160105142067
inner,-19.350000000000477,250.0,-0.11367992756724754,-0.016337565710938702,-0.03988861690463317
inner,-19.200000000000486,250.00000000000003,-0.12106509921462773,-0.01700765252732816,-0.04214783580039324
inner,-19.050000000000495,250.00000000000006,-0.12875364091144273,-0.017605556688215007,-0.044469910604426725
inner,-18.900000000000503,250.00000000000003,-0.13675462022502483,-0.0181281194076117,-0.04685539327564752
inner,-18.75000000000051,250.0,-0.14507708378852258,-0.018572153593059675,-0.049304727610832516
inner,-18.600000000000524,250.00000000000003,-0.15373003398580395,-0.01893445476043304,-0.0518182417359282
inner,-18.450000000000532,250.00000000000003,-0.16272240384699607,-0.019211812833841636,-0.054396140427652326
