facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,43001,0,0,0,-64.407147263331154,-293.00243115306034,-62.309450503267882,-301.60541858366179,0,1,1,2.2757150926644361,0,2.2757150926644361,0,0.39458141633826926,0,0,0,0
1,43002,0,0,0,-62.182676642298851,-293.48257189449305,-59.959360028354816,-301.80511011081694,0,1,1,2.2757150903055479,0,2.2757150903055479,0,0.19488988918308792,0,0,0,0
2,43003,0,0,0,-59.954627844113119,-293.9458247369646,-57.61138307628913,-301.93879818720853,0,1,1,2.2757150784862756,0,2.2757150784862756,0,0.061201812791523487,0,0,0,0
3,43004,0,0,0,-57.72312910382098,-294.39216301856163,-55.2779664504992,-301.99421976104668,0,1,1,2.2757150228037561,0,2.2757150228037561,0,0.0057802389533208043,0,0,0,0
4,43005,0,1,2,-55.488308944361037,-294.82156103490729,-52.932292589392588,-302.00004582328921,0,1,1,2.2757147761662848,2.2757147761662848,2.2757147761662848,2.2757147761662848,-4.5823289184454552e-05,0.00011286988151937294,0.00022573976303874588,2.9841110838367699,1.3112851905210474
5,43006,0,1,2,-53.250296443005794,-295.23399399538164,-50.550184419611732,-301.9999302027781,0,1,1,2.2757137491179007,2.2757137491179007,2.2757137491179007,2.2757137491179007,6.9797221897260897e-05,2.1682859369320795e-05,4.336571873864159e-05,2.3505616760461274,1.032889868928919
6,43007,0,1,2,-51.009222246890161,-295.62943786450023,-48.150064513367816,-302.00004387259639,0,1,1,2.2757097239826463,2.2757097239826463,2.2757097239826463,2.2757097239826463,-4.3872596478422565e-05,4.5704118434741758e-05,9.1408236869483517e-05,2.9216990461424777,1.2838627946930359
7,43008,0,1,2,-48.76522213987954,-296.0078688360237,-45.739584232687747,-301.9999849626094,0,1,1,2.2756948860210029,2.2756948860210029,2.2756948860210029,2.2756948860210029,1.5037390568295448e-05,0,0,3.1334825768217205,1.3769344019138428
8,43009,0,1,2,-46.518448671506718,-296.36926172400649,-43.320327486764633,-302.00000291009798,0,1,1,2.2756435254149525,2.2756435254149525,2.2756435254149525,2.2756435254149525,-2.9100980327712023e-06,3.0360271239260328e-06,6.0720542478520656e-06,3.3982314966838789,1.4933057215383625
9,43010,0,1,2,-44.269106524218131,-296.71358539713503,-40.893270581364909,-301.9999990158916,0,1,1,2.2754764990769387,2.2754764990769387,2.2754764990769387,2.2754764990769387,9.8410839655116433e-07,0,0,3.627865371558729,1.5943321642875219
10,43011,0,1,2,-42.017552617837815,-297.04079080808617,-38.458877260711915,-302.0000002820409,0,1,1,2.2749664735871562,2.2749664735871562,2.2749664735871562,2.2749664735871562,-2.8204092927808228e-07,2.8204092927808228e-07,4.6466436742775841e-07,3.8437634979278115,1.6895912720274
11,43012,0,1,2,-39.764558910979403,-297.35078215412386,-36.018043869585192,-301.99999999870147,0,1,1,2.2735056155664659,2.2735056155664659,2.2735056155664659,2.2735056155664659,1.2985594821657285e-09,8.8693639099801658e-09,1.7738727819960332e-08,4.0420674115058546,1.777900781871935
12,43013,0,1,2,-37.511951425541184,-297.64335327555852,-33.572777000729367,-302.0000000278136,0,1,1,2.2695824540094152,2.2695824540094152,2.2695824540094152,2.2695824540094152,-2.7813570113721656e-08,2.7813570113721656e-08,3.0042997423151974e-08,4.2210311119235753,1.8598271697363347
13,43014,0,1,2,-35.264010735063685,-297.91806406757701,-31.127790195134995,-302.00000002267825,0,1,1,2.2597779575480765,2.2597779575480765,2.2597779575480765,2.2597779575480765,-2.2678278810417396e-08,2.2678278810417396e-08,2.3413747385347961e-08,4.3735043683485459,1.9353690718772756
14,43015,0,1,2,-33.030157798119824,-298.17403880064364,-28.693461334467649,-302.00000001877947,0,1,1,2.237195694213336,2.237195694213336,2.237195694213336,2.237195694213336,-1.8779445554173435e-08,1.8779445554173435e-08,2.0294976366130868e-08,4.483721031811414,2.004170240184564
15,43016,0,1,2,-30.829191590234345,-298.40972168334281,-26.29052856775381,-302.00000001109703,0,1,1,2.1899322021227703,2.1899322021227703,2.1899322021227703,2.1899322021227703,-1.10970290734258e-08,1.10970290734258e-08,1.4016961813467788e-08,4.5231205438446569,2.0654157875117107
16,43017,0,1,2,-28.69341572612791,-298.62280956910934,-23.954704149464227,-302.00000000515109,0,1,1,2.10285426887926,2.10285426887926,2.10285426887926,2.10285426887926,-5.1511221954569919e-09,5.1511221954569919e-09,5.664048785547493e-09,4.4542167621217672,2.1181766269022972
17,43018,0,1,2,-26.668102885762071,-298.81072068040385,-21.736182869965681,-301.99999999846375,0,1,1,1.9651920334269615,1.9651920334269615,1.9651920334269615,1.9651920334269615,1.5361933947133368e-09,9.0588514467526703e-10,1.8117702893505339e-09,4.2496280916400719,2.1624492768930281
18,43019,0,1,2,-24.801111706592657,-298.97175515040408,-19.688260071997558,-302.00000000022533,0,1,1,1.7826726047527703,1.7826726047527703,1.7826726047527703,1.7826726047527703,-2.2535573407367345e-10,2.2951951450522756e-09,4.5903902901045512e-09,3.9216714762906926,2.1998831786807926
19,43020,0,1,2,-23.125634848192583,-299.106304911667,-17.848261047090624,-302.00000000406101,0,1,1,1.579081957280041,1.579081957280041,1.579081957280041,1.579081957280041,-4.0609791085444158e-09,4.0609791085444158e-09,6.211507752595935e-09,3.5252749614795964,2.232483846216482
20,43021,0,1,2,-21.649936844532171,-299.21698433063801,-16.226073321608133,-302.00000000643098,0,1,1,1.3806124821862209,1.3806124821862209,1.3806124821862209,1.3806124821862209,-6.4309801928175139e-09,6.4309801928175139e-09,9.9498151939769741e-09,3.1220224925154452,2.2613314980114296
