facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,43001,0,0,0,-64.407147263331154,-293.00243115306034,-62.309422336343907,-301.60525480429783,0,1,1,2.2757150926644361,0,2.2757150926644361,0,0.3947451957021712,0,0,0,0
1,43002,0,0,0,-62.182676642298851,-293.48257189449305,-59.959345637305709,-301.80491507861473,0,1,1,2.2757150903055479,0,2.2757150903055479,0,0.19508492138533026,0,0,0,0
2,43003,0,0,0,-59.954627844113119,-293.9458247369646,-57.611394090851945,-301.93856341599604,0,1,1,2.2757150784862756,0,2.2757150784862756,0,0.061436584003985217,0,0,0,0
3,43004,0,0,0,-57.72312910382098,-294.39216301856163,-55.278046112367726,-301.99391250643043,0,1,1,2.2757150228037561,0,2.2757150228037561,0,0.006087493569509661,0,0,0,0
4,43005,0,1,2,-55.488308944361037,-294.82156103490729,-52.932106683888968,-302.00000000106877,0,1,1,2.2757147761662848,2.2757147761662848,2.2757147761662848,2.2757147761662848,-1.0687415397114821e-09,7.1864860728965141e-09,1.4372972145793028e-08,2.9897645179491072,1.313769435986053
5,43006,0,1,2,-53.250296443005794,-295.23399399538164,-50.550024221258433,-301.99999999869533,0,1,1,2.2757137491179007,2.2757137491179007,2.2757137491179007,2.2757137491179007,1.3046701496932664e-09,5.3146322898101062e-09,1.0629264579620212e-08,2.3414489531354072,1.0288855327446109
6,43007,0,1,2,-51.009222246890161,-295.62943786450023,-48.150084632194314,-302.00000000135071,0,1,1,2.2757097239826463,2.2757097239826463,2.2757097239826463,2.2757097239826463,-1.3507985840988117e-09,5.8758189425134333e-09,1.1751637885026867e-08,2.9293290613702299,1.2872156015766834
7,43008,0,1,2,-48.76522213987954,-296.0078688360237,-45.739502494399936,-301.99999999843033,0,1,1,2.2756948860210029,2.2756948860210029,2.2756948860210029,2.2756948860210029,1.5696457467129219e-09,3.5725236102734925e-09,7.145047220546985e-09,3.1289645089465017,1.3749490444289831
8,43009,0,1,2,-46.518448671506718,-296.36926172400649,-43.320290070857396,-302.00000000163999,0,1,1,2.2756435254149525,2.2756435254149525,2.2756435254149525,2.2756435254149525,-1.6400178992626024e-09,4.2508361275395146e-09,8.5016722550790291e-09,3.400122942034137,1.4941368909764288
9,43010,0,1,2,-44.269106524218131,-296.71358539713503,-40.8932196055868,-301.99999999845221,0,1,1,2.2754764990769387,2.2754764990769387,2.2754764990769387,2.2754764990769387,1.5478178738703716e-09,1.7366517113259763e-09,3.4733034226519521e-09,3.6271351065276352,1.5940112358879581
10,43011,0,1,2,-42.017552617837815,-297.04079080808617,-38.458827388417824,-302.00000000128892,0,1,1,2.2749664735871562,2.2749664735871562,2.2749664735871562,2.2749664735871562,-1.2889245226688217e-09,2.3361224066320574e-09,4.6722448132641148e-09,3.843881127182406,1.689642977956239
11,43012,0,1,2,-39.764558910979403,-297.35078215412386,-36.017990619507337,-301.99999999904526,0,1,1,2.2735056155664659,2.2735056155664659,2.2735056155664659,2.2735056155664659,9.5474206318613142e-10,5.6658677749510389e-10,1.1331735549902078e-09,4.0416605399033871,1.7777218196561915
12,43013,0,1,2,-37.511951425541184,-297.64335327555852,-33.572721606050401,-302.00000000063017,0,1,1,2.2695824540094152,2.2695824540094152,2.2695824540094152,2.2695824540094152,-6.3013771978148715e-10,9.0150820142298471e-10,1.8030164028459694e-09,4.2201987044476477,1.8594604029442945
13,43014,0,1,2,-35.264010735063685,-297.91806406757701,-31.127732579579117,-301.99999999963205,0,1,1,2.2597779575480765,2.2597779575480765,2.2597779575480765,2.2597779575480765,3.6791902857657988e-10,1.1436895874794574e-10,2.2873791749589145e-10,4.3715189455895613,1.934490479911037
14,43015,0,1,2,-33.030157798119824,-298.17403880064364,-28.693401725904032,-302.00000000019344,0,1,1,2.237195694213336,2.237195694213336,2.237195694213336,2.237195694213336,-1.9340973267389927e-10,2.3300117391045205e-10,4.6600234782090411e-10,4.4795620501223761,2.0023112245875843
15,43016,0,1,2,-30.829191590234345,-298.40972168334281,-26.290467195134429,-301.99999999991178,0,1,1,2.1899322021227703,2.1899322021227703,2.1899322021227703,2.1899322021227703,8.8249407781404443e-11,1.0857093002414331e-11,2.1714186004828662e-11,4.515885869564749,2.0621121810014751
16,43017,0,1,2,-28.69341572612791,-298.62280956910934,-23.95464126215527,-302.00000000003621,0,1,1,2.10285426887926,2.10285426887926,2.10285426887926,2.10285426887926,-3.6209257814334705e-11,3.7175595934968442e-11,7.4351191869936883e-11,4.4442869064152326,2.1134545423273035
17,43018,0,1,2,-26.668102885762071,-298.81072068040385,-21.736118698152183,-301.99999999998749,0,1,1,1.9651920334269615,1.9651920334269615,1.9651920334269615,1.9651920334269615,1.2505552149377763e-11,0,0,4.2403001142015011,2.1577026784538393
18,43019,0,1,2,-24.801111706592657,-298.97175515040408,-19.688194827861032,-302.00000000000375,0,1,1,1.7826726047527703,1.7826726047527703,1.7826726047527703,1.7826726047527703,-3.751665644813329e-12,3.751665644813329e-12,4.3769432522822171e-12,3.9171917689558304,2.1973702622187798
19,43020,0,1,2,-23.125634848192583,-299.106304911667,-17.848194896236411,-301.99999999999807,0,1,1,1.579081957280041,1.579081957280041,1.579081957280041,1.579081957280041,1.9326762412674725e-12,3.6948222259525205e-13,7.3896444519050419e-13,3.5260025513188786,2.2329446138390412
20,43021,0,1,2,-21.649936844532171,-299.21698433063801,-16.22600639905232,-302.00000000000375,0,1,1,1.3806124821862209,1.3806124821862209,1.3806124821862209,1.3806124821862209,-3.780087354243733e-12,4.8601123125990853e-12,9.7202246251981705e-12,3.1262381186642179,2.2643849443645272
21,43022,0,1,2,-20.360518626821083,-299.30767867730674,-14.807426178990518,-301.99999999999409,0,1,1,1.2046012601626439,1.2046012601626439,1.2046012601626439,1.2046012601626439,5.9685589803848416e-12,2.8137492336099971e-12,5.6274984672199935e-12,2.7598006123343573,2.2910490828821914
22,43023,0,1,2,-19.23236720612136,-299.38242587525519,-13.565402157479381,-302.00000000000864,0,1,1,1.0566526321280418,1.0566526321280418,1.0566526321280418,1.0566526321280418,-8.6117779574124159e-12,1.4296119843493216e-11,2.8592239686986431e-11,2.4442104298742837,2.3131636221373668
23,43024,0,1,2,-18.238434239742848,-299.44472095151707,-12.470490090775556,-301.99999999999187,0,1,1,0.93511657171031748,0.93511657171031748,0.93511657171031748,0.93511657171031748,8.1854523159563541e-12,1.0743406164692713e-11,2.148681232938543e-11,2.1804096409897271,2.331698214910022
24,43025,0,1,2,-17.354408107200388,-299.49732848204189,-11.496147400758067,-302.00000000000603,0,1,1,0.83606547257851416,0.83606547257851416,0.83606547257851416,0.83606547257851416,-6.0254023992456496e-12,2.1969981389702298e-11,4.3939962779404595e-11,1.9622171299513178,2.3469658708661094
25,43026,0,1,2,-16.560317026311928,-299.54234011112948,-10.620534137991687,-301.9999999999996,0,1,1,0.75466744055957291,0.75466744055957291,0.75466744055957291,0.75466744055957291,3.6948222259525068e-13,2.0605739337042909e-11,4.1211478674085811e-11,1.7808463956827609,2.359776372970714
26,43027,0,1,2,-15.840485437809857,-299.58130948509756,-9.8264912175792727,-301.99999999999477,0,1,1,0.68710490824377346,0.68710490824377346,0.68710490824377346,0.68710490824377346,5.2295945351943374e-12,1.6768808563938364e-11,3.3537617127876729e-11,1.6296864113061256,2.3718159945496122
27,43028,0,1,2,-15.18200415341572,-299.61543186591234,-9.0998710856195633,-302.00000000001114,0,1,1,0.63162548556936393,0.63162548556936393,0.63162548556936393,0.63162548556936393,-1.1169731806148775e-11,2.0236257114447653e-11,4.0472514228895307e-11,1.5036186188978951,2.3805540676410377
28,43029,0,1,2,-14.574643366105047,-299.64561457280479,-8.4294545803530365,-301.99999999998613,0,1,1,0.58459571315017211,0.58459571315017211,0.58459571315017211,0.58459571315017211,1.3841372492606752e-11,5.4001247917767614e-13,1.0800249583553523e-12,1.3971366107321497,2.3899193567525363
29,43030,0,1,2,-14.010528966498351,-299.6725393561851,-7.8066026013641636,-302.00000000001461,0,1,1,0.54491795571149415,0.54491795571149415,0.54491795571149415,0.54491795571149415,-1.460875864722766e-11,1.460875864722766e-11,1.6143530956469476e-11,1.3057792317276384,2.3962859326642945
30,43031,0,1,2,-13.483560663599457,-299.69672759975253,-7.2246204678100234,-301.9999999999884,0,1,1,0.51012873190934549,0.51012873190934549,0.51012873190934549,0.51012873190934549,1.1652900866465641e-11,2.5011104298755527e-12,5.0022208597511053e-12,1.2265244961024337,2.4043430988717533
31,43032,0,1,2,-12.98866231317079,-299.71859618484524,-6.6779339981147183,-302.00000000000762,0,1,1,0.4806341648676975,0.4806341648676975,0.4806341648676975,0.4806341648676975,-7.58859641791787e-12,1.7678303265711293e-11,3.5356606531422585e-11,1.1581129146363991,2.4095517948774803
32,43033,0,1,2,-12.521351302360994,-299.73849276138844,-6.1616168082148253,-301.99999999999812,0,1,1,0.45483488845944592,0.45483488845944592,0.45483488845944592,0.45483488845944592,1.8758328224066641e-12,1.5688783605583012e-11,3.1377567211166024e-11,1.0985932857663789,2.4153672324640327
