contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.2101387299771247,0.14558416372422597,0.10292612192281307
inner,-29.5000000000001,249.99999999999997,0.15882997057296186,0.12046167041683731,0.08269900998468394
inner,-29.00000000000013,250.0,0.09456043772801408,0.0915627308793418,0.054491443947711264
inner,-28.50000000000006,249.99999999999997,0.0754034706634273,0.08224090396881774,0.04165264762903864
inner,-28.00000000000009,249.99999999999997,0.0631895223243927,0.07414506292125482,0.034354301241792486
inner,-27.50000000000012,249.99999999999997,0.05453376121690822,0.06700713018588883,0.02919213717038737
inner,-27.000000000000153,249.99999999999994,0.04762736676216604,0.060280967330055044,0.025137678693705905
inner,-26.500000000000185,249.99999999999997,0.04173288790617033,0.05382704668451489,0.021726489341425338
inner,-26.000000000000213,249.99999999999997,0.036379184134105645,0.047548842471715334,0.01870063042751205
inner,-25.500000000000245,249.99999999999994,0.031241320674599567,0.041397207950093315,0.015887400137859966
inner,-25.000000000000277,249.99999999999994,0.026059581440011123,0.03534672720765609,0.0131583822101468
inner,-24.500000000000256,249.99999999999997,0.020606720338838536,0.029389780232118315,0.01041005504103049
inner,-24.000000000000288,249.99999999999997,0.014668463228313777,0.023532171470763065,0.0075538106633654
inner,-23.50000000000037,249.99999999999997,0.008032088602184472,0.01779123596955146,0.004510215767615949
inner,-23.0000000000003,249.99999999999997,0.000478854057262786,0.012195047327028944,0.0012056070292485624
inner,-22.50000000000033,249.99999999999997,-0.00822129242299008,0.006782376605961024,-0.00242994016024593
inner,-22.000000000000362,249.99999999999997,-0.01831358348297933,0.0016030808953431943,-0.006463748256708752
inner,-21.500000000000394,250.0,-0.03006127923319865,-0.003281276479899552,-0.01096103469226406
inner,-21.000000000000423,249.99999999999997,-0.043747649194880264,-0.00779674262066146,-0.01598489936374807
inner,-20.500000000000405,250.00000000000003,-0.059677089881511866,-0.011856391641553122,-0.021595859116649317
inner,-20.000000000000437,250.00000000000003,-0.07817525955419567,-0.015360025214795594,-0.027850938679485425
inner,-19.500000000000465,250.00000000000003,-0.09958800432785196,-0.018194381618697887,-0.03480229472408579
inner,-19.000000000000497,250.00000000000006,-0.12427873872887002,-0.020234135648867498,-0.04249532522531769
inner,-18.50000000000053,250.00000000000006,-0.1526238226450139,-0.021344052635926147,-0.05096619959508274
inner,-18.000000000000508,250.00000000000003,-0.18500525047071578,-0.02138269012903968,-0.06023872882075333
inner,-17.50000000000054,250.00000000000003,-0.221799933309554,-0.0202087685058364,-0.07032029230621302
inner,-17.000000000000572,250.00000000000006,-0.26336430979309117,-0.017691217801525102,-0.08119652909928946
inner,-16.5000000000006,250.00000000000003,-0.31001309556008344,-0.01372188255024437,-0.09282521217243773
inner,-16.000000000000632,250.00000000000003,-0.3619932366452366,-0.008228364021215191,-0.10513058370843296
inner,-15.500000000000613,250.00000000000003,-0.4194561943867402,-0.001184889778392529,-0.11799948800639519
inner,-15.000000000000645,250.00000000000003,-0.4824311618023892,0.007377904135763837,-0.13127926692052536
inner,-14.500000000000727,250.00000000000003,-0.5507992878804078,0.017358542975947442,-0.144775199813495
inner,-14.000000000000655,250.00000000000003,-0.6242680286575547,0.028570176834635468,-0.158248776653384
inner,-13.500000000000636,250.00000000000006,-0.7023573365967012,0.0407683511747271,-0.17143129852808456
inner,-13.000000000000616,250.00000000000003,-0.7844475085139337,0.05371996348771722,-0.18405732156909155
inner,-12.500000000000647,250.00000000000006,-0.8698891568955482,0.06722650294005311,-0.19588927291423655
inner,-12.000000000000627,250.00000000000003,-0.9580628821804296,0.08109983820482503,-0.20671779907349547
inner,-11.500000000000608,250.00000000000003,-1.0483593475415116,0.09515228413099473,-0.21635505475892783
inner,-11.000000000000588,250.00000000000003,-1.1401570516018729,0.10920065113401835,-0.22463265244131186
inner,-10.50000000000067,250.00000000000003,-1.2328219082303375,0.12307037295873242,-0.2314028367682599
inner,-10.000000000000599,249.99999999999997,-1.3257143918859213,0.13659914252984584,-0.23654023589472095
inner,-9.500000000000579,250.0,-1.418197756396326,0.1496400349144035,-0.23994318021396535
inner,-9.00000000000056,249.99999999999997,-1.5096457298737933,0.1620640263672062,-0.24153445459902356
inner,-8.500000000000592,250.00000000000003,-1.5994494892126507,0.17376227403978786,-0.24126162076227534
inner,-8.000000000000622,249.99999999999997,-1.6870242742282369,0.18464756116995762,-0.239096836963345
inner,-7.500000000000552,249.99999999999997,-1.7718150630519005,0.19465535129946926,-0.23503629957489802
inner,-7.000000000000583,249.99999999999997,-1.8533016211566486,0.20374403684283532,-0.22909926159557
inner,-6.500000000000562,249.99999999999997,-1.931002451958468,0.21189451764571238,-0.22132670353981887
inner,-6.000000000000543,249.99999999999997,-2.0044777303423524,0.21910912020019166,-0.21177972173254972
inner,-5.500000000000523,249.99999999999997,-2.0733311448625886,0.2254097428729238,-0.20053766127346861
inner,-5.000000000000504,249.99999999999994,-2.137210472972135,0.23083536302561578,-0.18769609404247428
inner,-4.500000000000535,249.99999999999997,-2.195807131217103,0.23543908509512468,-0.17336475603991772
inner,-4.000000000000514,250.0,-2.2488548539078317,0.23928470142224637,-0.15766546316340163
inner,-3.5000000000004947,250.0,-2.2961274475660827,0.24244294971828412,-0.1407301063214443
inner,-3.0000000000004747,250.00000000000003,-2.3374359866981234,0.24498771474266307,-0.12269880665968111
inner,-2.5000000000005063,250.00000000000003,-2.3726257040524787,0.2469921995561889,-0.10371822763830917
inner,-2.0000000000004863,250.00000000000009,-2.4015726660073295,0.2485253054371774,-0.08394010936396269
inner,-1.5000000000004665,250.00000000000006,-2.4241805919729655,0.24964833124333038,-0.06352001411468382
inner,-1.0000000000004468,250.00000000000006,-2.4403779538488486,0.25041210849701334,-0.04261627555554966
inner,-0.5000000000004778,249.99999999999997,-2.4501155258941774,0.2508546709172696,-0.021389130692541978
inner,-4.579998741307465e-13,249.99999999999997,-2.4533645368935533,0.2509995390706022,-3.219641915989731e-14
inner,0.4999999999995618,250.00000000000006,-2.4501155258948333,0.2508546709168593,0.021389130692477474
inner,0.9999999999995816,250.00000000000003,-2.440377953849199,0.25041210849691126,0.04261627555553479
inner,1.4999999999995506,250.00000000000006,-2.424180591973108,0.24964833124349226,0.06352001411468056
inner,1.9999999999995703,250.00000000000006,-2.4015726660076595,0.2485253054372593,0.08394010936396952
inner,2.49999999999959,250.00000000000006,-2.3726257040533283,0.24699219955570725,0.10371822763828052
inner,2.9999999999996096,250.0,-2.337435986699556,0.2449877147417459,0.12269880665963728
inner,3.4999999999995786,250.00000000000003,-2.2961274475669327,0.2424429497178317,0.14073010632143695
inner,3.9999999999995985,249.99999999999997,-2.24885485390795,0.23928470142201919,0.15766546316337024
inner,4.499999999999618,250.0,-2.1958071312169753,0.23543908509482486,0.1733647560398805
inner,4.9999999999996385,249.99999999999997,-2.1372104729714554,0.2308353630256353,0.18769609404244694
inner,5.499999999999607,249.99999999999994,-2.0733311448617,0.2254097428728235,0.2005376612734145
inner,5.999999999999627,249.99999999999997,-2.004477730341758,0.21910912019950743,0.21177972173244647
inner,6.4999999999996465,249.99999999999994,-1.9310024519578353,0.21189451764503225,0.221326703539696
inner,6.999999999999666,249.99999999999997,-1.853301621156078,0.20374403684242798,0.2290992615954866
inner,7.499999999999635,249.99999999999997,-1.771815063051795,0.19465535129889752,0.23503629957485422
inner,7.999999999999655,249.99999999999997,-1.6870242742284243,0.18464756116933229,0.23909683696331002
inner,8.499999999999675,249.99999999999994,-1.599449489213059,0.1737622740394241,0.24126162076231283
inner,8.999999999999694,250.0,-1.5096457298746955,0.162064026366686,0.2415344545991427
inner,9.499999999999664,250.00000000000003,-1.4181977563970003,0.14964003491389008,0.23994318021405062
inner,9.999999999999684,249.99999999999997,-1.325714391886052,0.1365991425295804,0.23654023589478146
inner,10.499999999999703,250.00000000000003,-1.2328219082307803,0.12307037295831727,0.2314028367683899
inner,10.999999999999723,249.99999999999997,-1.1401570516028927,0.10920065113338111,0.2246326524415181
inner,11.499999999999691,250.0,-1.0483593475425863,0.09515228413032652,0.2163550547591242
inner,11.999999999999712,250.00000000000003,-0.9580628821813584,0.08109983820423328,0.20671779907361135
inner,12.499999999999732,250.00000000000003,-0.8698891568963005,0.06722650293978984,0.19588927291434682
inner,12.999999999999751,250.00000000000006,-0.7844475085148003,0.05371996348744074,0.18405732156925142
inner,13.49999999999972,250.00000000000003,-0.7023573365976938,0.040768351174359216,0.1714312985283527
inner,13.99999999999974,250.00000000000003,-0.6242680286582678,0.028570176834414443,0.15824877665371795
inner,14.49999999999976,250.00000000000006,-0.5507992878814656,0.017358542975275233,0.14477519981380554
inner,14.99999999999978,250.00000000000006,-0.48243116180406637,0.007377904134710975,0.13127926692095251
inner,15.499999999999748,250.00000000000006,-0.4194561943886344,-0.0011848897793895453,0.11799948800695538
inner,15.999999999999767,250.00000000000006,-0.36199323664718774,-0.008228364022031295,0.10513058370903726
inner,16.499999999999787,250.00000000000006,-0.3100130955619191,-0.013721882550823418,0.09282521217306351
inner,16.999999999999808,250.00000000000006,-0.26336430979483894,-0.017691217802062145,0.08119652909987181
inner,17.499999999999776,250.00000000000003,-0.22179993331169656,-0.020208768506478115,0.07032029230681933
inner,17.999999999999797,250.00000000000006,-0.18500525047307698,-0.021382690129365528,0.060238728821495266
inner,18.499999999999815,250.0,-0.1526238226471301,-0.02134405263580171,0.05096619959584917
inner,18.999999999999783,249.99999999999997,-0.12427873873125811,-0.02023413564888177,0.0424953252260701
inner,19.499999999999805,250.00000000000003,-0.09958800433054503,-0.018194381618613958,0.03480229472494841
inner,19.999999999999826,250.0,-0.07817525955695995,-0.015360025214294982,0.027850938680431314
inner,20.499999999999844,250.0,-0.05967708988455001,-0.01185639164090217,0.02159585911767041
inner,20.999999999999865,250.00000000000003,-0.04374764919806481,-0.007796742619860775,0.015984899364860874
inner,21.499999999999833,250.00000000000003,-0.030061279236470777,-0.0032812764790471575,0.0109610346933778
inner,21.999999999999854,249.99999999999997,-0.018313583485785406,0.0016030808966320028,0.006463748257747173
inner,22.499999999999872,249.99999999999997,-0.008221292425809457,0.006782376607336819,0.0024299401612867784
inner,22.99999999999984,249.99999999999997,0.0004788540543351509,0.012195047328582544,-0.0012056070281068997
inner,23.49999999999986,249.99999999999997,0.008032088599594672,0.01779123597165713,-0.00451021576650375
inner,23.999999999999883,249.99999999999997,0.014668463225576286,0.023532171473136777,-0.0075538106622651206
inner,24.4999999999999,249.99999999999994,0.020606720335660408,0.02938978023484305,-0.010410055039804564
inner,24.99999999999987,249.99999999999997,0.026059581436649208,0.03534672721129306,-0.013158382208793847
inner,25.49999999999989,249.99999999999997,0.031241320671369123,0.041397207955028374,-0.01588740013639075
inner,25.99999999999991,249.99999999999994,0.036379184130487185,0.04754884247733929,-0.018700630425964433
inner,26.49999999999993,249.99999999999997,0.04173288790186023,0.05382704669079152,-0.021726489339817995
inner,26.99999999999995,249.99999999999994,0.04762736675772665,0.0602809673379331,-0.0251376786921235
inner,27.49999999999992,249.99999999999994,0.0545337612127787,0.06700713019614664,-0.029192137168990093
