facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,119658,0,0,0,-64.713572291560467,-292.93602647053319,-62.641024354228108,-301.57759167385399,0,1,1,1.5974441086477675,0,1.5974441086477675,0,0.42240832614598389,0,0,0,0
1,119659,0,0,0,-63.152830622021597,-293.27646006372032,-60.991845696428037,-301.72917499287399,0,1,1,1.5974441077420825,0,1.5974441077420825,0,0.27082500712603513,0,0,0,0
2,119660,0,0,0,-61.590298341658027,-293.60857820109504,-59.342173853707529,-301.8497443197416,0,1,1,1.597444104857995,0,1.597444104857995,0,0.15025568025839675,0,0,0,0
3,119661,0,0,0,-60.026019757848587,-293.93237146513894,-57.694405572064021,-301.93651801627021,0,1,1,1.5974440960067076,0,1.5974440960067076,0,0.063481983729786862,0,0,0,0
4,119662,0,0,0,-58.460039235215945,-294.24783067293504,-56.052448421402545,-301.98591645591961,0,1,1,1.5974440694528491,0,1.5974440694528491,0,0.014083544080364163,0,0,0,0
5,119663,0,1,2,-56.892401208442621,-294.55494687394105,-54.412500285688196,-302.00137180048267,0,1,1,1.5974439926263153,1.5974439926263153,1.5974439926263153,1.5974439926263153,-0.0013718004826728247,0.0013718004826728247,0.0017306943282164866,1.0956872200637917,0.68590024133641225
6,119664,0,1,2,-55.323150219076034,-294.85371134374884,-52.756460188198751,-302.00204225828975,0,1,1,1.5974437765692309,1.5974437765692309,1.5974437765692309,1.5974437765692309,-0.00204225828969129,0.00204225828969129,0.0020704534395576957,1.6311963975071362,1.0211291448456448
7,119665,0,1,2,-53.752331014222442,-295.14411556789378,-51.081069403992295,-302.0022045372458,0,1,1,1.5974431861329637,1.5974431861329637,1.5974431861329637,1.5974431861329637,-0.0022045372458308066,0.0022045372458308066,0.0022700338949448451,1.7608115009643761,1.1022686229154033
8,119666,0,1,2,-52.179988793844061,-295.42615120285927,-49.397223474652677,-302.00240571288288,0,1,1,1.5974416291298239,1.5974416291298239,1.5974416291298239,1.5974416291298239,-0.0024057128828758323,0.0024057128828758323,0.0024563650419509031,1.9214929534198872,1.2028564414379159
9,119667,0,1,2,-50.606169829881807,-295.69980998204124,-47.708026150177524,-302.00257755245912,0,1,1,1.5974376155044943,1.5974376155044943,1.5974376155044943,1.5974376155044943,-0.0025775524590869736,0.0025775524590869736,0.0026261119255650556,2.0587396270408203,1.2887762295434868
10,119668,0,1,2,-49.030922899611085,-295.96508350789429,-46.014575837411556,-302.002740267783,0,1,1,1.5974276540977228,1.5974276540977228,1.5974276540977228,1.5974276540977228,-0.0027402677829968529,0.0027402677829968529,0.0027856520525801898,2.1886897680961148,1.3701338914984262
11,119669,0,1,2,-47.454302588311315,-296.2219627936189,-44.317352902630979,-302.00289331950881,0,1,1,1.5974035843550445,1.5974035843550445,1.5974035843550445,1.5974035843550445,-0.0028933195088143293,0.0028933195088143293,0.0029362996943405051,2.3108994770321933,1.4466597544071647
12,119670,0,1,2,-45.876376581446152,-296.47043729895842,-42.616574456922258,-302.00303836837139,0,1,1,1.5973472029424134,1.5973472029424134,1.5973472029424134,1.5973472029424134,-0.0030383683713637311,0.0030383683713637311,0.0030791321856895593,2.426664609753276,1.5191841856818655
13,119671,0,1,2,-44.297240913283972,-296.71049302282017,-40.912376039967768,-302.00317607619797,0,1,1,1.5972196159829339,1.5972196159829339,1.5972196159829339,1.5972196159829339,-0.0031760761980024199,0.0031760761980024199,0.0032148180344506727,2.5364456026529809,1.58803809900121
14,119672,0,1,2,-42.717052196480495,-296.94210866619983,-39.204907902216277,-302.00330705356424,0,1,1,1.5969377119055346,1.5969377119055346,1.5969377119055346,1.5969377119055346,-0.0033070535642423238,0.0033070535642423238,0.0033439315454870666,2.6405792760150897,1.6535267821211619
15,119673,0,1,2,-41.136089103504929,-297.16524880746005,-37.494429795229649,-302.00343182835473,0,1,1,1.5963388974243498,1.5963388974243498,1.5963388974243498,1.5963388974243498,-0.0034318283547065671,0.0034318283547065671,0.0034669891323915181,2.7391805459509513,1.7159141773532838
16,119674,0,1,2,-39.55487117939397,-297.37985150146562,-35.781453251555803,-302.00355087047797,0,1,1,1.5951011851969417,1.5951011851969417,1.5951011851969417,1.5951011851969417,-0.0035508704780227158,0.0035508704780227158,0.0035844387022621049,2.8319988539874323,1.7754352390113577
17,119675,0,1,2,-37.97437357122724,-297.58580751408476,-34.066984172450077,-302.00366453243862,0,1,1,1.5926306074229213,1.5926306074229213,1.5926306074229213,1.5926306074229213,-0.0036645324386199718,0.0036645324386199718,0.0036965869779805871,2.9181232618201625,1.8322662193099861
18,119676,0,1,2,-36.396386540199913,-297.78292883111703,-32.352924010427429,-302.00377293781833,0,1,1,1.5878835954992241,1.5878835954992241,1.5878835954992241,1.5878835954992241,-0.0037729378183257722,0.0037729378183257722,0.0038034711541286015,2.9954930342790629,1.8864689091628863
19,119677,0,1,2,-34.824111084642979,-297.97090113039121,-30.642731917078436,-302.0038758793998,0,1,1,1.5790715082956541,1.5790715082956541,1.5790715082956541,1.5790715082956541,-0.0038758793997715202,0.0038758793997715202,0.0039047794136877201,3.0601453648846344,1.9379396998857601
20,119678,0,1,2,-33.262984774264879,-298.14922893367259,-28.942343261297857,-302.00397273837871,0,1,1,1.5634962916216466,1.5634962916216466,1.5634962916216466,1.5634962916216466,-0.00397273837873513,0.00397273837873513,0.003999759922407975,3.1056808613676843,1.986369189367565
21,119679,0,1,2,-31.721668365555079,-298.31718834115338,-27.261268922554279,-302.00406253793585,0,1,1,1.5373956349008755,1.5373956349008755,1.5373956349008755,1.5373956349008755,-0.0040625379357948077,0.0040625379357948077,0.0040873621906598601,3.1228640445550755,2.0312689678974043
22,119680,0,1,2,-30.212865427647174,-298.47382285821118,-25.613514737523658,-302.00414421147048,0,1,1,1.4964371768210205,1.4964371768210205,1.4964371768210205,1.4964371768210205,-0.0041442114705034783,0.0041442114705034783,0.0041665414529461486,3.1007760565347575,2.0721057352517391
23,119681,0,1,2,-28.753325421918468,-298.61803383470283,-24.017603707408547,-302.00421719621863,0,1,1,1.4368658636328777,1.4368658636328777,1.4368658636328777,1.4368658636328777,-0.0042171962186898782,0.0042171962186898782,0.0042370040002310816,3.029772643438569,2.1085981093449391
24,119682,0,1,2,-27.362058474366584,-298.74881883249247,-22.494625463635895,-302.00428178887006,0,1,1,1.3579429088909403,1.3579429088909403,1.3579429088909403,1.3579429088909403,-0.0042817888700028561,0.0042817888700028561,0.0042992736730980141,2.9072124166942652,2.1408944350014281
25,119683,0,1,2,-26.056942503221215,-298.86558371827027,-21.06449956019754,-302.00433912325371,0,1,1,1.2627210640193132,1.2627210640193132,1.2627210640193132,1.2627210640193132,-0.0043391232537430824,0.0043391232537430824,0.0043547404725359229,2.7395511659387042,2.1695616268715407
26,119684,0,1,2,-24.850892956622264,-298.96838930354238,-19.741736159448227,-302.00439057517661,0,1,1,1.1581303968369348,1.1581303968369348,1.1581303968369348,1.1581303968369348,-0.004390575176614675,0.004390575176614675,0.004404663739364878,2.5424292858175743,2.1952875883073375
27,119685,0,1,2,-23.749475261171959,-299.05799731103195,-18.532771481912143,-302.00443703830581,0,1,1,1.0519869462716731,1.0519869462716731,1.0519869462716731,1.0519869462716731,-0.0044370383057525942,0.0044370383057525942,0.004449775243131171,2.3338531888795551,2.2185191528762971
28,119686,0,1,2,-22.751247642320777,-299.13567969188603,-17.436309135219577,-302.00447916325584,0,1,1,0.95050721434236041,0.95050721434236041,0.95050721434236041,0.95050721434236041,-0.0044791632558656138,0.0044791632558656138,0.0044907471697683832,2.1287384944587417,2.2395816279328078
29,119687,0,1,2,-21.849211969771421,-299.20298736097891,-16.44489667694954,-302.00451708373521,0,1,1,0.85858154153232991,0.85858154153232991,0.85858154153232991,0.85858154153232991,-0.0045170837352657145,0.0045170837352657145,0.004527393220371323,1.939142358327526,2.2585418676328572
30,119688,0,1,2,-21.033460282107235,-299.2614953045175,-15.547830508851151,-302.00455080638596,0,1,1,0.77711431658139107,0.77711431658139107,0.77711431658139107,0.77711431658139107,-0.0045508063859927006,0.0045508063859927006,0.0045599666823932239,1.7682483972724738,2.2754031929963503
31,119689,0,1,2,-20.293723545409751,-299.31261285660173,-14.733963350478088,-302.00458086803178,0,1,1,0.70588842320683376,0.70588842320683376,0.70588842320683376,0.70588842320683376,-0.0045808680318373254,0.0045808680318373254,0.004589063834771423,1.616790855956121,2.2904340159186627
32,119690,0,1,2,-19.619836606164252,-299.35757555645972,-13.992225080264543,-302.00460753891235,0,1,1,0.64488295353279845,0.64488295353279845,0.64488295353279845,0.64488295353279845,-0.0046075389123814148,0.0046075389123814148,0.0046147415495170208,1.4856616511669123,2.3037694561907074
33,119691,0,1,2,-19.002675958737299,-299.3974126276122,-13.312661873098442,-302.00463119481873,0,1,1,0.5920077652945277,0.5920077652945277,0.5920077652945277,0.5920077652945277,-0.0046311948187849339,0.0046311948187849339,0.0046376499255984527,1.3708516476562318,2.3155974093924665
34,119692,0,1,2,-18.434385511699986,-299.43296192060274,-12.686692131696464,-302.00465220803312,0,1,1,0.54679524832707893,0.54679524832707893,0.54679524832707893,0.54679524832707893,-0.0046522080331214966,0.0046522080331214966,0.0046578849112961507,1.2719026233699502,2.3261040165607483
35,119693,0,1,2,-17.908541547999747,-299.46488929506825,-12.107294408995074,-302.00467105136215,0,1,1,0.50682981790310311,0.50682981790310311,0.50682981790310311,0.50682981790310311,-0.0046710513621803784,0.0046710513621803784,0.0046762536851474579,1.1837140556549615,2.3355256810901892
36,119694,0,1,2,-17.419588439006191,-299.49374293776617,-11.568390278202685,-302.00468808827537,0,1,1,0.47277793048470629,0.47277793048470629,0.47277793048470629,0.47277793048470629,-0.0046880882753725919,0.0046880882753725919,0.0046927222188628548,1.1082123363801353,2.3440441376862968
37,119695,0,1,2,-16.962534049706477,-299.51998833545144,-11.064512185109001,-302.0047034129388,0,1,1,0.44283696141410883,0.44283696141410883,0.44283696141410883,0.44283696141410883,-0.00470341293876686,0.00470341293876686,0.0047076266938574918,1.0414225470396601,2.35170646938343
38,119696,0,1,2,-16.533433310583483,-299.54399037860509,-10.591338227032756,-302.00471727870411,0,1,1,0.41670625930015665,0.41670625930015665,0.41670625930015665,0.41670625930015665,-0.0047172787040778985,0.0047172787040778985,0.0047210703523319353,0.98285978142629582,2.3586393520389493
39,119697,0,1,2,-16.129255924401516,-299.56603365625699,-10.145549244840076,-302.00473002652319,0,1,1,0.39285001445982232,0.39285001445982232,0.39285001445982232,0.39285001445982232,-0.0047300265231910998,0.0047300265231910998,0.004733594831748178,0.92909549401548341,2.3650132615955504
40,119698,0,1,2,-15.747028287268499,-299.5863754848977,-9.7238841284772803,-302.004741702307,0,1,1,0.37268722478161664,0.37268722478161664,0.37268722478161664,0.37268722478161664,-0.0047417023070011055,0.0047417023070011055,0.0047448750153762376,0.88358593676841557,2.3708511535005523
