facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,43001,0,0,0,-64.407147263331154,-293.00243115306034,-62.37284410386048,-301.63091059331708,0,1,1,2.2757150926644361,0,2.2757150926644361,0,0.36908940668294576,0,0,0,0
1,43002,0,0,0,-62.182676642298851,-293.48257189449305,-60.02867641133485,-301.83569242171933,0,1,1,2.2757150903055479,0,2.2757150903055479,0,0.16430757828069883,0,0,0,0
2,43003,0,1,1,-59.954627844113119,-293.9458247369646,-57.688767425492614,-301.97431195586876,0,1,1,2.2757150784862761,1.137857539243138,2.2757150784862761,1.137857539243138,0.025688044131271678,0.0020360853872318785,0.004072170774463757,0.046335502168091541,0.020360853872318785
3,43004,0,1,2,-57.72312910382098,-294.39216301856163,-55.352036917768487,-302.04835035020909,0,1,1,2.2757150228037561,2.2757150228037561,2.2757150228037561,2.2757150228037561,-0.048350350209091175,0.048350350209091175,0.061336222206080038,1.1003161832865151,0.48350350209091175
4,43005,0,1,2,-55.488308944361037,-294.82156103490729,-52.999820631683228,-302.08326350353639,0,1,1,2.2757147761662844,2.2757147761662844,2.2757147761662844,2.2757147761662844,-0.08326350353635803,0.08326350353635803,0.090434750011070264,1.8948398531306365,0.8326350353635803
5,43006,0,1,2,-53.250296443005794,-295.23399399538164,-50.623750446111295,-302.10426501470783,0,1,1,2.2757137491179007,2.2757137491179007,2.2757137491179007,2.2757137491179007,-0.10426501470783479,0.10426501470783479,0.10921899636133503,2.3727732752259971,1.0426501470783478
6,43007,0,1,2,-51.009222246890161,-295.62943786450023,-48.231525564668061,-302.1196934761216,0,1,1,2.2757097239826463,2.2757097239826463,2.2757097239826463,2.2757097239826463,-0.11969347612162552,0.11969347612162552,0.12364712081853213,2.7238760750726785,1.1969347612162551
7,43008,0,1,2,-48.76522213987954,-296.0078688360237,-45.827714069672695,-302.13245979981338,0,1,1,2.2756948860210029,2.2756948860210029,2.2756948860210029,2.2756948860210029,-0.13245979981340383,0.13245979981340383,0.13587679553648968,3.0143808903872893,1.3245979981340383
8,43009,0,1,2,-46.518448671506718,-296.36926172400649,-43.41457052281438,-302.14370248175021,0,1,1,2.2756435254149521,2.2756435254149521,2.2756435254149521,2.2756435254149521,-0.14370248175023906,0.14370248175023906,0.14677645146974783,3.2701562218099176,1.4370248175023903
9,43010,0,1,2,-44.269106524218131,-296.71358539713503,-40.993217438891449,-302.15390704635843,0,1,1,2.2754764990769387,2.2754764990769387,2.2754764990769387,2.2754764990769387,-0.15390704635842667,0.15390704635842667,0.15672468476236645,3.5021186703094482,1.5390704635842667
