contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.2715603012337548,0.17599986171368762,0.13039915149361753
inner,-29.750000000000032,249.99999999999997,0.2077438789405903,0.14931777640610813,0.10786190340562539
inner,-29.5000000000001,249.99999999999997,0.1277474734426873,0.11773325232031334,0.07522401115779077
inner,-29.250000000000064,249.99999999999994,0.10331453922328906,0.10745146708602807,0.05930932039359442
inner,-29.00000000000013,250.0,0.08867140040838434,0.09921948919072836,0.05028773431526187
inner,-28.750000000000096,249.99999999999994,0.07876117617469144,0.09265483208414708,0.04412719478177718
inner,-28.50000000000006,249.99999999999997,0.07121188076443347,0.08702762518537714,0.03946730357817223
inner,-28.250000000000124,249.99999999999997,0.0651261869960321,0.08207090669129734,0.035715689143252266
inner,-28.00000000000009,249.99999999999997,0.060011003766803135,0.0775891331200198,0.03257510391547326
inner,-27.750000000000156,249.99999999999997,0.055583329355856734,0.07345586750998488,0.029871771650037224
inner,-27.50000000000012,249.99999999999997,0.051660560609611564,0.06958202891944064,0.02749417108890502
inner,-27.25000000000019,249.99999999999997,0.0481174036326993,0.06590463758254603,0.025365475761344965
inner,-27.000000000000153,249.99999999999994,0.04486247012940794,0.06237821008524148,0.023429957641478358
inner,-26.75000000000022,249.99999999999997,0.04182581799510523,0.05896951688305152,0.021645456510080097
inner,-26.500000000000185,249.99999999999997,0.03895159207353304,0.055654016101057496,0.019978933952071336
inner,-26.25000000000025,249.99999999999994,0.03619350784426641,0.05241345570542229,0.018403698004834827
inner,-26.000000000000213,249.99999999999997,0.03351193149433182,0.049234219446564836,0.016897598558821385
inner,-25.75000000000018,249.99999999999994,0.030871918889511775,0.04610617411133685,0.015441812163553049
inner,-25.500000000000245,249.99999999999994,0.028241850113842306,0.04302185576923165,0.014019999349665632
inner,-25.25000000000021,249.99999999999994,0.025592448559655645,0.03997589000917164,0.012617705209387325
inner,-25.000000000000277,249.99999999999994,0.022896055989433457,0.03696457583333574,0.011221923593563053
inner,-24.75000000000024,249.99999999999994,0.020126082908250853,0.03398558568324829,0.009820774310179237
inner,-24.500000000000256,249.99999999999997,0.017256582074691388,0.03103774892765523,0.008403260299631263
inner,-24.250000000000274,249.99999999999997,0.014261910561418284,0.028120896055269205,0.006959082720298314
inner,-24.000000000000288,249.99999999999997,0.01111645693773689,0.025235747521030104,0.005478498884385283
inner,-23.750000000000306,249.99999999999997,0.007794417399393053,0.022383835750555227,0.003952212577398974
inner,-23.50000000000037,249.99999999999997,0.004269609534069081,0.01956745197614728,0.0023712893665217803
inner,-23.250000000000334,249.99999999999997,0.0005153157272595301,0.01678961177859152,0.0007270916012898795
inner,-23.0000000000003,249.99999999999997,-0.0034958494627204025,0.014054034739904402,-0.0009887707247578197
inner,-22.750000000000366,249.99999999999997,-0.007792051949948245,0.011365134700879014,-0.00278447604384349
inner,-22.50000000000033,249.99999999999997,-0.012402333548660048,0.008728017864783428,-0.004668016254818273
inner,-22.250000000000345,250.0,-0.017356692001129246,0.006148486516344725,-0.0066472122232345224
