case_name,contact_method,contact_parameter_name,contact_parameter_value,mesh_label,group_label,contact_patch_length,max_average_pressure_mpa,mean_active_pressure_mpa,total_normal_force_kn,center_of_pressure_arc
contact_focused_coarse_penalty_10,penalty,penalty_parameter,10.0,контактно-ориентированная грубая,Штрафной метод / контактно-ориентированная грубая,118.89088477575646,2.4130576545368854,1.8598716176159937,0.2211217821876829,4.796163466380676e-12
contact_focused_coarse_penalty_100,penalty,penalty_parameter,100.0,контактно-ориентированная грубая,Штрафной метод / контактно-ориентированная грубая,114.82283682965303,2.4798555439730303,1.978713411851869,0.2272014872217132,-1.3322676295501878e-12
contact_focused_coarse_penalty_1000,penalty,penalty_parameter,1000.0,контактно-ориентированная грубая,Штрафной метод / контактно-ориентированная грубая,110.7547888835496,2.4866850686464654,2.05636284468769,0.22775203273136058,-8.79296635503124e-11
contact_focused_coarse_penalty_10000,penalty,penalty_parameter,10000.0,контактно-ориентированная грубая,Штрафной метод / контактно-ориентированная грубая,110.7547888835496,2.487386746281572,2.0570517141147167,0.22782832831931926,9.039994353088332e-06
contact_focused_coarse_penalty_2000,penalty,penalty_parameter,2000.0,контактно-ориентированная грубая,Штрафной метод / контактно-ориентированная грубая,110.7547888835496,2.487073996235267,2.056745237257638,0.2277943845397158,6.845526812071512e-07
contact_focused_coarse_penalty_25,penalty,penalty_parameter,25.0,контактно-ориентированная грубая,Штрафной метод / контактно-ориентированная грубая,118.89088477575646,2.4571565681362983,1.8933969311926098,0.22510763638119144,2.1316282072803006e-12
contact_focused_coarse_penalty_250,penalty,penalty_parameter,250.0,контактно-ориентированная грубая,Штрафной метод / контактно-ориентированная грубая,114.82283682965303,2.4844192765201,1.9820839707406377,0.22758850435502304,-8.260059303211165e-12
contact_focused_coarse_penalty_50,penalty,penalty_parameter,50.0,контактно-ориентированная грубая,Штрафной метод / контактно-ориентированная грубая,114.82283682965303,2.47224317027559,1.9726081726076126,0.22650046633216395,5.329070518200751e-12
contact_focused_coarse_penalty_500,penalty,penalty_parameter,500.0,контактно-ориентированная грубая,Штрафной метод / контактно-ориентированная грубая,114.82283682965303,2.485920705694866,1.9829335028303128,0.22768605003953732,-2.5579538487363607e-11
contact_focused_coarse_penalty_5000,penalty,penalty_parameter,5000.0,контактно-ориентированная грубая,Штрафной метод / контактно-ориентированная грубая,110.7547888835496,2.4873090956134543,2.056975303348941,0.22781986546108735,1.1340933525616492e-06
contact_focused_dense_penalty_10,penalty,penalty_parameter,10.0,контактно-ориентированная плотная,Штрафной метод / контактно-ориентированная плотная,119.72026075911295,2.412810733483184,1.8457156092602662,0.2209695540278041,4.39648317751562e-11
contact_focused_dense_penalty_100,penalty,penalty_parameter,100.0,контактно-ориентированная плотная,Штрафной метод / контактно-ориентированная плотная,116.01666882123949,2.479468732440182,1.957221902314437,0.2270703652504904,8.526512829121202e-12
