contour,relative_angle_deg,radius_ед. длины,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,2.47349605492251e-07,1.6324306765892724e-07,1.1942988540707097e-07
inner,-29.666666666666686,249.99999999999997,1.887236187603133e-07,1.3761981371354018e-07,9.799370379415601e-08
inner,-29.33333333333341,249.99999999999997,1.1513886519465162e-07,1.0761071359474667e-07,6.728495302983124e-08
inner,-29.00000000000013,250.0,9.27194243866245e-08,9.790040364226637e-08,5.254104908388997e-08
inner,-28.66666666666675,249.99999999999994,7.902887848768874e-08,8.994507613894392e-08,4.41595695082044e-08
inner,-28.33333333333347,249.99999999999997,6.96325753388533e-08,8.338612129449185e-08,3.83764056455405e-08
inner,-28.00000000000009,249.99999999999997,6.239434825888595e-08,7.755948879097507e-08,3.396131013135018e-08
inner,-27.66666666666681,249.99999999999994,5.649750369303393e-08,7.224151269537218e-08,3.0377419399279757e-08
inner,-27.333333333333535,249.99999999999997,5.1478832422647775e-08,6.727153269218892e-08,2.734982644749946e-08
inner,-27.000000000000153,249.99999999999994,4.7061956386779305e-08,6.254997692412378e-08,2.4712600239127723e-08
inner,-26.666666666666874,249.99999999999997,4.3059681711442835e-08,5.8009031652496194e-08,2.235529497138231e-08
inner,-26.333333333333492,249.99999999999997,3.933569540757576e-08,5.360280272297393e-08,2.019869395184416e-08
inner,-26.000000000000213,249.99999999999997,3.578341333865246e-08,4.929987518212506e-08,1.8182720465522606e-08
inner,-25.666666666666934,249.99999999999997,3.231455457584827e-08,4.507894847137055e-08,1.6259644692321443e-08
inner,-25.333333333333556,249.99999999999994,2.8852247939986818e-08,4.0925961374881234e-08,1.4390019772126505e-08
inner,-25.000000000000277,249.99999999999994,2.532668600024889e-08,3.6832243100285766e-08,1.2540113449780808e-08
inner,-24.666666666666895,249.99999999999997,2.167221968689993e-08,3.2793304345999055e-08,1.0680220862359063e-08
inner,-24.333333333333616,249.99999999999997,1.7825327651357392e-08,2.8808052537634687e-08,8.78352077469813e-09
inner,-24.000000000000288,249.99999999999997,1.3723136807175187e-08,2.4878288751836223e-08,6.825282086724584e-09
inner,-23.66666666666696,249.99999999999997,9.302306110705823e-09,2.1008395681198523e-08,4.782304933509548e-09
inner,-23.33333333333363,249.99999999999997,4.4981595015485586e-09,1.7205156612363565e-08,2.6325249537705637e-09
inner,-23.0000000000003,249.99999999999997,-7.560025442510782e-10,1.3477664975821824e-08,3.5473545183509073e-10
inner,-22.66666666666702,249.99999999999994,-6.529456889519486e-09,9.837296252698716e-09,-2.071601758483528e-09
inner,-22.33333333333374,249.99999999999997,-1.2894504051093806e-08,6.29772168798747e-09,-4.666475840460467e-09
inner,-22.000000000000362,249.99999999999997,-1.9926822477282416e-08,2.874947901767289e-09,-7.449389069856392e-09
inner,-21.666666666667084,249.99999999999997,-2.7705738081831505e-08,-4.126308775325143e-10,-1.0439369401339505e-08
inner,-21.3333333333337,250.0,-3.631441003719373e-08,-3.5441799771059812e-09,-1.365493808065019e-08
inner,-21.000000000000423,249.99999999999997,-4.583992871713956e-08,-6.49638260937425e-09,-1.7114034646025684e-08
inner,-20.666666666667144,250.0,-5.637331724435469e-08,-9.243421609949136e-09,-2.083389999940824e-08
inner,-20.333333333333766,249.99999999999997,-6.80094240475526e-08,-1.17569978361903e-08,-2.4830917003686158e-08
inner,-20.000000000000437,250.00000000000003,-8.084669002653635e-08,-1.4006399908628867e-08,-2.9120407182002882e-08
inner,-19.666666666667105,250.0,-9.49867702761053e-08,-1.5958641682904113e-08,-3.371638151219008e-08
inner,-19.333333333333826,250.00000000000003,-1.1053398682746894e-07,-1.7578685660155003e-08,-3.8631243019546726e-08
inner,-19.000000000000497,250.00000000000006,-1.2759458565212114e-07,-1.8829772376260675e-08,-4.387543888190973e-08
inner,-18.66666666666717,250.00000000000003,-1.4627576838466089e-07,-1.9673877408095642e-08,-4.945706012015753e-08
inner,-18.333333333333837,250.00000000000006,-1.6668446714742377e-07,-2.0072318308457055e-08,-5.53813878697468e-08
inner,-18.000000000000508,250.00000000000003,-1.8892583009312645e-07,-1.998653240599133e-08,-6.165038710600113e-08
inner,-17.66666666666723,250.0,-2.1310138633650368e-07,-1.937904262302879e-08,-6.826215159409837e-08
inner,-17.3333333333339,250.00000000000006,-2.393068604680859e-07,-1.8214625422492173e-08,-7.521030617623199e-08
inner,-17.000000000000572,250.00000000000006,-2.6762960341460967e-07,-1.6461703116860686e-08,-8.248336921013957e-08
inner,-16.66666666666724,250.00000000000003,-2.981455921199345e-07,-1.409401636305234e-08,-9.006406197724994e-08
inner,-16.33333333333391,250.00000000000003,-3.309159495456935e-07,-1.109266550632143e-08,-9.792853693359766e-08
inner,-16.000000000000632,250.00000000000003,-3.659830532946489e-07,-7.448362599182807e-09,-1.0604559840841343e-07
inner,-15.666666666667304,250.00000000000006,-4.0336675566393034e-07,-3.16269095152194e-09,-1.143763878439387e-07
inner,-15.333333333333973,250.00000000000006,-4.430623199230058e-07,1.7533643892616077e-09,-1.228752587892369e-07
inner,-15.000000000000645,250.00000000000003,-4.850421431418836e-07,7.282456624947116e-09,-1.3149163838337675e-07
inner,-14.666666666667314,250.00000000000009,-5.292600661282129e-07,1.3402110559165048e-08,-1.4017157303553537e-07
inner,-14.333333333333986,250.00000000000006,-5.75653918912057e-07,2.008399342305596e-08,-1.4885834785095138e-07
inner,-14.000000000000655,250.00000000000003,-6.241451477310728e-07,2.729339416301009e-08,-1.57492759631979e-07
inner,-13.666666666667327,250.00000000000006,-6.746380179763052e-07,3.498943616438621e-08,-1.660135578116863e-07
inner,-13.333333333333945,250.00000000000006,-7.270197480959122e-07,4.3125593252797616e-08,-1.7435808480940096e-07
inner,-13.000000000000616,250.00000000000003,-7.811613251655471e-07,5.1650463363774136e-08,-1.8246304091039088e-07
inner,-12.666666666667286,250.00000000000009,-8.369187943677819e-07,6.050854539407718e-08,-1.9026525186643273e-07
inner,-12.333333333333957,250.00000000000003,-8.941346760188165e-07,6.96410426638219e-08,-1.9770240587875641e-07
inner,-12.000000000000627,250.00000000000003,-9.526394727015291e-07,7.898682734451337e-08,-2.04713788546735e-07
inner,-11.666666666667298,250.00000000000006,-1.0122533949259916e-06,8.848332522732709e-08,-2.1124095460368708e-07
inner,-11.333333333333918,250.00000000000003,-1.0727880585575855e-06,9.806736353374944e-08,-2.17228330255563e-07
inner,-11.000000000000588,250.00000000000003,-1.1340481729162772e-06,1.0767613988440476e-07,-2.2262379170443691e-07
inner,-10.666666666667258,250.00000000000003,-1.1958333764227645e-06,1.1724805335535776e-07,-2.2737915501209083e-07
inner,-10.333333333333929,250.00000000000003,-1.2579399462353366e-06,1.2672347129557173e-07,-2.314505860644224e-07
inner,-10.000000000000599,249.99999999999997,-1.3201624471418513e-06,1.3604554915150715e-07,-2.3479896875164423e-07
inner,-9.66666666666727,250.0,-1.3822954428028113e-06,1.451609111280735e-07,-2.3739018680195202e-07
inner,-9.33333333333394,250.0,-1.4441350579071626e-06,1.5402027241935106e-07,-2.3919533298143847e-07
inner,-9.00000000000056,249.99999999999997,-1.5054804509724915e-06,1.6257895841994781e-07,-2.4019084368045626e-07
inner,-8.66666666666728,249.99999999999997,-1.5661351794899708e-06,1.7079740058587597e-07,-2.40358584252841e-07
inner,-8.3333333333339,249.99999999999997,-1.6259085042768187e-06,1.7864145962291977e-07,-2.39685846462356e-07
inner,-8.000000000000622,249.99999999999997,-1.6846164773301557e-06,1.860826800376838e-07,-2.381652937934283e-07
inner,-7.666666666667242,249.99999999999997,-1.7420829276357736e-06,1.9309846772351836e-07,-2.3579485587729056e-07
inner,-7.333333333333963,249.99999999999997,-1.7981403030115253e-06,1.9967208508765632e-07,-2.325775501489136e-07
inner,-7.000000000000583,249.99999999999997,-1.8526302884418749e-06,2.0579263056696497e-07,-2.285212845867079e-07
inner,-6.666666666667202,249.99999999999997,-1.905404359994226e-06,2.1145487316672676e-07,-2.2363860744470692e-07
inner,-6.333333333333924,249.99999999999994,-1.9563241153398717e-06,2.1665898218724378e-07,-2.1794642288029125e-07
inner,-6.000000000000543,249.99999999999997,-2.005261442532296e-06,2.2141019256327713e-07,-2.114656910792962e-07
inner,-5.666666666667213,249.99999999999997,-2.052098573418808e-06,2.257183835214348e-07,-2.0422110890606819e-07
inner,-5.333333333333884,250.0,-2.096727988827886e-06,2.2959759110624854e-07,-1.9624078185550832e-07
inner,-5.000000000000504,249.99999999999994,-2.139052201291215e-06,2.330654655321726e-07,-1.8755589395667472e-07
