facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,25051,0,0,0,-64.036297825480816,-293.08198655889817,-61.895860761286343,-301.60314089624097,0,1,1,3.0342811314606006,0,3.0342811314606006,0,0.39685910375905564,0,0,0,0
1,25052,0,0,0,-61.068749855262048,-293.71466779109295,-58.768544849670526,-301.84385157653014,0,1,1,3.0342811230063726,0,3.0342811230063726,0,0.15614842346988667,0,0,0,0
2,25053,0,0,0,-58.094954683388202,-294.31730245596452,-55.654747833159973,-301.96946398663835,0,1,1,3.034281054484222,0,3.034281054484222,0,0.030536013361654568,0,0,0,0
3,25054,0,1,2,-55.115216765568292,-294.88982886200171,-52.536625879844152,-302.00105383869106,0,1,1,3.0342805564308479,3.0342805564308479,3.0342805564308479,3.0342805564308479,-0.0010538386910923236,0.0010538386910923236,0.0010755939709383711,3.1976422499959725,1.0538386910923236
4,25055,0,1,2,-52.129842491863243,-295.43218817873486,-49.371774577614005,-302.00121193461064,0,1,1,3.034277309761209,3.034277309761209,3.034277309761209,3.034277309761209,-0.0012119346106089779,0.0012119346106089779,0.0012814560524248009,3.677345689885108,1.2119346106089779
5,25056,0,1,2,-49.139146410211623,-295.94432349553051,-46.164944154714433,-302.00140103967635,0,1,1,3.0342582939388416,3.0342582939388416,3.0342582939388416,3.0342582939388416,-0.0014010396763524113,0.0014010396763524113,0.0014406980951093828,4.2511162581096951,1.4010396763524116
6,25057,0,1,2,-46.143482194607216,-296.4261754996686,-42.937722275776665,-302.00153990735032,0,1,1,3.03415859548095,3.03415859548095,3.03415859548095,3.03415859548095,-0.0015399073503203908,0.0015399073503203908,0.0015804242204922048,4.6723231232189084,1.5399073503203908
7,25058,0,1,2,-43.143378851510505,-296.87766511089791,-39.6947834447286,-302.00167150836995,0,1,1,3.0336905422659295,3.0336905422659295,3.0336905422659295,3.0336905422659295,-0.0016715083699807567,0.0016715083699807567,0.0017069713838964162,5.0708391333289606,1.6715083699807565
8,25059,0,1,2,-40.14006887830709,-297.29863274119066,-36.439042375364771,-302.00178926116297,0,1,1,3.0317260188620012,3.0317260188620012,3.0317260188620012,3.0317260188620012,-0.001789261163025913,0.001789261163025913,0.0018217827558828503,5.4245496224849443,1.7892611630259128
9,25060,0,1,2,-37.137282070866675,-297.68865543444684,-33.175210620233749,-302.00189592032029,0,1,1,3.0243716835374528,3.0243716835374528,3.0243716835374528,3.0243716835374528,-0.0018959203202939534,0.0018959203202939534,0.0019249784206181175,5.7339677309402903,1.8959203202939534
10,25061,0,1,2,-34.146393240223084,-298.04659632058008,-29.91617175964754,-302.00198994613703,0,1,1,3.0001669294940183,3.0001669294940183,3.0001669294940183,3.0001669294940183,-0.0019899461370300742,0.0019899461370300742,0.0020151738673348518,5.9701705917920007,1.9899461370300742
