facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,43001,0,0,0,-64.407147263331154,-293.00243115306034,-62.335292692733624,-301.61439625758169,0,1,1,2.2757150926644361,0,2.2757150926644361,0,0.38560374241833978,0,0,0,0
1,43002,0,0,0,-62.182676642298851,-293.48257189449305,-59.987820074541261,-301.81586833003627,0,1,1,2.2757150903055479,0,2.2757150903055479,0,0.18413166996376162,0,0,0,0
2,43003,0,0,0,-59.954627844113119,-293.9458247369646,-57.643798745001732,-301.95089370487284,0,1,1,2.2757150784862761,0,2.2757150784862761,0,0.049106295127160138,0,0,0,0
3,43004,0,1,2,-57.72312910382098,-294.39216301856163,-55.307401545693509,-302.01556217699823,0,1,1,2.2757150228037561,2.2757150228037561,2.2757150228037561,2.2757150228037561,-0.015562176998230372,0.015562176998230372,0.024206183547619275,0.88537699956009797,0.38905442495575931
4,43005,0,1,2,-55.488308944361037,-294.82156103490729,-52.957845063885102,-302.03549251969986,0,1,1,2.2757147761662844,2.2757147761662844,2.2757147761662844,2.2757147761662844,-0.035492519699829472,0.035492519699829472,0.038355301874219094,2.0192712881068715,0.8873129924957367
5,43006,0,1,2,-53.250296443005794,-295.23399399538164,-50.579678693228125,-302.04365549399216,0,1,1,2.2757137491179007,2.2757137491179007,2.2757137491179007,2.2757137491179007,-0.043655493992190486,0.043655493992190486,0.045505607222878552,2.483685197564045,1.0913873498047622
6,43007,0,1,2,-51.009222246890161,-295.62943786450023,-48.183243378899896,-302.04946695525553,0,1,1,2.2757097239826463,2.2757097239826463,2.2757097239826463,2.2757097239826463,-0.049466955255581979,0.049466955255581979,0.050972090749667132,2.8143107772735592,1.2366738813895493
7,43008,0,1,2,-48.76522213987954,-296.0078688360237,-45.775418382971374,-302.05438702193732,0,1,1,2.2756948860210029,2.2756948860210029,2.2756948860210029,2.2756948860210029,-0.054387021937344564,0.054387021937344564,0.055722488266383152,3.0942066922181786,1.3596755484336143
8,43009,0,1,2,-46.518448671506718,-296.36926172400649,-43.358602463077432,-302.05881641113029,0,1,1,2.2756435254149521,2.2756435254149521,2.2756435254149521,2.2756435254149521,-0.058816411130322876,0.058816411130322876,0.060038253844140854,3.3461296294215792,1.4704102782580719
9,43010,0,1,2,-44.269106524218131,-296.71358539713503,-40.933794477204522,-302.06289095599664,0,1,1,2.2754764990769387,2.2754764990769387,2.2754764990769387,2.2754764990769387,-0.062890955996664388,0.062890955996664388,0.064021552858207542,3.577672309372292,1.5722738999166097
10,43011,0,1,2,-42.017552617837815,-297.04079080808617,-38.501635532753198,-302.06666740623791,0,1,1,2.2749664735871562,2.2749664735871562,2.2749664735871562,2.2749664735871562,-0.066667406237939986,0.066667406237939986,0.067717143939773905,3.7916528518082178,1.6666851559484996
11,43012,0,1,2,-39.764558910979403,-297.35078215412386,-36.063051887362292,-302.07017283191618,0,1,1,2.2735056155664659,2.2735056155664659,2.2735056155664659,2.2735056155664659,-0.070172831916210043,0.070172831916210043,0.071146952673302621,3.9884581855426315,1.7543207979052513
12,43013,0,1,2,-37.511951425541184,-297.64335327555852,-33.620079092500589,-302.07341966869058,0,1,1,2.2695824540094152,2.2695824540094152,2.2695824540094152,2.2695824540094152,-0.073419668690576145,0.073419668690576145,0.07432011001912997,4.1657997959829007,1.8354917172644036
13,43014,0,1,2,-35.264010735063685,-297.91806406757701,-31.177441428750249,-302.07640835688869,0,1,1,2.2597779575480761,2.2597779575480761,2.2597779575480761,2.2597779575480761,-0.076408356888720164,0.076408356888720164,0.077233435495884351,4.3166480167399133,1.9102089222180041
14,43015,0,1,2,-33.030157798119824,-298.17403880064364,-28.745522615875078,-302.07912556090946,0,1,1,2.237195694213336,2.237195694213336,2.237195694213336,2.237195694213336,-0.079125560909460546,0.079125560909460546,0.079869260775126349,4.4254841042215043,1.9781390227365134
15,43016,0,1,2,-30.829191590234345,-298.40972168334281,-26.345052997620339,-302.08154626406798,0,1,1,2.1899322021227703,2.1899322021227703,2.1899322021227703,2.1899322021227703,-0.081546264067981156,0.081546264067981156,0.082200157822512665,4.4645197411319728,2.0386566016995289
16,43017,0,1,2,-28.69341572612791,-298.62280956910934,-24.011706308661484,-302.08364837591665,0,1,1,2.10285426887926,2.10285426887926,2.10285426887926,2.10285426887926,-0.083648375916709483,0.083648375916709483,0.084208137003884076,4.3975086095317408,2.0912093979177371
17,43018,0,1,2,-26.668102885762071,-298.81072068040385,-21.795595651543412,-302.08543764412701,0,1,1,1.9651920334269615,1.9651920334269615,1.9651920334269615,1.9651920334269615,-0.085437644127040371,0.085437644127040371,0.085910917522767249,4.1975344398306884,2.1359411031760089
18,43019,0,1,2,-24.801111706592657,-298.97175515040408,-19.749916029312594,-302.08695712982063,0,1,1,1.7826726047527703,1.7826726047527703,1.7826726047527703,1.7826726047527703,-0.086957129820660839,0.086957129820660839,0.087361131899172051,3.8754023279805567,2.173928245516521
19,43020,0,1,2,-23.125634848192583,-299.106304911667,-17.911928805778832,-302.088262863274,0,1,1,1.579081957280041,1.579081957280041,1.579081957280041,1.579081957280041,-0.08826286327402498,0.08826286327402498,0.088612726756309712,3.4843573723472012,2.2065715818506249
20,43021,0,1,2,-21.649936844532171,-299.21698433063801,-16.29151495927621,-302.08939596186713,0,1,1,1.3806124821862209,1.3806124821862209,1.3806124821862209,1.3806124821862209,-0.089395961867154483,0.089395961867154483,0.089700293162593425,3.0855295202709225,2.2348990466788621
21,43022,0,1,2,-20.360518626821083,-299.30767867730674,-14.874499081470683,-302.09037864197518,0,1,1,1.2046012601626439,1.2046012601626439,1.2046012601626439,1.2046012601626439,-0.090378641975121368,0.090378641975121368,0.090641661304516674,2.7217556503754903,2.2594660493780339
22,43023,0,1,2,-19.23236720612136,-299.38242587525519,-13.633863970679378,-302.09122488482376,0,1,1,1.0566526321280418,1.0566526321280418,1.0566526321280418,1.0566526321280418,-0.091224884823787988,0.091224884823787988,0.091450444030840572,2.4098253666158258,2.2806221205946997
23,43024,0,1,2,-18.238434239742848,-299.44472095151707,-12.540194087962771,-302.09194955471639,0,1,1,0.93511657171031748,0.93511657171031748,0.93511657171031748,0.93511657171031748,-0.091949554716393322,0.091949554716393322,0.092142383866928412,2.1495888094170992,2.2987388679098326
24,43025,0,1,2,-17.354408107200388,-299.49732848204189,-11.566970002001154,-302.09256940320097,0,1,1,0.83606547257851416,0.83606547257851416,0.83606547257851416,0.83606547257851416,-0.092569403200968722,0.092569403200968722,0.092734443739914241,1.9348520458382237,2.3142350800242184
25,43026,0,1,2,-16.560317026311928,-299.54234011112948,-10.692370481514791,-302.09310140254911,0,1,1,0.75466744055957291,0.75466744055957291,0.75466744055957291,0.75466744055957291,-0.09310140254910948,0.09310140254910948,0.093243511977050275,1.7565149293560738,2.327535063727737
26,43027,0,1,2,-15.840485437809857,-299.58130948509756,-9.8992514288477427,-302.09356128733089,0,1,1,0.68710490824377346,0.68710490824377346,0.68710490824377346,0.68710490824377346,-0.093561287330913956,0.093561287330913956,0.093684692505519251,1.6071604936669239,2.3390321832728489
27,43028,0,1,2,-15.18200415341572,-299.61543186591234,-9.1734801870907159,-302.09396171205094,0,1,1,0.63162548556936393,0.63162548556936393,0.63162548556936393,0.63162548556936393,-0.093961712050969468,0.093961712050969468,0.09406949219624039,1.483715299978059,2.349042801274237
28,43029,0,1,2,-14.574643366105047,-299.64561457280479,-8.5038494713872765,-302.094312987747,0,1,1,0.58459571315017211,0.58459571315017211,0.58459571315017211,0.58459571315017211,-0.094312987747031229,0.094312987747031229,0.094408016719455645,1.3783742082824793,2.3578246936757807
29,43030,0,1,2,-14.010528966498351,-299.6725393561851,-7.8817290282146431,-302.09462370205301,0,1,1,0.54491795571149415,0.54491795571149415,0.54491795571149415,0.54491795571149415,-0.094623702053013417,0.094623702053013417,0.094708064068811382,1.2890538571145393,2.3655925513253351
30,43031,0,1,2,-13.483560663599457,-299.69672759975253,-7.3004312385492529,-302.09490082609165,0,1,1,0.51012873190934549,0.51012873190934549,0.51012873190934549,0.51012873190934549,-0.094900826091617319,0.094900826091617319,0.094976461714168181,1.2102909517816518,2.372520652290433
31,43032,0,1,2,-12.98866231317079,-299.71859618484524,-6.7543882896031517,-302.09514982252932,0,1,1,0.4806341648676975,0.4806341648676975,0.4806341648676975,0.4806341648676975,-0.095149822529322137,0.095149822529322137,0.095217945067133769,1.1433063872172595,2.3787455632330539
32,43033,0,1,2,-12.521351302360994,-299.73849276138844,-6.2386799740488508,-302.09537477222835,0,1,1,0.45483488845944592,0.45483488845944592,0.45483488845944592,0.45483488845944592,-0.095374772228382199,0.095374772228382199,0.095436524459898919,1.084494347208532,2.384369305709555
33,43034,0,1,2,-12.078203774146658,-299.75668515127404,-5.7495476762585316,-302.09557919817553,0,1,1,0.43220694196069359,0.43220694196069359,0.43220694196069359,0.43220694196069359,-0.095579198175528277,0.095579198175528277,0.095635471319610588,1.0327498239625046,2.3894799543882068
34,43035,0,1,2,-11.656402173181284,-299.77339081456182,-5.2838978423293099,-302.09576596170382,0,1,1,0.41205784569161724,0.41205784569161724,0.41205784569161724,0.41205784569161724,-0.095765961703847324,0.095765961703847324,0.095817516533145408,0.98652789675683117,2.3941490425961831
35,43036,0,1,2,-11.253687232698832,-299.78878518459419,-4.8392497603407874,-302.0959374834494,0,1,1,0.39396047458345568,0.39396047458345568,0.39396047458345568,0.39396047458345568,-0.095937483449375818,0.095937483449375818,0.095984956746008265,0.94488941275146288,2.3984370862343951
36,43037,0,1,2,-10.8677938101095,-299.80302745326475,-4.4131140143590093,-302.0960955273323,0,1,1,0.37835199470704561,0.37835199470704561,0.37835199470704561,0.37835199470704561,-0.096095527332295191,0.096095527332295191,0.096139300713957709,0.9089483612149829,2.4023881833073801
37,43038,0,1,2,-10.497026109366486,-299.81624269162512,-4.003627240332996,-302.09624171272765,0,1,1,0.36365442856833957,0.36365442856833957,0.36365442856833957,0.36365442856833957,-0.096241712727675108,0.096241712727675108,0.096282339523384053,0.87496812616052466,2.4060428181918776
38,43039,0,1,2,-10.140021585006926,-299.82853300011601,-3.6092923795107206,-302.09637747182421,0,1,1,0.35077773003252627,0.35077773003252627,0.35077773003252627,0.35077773003252627,-0.09637747182421208,0.09637747182421208,0.096415225579391972,0.84517676981927181,2.409436795605302
39,43040,0,1,2,-9.7952394080402065,-299.83999820941949,-3.2284146184846465,-302.09650378367786,0,1,1,0.33916789074458875,0.33916789074458875,0.33916789074458875,0.33916789074458875,-0.096503783677860625,0.096503783677860625,0.096538956105348461,0.81827461897230136,2.4125945919465153
40,43041,0,1,2,-9.4615720755256536,-299.85071564694442,-2.8597761363861256,-302.0966216209701,0,1,1,0.32851103433242856,0.32851103433242856,0.32851103433242856,0.32851103433242856,-0.096621620970125832,0.096621620970125832,0.096654481935047443,0.79353171609429762,2.4155405242531454
41,43042,0,1,2,-9.1381070003622771,-299.86075035452211,-2.502373629979278,-302.0967318365382,0,1,1,0.3187304373536346,0.3187304373536346,0.3187304373536346,0.3187304373536346,-0.096731836538225466,0.096731836538225466,0.096762608561220986,0.7707845141462224,2.4182959134556365
42,43043,0,1,2,-8.824011082533854,-299.87015997458872,-2.1552909632677526,-302.09683514595554,0,1,1,0.30974331269664934,0.30974331269664934,0.30974331269664934,0.30974331269664934,-0.096835145955537882,0.096835145955537882,0.0968640196524575,0.74985097234329623,2.4208786488884471
43,43044,0,1,2,-8.5185039240607807,-299.8789961990052,-1.8176696271480779,-302.09693215013664,0,1,1,0.30152660141516197,0.30152660141516197,0.30152660141516197,0.30152660141516197,-0.096932150136638029,0.096932150136638029,0.096959281829811061,0.73069054496411723,2.4233037534159503
44,43045,0,1,2,-8.2208806615101029,-299.88730469831557,-1.4887340251994363,-302.09702337285671,0,1,1,0.29395189323588855,0.29395189323588855,0.29395189323588855,0.29395189323588855,-0.097023372856682499,0.097023372856682499,0.097048908625538388,0.7130051034838335,2.4255843214170625
45,43046,0,1,2,-7.9305075210621574,-299.89512576479171,-1.1677866543167497,-302.09710927559053,0,1,1,0.2870050743556139,0.2870050743556139,0.2870050743556139,0.2870050743556139,-0.097109275590469224,0.097109275590469224,0.097133335788100794,0.69677137153656044,2.4277318897617302
46,43047,0,1,2,-7.646790111026097,-299.90249567806325,-0.85417316385801723,-302.09719025167641,0,1,1,0.28062121960878256,0.28062121960878256,0.28062121960878256,0.28062121960878256,-0.097190251676380512,0.097190251676380512,0.097212943043700761,0.68184117398776056,2.4297562919095128
47,43048,0,1,2,-7.3691913777538538,-299.90944657763407,-0.54730223000040468,-302.09726664532161,0,1,1,0.2747503253361277,0.2747503253361277,0.2747503253361277,0.2747503253361277,-0.097266645321610667,0.097266645321610667,0.097288059845936914,0.66810106116165691,2.4316661330402667
