facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,4737,0,0,0,-63.09505483724314,-293.27629516752222,-60.868774332596324,-301.66586563015386,0,1,1,5.667009051581716,0,5.667009051581716,0,0.33413436984611167,0,0,0,0
1,4738,0,0,0,-57.544046767232146,-294.41578411196366,-55.055523546732765,-301.96139830253975,0,1,1,5.6670088717805269,0,5.6670088717805269,0,0.038601697460279638,0,0,0,0
2,4739,0,1,2,-51.972508213591745,-295.45021519734087,-49.204513151239816,-302.00312244053418,0,1,1,5.6670026762271677,5.6670026762271677,5.6670026762271677,5.6670026762271677,-0.0031224405342129558,0.0031224405342129558,0.003617010756045147,8.8474394318725036,1.5612202671064779
3,4740,0,1,2,-46.382500015385318,-296.37920875026509,-43.229426482729288,-302.00285735261809,0,1,1,5.6668555264933627,5.6668555264933627,5.6668555264933627,5.6668555264933627,-0.0028573526181219222,0.0028573526181219222,0.0031988742601924969,8.0961022375722465,1.4286763090609609
4,4741,0,1,2,-40.777206134552969,-297.20228457110954,-37.173489479478405,-302.00359131085673,0,1,1,5.6644525148973104,5.6644525148973104,5.6644525148973104,5.6644525148973104,-0.0035913108567058316,0.0035913108567058316,0.003673540201191372,10.17140490702268,1.7956554283529156
5,4742,0,1,2,-35.171789341328953,-297.91777208683732,-31.07716213118665,-302.00394686257397,0,1,1,5.6378397793534951,5.6378397793534951,5.6378397793534951,5.6378397793534951,-0.0039468625739402796,0.0039468625739402796,0.00406991110907029,11.125889411501017,1.97343128697014
6,4743,0,1,2,-29.659946202822628,-298.51776838242779,-25.048629290338482,-302.00428575630701,0,1,1,5.4514406245835199,5.4514406245835199,5.4514406245835199,5.4514406245835199,-0.004285756307012889,0.004285756307012889,0.0043583681598420299,11.681773019557552,2.1428781535064445
7,4744,0,1,2,-24.569542711258009,-298.98268229992993,-19.456518173270027,-302.00446809686736,0,1,1,4.7721088415209811,4.7721088415209811,4.7721088415209811,4.7721088415209811,-0.004468096867327632,0.004468096867327632,0.0045007593860191264,10.661122282673194,2.2340484336638156
8,4745,0,1,2,-20.361908301554791,-299.30257228435619,-14.821187571944119,-302.00456922686789,0,1,1,3.6676500851827285,3.6676500851827285,3.6676500851827285,3.6676500851827285,-0.0045692268678578785,0.0045692268678578785,0.0045949517821668451,8.3791626555590799,2.2846134339289392
9,4746,0,1,2,-17.172766816942591,-299.50499434800952,-11.302838560603412,-302.00465953620619,0,1,1,2.7235568286210583,2.7235568286210583,2.7235568286210583,2.7235568286210583,-0.0046595362062191725,0.0046595362062191725,0.0046859514127390867,6.3452558263276435,2.3297681031095863
10,4747,0,1,2,-14.759744498300364,-299.63484015704466,-8.6386111061197361,-302.00473931369834,0,1,1,2.1095083855509627,2.1095083855509627,2.1095083855509627,2.1095083855509627,-0.0047393136983657769,0.0047393136983657769,0.0047589580483986538,4.9988109942295758,2.3696568491828884
11,4748,0,1,2,-12.846374029975385,-299.72358915994516,-6.5246692006939266,-302.00479811230679,0,1,1,1.7213661579020056,1.7213661579020056,1.7213661579020056,1.7213661579020056,-0.0047981123067586395,0.0047981123067586395,0.0048124153491357902,4.1296540733337244,2.3990561533793198
12,4749,0,1,2,-11.253888009442537,-299.78794598302107,-4.7642295706096718,-302.00484084611094,0,1,1,1.4662168355020611,1.4662168355020611,1.4662168355020611,1.4662168355020611,-0.0048408461109374912,0.0048408461109374912,0.0048512154418745013,3.5488650329656135,2.4204230554687456
13,4750,0,1,2,-9.8770180763650828,-299.83667048905374,-3.2414081550272833,-302.00487248237982,0,1,1,1.2892539824398586,1.2892539824398586,1.2892539824398586,1.2892539824398586,-0.0048724823797954286,0.0048724823797954286,0.0048803782571553711,3.1409336562596479,2.4362411898977143
14,4751,0,1,2,-8.6517492428578073,-299.87465615346883,-1.8857244311077981,-302.00489663729292,0,1,1,1.1624661329768256,1.1624661329768256,1.1624661329768256,1.1624661329768256,-0.0048966372929157842,0.0048966372929157842,0.0049026872611648287,2.8460875092429614,2.4483186464578921
15,4752,0,1,2,-7.5368963733001983,-299.90483491416489,-0.65182027965860634,-302.0049154465259,0,1,1,1.0680602336653493,1.0680602336653493,1.0680602336653493,1.0680602336653493,-0.0049154465258425262,0.0049154465258425262,0.0049202560733192513,2.6249964824804488,2.4577232629212631
16,4753,0,1,2,-6.5048279804293969,-299.92905642192591,0.49074597669608799,-302.00493042712867,0,1,1,0.99664797847551811,0.99664797847551811,0.99664797847551811,0.99664797847551811,-0.0049304271286985122,0.0049304271286985122,0.0049342666363259013,2.4569501154191125,2.4652135643492561
17,4754,0,1,2,-5.5356874011803932,-299.94855277341316,1.5638606390839778,-302.00494240465321,0,1,1,0.94202787948668354,0.94202787948668354,0.94202787948668354,0.94202787948668354,-0.004942404653235144,0.004942404653235144,0.0049454803726689534,2.3279414875261102,2.471202326617572
18,4755,0,1,2,-4.6148115539938175,-299.96416622408447,2.5836923785381085,-302.00495198899443,0,1,1,0.89999069095146889,0.89999069095146889,0.89999069095146889,0.89999069095146889,-0.0049519889944349416,0.0049519889944349416,0.0049544467970008554,2.2283719983427863,2.4759944972174708
19,4756,0,1,2,-3.73092560732601,-299.9764855079859,3.5626788334409438,-302.00495956020336,0,1,1,0.86795481388952234,0.86795481388952234,0.86795481388952234,0.86795481388952234,-0.0049595602033605246,0.0049595602033605246,0.004961473640321401,2.1523370766408325,2.4797801016802619
