contact_method,contact_parameter_name,contact_parameter_value,mesh,success,nodes,elements,candidate_facets,active_facets,active_gauss_points,nonlinear_iterations,linear_iterations,max_penetration,minimum_signed_distance,contact_force_norm_n,contact_force_norm_kn,max_normal_multiplier,mean_normal_multiplier,contact_state_relative_update_norm,assembly_time_seconds,solve_time_seconds,total_time_seconds,matrix_nonzeros,min_radial_step,max_radial_step,min_angular_step,max_angular_step,min_outer_arc_step,max_outer_arc_step,min_aspect_ratio,max_aspect_ratio,linear_solver_backend
penalty,penalty_parameter,10.00000000,contact_focused_very_coarse,true,4941,4800,48,46,0,5,9604,0.24138992,-0.24139687,221.17742717,0.22117743,0.00000000,0.00000000,0.00000000,0.02642420,2.16717210,2.21410560,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,25.00000000,contact_focused_very_coarse,true,4941,4800,48,46,0,5,9381,0.09832625,-0.09832909,225.29685263,0.22529685,0.00000000,0.00000000,0.00000000,0.02549690,2.08344230,2.12916780,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,50.00000000,contact_focused_very_coarse,true,4941,4800,48,46,0,5,9292,0.04946471,-0.04946614,226.64667825,0.22664668,0.00000000,0.00000000,0.00000000,0.02476840,2.09001220,2.13500250,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,100.00000000,contact_focused_very_coarse,true,4941,4800,48,44,0,6,10705,0.02480795,-0.02480867,227.25761718,0.22725762,0.00000000,0.00000000,0.00000000,0.02631890,2.39161560,2.43866760,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,250.00000000,contact_focused_very_coarse,true,4941,4800,48,44,0,6,10598,0.00994178,-0.00994207,227.74811223,0.22774811,0.00000000,0.00000000,0.00000000,0.03173120,2.37574330,2.42797670,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,500.00000000,contact_focused_very_coarse,true,4941,4800,48,44,0,6,10520,0.00497400,-0.00497414,227.91339978,0.22791340,0.00000000,0.00000000,0.00000000,0.02655240,2.33904370,2.38553520,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,1000.00000000,contact_focused_very_coarse,true,4941,4800,48,44,0,7,11826,0.00248778,-0.00248785,227.99642193,0.22799642,0.00000000,0.00000000,0.00000000,0.02801700,2.63512930,2.68361070,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,2000.00000000,contact_focused_very_coarse,true,4941,4800,48,44,0,6,10258,0.00124408,-0.00124412,228.03802032,0.22803802,0.00000000,0.00000000,0.00000000,0.02660080,2.32360530,2.37016390,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,5000.00000000,contact_focused_very_coarse,true,4941,4800,48,44,0,13,19916,0.00049768,-0.00049769,228.06301746,0.22806302,0.00000000,0.00000000,0.00000000,0.03639270,4.47805660,4.53736920,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
penalty,penalty_parameter,10000.00000000,contact_focused_very_coarse,true,4941,4800,48,44,0,8,12694,0.00024885,-0.00024886,228.07139557,0.22807140,0.00000000,0.00000000,0.00000000,0.03012430,2.86124070,2.91298310,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
