contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,-2.992578544540915,-1.8207947493444703,-0.9538911430919043
inner,-29.5000000000001,249.99999999999997,-2.025873567791002,-1.245078547667683,-0.7761620499813994
inner,-29.00000000000013,250.0,-0.9564985935939129,-0.6667630349369126,-0.5532041284069009
inner,-28.50000000000006,249.99999999999997,-0.7485966175683094,-0.5689977696621585,-0.4866951189732243
inner,-28.00000000000009,249.99999999999997,-0.5718544093772937,-0.4345449537755792,-0.47227370561083604
inner,-27.50000000000012,249.99999999999997,-0.46161090102059565,-0.34203645864694054,-0.4756711323527202
inner,-27.000000000000153,249.99999999999994,-0.3759367594958336,-0.26491201416047744,-0.48763597391902813
inner,-26.500000000000185,249.99999999999997,-0.30979359588395783,-0.2023847825590986,-0.5044610234002521
inner,-26.000000000000213,249.99999999999997,-0.25687241141936357,-0.15002586629580567,-0.5246998286755056
inner,-25.500000000000245,249.99999999999994,-0.2142994507020984,-0.10575936055476531,-0.5476821647347684
inner,-25.000000000000277,249.99999999999994,-0.18003300148282053,-0.06793105091560464,-0.5731199983106409
inner,-24.500000000000256,249.99999999999997,-0.15281391114649007,-0.03544462962656664,-0.6009115887082652
inner,-24.000000000000288,249.99999999999997,-0.1318303163623601,-0.00752345481955774,-0.6310584236876663
inner,-23.50000000000037,249.99999999999997,-0.11660413385982943,0.01636035178101286,-0.6636186939151265
inner,-23.0000000000003,249.99999999999997,-0.1069022000987333,0.03655122174812386,-0.6986801321935795
inner,-22.50000000000033,249.99999999999997,-0.10268562755373034,0.05324743428690476,-0.7363411730315877
inner,-22.000000000000362,249.99999999999997,-0.10407536391788613,0.06652649093954766,-0.7766959466022414
inner,-21.500000000000394,250.0,-0.11132860503649011,0.07636103015297291,-0.8198205280763361
inner,-21.000000000000423,249.99999999999997,-0.12482056350428006,0.08262878255419459,-0.8657591249118561
inner,-20.500000000000405,250.00000000000003,-0.14502828474169394,0.08511841599400644,-0.9145095259619445
inner,-20.000000000000437,250.00000000000003,-0.1725138274977236,0.08353275355564493,-0.9660075980452657
inner,-19.500000000000465,250.00000000000003,-0.20790460694312862,0.07749058442371093,-1.0201110077498146
inner,-19.000000000000497,250.00000000000006,-0.25186901410584805,0.06652826938487344,-1.0765827672098862
inner,-18.50000000000053,250.00000000000006,-0.3050853463732091,0.05010278838594456,-1.1350757955859585
inner,-18.000000000000508,250.00000000000003,-0.3682014906308267,0.027599155191624536,-1.1951207310805094
inner,-17.50000000000054,250.00000000000003,-0.44178462908561134,-0.0016547033964203761,-1.2561203480101875
inner,-17.000000000000572,250.00000000000006,-0.5262656833026383,-0.03836503957666593,-1.3173537464191174
inner,-16.5000000000006,250.00000000000003,-0.6218874046319699,-0.08324361943678832,-1.377991501902129
inner,-16.000000000000632,250.00000000000003,-0.7286645188759231,-0.136976417273328,-1.4371204069823005
inner,-15.500000000000613,250.00000000000003,-0.8463605791569083,-0.2001919749163249,-1.493774720506564
inner,-15.000000000000645,250.00000000000003,-0.9744812396997913,-0.2734298696720522,-1.5469708349099542
inner,-14.500000000000727,250.00000000000003,-1.1122774017392285,-0.35710561548278,-1.5957447307039299
inner,-14.000000000000655,250.00000000000003,-1.2587494100632994,-0.4514641568187207,-1.6391953536019161
inner,-13.500000000000636,250.00000000000006,-1.4126770484130464,-0.5565384227902155,-1.6765319906664216
inner,-13.000000000000616,250.00000000000003,-1.5727223245414723,-0.6721608657208881,-1.7071048208336455
inner,-12.500000000000647,250.00000000000006,-1.7375552246338435,-0.798017758643585,-1.7303992118290514
inner,-12.000000000000627,250.00000000000003,-1.905901584932431,-0.9336762245254968,-1.74600961617763
inner,-11.500000000000608,250.00000000000003,-2.0765279761790705,-1.0785734490539645,-1.753620227653431
inner,-11.000000000000588,250.00000000000003,-2.2482298520336,-1.2320030321089757,-1.7529972724986054
inner,-10.50000000000067,250.00000000000003,-2.4198343959982878,-1.3931089573411364,-1.74398640674122
inner,-10.000000000000599,249.99999999999997,-2.5902080285638007,-1.5608850933247773,-1.7265111613757005
inner,-9.500000000000579,250.0,-2.7582647143518093,-1.734180071840958,-1.7005710205788933
inner,-9.00000000000056,249.99999999999997,-2.9229735995655775,-1.9117071947764015,-1.6662388075664734
inner,-8.500000000000592,250.00000000000003,-3.083366059386421,-2.0920594515563904,-1.6236572398602316
inner,-8.000000000000622,249.99999999999997,-3.238541596729718,-2.2737289826383966,-1.5730345467903395
inner,-7.500000000000552,249.99999999999997,-3.3876723568227196,-2.4551301681423214,-1.514639243754265
inner,-7.000000000000583,249.99999999999997,-3.5300061684807917,-2.6346254570770196,-1.4487941095506982
inner,-6.500000000000562,249.99999999999997,-3.6648676952241286,-2.81055253704938,-1.3758696168082596
