facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,10704,0,1,2,-61.048937481930281,-293.71566178612625,-67.806254171660129,-292.00245869804559,0,1,1,4.068048114407862,4.068048114407862,4.068048114407862,4.068048114407862,-0.0024586980455865164,0.0024586980455865164,0.0032683518455201011,5.0010509741232614,1.2293490227932582
1,10705,0,1,2,-57.060584853006816,-294.51647220946722,-63.6461463037963,-292.00413998640931,0,1,1,4.0680479461034436,4.0680479461034436,4.0680479461034436,4.0680479461034436,-0.0041399864093136785,0.0041399864093136785,0.0043010248987229716,8.4208316046523404,2.0699932046568392
2,10706,0,1,2,-53.061741214903606,-295.26312734614123,-59.399703721084016,-292.00488545189063,0,1,1,4.0680457318045722,4.0680457318045722,4.0680457318045722,4.0680457318045722,-0.004885451890601189,0.004885451890601189,0.0051548080974157529,9.9371208557483719,2.4427259453005945
3,10707,0,1,2,-49.053153648226846,-295.95548806702186,-55.111157528398046,-292.00574211301023,0,1,1,4.0680217178981062,4.0680217178981062,4.0680217178981062,4.0680217178981062,-0.0057421130102568441,0.0057421130102568441,0.0059673503314456866,11.679520216175057,2.871056505128422
4,10708,0,1,2,-45.035664187113113,-296.593412244197,-50.781122504014711,-292.00652339192811,0,1,1,4.0678075516724972,4.0678075516724972,4.0678075516724972,4.0678075516724972,-0.0065233919281126873,0.0065233919281126873,0.0067492262004975601,13.2679514738481,3.2616959640563437
5,10709,0,1,2,-41.010778509469588,-297.17668561656131,-46.408741971129338,-292.00729057645185,0,1,1,4.0662375743127477,4.0662375743127477,4.0662375743127477,4.0662375743127477,-0.0072905764518225169,0.0072905764518225169,0.0075076763707215832,14.822607953400215,3.6452882259112585
6,10710,0,1,2,-36.983799033463271,-297.70469279881229,-41.997539970893641,-292.00802728198698,0,1,1,4.0568434119240466,4.0568434119240466,4.0568434119240466,4.0568434119240466,-0.0080272819869833274,0.0080272819869833274,0.0082355192071190686,16.282713022274937,4.0136409934916628
7,10711,0,1,2,-32.977092289567253,-298.17526337667965,-37.57128975689902,-292.00871995694888,0,1,1,4.0118296938235369,4.0118296938235369,4.0118296938235369,4.0118296938235369,-0.0087199569489087025,0.0087199569489087025,0.0089116358045089328,17.491491108247409,4.3599784744543504
8,10712,0,1,2,-29.067640304359642,-298.58226274277104,-33.21707361509155,-292.00932941142611,0,1,1,3.8494999899519318,3.8494999899519318,3.8494999899519318,3.8494999899519318,-0.0093294114261084343,0.0093294114261084343,0.0094896012769822846,17.95678459553093,4.6647057130542171
9,10713,0,1,2,-25.430248910263046,-298.91523337234639,-29.135887823841159,-292.00981828973158,0,1,1,3.4558346706809711,3.4558346706809711,3.4558346706809711,3.4558346706809711,-0.0098182897315552964,0.0098182897315552964,0.0099403539019249365,16.965193030549877,4.9091448657776482
10,10714,0,1,2,-22.279831552750885,-299.16810750101286,-25.579160840206075,-292.01019774653457,0,1,1,2.8653518063005641,2.8653518063005641,2.8653518063005641,2.8653518063005641,-0.010197746534572616,0.010197746534572616,0.010294761851582734,14.610065726516481,5.098873267286308
11,10715,0,1,2,-19.711653021874049,-299.34953939895502,-22.665618864489019,-292.01050101505098,0,1,1,2.2838535668501136,2.2838535668501136,2.2838535668501136,2.2838535668501136,-0.010501015051033846,0.010501015051033846,0.010579091893646364,11.991390339925189,5.2505075255169231
12,10716,0,1,2,-17.656973723771117,-299.47853134938993,-20.326036069835617,-292.01074089702195,0,1,1,1.8336190777099293,1.8336190777099293,1.8336190777099293,1.8336190777099293,-0.010740897021946695,0.010740897021946695,0.010801316099843916,9.8473568455796112,5.3704485109733469
13,10717,0,1,2,-15.986424080717576,-299.57279932903572,-18.418542185255408,-292.0109260172635,0,1,1,1.5128083510809203,1.5128083510809203,1.5128083510809203,1.5128083510809203,-0.010926017263471977,0.010926017263471977,0.010972477406880898,8.2644850801173551,5.4630086317359883
