contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,-2.9552764810302445,-1.8580968128553437,-0.9758211016761345
inner,-29.5000000000001,249.99999999999997,-1.9960541169801922,-1.2748979984786248,-0.7904563282564496
inner,-29.00000000000013,250.0,-0.9356735493064385,-0.6875880792244016,-0.558242672193358
inner,-28.50000000000006,249.99999999999997,-0.7305941179409561,-0.5870002692894827,-0.4896746644784161
inner,-28.00000000000009,249.99999999999997,-0.5546824406148366,-0.45171692253810225,-0.47445279025696174
inner,-27.50000000000012,249.99999999999997,-0.44460910086069205,-0.35903825880688733,-0.47750072850052205
inner,-27.000000000000153,249.99999999999994,-0.3588068091636645,-0.2820419644926442,-0.48928238905036237
inner,-26.500000000000185,249.99999999999997,-0.29238205329743616,-0.21979632514573602,-0.5060117740153742
inner,-26.000000000000213,249.99999999999997,-0.23908442694213247,-0.1678138507732048,-0.5262072619286773
inner,-25.500000000000245,249.99999999999994,-0.19606912026356327,-0.1239896909933837,-0.549183148257396
inner,-25.000000000000277,249.99999999999994,-0.16130915489006492,-0.08665489750827299,-0.5746433065455038
inner,-24.500000000000256,249.99999999999997,-0.13355339909006175,-0.054705141682973274,-0.6024818358930119
inner,-24.000000000000288,249.99999999999997,-0.1119945079321667,-0.02735926324990645,-0.6326981917970432
inner,-23.50000000000037,249.99999999999997,-0.09615717866221879,-0.0040866034168105525,-0.6653498416754802
inner,-23.0000000000003,249.99999999999997,-0.08581029386853911,0.015459315517755534,-0.7005246353524308
inner,-22.50000000000033,249.99999999999997,-0.08091693192707605,0.03147873866009204,-0.7383216821641058
inner,-22.000000000000362,249.99999999999997,-0.08160039783851963,0.04405152486006364,-0.7788361446858565
inner,-21.500000000000394,250.0,-0.08812101508418224,0.05315344020067969,-0.8221453217745562
inner,-21.000000000000423,249.99999999999997,-0.10085822224500302,0.058666441294919214,-0.8682946738255599
inner,-20.500000000000405,250.00000000000003,-0.12029468389420339,0.060384815146529214,-0.917283096266728
inner,-20.000000000000437,250.00000000000003,-0.14699973469378264,0.058018660751691375,-0.9690472159708043
inner,-19.500000000000465,250.00000000000003,-0.18160994555166193,0.05119592303228998,-1.0234448831444025
inner,-19.000000000000497,250.00000000000006,-0.2248049065267167,0.03946416180585777,-1.080238458428322
inner,-18.50000000000053,250.00000000000006,-0.27727623062871687,0.02229367264144433,-1.1390790941621571
inner,-18.000000000000508,250.00000000000003,-0.33968717072226273,-0.0009151647169421961,-1.1994942607839616
inner,-17.50000000000054,250.00000000000003,-0.41262205564070753,-0.030817276841275,-1.2608819113139091
inner,-17.000000000000572,250.00000000000006,-0.4965302185790884,-0.06810050430017406,-1.3225145170176327
inner,-16.5000000000006,250.00000000000003,-0.5916733436370727,-0.11345768043163729,-1.3835542295165788
inner,-16.000000000000632,250.00000000000003,-0.6980847174168168,-0.16755621873241577,-1.443077837325676
inner,-15.500000000000613,250.00000000000003,-0.8155451478705162,-0.23100740620274318,-1.5001084257621686
inner,-15.000000000000645,250.00000000000003,-0.9435753561325894,-0.3043357532393607,-1.5536506050073924
inner,-14.500000000000727,250.00000000000003,-1.0814383222920245,-0.3879446949301643,-1.602728610670284
