radius_мм,relative_angle_deg,sigma_rr_mpa,sigma_tt_mpa,radial_displacement_мм
249.99999999999997,-4.579998741307465e-13,-4.5528306745929825,-4.119629544496554,-0.0
250.88872031073345,-4.579998741307465e-13,-4.573918349314128,-4.048133337917998,-0.04141034464484752
251.77643216139188,-4.579998741307465e-13,-4.614173135944909,-3.908515673519941,-0.09234047762003189
252.6621386149968,-4.579998741307465e-13,-4.650773538092061,-3.775564279224174,-0.15204282217282153
253.54486449320447,-4.579998741307465e-13,-4.68407418615984,-3.64911102814897,-0.21979006936788578
254.42366829287116,-4.579998741307465e-13,-4.714394661578146,-3.52898423882246,-0.2948775278048545
255.29764999015308,-4.579998741307465e-13,-4.74202385839227,-3.415008118764482,-0.3766253189360836
256.16595965300536,-4.579998741307465e-13,-4.767223108997058,-3.3070022030364736,-0.4643806214909195
257.0278054380143,-4.579998741307465e-13,-4.790228803836578,-3.2047812451779607,-0.5575198202306708
257.8824563132769,-4.579998741307465e-13,-4.811254673001768,-3.1081556059480286,-0.6554499596548605
258.7292477869787,-4.579998741307465e-13,-4.83049384156279,-3.0169318848849698,-0.7576102975693859
259.5675837538663,-4.579998741307465e-13,-4.8481206743029785,-2.930913799703236,-0.8634732225292139
260.3969365231511,-4.579998741307465e-13,-4.864292452303267,-2.849903252378015,-0.972544683162949
261.21684779907406,-4.579998741307465e-13,-4.879150910524018,-2.7737014457020597,-1.0843644917886957
262.02692506129307,-4.0711099922733015e-13,-4.892823654793024,-2.702109994409139,-1.1985057824897778
262.82684275857144,-4.0711099922733015e-13,-4.905425460725775,-2.6349320271075616,-1.314574909900134
263.6163332611696,-4.0711099922733015e-13,-4.917059471932659,-2.5719732102802455,-1.4322097000775713
264.3951909570323,-4.0711099922733015e-13,-4.927818316435532,-2.5130426059573834,-1.5510794309779092
265.1632612883274,-4.0711099922733015e-13,-4.937785111356613,-2.457953530338803,-1.6708824671500186
265.9204391907733,-4.0711099922733015e-13,-4.947034393913852,-2.406524250544114,-1.7913451530510789
266.6666650092832,-4.0711099922733015e-13,-4.955632987791818,-2.358578471690902,-1.9122202641289723
267.40192006358205,-4.0711099922733015e-13,-4.963640783743085,-2.3139457723175525,-2.033285343227633
268.1262223891491,-4.0711099922733015e-13,-4.971111440008327,-2.2724619950539537,-2.154341025202256
268.8396179424702,-4.0711099922733015e-13,-4.978093029722059,-2.2339694441658624,-2.2752085672520264
269.542187371632,-4.0711099922733015e-13,-4.984628635866467,-2.1983169759576553,-2.395730002289054
270.2340279245504,-4.0711099922733015e-13,-4.990756870794678,-2.165360089226095,-2.5157640957793697
270.91526539086436,-4.0711099922733015e-13,-4.996512359664645,-2.134960870457144,-2.6351874472710923
271.5860378502976,-4.0711099922733015e-13,-5.001926163793346,-2.106987957637191,-2.7538907727897186
272.24650024912626,-4.0711099922733015e-13,-5.007026158739869,-2.081316434585784,-2.871778822974588
272.8968186221936,-3.562221243239139e-13,-5.011837388105201,-2.057827628209422,-2.9887685410194536
273.53717060689627,-3.562221243239139e-13,-5.016382368847344,-2.0364089342438487,-3.104788378613538
274.16774003505293,-3.562221243239139e-13,-5.020681363942266,-2.0169536171094804,-3.2197765930145628
274.78871815814335,-3.562221243239139e-13,-5.024752625045286,-1.999360594477932,-3.3336807847731356
275.40029797062476,-3.562221243239139e-13,-5.028612607816775,-1.9835342095473731,-3.4464562227801605
276.00267623617214,-3.562221243239139e-13,-5.032276172427418,-1.9693839523922996,-3.558065619920244
276.59605533048875,-3.562221243239139e-13,-5.035756758536937,-1.956824226530263,-3.6684789349362465
277.1806317553696,-3.562221243239139e-13,-5.0390665247956505,-1.945774148733579,-3.777670731476115
277.7566059072009,-3.562221243239139e-13,-5.042216491894134,-1.9361572755716114,-3.8856215226216344
278.32417641928043,-3.562221243239139e-13,-5.04521666748104,-1.9279013676445063,-3.992316288626538
278.88353943343117,-3.053332494204976e-13,-5.048076146968575,-1.9209381785978592,-4.0977439405263
279.4348905690013,-3.053332494204976e-13,-5.050803207300407,-1.9152032387711944,-4.201897325943146
279.97841691978664,-3.053332494204976e-13,-5.053405390839568,-1.9106356385143526,-4.304771381186387
280.51431076246155,-3.053332494204976e-13,-5.055889590192578,-1.9071778109141866,-4.406365415290227
281.0427559151723,-3.053332494204976e-13,-5.058262106477121,-1.9047753581946876,-4.506680248727514
281.56393150916284,-3.053332494204976e-13,-5.060528704434768,-1.9033768684217582,-4.605718665241105
282.07801644145286,-3.053332494204976e-13,-5.06269467704346,-1.902933730741691,-4.703486021784838
282.5851848515629,-3.053332494204976e-13,-5.064764883650628,-1.9033999758693718,-4.799989173041964
283.08560125114815,-3.053332494204976e-13,-5.066743791547242,-1.9047321212270858,-4.895235344767673
283.57943556684165,-3.053332494204976e-13,-5.068635522497598,-1.9068890243018066,-4.989234814855181
284.0668455928776,-2.5444437451708134e-13,-5.070443878013365,-1.909831740415282,-5.081997407419409
284.547988230494,-2.5444437451708134e-13,-5.072172370758713,-1.9135233964965839,-5.173534479558583
285.023016739207,-2.5444437451708134e-13,-5.073824254647937,-1.9179290683885415,-5.263858258498209
285.49207786640267,-2.5444437451708134e-13,-5.075402544045198,-1.9230156571050472,-5.3529811682136215
285.95531511176887,-2.5444437451708134e-13,-5.076910037261678,-1.9287517805828873,-5.440916333856302
286.4128669517487,-2.5444437451708134e-13,-5.078349340860913,-1.9351076891311814,-5.527677137808888
286.86487230759724,-2.5444437451708134e-13,-5.079722884734686,-1.9420551703287585,-5.6132781579532125
287.31146096041454,-2.5444437451708134e-13,-5.081032933830349,-1.9495674425274332,-5.6977332609016464
287.7527619699213,-2.5444437451708134e-13,-5.0822816044499985,-1.9576190786039527,-5.781057115351605
288.18889882936253,-2.0355549961366507e-13,-5.083470878079174,-1.966185937156098,-5.863264199770183
288.619993498457,-2.0355549961366507e-13,-5.084602607929971,-1.9752450670032027,-5.944369494497575
289.04615913167163,-2.0355549961366507e-13,-5.085678534623828,-1.9847746561941175,-6.024387050699025
289.467513635925,-2.0355549961366507e-13,-5.08670029444543,-1.9947539908506726,-6.103332480265928
289.8841647635843,-2.0355549961366507e-13,-5.087669420286703,-2.005163349483863,-6.181220102267275
290.29621880868416,-2.0355549961366507e-13,-5.088587355886064,-2.015983965193807,-6.258064528453989
290.7037805654465,-2.0355549961366507e-13,-5.089455461679536,-2.027198013274454,-6.333880606971213
291.10695199574525,-2.0355549961366507e-13,-5.090275011022355,-2.038788503293164,-6.408683130283208
291.5058267226625,-2.0355549961366507e-13,-5.0910472028518114,-2.0507392338471466,-6.4824857791090285
291.9005020717795,-2.0355549961366507e-13,-5.091773167924001,-2.0630348121239024,-6.555303320238135
292.2910698622207,-1.526666247102488e-13,-5.09245396411999,-2.07566058195081,-6.627149865596954
292.6776192680267,-1.526666247102488e-13,-5.09309058289868,-2.088602557301848,-6.69803937413398
293.06023629444485,-1.526666247102488e-13,-5.093683950177189,-2.101847386464777,-6.767985529102291
293.43900318286893,-1.526666247102488e-13,-5.094234937028635,-2.115382358966163,-6.837001606681158
293.81400454123985,-1.526666247102488e-13,-5.094744355114786,-2.1291953930878225,-6.905101568498818
294.1853187078849,-1.526666247102488e-13,-5.095212952781536,-2.143274930115945,-6.972298465426229
294.55302105329355,-1.526666247102488e-13,-5.095641428106183,-2.1576099069775836,-7.038605024885498
294.91718583338644,-1.526666247102488e-13,-5.096030430738292,-2.172189787435687,-7.1040339678944
295.2778860787853,-1.526666247102488e-13,-5.096380562653325,-2.187004553032324,-7.168597969494771
295.63519370058776,-1.0177774980683254e-13,-5.0966923746775255,-2.202044642974735,-7.232309659520771
295.9891762561641,-1.0177774980683254e-13,-5.0969663714112565,-2.217300892140102,-7.2951810321375
296.33989966208276,-1.0177774980683254e-13,-5.09720301798748,-2.232764522822011,-7.357223920486797
296.68742754969793,-1.0177774980683254e-13,-5.097402745486247,-2.2484271726531375,-7.4184498708872475
297.03182442205156,-1.0177774980683254e-13,-5.097565945472756,-2.264280875748468,-7.4788706865854815
297.37315065541196,-1.0177774980683254e-13,-5.097692971762776,-2.2803180010914295,-7.538497536714622
297.7114656823124,-1.0177774980683254e-13,-5.097784152020957,-2.2965312556213626,-7.597341508796579
298.0468279951567,-1.0177774980683254e-13,-5.0978397715942725,-2.312913620188694,-7.655413598445049
298.3792897056672,-1.0177774980683254e-13,-5.0978601088638795,-2.3294583961535085,-7.71272376342948
298.7089105341919,-1.0177774980683254e-13,-5.097845404792614,-2.346159212902731,-7.769283331079935
299.0357394506934,-5.088887490341627e-14,-5.097795875015991,-2.3630099465399033,-7.825101827251338
299.3598315321151,-5.088887490341627e-14,-5.097711723994641,-2.3800047513837153,-7.880189866956457
299.6812356660195,-5.088887490341627e-14,-5.097593120972531,-2.397137988967187,-7.934557043443086
299.99999999999994,-5.088887490341627e-14,-5.097525228663441,-2.405738520458457,-7.988212858602726
