facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,4737,0,0,0,-63.09505483724314,-293.27629516752222,-63.089706442159702,-295.38577531609775,0,1,1,5.667009051581716,0,5.667009051581716,0,6.614224683902223,0,0,0,0
1,4738,0,0,0,-57.544046767232146,-294.41578411196366,-57.537499267824074,-296.52447177403849,0,1,1,5.6670088717805269,0,5.6670088717805269,0,5.4755282259615115,0,0,0,0
2,4739,0,0,0,-51.972508213591745,-295.45021519734087,-51.964552451254043,-297.55772880746997,0,1,1,5.6670026762271677,0,5.6670026762271677,0,4.4422711925299723,0,0,0,0
3,4740,0,0,0,-46.382500015385318,-296.37920875026509,-46.372923940297639,-298.48505371200434,0,1,1,5.6668555264933627,0,5.6668555264933627,0,3.514946287995627,0,0,0,0
4,4741,0,0,0,-40.777206134552969,-297.20228457110954,-40.765803160958178,-299.30583273679969,0,1,1,5.6644525148973104,0,5.6644525148973104,0,2.6941672632003417,0,0,0,0
5,4742,0,0,0,-35.171789341328953,-297.91777208683732,-35.158367048618551,-300.0182463489237,0,1,1,5.6378397793534951,0,5.6378397793534951,0,1.9817536510763603,0,0,0,0
6,4743,0,0,0,-29.659946202822628,-298.51776838242779,-29.644356206820952,-300.61427892545646,0,1,1,5.4514406245835199,0,5.4514406245835199,0,1.3857210745435395,0,0,0,0
7,4744,0,0,0,-24.569542711258009,-298.98268229992993,-24.551794502710763,-301.07445337199641,0,1,1,4.7721088415209811,0,4.7721088415209811,0,0.92554662800358767,0,0,0,0
8,4745,0,0,0,-20.361908301554791,-299.30257228435619,-20.342271812612925,-301.38928950913044,0,1,1,3.6676500851827285,0,3.6676500851827285,0,0.61071049086959306,0,0,0,0
9,4746,0,0,0,-17.172766816942591,-299.50499434800952,-17.151634652795121,-301.58680110211077,0,1,1,2.7235568286210583,0,2.7235568286210583,0,0.4131988978892025,0,0,0,0
10,4747,0,0,0,-14.759744498300364,-299.63484015704466,-14.737428180892865,-301.71200053057379,0,1,1,2.1095083855509627,0,2.1095083855509627,0,0.28799946942618249,0,0,0,0
11,4748,0,0,0,-12.846374029975385,-299.72358915994516,-12.823075452902646,-301.79627699901084,0,1,1,1.7213661579020056,0,1.7213661579020056,0,0.20372300098918572,0,0,0,0
12,4749,0,0,0,-11.253888009442537,-299.78794598302107,-11.229740943472745,-301.85620519833373,0,1,1,1.4662168355020613,0,1.4662168355020613,0,0.14379480166627445,0,0,0,0
13,4750,0,0,0,-9.8770180763650828,-299.83667048905374,-9.852117403042163,-301.90041771638892,0,1,1,1.2892539824398586,0,1.2892539824398586,0,0.099582283611113098,0,0,0,0
14,4751,0,0,0,-8.6517492428578073,-299.87465615346883,-8.6261689254794298,-301.9336762412218,0,1,1,1.1624661329768256,0,1.1624661329768256,0,0.066323758778196393,0,0,0,0
15,4752,0,0,0,-7.5368963733001983,-299.90483491416489,-7.5107058995267453,-301.95875793843521,0,1,1,1.0680602336653493,0,1.0680602336653493,0,0.041242061564815913,0,0,0,0
16,4753,0,0,0,-6.5048279804293969,-299.92905642192591,-6.4781192108664793,-301.97730436785326,0,1,1,0.996647978475518,0,0.996647978475518,0,0.022695632146763952,0,0,0,0
17,4754,0,0,0,-5.5356874011803932,-299.94855277341316,-5.5086392210012418,-301.99021758911744,0,1,1,0.94202787948668354,0,0.94202787948668354,0,0.0097824108825363947,0,0,0,0
18,4755,0,0,0,-4.6148115539938175,-299.96416622408447,-4.5878576277199912,-301.99766926988872,0,1,1,0.89999069095146889,0,0.89999069095146889,0,0.0023307301112538426,0,0,0,0
19,4756,0,1,2,-3.73092560732601,-299.9764855079859,-3.7044802635792449,-301.99999999883642,0,1,1,0.86795481388952234,0.86795481388952234,0.86795481388952234,0.86795481388952234,1.1636416274996009e-09,1.9415438146097586e-09,3.8830876292195171e-09,0.107367674247709,0.12370191688501345
20,4757,0,1,2,-2.8750933556178859,-299.98592605657296,-2.8487030985663444,-302.00000000153034,0,1,1,0.84381556477649255,0.84381556477649255,0.84381556477649255,0.84381556477649255,-1.5303385225706736e-09,2.5108306545007508e-09,5.0216613090015016e-09,0.12936271468875651,0.15330686003999197
21,4758,0,1,2,-2.039777413071544,-299.99278054292495,-2.0128647333656504,-301.99999999897858,0,1,1,0.82687418534381452,0.82687418534381452,0.82687418534381452,0.82687418534381452,1.0214193935098592e-09,4.9834625315270397e-10,9.9669250630540773e-10,0.112186417597292,0.13567531746156142
22,4759,0,1,2,-1.2184259930857659,-299.99724837647989,-1.1910272405660782,-302.00000000061334,0,1,1,0.81585449689860201,0.81585449689860201,0.81585449689860201,0.81585449689860201,-6.1331206779868797e-10,8.4378370956983407e-10,1.6875674191396683e-09,0.13988732052139319,0.17146111353576199
23,4760,0,1,2,-0.40525105453192561,-299.99945257094373,-0.37746231474012137,-301.99999999985505,0,1,1,0.81050284855152444,0.81050284855152444,0.81050284855152444,0.81050284855152444,1.4500756151392127e-10,2.4573409973527305e-10,4.914681994705461e-10,0.12558095860761115,0.15494203238402046
24,4761,0,1,2,0.40525105453124571,-299.99945257094373,0.43339033780002717,-301.99999999985499,0,1,1,0.81050284855152444,0.81050284855152444,0.81050284855152444,0.81050284855152444,1.4500756151392122e-10,2.4573409973527305e-10,4.914681994705461e-10,0.12558095870351726,0.15494203250234961
25,4762,0,1,2,1.2184259930850863,-299.99724837647989,1.2469552636259831,-302.00000000061334,0,1,1,0.81585449689860223,0.81585449689860223,0.81585449689860223,0.81585449689860223,-6.1328364608925778e-10,8.4378370956983417e-10,1.6875674191396683e-09,0.13988732039183557,0.17146111337696207
26,4763,0,1,2,2.0397774130707313,-299.99278054292495,2.0687927564254034,-301.99999999897858,0,1,1,0.82687418534354784,0.82687418534354784,0.82687418534354784,0.82687418534354784,1.0213909718004288e-09,4.9834625315270387e-10,9.9669250630540773e-10,0.11218641766627713,0.13567531754503398
27,4764,0,1,2,2.87509335561694,-299.98592605657302,2.9046311216259775,-302.0000000015304,0,1,1,0.84381556477649244,0.84381556477649244,0.84381556477649244,0.84381556477649244,-1.5303385225706734e-09,2.5108306545007504e-09,5.0216613090015016e-09,0.12936271459537413,0.15330685992932516
28,4765,0,1,2,3.7309256073250641,-299.97648550798596,3.760408286638897,-301.99999999883636,0,1,1,0.86795481388952234,0.86795481388952234,0.86795481388952234,0.86795481388952234,1.1636416274996009e-09,1.9415438146097586e-09,3.8830876292195171e-09,0.1073676743511868,0.12370191700423369
29,4766,0,0,0,4.6148115539928716,-299.96416622408452,4.6437856507796358,-301.99766926988866,0,1,1,0.89999069095146889,0,0.89999069095146889,0,0.002330730111310686,0,0,0,0
30,4767,0,0,0,5.5356874011794464,-299.94855277341316,5.5645672440608793,-301.99021758911738,0,1,1,0.94202787948668354,0,0.94202787948668354,0,0.0097824108825932399,0,0,0,0
31,4768,0,0,0,6.5048279804284501,-299.92905642192591,6.5340472339261142,-301.97730436785321,0,1,1,0.99664797847551889,0,0.99664797847551889,0,0.022695632146849221,0,0,0,0
32,4769,0,0,0,7.5368963732991192,-299.90483491416489,7.566633922586246,-301.95875793843516,0,1,1,1.0680602336650806,0,1.0680602336650806,0,0.041242061564872763,0,0,0,0
33,4770,0,0,0,8.6517492428565923,-299.87465615346889,8.6820969485387938,-301.9336762412218,0,1,1,1.1624661329768253,0,1.1624661329768253,0,0.066323758778196421,0,0,0,0
