arc_coordinate,relative_angle_deg,active,facet_length,active_length,average_penetration,maximum_penetration,integrated_normal_force_kn,average_pressure_mpa
-61.47976928055581,-11.741771017379659,0,4.068048114407862,0.0,0.0,0.0,0.0,0.0
-57.411690081976104,-10.964825121367728,0,4.068047946103444,0.0,0.0,0.0,0.0,0.0
-53.34361207472558,-10.187879452882909,1,4.068045731804571,4.068045731804571,3.7950371734041255e-09,7.590074346808251e-09,0.006690627187908738,1.6446784596349164
-49.275547181879276,-9.4109362890648,1,4.068021717898106,4.068021717898106,3.637211420937092e-09,7.274422841874184e-09,0.00612989397921124,1.5068488824043142
-45.20760138183606,-8.634015870296649,1,4.067807551672497,4.067807551672497,3.727734565472929e-09,7.455469130945858e-09,0.007644866425101048,1.879357941099703
-41.140547674080885,-7.857265828605301,1,4.066237574312748,4.066237574312748,2.745423444139306e-09,5.490846888278611e-09,0.00889074048642624,2.1864783657971345
-37.078976161854186,-7.081562809134776,1,4.056843411924047,4.056843411924047,3.1720048809802392e-09,6.3440097619604785e-09,0.008835144649190526,2.177837237498961
-33.0446092062906,-6.311055477265321,1,4.011829693823537,4.011829693823537,1.2967120710527524e-09,2.593424142105505e-09,0.009724951444057158,2.424068862900469
-29.11391621249182,-5.560348413577613,1,3.8494999899519318,3.8494999899519318,1.7726620171742977e-09,3.545324034348596e-09,0.009873235716277348,2.5648099083124385
-25.461226123289826,-4.862735993642485,1,3.455834670680971,3.455834670680971,3.6715164242195897e-10,7.343032848439179e-10,0.009373851368620359,2.712471012617408
-22.300617885168172,-4.259104284513652,1,2.865351806300564,2.865351806300564,6.203606517374283e-10,1.2407213034748565e-09,0.007504087771973811,2.6189062562835126
-19.726006995329115,-3.7673898249263216,1,2.283853566850114,2.283853566850114,6.372147254296578e-11,1.2744294508593157e-10,0.006483893908482151,2.839014726073145
-17.667266488425692,-3.374199351065689,1,1.8336190777099293,1.8336190777099293,1.4111378732195592e-10,2.822275746439118e-10,0.005355780176765576,2.9208793919479703
-15.99405054552303,-3.054638645257939,1,1.51280835108092,1.51280835108092,7.077005648170598e-12,1.4154011296341196e-11,0.0043568539103884625,2.8799774322209664
