contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.24010662706354383,0.1562578218709402,0.11493491874301623
inner,-29.5000000000001,249.99999999999997,0.18340123297159075,0.129919727066482,0.09303395078919499
inner,-29.00000000000013,250.0,0.11185302185097289,0.0994741155019044,0.06252018912381123
inner,-28.50000000000006,249.99999999999997,0.09003344349667114,0.08929722204629537,0.04863093841413728
inner,-28.00000000000009,249.99999999999997,0.07656249122441768,0.08030957394981676,0.04084165557457314
inner,-27.50000000000012,249.99999999999997,0.06736245375970572,0.07227431536667411,0.0354397015165893
inner,-27.000000000000153,249.99999999999994,0.06033217640735923,0.06464096369921558,0.03129507457800927
inner,-26.500000000000185,249.99999999999997,0.05460376523734701,0.057269029463085326,0.027897182099746683
inner,-26.000000000000213,249.99999999999997,0.049635989201481254,0.05005504982950274,0.024963802983710287
inner,-25.500000000000245,249.99999999999994,0.045063740683978795,0.042941451525874946,0.022307794005707603
inner,-25.000000000000277,249.99999999999994,0.04060230737664662,0.035893484205821724,0.019791593384947213
inner,-24.500000000000256,249.99999999999997,0.03600770897421871,0.028893818471870107,0.0173055316133317
inner,-24.000000000000288,249.99999999999997,0.031053343643729102,0.021938365086697057,0.014756568177848428
inner,-23.50000000000037,249.99999999999997,0.025516237617395483,0.0150345381804551,0.012061749777577681
inner,-23.0000000000003,249.99999999999997,0.019167873818255268,0.008200634541083695,0.00914425983667325
inner,-22.50000000000033,249.99999999999997,0.0117676731855557,0.0014660317049472321,0.005930980414340638
inner,-22.000000000000362,249.99999999999997,0.003058062834253351,-0.005128082112925487,0.002351023821501057
inner,-21.500000000000394,250.0,-0.007239373441612406,-0.011527610610961612,-0.0016650580115658508
inner,-21.000000000000423,249.99999999999997,-0.019426886371293656,-0.017664220303058017,-0.0061855363925354245
inner,-20.500000000000405,250.00000000000003,-0.033832729438254924,-0.02345391134330485,-0.011277306441483614
inner,-20.000000000000437,250.00000000000003,-0.05081239623604892,-0.02879564604504105,-0.01700523409417968
inner,-19.500000000000465,250.00000000000003,-0.07074868607778291,-0.033570245712815805,-0.023431015481630617
inner,-19.000000000000497,250.00000000000006,-0.0940502139448467,-0.03763984979075508,-0.030611478022320275
inner,-18.50000000000053,250.00000000000006,-0.12114781051374839,-0.04084835357411083,-0.03859622005341324
inner,-18.000000000000508,250.00000000000003,-0.15248797085615878,-0.04302337641083154,-0.047424437851307184
inner,-17.50000000000054,250.00000000000003,-0.18852238138355187,-0.043981201381577524,-0.057120551722376546
inner,-17.000000000000572,250.00000000000006,-0.22969191347549128,-0.0435360565032851,-0.06768824426253799
inner,-16.5000000000006,250.00000000000003,-0.27640362834479804,-0.04151298098651996,-0.07910328880163026
inner,-16.000000000000632,250.00000000000003,-0.3290018469465952,-0.03776191906097037,-0.09130646309591914
inner,-15.500000000000613,250.00000000000003,-0.3877365703652353,-0.032171085791045356,-0.10419794420408253
inner,-15.000000000000645,250.00000000000003,-0.45273193542600304,-0.02468094794553748,-0.11763319448826134
inner,-14.500000000000727,250.00000000000003,-0.5239548170296774,-0.015306090521743997,-0.13141802160059207
inner,-14.000000000000655,250.00000000000003,-0.6011830142558245,-0.004161342188145269,-0.1453041980309347
inner,-13.500000000000636,250.00000000000006,-0.6839850006566862,0.008559038272400432,-0.1590018457149827
inner,-13.000000000000616,250.00000000000003,-0.771766323240886,0.022657305360429786,-0.1722148140567723
inner,-12.500000000000647,250.00000000000006,-0.863889563276327,0.03796254314328034,-0.18466796489569204
inner,-12.000000000000627,250.00000000000003,-0.9597433413957952,0.05430272077563154,-0.1961083477055344
inner,-11.500000000000608,250.00000000000003,-1.0587197041670224,0.0714892667332363,-0.20629853496900788
inner,-11.000000000000588,250.00000000000003,-1.1601851686091713,0.08931841321921762,-0.21501507873635953
inner,-10.50000000000067,250.00000000000003,-1.2634757650914112,0.10757394533361304,-0.22205076774280627
inner,-10.000000000000599,249.99999999999997,-1.367901035557648,0.12603065362649574,-0.22721797109799058
inner,-9.500000000000579,250.0,-1.47275005028172,0.14445837279518528,-0.23035193553209093
inner,-9.00000000000056,249.99999999999997,-1.5772978478169737,0.1626265843645694,-0.231313830650326
inner,-8.500000000000592,250.00000000000003,-1.680812333043317,0.18031010293717367,-0.22999358968423964
inner,-8.000000000000622,249.99999999999997,-1.7825622849506821,0.197294901979717,-0.22631228617404844
