contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.23985504037434327,0.1561005888657482,0.11481395067209674
inner,-29.5000000000001,249.99999999999997,0.18320502893839044,0.12979107915376453,0.09293393483826307
inner,-29.00000000000013,250.0,0.11172412579150581,0.0993806445053515,0.06244795262402589
inner,-28.50000000000006,249.99999999999997,0.08991911794967353,0.08921870023470607,0.04856870928594164
inner,-28.00000000000009,249.99999999999997,0.07645223995576801,0.08024429523857496,0.04078271047683564
inner,-27.50000000000012,249.99999999999997,0.06725053186067773,0.07222088677134039,0.035381218789428
inner,-27.000000000000153,249.99999999999994,0.06021514872925479,0.06459863176582648,0.031235430812301304
inner,-26.500000000000185,249.99999999999997,0.05447908165288559,0.05723731578207969,0.027835274031278702
inner,-26.000000000000213,249.99999999999997,0.0495015537699471,0.050033731366987445,0.02489879067415251
inner,-25.500000000000245,249.99999999999994,0.04491767779117476,0.0429305228455202,0.022238991475298914
inner,-25.000000000000277,249.99999999999994,0.04044284624090293,0.0358931378573235,0.019718412761049704
inner,-24.500000000000256,249.99999999999997,0.03583312084532499,0.028904429145775592,0.01722745395241985
inner,-24.000000000000288,249.99999999999997,0.030861910900310582,0.0219604774511502,0.014673129104634034
inner,-23.50000000000037,249.99999999999997,0.02530624352147365,0.015068856155353024,0.011972534605769445
inner,-23.0000000000003,249.99999999999997,0.018937608282723006,0.008248010394463377,0.009048905458800004
inner,-22.50000000000033,249.99999999999997,0.011515452937091462,0.0015274530938826376,0.005829182655679333
inner,-22.000000000000362,249.99999999999997,0.0027822663332172522,-0.005051509320225251,0.0022425497471068416
inner,-21.500000000000394,250.0,-0.007540254563165906,-0.011434686386709777,-0.0017803528390784463
inner,-21.000000000000423,249.99999999999997,-0.019754176401282665,-0.01755368470697706,-0.006307685351895504
inner,-20.500000000000405,250.00000000000003,-0.03418747412146393,-0.023324493160509982,-0.011406203366365587
inner,-20.000000000000437,250.00000000000003,-0.051195239513392714,-0.02864613110946073,-0.01714059803274543
inner,-19.500000000000465,250.00000000000003,-0.07115971148707635,-0.033399571506439296,-0.023572347724021444
inner,-19.000000000000497,250.00000000000006,-0.09448874272468989,-0.037447234478868816,-0.030758010511036375
inner,-18.50000000000053,250.00000000000006,-0.12161214227900445,-0.04063346668649079,-0.03874685353980488
inner,-18.000000000000508,250.00000000000003,-0.15297506594058854,-0.04278660292361345,-0.04757765675529802
inner,-17.50000000000054,250.00000000000003,-0.18902745781236752,-0.04372398703384059,-0.05727431803959497
inner,-17.000000000000572,250.00000000000006,-0.2302079869145003,-0.04326118575758245,-0.0678399219713925
inner,-16.5000000000006,250.00000000000003,-0.2769211804110381,-0.041224662788925136,-0.07924966312029465
inner,-16.000000000000632,250.00000000000003,-0.32950881599744797,-0.0374656568230264,-0.09144387998739403
inner,-15.500000000000613,250.00000000000003,-0.38821872731186124,-0.03187338362227782,-0.10432254540813865
inner,-15.000000000000645,250.00000000000003,-0.45317356981718027,-0.02438892709911354,-0.11774119722305128
inner,-14.500000000000727,250.00000000000003,-0.5243395940068896,-0.015027069478603907,-0.13150599631370857
inner,-14.000000000000655,250.00000000000003,-0.6014948675238979,-0.00390241309754406,-0.1453693122203802
inner,-13.500000000000636,250.00000000000006,-0.684208948014041,0.0087913508811778,-0.15904203517956175
inner,-13.000000000000616,250.00000000000003,-0.7718890551839448,0.022857206134651465,-0.17222884352098528
inner,-12.500000000000647,250.00000000000006,-0.8638996800431068,0.03812501297798764,-0.18465539793992417
inner,-12.000000000000627,250.00000000000003,-0.959631341090693,0.05442356583167242,-0.19606948603742508
inner,-11.500000000000608,250.00000000000003,-1.0584779246062526,0.07156517738811248,-0.2062343582347668
inner,-11.000000000000588,250.00000000000003,-1.159807746958376,0.08934701268857538,-0.21492718537440852
inner,-10.50000000000067,250.00000000000003,-1.2629585988607641,0.10755382406580509,-0.22194131248002263
