facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,10704,0,1,2,-61.048937481930281,-293.71566178612625,-67.816398607519474,-292.00000000037045,0,1,1,4.068048114407862,4.068048114407862,4.068048114407862,4.068048114407862,-3.7044856071588583e-10,1.7226398085767869e-09,3.4452796171535738e-09,3.7646979711937116,0.92543103358591783
1,10705,0,1,2,-57.060584853006816,-294.51647220946722,-63.655994358217896,-291.99999999883391,0,1,1,4.0680479461034436,4.0680479461034436,4.0680479461034436,4.0680479461034436,1.1661143162200458e-09,1.3979502000438515e-09,2.795900400087703e-09,7.9953242762895842,1.9653957825024801
2,10706,0,1,2,-53.061741214903606,-295.26312734614123,-59.408691214653452,-292.00000000141296,0,1,1,4.0680457318045713,4.0680457318045713,4.0680457318045713,4.0680457318045713,-1.412956862623105e-09,3.4319782571401447e-09,6.8639565142802894e-09,11.558776771584327,2.8413586113882974
3,10707,0,1,2,-49.053153648226846,-295.95548806702186,-55.119756598459468,-291.99999999896562,0,1,1,4.0680217178981062,4.0680217178981062,4.0680217178981062,4.0680217178981062,1.0343228495912624e-09,2.9148168323445138e-09,5.8296336646890268e-09,10.993320534374389,2.702375084677398
4,10708,0,1,2,-45.035664187113113,-296.593412244197,-50.78920313822254,-292.00000000019975,0,1,1,4.0678075516724972,4.0678075516724972,4.0678075516724972,4.0678075516724972,-1.9974777387687949e-10,3.8881182717886986e-09,7.7762365435773972e-09,13.394224232470302,3.2927379337213742
5,10709,0,1,2,-41.010778509469588,-297.17668561656131,-46.416307960505307,-292.00000000070469,0,1,1,4.0662375743127477,4.0662375743127477,4.0662375743127477,4.0662375743127477,-7.0468786361743717e-10,3.9948133689904353e-09,7.9896267379808705e-09,14.926049113651271,3.6707272609800685
6,10710,0,1,2,-36.983799033463271,-297.70469279881229,-42.004545114822378,-291.99999999866077,0,1,1,4.0568434119240466,4.0568434119240466,4.0568434119240466,4.0568434119240466,1.339230948360637e-09,2.3828192752262112e-09,4.7656385504524224e-09,16.570470126091738,4.0845722754265319
7,10711,0,1,2,-32.977092289567253,-298.17526337667965,-37.577695560734035,-292.00000000153068,0,1,1,4.0118296938235369,4.0118296938235369,4.0118296938235369,4.0118296938235369,-1.5307080047932686e-09,2.9893101327616023e-09,5.9786202655232046e-09,17.867925355693227,4.4538095381272083
8,10712,0,1,2,-29.067640304359642,-298.58226274277104,-33.222833329874234,-291.99999999864144,0,1,1,3.8494999899519318,3.8494999899519318,3.8494999899519318,3.8494999899519318,1.3585577107733118e-09,7.1062800088839129e-10,1.4212560017767828e-09,18.013641037140353,4.6794755381634081
9,10713,0,1,2,-25.430248910263046,-298.91523337234639,-29.140983091220143,-292.00000000098191,0,1,1,3.4558346706809711,3.4558346706809711,3.4558346706809711,3.4558346706809711,-9.8191321740159765e-10,1.2052225883962819e-09,2.4104451767925639e-09,15.904384345556771,4.6021832237775477
10,10714,0,1,2,-22.279831552750885,-299.16810750101286,-25.583655627770831,-291.99999999942094,0,1,1,2.8653518063005641,2.8653518063005641,2.8653518063005641,2.8653518063005641,5.7906390793505125e-10,0,0,15.725720461536174,5.4882337404283854
11,10715,0,1,2,-19.711653021874049,-299.34953939895502,-22.669624870083048,-292.00000000024164,0,1,1,2.2838535668501141,2.2838535668501141,2.2838535668501141,2.2838535668501141,-2.4166979528672528e-10,2.4166979528672528e-10,2.9513103072531521e-10,11.431948171170097,5.005552167224546
12,10716,0,1,2,-17.656973723771117,-299.47853134938993,-20.329643605482651,-291.99999999996982,0,1,1,1.8336190777099293,1.8336190777099293,1.8336190777099293,1.8336190777099293,3.0212277124519466e-11,3.6635583455790766e-11,7.3271166911581531e-11,10.372388019663425,5.6567845228889428
13,10717,0,1,2,-15.986424080717576,-299.57279932903572,-18.421816255826368,-291.99999999994941,0,1,1,1.51280835108092,1.51280835108092,1.51280835108092,1.51280835108092,5.0562221076688723e-11,2.0605739337042905e-11,4.1211478674085811e-11,8.1992386084906226,5.4198792613963072
14,10718,0,1,2,-14.58947350025727,-299.64434686703856,-16.823004947101321,-292.00000000004286,0,1,1,1.2847624079227766,1.2847624079227766,1.2847624079227766,1.2847624079227766,-4.2859937821049237e-11,4.2859937821049237e-11,8.0660811363486573e-11,7.1837328125003745,5.5914873973586623
15,10719,0,1,2,-13.38869760638898,-299.70056639648971,-15.446366911163153,-291.99999999998664,0,1,1,1.119424902299579,1.119424902299579,1.119424902299579,1.119424902299579,1.3386625141720288e-11,0,0,6.2820881768945176,5.6118888940111438
16,10720,0,1,2,-12.332364119983605,-299.74600112447899,-14.233650612545677,-291.99999999999557,0,1,1,0.99519866559090475,0.99519866559090475,0.99519866559090475,0.99519866559090475,4.3769432522822171e-12,0,0,5.6292846909787011,5.6564431661855998
17,10721,0,1,2,-11.385393635612132,-299.78353891986239,-13.145246345835655,-292.00000000000574,0,1,1,0.90023207127002858,0.90023207127002858,0.90023207127002858,0.90023207127002858,-5.7696070143720135e-12,5.8832938520936303e-12,1.1766587704187259e-11,5.1342894586656236,5.7032954307240749
18,10722,0,1,2,-10.523249990524945,-299.81509462682482,-12.153389721182466,-291.99999999999795,0,1,1,0.82521159723007131,0.82521159723007131,0.82521159723007131,0.82521159723007131,2.1032064978498961e-12,4.2064129956997931e-12,8.4128259913995862e-12,4.7236276051566657,5.7241410821323013
19,10723,0,1,2,-9.7284953334595716,-299.84197503472205,-11.23831779299783,-291.99999999999829,0,1,1,0.76520800833997926,0.76520800833997926,0.76520800833997926,0.76520800833997926,1.7053025658242404e-12,4.5190517994342372e-12,9.0381035988684744e-12,4.4016357809546216,5.75220820088306
20,10724,0,1,2,-8.9881139299208481,-299.86511224908099,-10.385256291024922,-292.00000000000256,0,1,1,0.71627879726400812,0.71627879726400812,0.71627879726400812,0.71627879726400812,-2.5863755581667647e-12,5.4285465012071654e-12,1.0857093002414331e-11,4.1353459525774205,5.7733747925714498
21,10725,0,1,2,-8.2923999243139068,-299.8851812795865,-9.5831770717023677,-291.99999999999739,0,1,1,0.67572895397106414,0.67572895397106414,0.67572895397106414,0.67572895397106414,2.6147972675971687e-12,1.3358203432289883e-12,2.6716406864579767e-12,3.9148110370321754,5.7934635093345648
22,10726,0,1,2,-7.6337471213738048,-299.90268896788507,-8.8234271777542954,-292.00000000000148,0,1,1,0.64204273665558187,0.64204273665558187,0.64204273665558187,0.64204273665558187,-1.5063505998114122e-12,2.1884716261411086e-12,4.3769432522822171e-12,3.7300498332784202,5.8096597318557821
23,10727,0,1,2,-7.0061658411664194,-299.91802137611717,-8.0991866932016272,-291.99999999999903,0,1,1,0.61349504007963018,0.61349504007963018,0.61349504007963018,0.61349504007963018,9.9475983006414006e-13,2.5579538487363607e-13,5.1159076974727213e-13,3.5736235207396474,5.8250243070845356
24,10728,0,1,2,-6.4049103894071644,-299.93147600597263,-7.4050486902596537,-292.00000000000028,0,1,1,0.58931751152580891,0.58931751152580891,0.58931751152580891,0.58931751152580891,-2.5579538487363612e-13,4.8316906031686813e-13,9.6633812063373625e-13,3.4404830612029853,5.8380804810893707
25,10729,0,1,2,-5.8259502438750701,-299.94329031964423,-6.7364154755203032,-291.99999999999966,0,1,1,0.56884437764837603,0.56884437764837603,0.56884437764837603,0.56884437764837603,3.4106051316484809e-13,2.8421709430404007e-14,5.6843418860808015e-14,3.3277318183549625,5.8499863040080147
26,10730,0,1,2,-5.2658824201532193,-299.95365383475848,-6.0894017412521428,-292,0,1,1,0.55148350837225035,0.55148350837225035,0.55148350837225035,0.55148350837225035,2.8421709430404004e-14,8.5265128291212035e-14,1.7053025658242404e-13,3.2311089051235293,5.8589402150218728
27,10731,0,1,2,-4.7220764578630599,-299.96271450784576,-5.4610054801299492,-291.99999999999983,0,1,1,0.5362798177839011,0.5362798177839011,0.5362798177839011,0.5362798177839011,1.7053025658242404e-13,0,0,3.1479059161952612,5.8698944316113328
28,10732,0,1,2,-4.1921055318432963,-299.97059466710982,-4.8484529414588655,-291.99999999999994,0,1,1,0.52377961174818888,0.52377961174818888,0.52377961174818888,0.52377961174818888,5.6843418860808015e-14,0,0,3.0776261634790023,5.8758036671320362
29,10733,0,1,2,-3.6738071513409922,-299.97739476947464,-4.2492705224947525,-291.99999999999989,0,1,1,0.51290674993647611,0.51290674993647611,0.51290674993647611,0.51290674993647611,1.1368683772161603e-13,0,0,3.0178368348923388,5.8837923955301825
30,10734,0,1,2,-3.1654412962421028,-299.98319370382444,-3.661468734061426,-291.99999999999989,0,1,1,0.50389147159858594,0.50389147159858594,0.50389147159858594,0.50389147159858594,8.5265128291212035e-14,0,0,2.9674891800951166,5.8891434909204055
31,10735,0,1,2,-2.6652826273215222,-299.98805750734437,-3.0830718124551595,-291.99999999999989,0,1,1,0.49647351086778752,0.49647351086778752,0.49647351086778752,0.49647351086778752,1.1368683772161602e-13,0,0,2.926234632741171,5.8940398000819751
32,10736,0,1,2,-2.1718394479280012,-299.99203819312578,-2.5123716029818643,-291.99999999999989,0,1,1,0.49044529399262904,0.49044529399262904,0.49044529399262904,0.49044529399262904,1.1368683772161603e-13,0,0,2.8926171546641863,5.8979404840770266
33,10737,0,1,2,-1.6837863841284086,-299.99517644759328,-1.947850357949805,-291.99999999999983,0,1,1,0.48568133578076761,0.48568133578076761,0.48568133578076761,0.48568133578076761,1.1368683772161603e-13,0,0,2.8661532614661618,5.9013041068556085
34,10738,0,1,2,-1.1998469384848287,-299.99750371616312,-1.3880453728268489,-291.99999999999989,0,1,1,0.48220906212760573,0.48220906212760573,0.48220906212760573,0.48220906212760573,1.1368683772161603e-13,0,0,2.8467421208442807,5.9035433890102933
35,10739,0,1,2,-0.71877651263498865,-299.99904295753709,-0.83152974147533742,-291.99999999999989,0,1,1,0.47993702380634917,0.47993702380634917,0.47993702380634917,0.47993702380634917,1.1368683772161602e-13,0,0,2.8340707721837135,5.9050888587566828
36,10740,0,1,2,-0.23940434474805275,-299.99980895174406,-0.27696122426587211,-291.99999999999994,0,1,1,0.47880884195477347,0.47880884195477347,0.47880884195477347,0.47880884195477347,8.5265128291212022e-14,0,0,2.8277808284326094,5.9058659336531445
37,10741,0,1,2,0.23940434474723962,-299.99980895174406,0.2769612242649328,-291.99999999999994,0,1,1,0.47880884195450701,0.47880884195450701,0.47880884195450701,0.47880884195450701,5.6843418860808009e-14,0,0,2.8277808294539217,5.9058659357894587
38,10742,0,1,2,0.71877651263404219,-299.99904295753709,0.83152974147424641,-291.99999999999994,0,1,1,0.47993702380634912,0.47993702380634912,0.47993702380634912,0.47993702380634912,5.6843418860808015e-14,0,0,2.8340707710261106,5.9050888563446948
39,10743,0,1,2,1.1998469384840158,-299.99750371616312,1.3880453728259186,-291.99999999999994,0,1,1,0.48220906212787279,0.48220906212787279,0.48220906212787279,0.48220906212787279,5.6843418860808015e-14,0,0,2.8467421211454633,5.9035433896316132
40,10744,0,1,2,1.6837863841277292,-299.99517644759328,1.9478503579490389,-291.99999999999989,0,1,1,0.48568133578076739,0.48568133578076739,0.48568133578076739,0.48568133578076739,1.1368683772161603e-13,0,0,2.8661532612541571,5.9013041064191016
41,10745,0,1,2,2.1718394479271885,-299.99203819312578,2.5123716029809353,-291.99999999999994,0,1,1,0.49044529399236275,0.49044529399236275,0.49044529399236275,0.49044529399236275,8.5265128291212022e-14,0,0,2.8926171552766387,5.8979404853289967
42,10746,0,1,2,2.6652826273205763,-299.98805750734442,3.083071812454107,-291.99999999999989,0,1,1,0.49647351086778607,0.49647351086778607,0.49647351086778607,0.49647351086778607,1.1368683772161602e-13,0,0,2.9262346324938338,5.8940397995838039
43,10747,0,1,2,3.1654412962412897,-299.9831937038245,3.6614687340605387,-291.99999999999989,0,1,1,0.50389147159885406,0.50389147159885406,0.50389147159885406,0.50389147159885406,1.1368683772161603e-13,0,0,2.9674891785791275,5.8891434879087088
44,10748,0,1,2,3.6738071513403128,-299.9773947694747,4.2492705224939895,-291.99999999999989,0,1,1,0.51290674993647545,0.51290674993647545,0.51290674993647545,0.51290674993647545,1.4210854715202004e-13,0,0,3.0178368352742839,5.8837923962748571
45,10749,0,1,2,4.1921055318424827,-299.97059466710982,4.8484529414579391,-291.99999999999989,0,1,1,0.5237796117479232,0.5237796117479232,0.5237796117479232,0.5237796117479232,8.5265128291212022e-14,0,0,3.0776261645120977,5.8758036691074018
46,10750,0,1,2,4.7220764578621139,-299.96271450784582,5.4610054801288701,-291.99999999999983,0,1,1,0.53627981778389933,0.53627981778389933,0.53627981778389933,0.53627981778389933,1.9895196601282805e-13,0,0,3.1479059162541478,5.8698944317211579
47,10751,0,1,2,5.2658824201522725,-299.95365383475854,6.089401741251061,-292,0,1,1,0.55148350837225035,0.55148350837225035,0.55148350837225035,0.55148350837225035,0,1.1368683772161603e-13,2.2737367544323206e-13,3.2311089048778734,5.8589402145764273
48,10752,0,1,2,5.8259502438741233,-299.94329031964435,6.7364154755192045,-291.99999999999972,0,1,1,0.56884437764837603,0.56884437764837603,0.56884437764837603,0.56884437764837603,3.1263880373444408e-13,2.8421709430404007e-14,5.6843418860808015e-14,3.3277318182001636,5.8499863037358857
49,10753,0,1,2,6.4049103894062176,-299.93147600597268,7.4050486902585533,-292.00000000000028,0,1,1,0.58931751152580891,0.58931751152580891,0.58931751152580891,0.58931751152580891,-2.8421709430404007e-13,5.1159076974727213e-13,1.0231815394945443e-12,3.4404830621586808,5.8380804827110699
50,10754,0,1,2,7.0061658411654735,-299.91802137611717,8.0991866932005347,-291.99999999999903,0,1,1,0.6134950400796324,0.6134950400796324,0.6134950400796324,0.6134950400796324,9.9475983006414026e-13,2.2737367544323206e-13,4.5474735088646412e-13,3.5736235209920362,5.8250243074959105
51,10755,0,1,2,7.6337471213728589,-299.90268896788513,8.8234271777532101,-292.00000000000148,0,1,1,0.64204273665558043,0.64204273665558043,0.64204273665558043,0.64204273665558043,-1.5063505998114122e-12,2.2168933355715126e-12,4.4337866711430252e-12,3.7300498320467805,5.809659729937481
52,10756,0,1,2,8.29239992431296,-299.8851812795865,9.5831770717012752,-291.99999999999739,0,1,1,0.67572895397106492,0.67572895397106492,0.67572895397106492,0.67572895397106492,2.5863755581667651e-12,1.3642420526593922e-12,2.7284841053187847e-12,3.914811038119117,5.7934635109431047
