contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,-2.960556095415588,-1.8612054792888333,-0.9771270321750828
inner,-29.5000000000001,249.99999999999997,-1.9994318586132334,-1.2768828336682807,-0.791533385770843
inner,-29.00000000000013,250.0,-0.9370365078355721,-0.6884907903921714,-0.5590429271728876
inner,-28.50000000000006,249.99999999999997,-0.7316810303081148,-0.5877964417134898,-0.4904014755549656
inner,-28.00000000000009,249.99999999999997,-0.5555049255552333,-0.4523059717831985,-0.47517380462269065
inner,-27.50000000000012,249.99999999999997,-0.4452724686354932,-0.35948758416046156,-0.47823615328060365
inner,-27.000000000000153,249.99999999999994,-0.3593444187995669,-0.28237112555650357,-0.49004216057365513
inner,-26.500000000000185,249.99999999999997,-0.2928227385874828,-0.22002626380211265,-0.5068017697298351
inner,-26.000000000000213,249.99999999999997,-0.23944751806755296,-0.16795851145428004,-0.5270320428118518
inner,-25.500000000000245,249.99999999999994,-0.19637007571054382,-0.12406005661194967,-0.5500467413384391
inner,-25.000000000000277,249.99999999999994,-0.16156059039366055,-0.08665942826292355,-0.5755496067685976
inner,-24.500000000000256,249.99999999999997,-0.13376627635159183,-0.05465061842060853,-0.6034347882758556
inner,-24.000000000000288,249.99999999999997,-0.11217879498000327,-0.02725123560166204,-0.6337018908886758
inner,-23.50000000000037,249.99999999999997,-0.09632236181793496,-0.0039297449996791856,-0.6664085808829248
inner,-23.0000000000003,249.99999999999997,-0.08596575944457041,0.0156609509487331,-0.7016429256141908
inner,-22.50000000000033,249.99999999999997,-0.08107227551786639,0.031721514496685976,-0.739504246575597
inner,-22.000000000000362,249.99999999999997,-0.08176568222466646,0.044332054352119565,-0.7800878913990053
inner,-21.500000000000394,250.0,-0.08830699080229937,0.05346843852579214,-0.823471294812858
inner,-21.000000000000423,249.99999999999997,-0.10107651608779844,0.0590125856783702,-0.8696999802547186
inner,-20.500000000000405,250.00000000000003,-0.12055795535470004,0.06075860359998536,-0.9187728076992623
inner,-20.000000000000437,250.00000000000003,-0.14732179591133449,0.058416261466738506,-0.9706262425639571
inner,-19.500000000000465,250.00000000000003,-0.1820058370315556,0.05161300736621732,-1.0251178190703851
inner,-19.000000000000497,250.00000000000006,-0.22529091660340456,0.03989571653983931,-1.0820093994282323
inner,-18.50000000000053,250.00000000000006,-0.27786985146292803,0.022733784850428262,-1.1409514293594205
inner,-18.000000000000508,250.00000000000003,-0.3404069798017948,-0.0004735519098265639,-1.2014704425563507
inner,-17.50000000000054,250.00000000000003,-0.4134874869843973,-0.03038261267283998,-1.2629632171498255
inner,-17.000000000000572,250.00000000000006,-0.4975611988800721,-0.0676828469459092,-1.3247008322385958
inner,-16.5000000000006,250.00000000000003,-0.5928898171078645,-0.11306886122838311,-1.3858438829806468
inner,-16.000000000000632,250.00000000000003,-0.6995061161610956,-0.16720994770464337,-1.445467511696163
inner,-15.500000000000613,250.00000000000003,-0.8171898686564508,-0.230719317105139,-1.5025931486018347
inner,-15.000000000000645,250.00000000000003,-0.9454602893099038,-0.30412338301312714,-1.556223815568133
inner,-14.500000000000727,250.00000000000003,-1.0835784579844978,-0.387827383555263,-1.6053822940193294
inner,-14.000000000000655,250.00000000000003,-1.2305508461689303,-0.48206953586485385,-1.6491552531406346
inner,-13.500000000000636,250.00000000000006,-1.3851587830674283,-0.5868801559649036,-1.6867414498236353
inner,-13.000000000000616,250.00000000000003,-1.5460612473610014,-0.7020933514491774,-1.7174830924932538
inner,-12.500000000000647,250.00000000000006,-1.7119213149567312,-0.8274007980359774,-1.7408605620682303
inner,-12.000000000000627,250.00000000000003,-1.881454899539718,-0.9623779031826386,-1.7564661827583468
inner,-11.500000000000608,250.00000000000003,-2.0534162411355865,-1.106472309831208,-1.7639845444071953
inner,-11.000000000000588,250.00000000000003,-2.2265864421950585,-1.258989783903751,-1.7631845288956536
inner,-10.50000000000067,250.00000000000003,-2.3997766284224404,-1.4190878337949893,-1.7539164907427622
inner,-10.000000000000599,249.99999999999997,-2.571835752444947,-1.585774896085491,-1.736110459939238
inner,-9.500000000000579,250.0,-2.7416591963322454,-1.7579149118032182,-1.7097739299602344
inner,-9.00000000000056,249.99999999999997,-2.908196703434622,-1.9342369431733137,-1.6749889096312942
inner,-8.500000000000592,250.00000000000003,-3.070459717460136,-2.1133499152890813,-1.631908114000592
inner,-8.000000000000622,249.99999999999997,-3.2275275661986575,-2.2937618201812873,-1.5807502012648948
inner,-7.500000000000552,249.99999999999997,-3.3785522487897044,-2.473902566548899,-1.521794166996685
inner,-7.000000000000583,249.99999999999997,-3.522761733065178,-2.6521495936219095,-1.455372958112754
inner,-6.500000000000562,249.99999999999997,-3.6594613402837477,-2.8268548528407886,-1.3818665717239131
