contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,-2.49903233872476,-1.5894776578021501,-0.8532089464582
inner,-29.5000000000001,249.99999999999997,-1.7065554916658268,-1.1056282066906702,-0.6874188890690939
inner,-29.00000000000013,250.0,-0.823144515109322,-0.6143799371699463,-0.4779454008392606
inner,-28.50000000000006,249.99999999999997,-0.6419674612263924,-0.5232978010947433,-0.41374608353842557
inner,-28.00000000000009,249.99999999999997,-0.48767230198018896,-0.40520370183056253,-0.3971032148294307
inner,-27.50000000000012,249.99999999999997,-0.38922728529377704,-0.3231070849712661,-0.3971663384364829
inner,-27.000000000000153,249.99999999999994,-0.31160876462893317,-0.25448163653764005,-0.40528573878494323
inner,-26.500000000000185,249.99999999999997,-0.25041769679944326,-0.19836854048883962,-0.41801163905287675
inner,-26.000000000000213,249.99999999999997,-0.2002762850422216,-0.15093855864760453,-0.43397077119072636
inner,-25.500000000000245,249.99999999999994,-0.15869178167654788,-0.11036321991066031,-0.45253339021697014
inner,-25.000000000000277,249.99999999999994,-0.12389161146136579,-0.07519924283028187,-0.4734390958671313
inner,-24.500000000000256,249.99999999999997,-0.09477798536310425,-0.044490244254975414,-0.49661457361316114
inner,-24.000000000000288,249.99999999999997,-0.07064983222361285,-0.017566133021063773,-0.5220933410250863
inner,-23.50000000000037,249.99999999999997,-0.051110789338324136,0.006016376414839819,-0.5499695898017128
inner,-23.0000000000003,249.99999999999997,-0.03600076102189409,0.026525683819150325,-0.5803684668923057
inner,-22.50000000000033,249.99999999999997,-0.025361495261774336,0.044081637279162866,-0.6134212292845388
inner,-22.000000000000362,249.99999999999997,-0.01941012014732929,0.05867431315915811,-0.6492408687445841
inner,-21.500000000000394,250.0,-0.018501849176035368,0.07018728851493655,-0.6879000124337551
inner,-21.000000000000423,249.99999999999997,-0.023076230691551847,0.07843118209677097,-0.7294175010800624
inner,-20.500000000000405,250.00000000000003,-0.03360874725495511,0.08317475210982478,-0.7737563609459233
inner,-20.000000000000437,250.00000000000003,-0.05058768527527924,0.08415984546434985,-0.8208276577218967
inner,-19.500000000000465,250.00000000000003,-0.07450928531146667,0.08110287682832956,-0.8704929656258189
inner,-19.000000000000497,250.00000000000006,-0.10587458744048023,0.07369256936971624,-0.9225631277778228
inner,-18.50000000000053,250.00000000000006,-0.14518114326090975,0.06158862932057757,-0.9767948290621563
inner,-18.000000000000508,250.00000000000003,-0.19291038134502464,0.04442172292602642,-1.0328869728474872
inner,-17.50000000000054,250.00000000000003,-0.24951287506893166,0.021794109711994636,-1.0904779537304454
inner,-17.000000000000572,250.00000000000006,-0.3153928064363652,-0.006719291931300331,-1.1491442139532215
inner,-16.5000000000006,250.00000000000003,-0.39089213489916386,-0.041569154515188944,-1.208400236184672
inner,-16.000000000000632,250.00000000000003,-0.47627505202861187,-0.08322905508969525,-1.2677000479887446
inner,-15.500000000000613,250.00000000000003,-0.5717132211510642,-0.1321914958722018,-1.3264402371196544
inner,-15.000000000000645,250.00000000000003,-0.6772720611751064,-0.1889620468387156,-1.3839644910903588
inner,-14.500000000000727,250.00000000000003,-0.7928984871418256,-0.2540511005912784,-1.4395696797872757
inner,-14.000000000000655,250.00000000000003,-0.9184104859871843,-0.32796272940511045,-1.4925134795287667
inner,-13.500000000000636,250.00000000000006,-1.0534888550769086,-0.4111801639117405,-1.5420235409765803
inner,-13.000000000000616,250.00000000000003,-1.1976714809688955,-0.5041475883713409,-1.5873081788634111
inner,-12.500000000000647,250.00000000000006,-1.3503504523345602,-0.6072480956070745,-1.6275685379133873
inner,-12.000000000000627,250.00000000000003,-1.5107724115217358,-0.7207780190401589,-1.662012132640435
inner,-11.500000000000608,250.00000000000003,-1.6780424114309684,-0.8449181708146563,-1.689867560990147
inner,-11.000000000000588,250.00000000000003,-1.8511313899425377,-0.9797028471973448,-1.710400141430985
inner,-10.50000000000067,250.00000000000003,-2.0288875120652237,-1.1249880829794883,-1.7229280923825763
inner,-10.000000000000599,249.99999999999997,-2.2100513235442634,-1.280420978920042,-1.726838739521734
inner,-9.500000000000579,250.0,-2.3932743559791203,-1.4454121616332234,-1.7216041897433114
inner,-9.00000000000056,249.99999999999997,-2.5771409378862673,-1.6191138749470921,-1.7067958240739425
inner,-8.500000000000592,250.00000000000003,-2.7601925931016265,-1.800406137647296,-1.682096889805294
inner,-8.000000000000622,249.99999999999997,-2.940954201703232,-1.9878931545793006,-1.6473125201050793
inner,-7.500000000000552,249.99999999999997,-3.117961087565794,-2.1799118057934335,-1.6023765389464488
inner,-7.000000000000583,249.99999999999997,-3.289785832742382,-2.3745530926381924,-1.5473545567574936
inner,-6.500000000000562,249.99999999999997,-3.4550638257709947,-2.5696966211466856,-1.4824430429524207
inner,-6.000000000000543,249.99999999999997,-3.612516418960358,-2.7630570277058997,-1.407964247974541
inner,-5.500000000000523,249.99999999999997,-3.760970503580561,-2.9522400001561877,-1.3243571674957257
inner,-5.000000000000504,249.99999999999994,-3.8993736323986115,-3.1348047014125653,-1.2321650123940249
inner,-4.500000000000535,249.99999999999997,-4.026803959651913,-3.3083286735019306,-1.132019925070368
inner,-4.000000000000514,250.0,-4.142474588716722,-3.4704710810915103,-1.0246259179428772
inner,-3.5000000000004947,250.0,-4.245732292067573,-3.619030425062949,-0.9107411720001976
inner,-3.0000000000004747,250.00000000000003,-4.336051013914019,-3.7519936428935274,-0.791160889762961
inner,-2.5000000000005063,250.00000000000003,-4.4130209332065835,-3.8675746236979855,-0.666701840688694
inner,-2.0000000000004863,250.00000000000009,-4.476334238287311,-3.9642415119120042,-0.5381895753579271
inner,-1.5000000000004665,250.00000000000006,-4.525769155814719,-4.040733597863371,-0.4064489916836699
inner,-1.0000000000004468,250.00000000000006,-4.561173847322091,-4.096069652329578,-0.27229856435383887
inner,-0.5000000000004778,249.99999999999997,-4.582451765181273,-4.129550246317331,-0.13654816520090327
inner,-4.579998741307465e-13,249.99999999999997,-4.589549995984212,-4.140756862794152,4.751032158653556e-13
inner,0.4999999999995618,250.00000000000006,-4.582451765181143,-4.129550246317144,0.13654816520184776
inner,0.9999999999995816,250.00000000000003,-4.561173847321834,-4.096069652329231,0.2722985643547682
inner,1.4999999999995506,250.00000000000006,-4.525769155814259,-4.040733597862772,0.40644899168456494
inner,1.9999999999995703,250.00000000000006,-4.476334238286725,-3.9642415119112453,0.5381895753587931
inner,2.49999999999959,250.00000000000006,-4.413020933205848,-3.8675746236970387,0.6667018406895489
inner,2.9999999999996096,250.0,-4.336051013913229,-3.7519936428924923,0.7911608897637856
inner,3.4999999999995786,250.00000000000003,-4.245732292066552,-3.6190304250616685,0.9107411720009484
inner,3.9999999999995985,249.99999999999997,-4.142474588715592,-3.470471081090144,1.0246259179435613
inner,4.499999999999618,250.0,-4.026803959650736,-3.308328673500528,1.1320199250710066
inner,4.9999999999996385,249.99999999999997,-3.8993736323971504,-3.1348047014108973,1.2321650123945853
inner,5.499999999999607,249.99999999999994,-3.7609705035791356,-2.9522400001546254,1.3243571674962054
inner,5.999999999999627,249.99999999999997,-3.6125164189587564,-2.763057027704202,1.4079642479749546
inner,6.4999999999996465,249.99999999999994,-3.455063825769334,-2.569696621145002,1.4824430429527413
inner,6.999999999999666,249.99999999999997,-3.2897858327406952,-2.374553092636547,1.5473545567577425
inner,7.499999999999635,249.99999999999997,-3.117961087564071,-2.179911805791758,1.6023765389466331
inner,7.999999999999655,249.99999999999997,-2.940954201701231,-1.9878931545774527,1.6473125201051018
inner,8.499999999999675,249.99999999999994,-2.7601925930997995,-1.800406137645789,1.6820968898052064
inner,8.999999999999694,250.0,-2.5771409378844368,-1.6191138749456606,1.7067958240737906
inner,9.499999999999664,250.00000000000003,-2.3932743559770824,-1.4454121616316051,1.7216041897430756
inner,9.999999999999684,249.99999999999997,-2.2100513235424195,-1.2804209789186842,1.7268387395214242
inner,10.499999999999703,250.00000000000003,-2.028887512063278,-1.1249880829781274,1.7229280923821437
inner,10.999999999999723,249.99999999999997,-1.851131389940731,-0.9797028471962027,1.710400141430492
inner,11.499999999999691,250.0,-1.6780424114292645,-0.8449181708136393,1.6898675609896139
inner,11.999999999999712,250.00000000000003,-1.510772411519918,-0.7207780190390579,1.6620121326397896
inner,12.499999999999732,250.00000000000003,-1.3503504523329035,-0.6072480956061482,1.6275685379126898
inner,12.999999999999751,250.00000000000006,-1.1976714809673812,-0.5041475883705664,1.587308178862685
inner,13.49999999999972,250.00000000000003,-1.0534888550753776,-0.4111801639109819,1.5420235409757725
inner,13.99999999999974,250.00000000000003,-0.9184104859858738,-0.32796272940459964,1.4925134795279202
inner,14.49999999999976,250.00000000000006,-0.792898487140548,-0.2540511005907694,1.4395696797864148
inner,14.99999999999978,250.00000000000006,-0.6772720611738997,-0.18896204683825313,1.3839644910894866
inner,15.499999999999748,250.00000000000006,-0.5717132211500653,-0.13219149587192003,1.3264402371187807
inner,15.999999999999767,250.00000000000006,-0.4762750520276239,-0.08322905508933515,1.2677000479878777
inner,16.499999999999787,250.00000000000006,-0.39089213489826224,-0.041569154514859374,1.2084002361838002
inner,16.999999999999808,250.00000000000006,-0.3153928064356145,-0.00671929193111892,1.1491442139523387
inner,17.499999999999776,250.00000000000003,-0.24951287506833675,0.02179410971206286,1.0904779537295757
inner,17.999999999999797,250.00000000000006,-0.19291038134441174,0.04442172292621549,1.0328869728466505
inner,18.499999999999815,250.0,-0.1451811432603221,0.06158862932079151,0.9767948290613272
inner,18.999999999999783,249.99999999999997,-0.10587458744014355,0.07369256936966073,0.9225631277770089
inner,19.499999999999805,250.00000000000003,-0.07450928531113615,0.08110287682831407,0.8704929656250633
inner,19.999999999999826,250.0,-0.050587685274935845,0.08415984546439947,0.8208276577211715
inner,20.499999999999844,250.0,-0.033608747254724014,0.08317475210977132,0.7737563609452229
inner,20.999999999999865,250.00000000000003,-0.023076230691399136,0.07843118209667205,0.7294175010794092
inner,21.499999999999833,250.00000000000003,-0.0185018491758579,0.07018728851492118,0.6879000124331429
inner,21.999999999999854,249.99999999999997,-0.019410120147215215,0.058674313159110425,0.6492408687440063
inner,22.499999999999872,249.99999999999997,-0.025361495261703115,0.04408163727909403,0.6134212292839962
inner,22.99999999999984,249.99999999999997,-0.03600076102178462,0.02652568381914233,0.5803684668917872
inner,23.49999999999986,249.99999999999997,-0.05111078933826918,0.006016376414782421,0.5499695898012242
inner,23.999999999999883,249.99999999999997,-0.0706498322235532,-0.017566133021103603,0.522093341024637
inner,24.4999999999999,249.99999999999994,-0.09477798536300266,-0.04449024425495926,0.4966145736127382
inner,24.99999999999987,249.99999999999997,-0.12389161146129937,-0.07519924283029791,0.47343909586672994
inner,25.49999999999989,249.99999999999997,-0.15869178167643896,-0.11036321991062632,0.452533390216588
inner,25.99999999999991,249.99999999999994,-0.20027628504208508,-0.1509385586475427,0.4339707711903663
inner,26.49999999999993,249.99999999999997,-0.2504176967993196,-0.1983685404887931,0.4180116390525409
inner,26.99999999999995,249.99999999999994,-0.3116087646287323,-0.2544816365375081,0.4052857387846227
inner,27.49999999999992,249.99999999999994,-0.3892272852935447,-0.32310708497110624,0.3971663384361693
inner,27.999999999999936,249.99999999999997,-0.4876723019798869,-0.4052037018303406,0.39710321482912336
inner,28.499999999999957,249.99999999999994,-0.6419674612259618,-0.5232978010944154,0.4137460835381253
inner,28.999999999999925,249.99999999999997,-0.8231445151087888,-0.6143799371696086,0.4779454008389139
inner,29.499999999999947,249.99999999999994,-1.7065554916645362,-1.1056282066899656,0.6874188890686472
inner,29.999999999999964,249.99999999999997,-2.4990323387227784,-1.5894776578010663,0.8532089464576944
mid,-30.000000000000068,274.78871815814335,-0.12337581067361925,0.001494551269488248,-0.018973832023593373
