contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.2336094433143814,0.16275500561996023,0.11710082512208131
inner,-29.5000000000001,249.99999999999997,0.17812861653735992,0.13519234350060014,0.09439016358892685
inner,-29.00000000000013,250.0,0.10831209733917883,0.10301504001364019,0.06276996634218898
inner,-28.50000000000006,249.99999999999997,0.08727383827344463,0.09205682726947188,0.048573495145106144
inner,-28.00000000000009,249.99999999999997,0.07423816956344179,0.08263389561077614,0.040668525094284154
inner,-27.50000000000012,249.99999999999997,0.06533817089038212,0.07429859823608664,0.035241051703118385
inner,-27.000000000000153,249.99999999999994,0.05853701286680706,0.06643612723982895,0.031119513216873538
inner,-26.500000000000185,249.99999999999997,0.052995873539232075,0.058876921161139656,0.02777376454807641
inner,-26.000000000000213,249.99999999999997,0.04818964710360511,0.05150139192730717,0.024909705917929025
inner,-25.500000000000245,249.99999999999994,0.043764000184907205,0.044241192025012956,0.022331743622153122
inner,-25.000000000000277,249.99999999999994,0.03944223925174969,0.03705355233076848,0.01989532523802879
inner,-24.500000000000256,249.99999999999997,0.03498688355050006,0.02991464389557203,0.017484318121123554
inner,-24.000000000000288,249.99999999999997,0.030176954038050187,0.022814754692492206,0.014999217249919037
inner,-23.50000000000037,249.99999999999997,0.024794597282794168,0.01575617851515058,0.012350265584738774
inner,-23.0000000000003,249.99999999999997,0.01861614150480879,0.008752366854510751,0.009453256566565447
inner,-22.50000000000033,249.99999999999997,0.011405719572941755,0.001827985317491813,0.006226896065220617
inner,-22.000000000000362,249.99999999999997,0.0029104236145422267,-0.004980442893208784,0.0025911603042900458
inner,-21.500000000000394,250.0,-0.007143497064931199,-0.011623486987590078,-0.0015336509577632022
inner,-21.000000000000423,249.99999999999997,-0.019053610789007105,-0.018037495885319565,-0.00622731772162332
inner,-20.500000000000405,250.00000000000003,-0.03314348330358532,-0.02414315747791887,-0.011569621454271326
inner,-20.000000000000437,250.00000000000003,-0.049763955025298914,-0.029844087255724315,-0.01763978531195696
inner,-19.500000000000465,250.00000000000003,-0.06929327795963938,-0.03502565383088703,-0.024515384509243253
inner,-19.000000000000497,250.00000000000006,-0.09213573392212204,-0.039554329813457904,-0.03227063476600214
inner,-18.50000000000053,250.00000000000006,-0.11871818768792979,-0.04327797640003263,-0.04097392498676769
