facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,4737,0,0,0,-63.09505483724314,-293.27629516752222,-60.691754949292879,-301.70608392013071,0,1,1,5.667009051581716,0,5.667009051581716,0,0.29391607986929108,0,0,0,0
1,4738,0,0,0,-57.544046767232146,-294.41578411196366,-54.835044084894697,-301.96946511803947,0,1,1,5.6670088717805269,0,5.6670088717805269,0,0.030534881960534221,0,0,0,0
2,4739,0,1,2,-51.972508213591745,-295.45021519734087,-48.919753506093109,-302.00000000026137,0,1,1,5.6670026762271677,5.6670026762271677,5.6670026762271677,5.6670026762271677,-2.613660399219951e-10,6.1718878896499518e-09,1.2343775779299904e-08,8.9761381336892967,1.5839304561022725
3,4740,0,1,2,-46.382500015385318,-296.37920875026509,-42.881332104532625,-302.00000000039313,0,1,1,5.6668555264933627,5.6668555264933627,5.6668555264933627,5.6668555264933627,-3.9318592826020847e-10,6.2758260810369393e-09,1.2551652162073879e-08,9.6571439400880994,1.7041450756843131
4,4741,0,1,2,-40.777206134552969,-297.20228457110954,-36.775460883149698,-301.99999999999318,0,1,1,5.6644525148973104,5.6644525148973104,5.6644525148973104,5.6644525148973104,6.878053682158139e-12,6.1913283389003473e-09,1.2382656677800696e-08,11.989475177519632,2.1166167685204766
5,4742,0,1,2,-35.171789341328953,-297.91777208683732,-30.633944717132081,-301.99999999906834,0,1,1,5.6378397793534951,5.6378397793534951,5.6378397793534951,5.6378397793534951,9.3169205683807377e-10,5.4619135880784597e-09,1.0923827176156919e-08,12.920217902495963,2.2916965377078449
6,4743,0,1,2,-29.659946202822628,-298.51776838242779,-24.563386630733753,-302.00000000187219,0,1,1,5.4514406245835199,5.4514406245835199,5.4514406245835199,5.4514406245835199,-1.8722232653090028e-09,6.054477807992952e-09,1.2108955615985906e-08,13.997423402316285,2.5676558484732026
7,4744,0,1,2,-24.569542711258009,-298.98268229992993,-18.933897052076532,-301.99999999778817,0,1,1,4.7721088415209811,4.7721088415209811,4.7721088415209811,4.7721088415209811,2.2118626930023315e-09,2.8334454782452667e-09,5.6668909564905334e-09,13.214172644848924,2.7690425938896364
8,4745,0,1,2,-20.361908301554791,-299.30257228435619,-14.268428227187972,-302.00000000206535,0,1,1,3.6676500851827285,3.6676500851827285,3.6676500851827285,3.6676500851827285,-2.0653203591791676e-09,3.7373411032604054e-09,7.4746822065208107e-09,10.922318604072004,2.978015445965815
9,4746,0,1,2,-17.172766816942591,-299.50499434800952,-10.72712873933677,-301.99999999841151,0,1,1,2.7235568286210583,2.7235568286210583,2.7235568286210583,2.7235568286210583,1.5884609183558494e-09,8.5569240582117345e-10,1.7113848116423469e-09,7.6592191842860728,2.8122119956512708
10,4747,0,1,2,-14.759744498300364,-299.63484015704466,-8.0450379237243368,-302.00000000103967,0,1,1,2.1095083855509627,2.1095083855509627,2.1095083855509627,2.1095083855509627,-1.0396661309641786e-09,1.4110810298006982e-09,2.8221620596013963e-09,5.8651451480386267,2.7803374417526978
11,4748,0,1,2,-12.846374029975385,-299.72358915994516,-5.9165034314456637,-301.99999999942924,0,1,1,1.7213661579020056,1.7213661579020056,1.7213661579020056,1.7213661579020056,5.7082161220023398e-10,1.4094325706537345e-10,2.8188651413074695e-10,5.3308399172494783,3.0968657614058621
12,4749,0,1,2,-11.253888009442537,-299.78794598302107,-4.1436507672773342,-302.0000000002741,0,1,1,1.4662168355020613,1.4662168355020613,1.4662168355020613,1.4662168355020613,-2.7407054403738584e-10,3.1948843570717145e-10,6.389768714143429e-10,4.2857044811813045,2.922967720332986
13,4750,0,1,2,-9.8770180763650828,-299.83667048905374,-2.6099320514807545,-301.99999999988705,0,1,1,1.2892539824398586,1.2892539824398586,1.2892539824398586,1.2892539824398586,1.1294787327642553e-10,1.4239276424632408e-11,2.8478552849264815e-11,3.8503239275423358,2.9864743332076125
14,4751,0,1,2,-8.6517492428578073,-299.87465615346883,-1.2444445076620081,-302.00000000004451,0,1,1,1.1624661329768256,1.1624661329768256,1.1624661329768256,1.1624661329768256,-4.4508396968012676e-11,4.7492676458205096e-11,9.4985352916410193e-11,3.4855925434382264,2.9984465306635419
15,4752,0,1,2,-7.5368963733001983,-299.90483491416489,-0.0015479524590338301,-301.99999999998613,0,1,1,1.0680602336653493,1.0680602336653493,1.0680602336653493,1.0680602336653493,1.3869794202037156e-11,1.4495071809506044e-12,2.8990143619012088e-12,3.2173203851373238,3.0123023812020255
16,4753,0,1,2,-6.5048279804293969,-299.92905642192591,1.1493933967151531,-302.00000000000597,0,1,1,0.996647978475518,0.996647978475518,0.996647978475518,0.996647978475518,-5.9969806898152448e-12,5.9969806898152448e-12,1.1311840353300795e-11,3.0123548267939446,3.0224862658144054
17,4754,0,1,2,-5.5356874011803932,-299.94855277341316,2.230408733396974,-301.99999999999949,0,1,1,0.94202787948668354,0.94202787948668354,0.94202787948668354,0.94202787948668354,5.1159076974727223e-13,5.4001247917767614e-13,1.0800249583553523e-12,2.8537089356827874,3.0293253499437722
18,4755,0,1,2,-4.6148115539938175,-299.96416622408447,3.2577739436776891,-302.00000000000142,0,1,1,0.89999069095146889,0.89999069095146889,0.89999069095146889,0.89999069095146889,-1.4495071809506044e-12,1.4495071809506044e-12,1.8758328224066645e-12,2.7373824446216539,3.0415675096902359
19,4756,0,1,2,-3.73092560732601,-299.9764855079859,4.2440103393630055,-302.00000000000085,0,1,1,0.86795481388952234,0.86795481388952234,0.86795481388952234,0.86795481388952234,-8.5265128291212022e-13,8.5265128291212022e-13,9.6633812063373625e-13,2.625853394437534,3.025334213736806
20,4757,0,1,2,-2.8750933556178859,-299.98592605657296,5.1990464502376481,-302.00000000000097,0,1,1,0.84381556477649255,0.84381556477649255,0.84381556477649255,0.84381556477649255,-9.3791641120333245e-13,9.3791641120333245e-13,9.6633812063373625e-13,2.5855488973853431,3.0641161473125895
21,4758,0,1,2,-2.039777413071544,-299.99278054292495,6.1312609534174882,-302.00000000000085,0,1,1,0.82687418534381452,0.82687418534381452,0.82687418534381452,0.82687418534381452,-8.8107299234252433e-13,8.8107299234252433e-13,9.0949470177292824e-13,2.5175069224807878,3.0446069874995647
22,4759,0,1,2,-1.2184259930857659,-299.99724837647989,7.047939889363235,-302.00000000000097,0,1,1,0.81585449689860201,0.81585449689860201,0.81585449689860201,0.81585449689860201,-9.0949470177292814e-13,9.0949470177292814e-13,9.0949470177292824e-13,2.4906493608779789,3.0528107283173163
23,4760,0,1,2,-0.40525105453192561,-299.99945257094373,7.9555215026498232,-302.00000000000097,0,1,1,0.81050284855152444,0.81050284855152444,0.81050284855152444,0.81050284855152444,-9.0949470177292814e-13,9.0949470177292814e-13,9.0949470177292824e-13,2.4737893655672893,3.0521661583155164
24,4761,0,1,2,0.40525105453124571,-299.99945257094373,8.8601291851613837,-302.00000000000091,0,1,1,0.81050284855152444,0.81050284855152444,0.81050284855152444,0.81050284855152444,-8.8107299234252423e-13,8.8107299234252423e-13,9.0949470177292824e-13,2.4737893668881061,3.0521661599451426
25,4762,0,1,2,1.2184259930850863,-299.99724837647989,9.7677107984479701,-302.00000000000091,0,1,1,0.81585449689860223,0.81585449689860223,0.81585449689860223,0.81585449689860223,-9.0949470177292824e-13,9.0949470177292824e-13,9.0949470177292824e-13,2.4906493590759524,3.052810726108556
26,4763,0,1,2,2.0397774130707313,-299.99278054292495,10.684389734393548,-302.00000000000091,0,1,1,0.82687418534354784,0.82687418534354784,0.82687418534354784,0.82687418534354784,-9.0949470177292824e-13,9.0949470177292824e-13,9.0949470177292824e-13,2.5175069236989649,3.0446069889737779
27,4764,0,1,2,2.87509335561694,-299.98592605657302,11.616604237573243,-302.00000000000102,0,1,1,0.84381556477649244,0.84381556477649244,0.84381556477649244,0.84381556477649244,-9.9475983006414006e-13,9.9475983006414006e-13,1.0231815394945443e-12,2.5855488954958243,3.0641161450733341
28,4765,0,1,2,3.7309256073250641,-299.97648550798596,12.571640348447916,-302.00000000000085,0,1,1,0.86795481388952234,0.86795481388952234,0.86795481388952234,0.86795481388952234,-8.5265128291212022e-13,8.5265128291212022e-13,9.6633812063373625e-13,2.6258533978043479,3.0253342176158258
29,4766,0,1,2,4.6148115539928716,-299.96416622408452,13.557876744133228,-302.00000000000142,0,1,1,0.89999069095146889,0.89999069095146889,0.89999069095146889,0.89999069095146889,-1.4495071809506044e-12,1.4495071809506044e-12,1.9326762412674725e-12,2.7373824428145777,3.0415675076823527
30,4767,0,1,2,5.5356874011794464,-299.94855277341316,14.585241954413911,-301.99999999999949,0,1,1,0.94202787948668354,0.94202787948668354,0.94202787948668354,0.94202787948668354,4.8316906031686823e-13,5.4001247917767614e-13,1.0800249583553523e-12,2.8537089363558161,3.029325350658219
31,4768,0,1,2,6.5048279804284501,-299.92905642192591,15.666257291095723,-302.00000000000603,0,1,1,0.99664797847551889,0.99664797847551889,0.99664797847551889,0.99664797847551889,-5.9969806898152448e-12,5.9969806898152448e-12,1.1311840353300795e-11,3.0123548258146919,3.0224862648318567
32,4769,0,1,2,7.5368963732991192,-299.90483491416489,16.81719864026979,-301.99999999998613,0,1,1,1.0680602336650806,1.0680602336650806,1.0680602336650806,1.0680602336650806,1.3898215911467561e-11,1.4495071809506046e-12,2.8990143619012088e-12,3.2173203850599283,3.0123023811303202
33,4770,0,1,2,8.6517492428565923,-299.87465615346889,18.060095195472599,-302.00000000004457,0,1,1,1.1624661329768253,1.1624661329768253,1.1624661329768253,1.1624661329768253,-4.453681867744308e-11,4.7521098167635507e-11,9.5042196335271001e-11,3.485592544853263,2.998446531880814
34,4771,0,1,2,9.8770180763638713,-299.83667048905374,19.425582739291336,-301.99999999988705,0,1,1,1.2892539824398639,1.2892539824398639,1.2892539824398639,1.2892539824398639,1.1297629498585592e-10,1.4239276424632408e-11,2.8478552849264815e-11,3.8503239263443478,2.98647433227839
35,4772,0,1,2,11.253888009441194,-299.78794598302113,20.959301455087825,-302.00000000027404,0,1,1,1.4662168355017893,1.4662168355017893,1.4662168355017893,1.4662168355017893,-2.7404212232795544e-10,3.194884357071715e-10,6.389768714143429e-10,4.2857044811796241,2.9229677203323821
