arc_coordinate,relative_angle_deg,penetration,signed_distance,contact_normal_force_kn,normal_traction_estimate_mpa
-157.07963267949,-30.000000000000068,0.0,0.0,0.0,0.0
-149.68051047039185,-28.586871751057274,0.0,0.0,0.0,0.0
-142.28138826129583,-27.173743502114885,0.0,0.0,0.0,0.0
-134.882266052235,-25.760615253179218,0.0,0.0,0.0,0.0
-127.48314384380804,-24.34748700436461,0.0,0.0,0.0,0.0
-120.08402164501923,-22.934358757390758,0.0,0.0,0.0,0.0
-112.6848995711132,-21.521230534267758,0.0,0.0,0.0,0.0
-105.28577887416866,-20.108102574125027,0.0,0.0,0.0,0.0
-97.88667109316789,-18.694977080745854,0.0,0.0,0.0,0.0
-90.48766632527503,-17.281871261421074,0.0,0.0,0.0,0.0
-83.0893597115817,-15.868898779726566,0.0,0.0,0.0,0.0
-75.69506559115106,-14.45669262779632,0.0,0.0,0.0,0.0
-68.32021378515911,-13.048199684403746,0.0,0.0,0.0,0.0
-61.0233971725167,-11.654610365119227,0.0,0.0,0.0,0.0
-53.97435304608358,-10.30834210496556,0.0,0.0,0.0,0.0
-47.49812147893513,-9.071472985142222,0.0,0.0,0.0,0.0
-41.91952869711759,-8.006040245074589,0.0,0.0,0.0,0.0
-37.314680983714595,-7.1265791141463914,0.0,0.0,0.0,0.0
-33.535351888211906,-6.404780425602061,0.0,0.0,0.0,0.0
-30.38149878351648,-5.802438851924464,0.0,0.0,0.0,0.0
-27.68703075801273,-5.287833365610087,0.0,0.0,0.0,0.0
-25.33317205451473,-4.838279468008182,0.0,0.0,0.0,0.0
-23.236225116855103,-4.437792103372252,0.0,0.0,0.0,0.0
-21.337924542352837,-4.075243399484787,0.0,0.0,0.0,0.0
-19.595797774160406,-3.7425216955041467,0.0,0.0,0.0,0.0
-17.979073031768245,-3.4337500142593265,0.0,0.0,0.0,0.0
-16.464214867573546,-3.144433416361686,0.0,0.0,0.0,0.0
-15.033329652451233,-2.8711544703810943,0.0,0.0,0.0,0.0
-13.672139656521054,-2.6111863307736645,0.0,0.0,0.0,0.0
-12.369246502008835,-2.36235206774021,0.0,0.0,0.0,0.0
-11.115457668630935,-2.1228960392295937,0.0,0.0,0.0,0.0
-9.902982935983928,-1.8913304227398393,0.0,0.0,0.0,0.0
-8.725362731678832,-1.6664215308197867,0.0,0.0,0.0,0.0
-7.576841572367599,-1.4470701471197664,0.0,0.0,0.0,0.0
-6.452668719044574,-1.232368947324471,0.0,0.0,0.0,0.0
-5.34842429059319,-1.0214737963208038,0.0,0.0,0.0,0.0
-4.260239939721089,-0.8136458941969554,0.0,0.0,0.0,0.0
-3.1845508880206097,-0.6082044184273979,0.0,0.0,0.0,0.0
-2.1180299900102284,-0.4045139310324067,0.0,0.0,0.0,0.0
-1.057525256304448,-0.20197244638245174,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0575252563041815,0.20197244638240083,0.0,0.0,0.0,0.0
2.1180299900102284,0.4045139310324067,0.0,0.0,0.0,0.0
3.1845508880206097,0.6082044184273979,0.0,0.0,0.0,0.0
4.260239939721089,0.8136458941969554,0.0,0.0,0.0,0.0
5.34842429059319,1.0214737963208038,0.0,0.0,0.0,0.0
6.452668719044574,1.232368947324471,0.0,0.0,0.0,0.0
7.576841572367599,1.4470701471197664,0.0,0.0,0.0,0.0
8.725362731678832,1.6664215308197867,0.0,0.0,0.0,0.0
9.902982935983928,1.8913304227398393,0.0,0.0,0.0,0.0
11.115457668630935,2.1228960392295937,0.0,0.0,0.0,0.0
12.369246502008835,2.36235206774021,0.0,0.0,0.0,0.0
13.672139656521054,2.6111863307736645,0.0,0.0,0.0,0.0
15.033329652451233,2.8711544703810943,0.0,0.0,0.0,0.0
16.464214867573546,3.144433416361686,0.0,0.0,0.0,0.0
17.979073031768245,3.4337500142593265,0.0,0.0,0.0,0.0
19.595797774160406,3.7425216955041467,0.0,0.0,0.0,0.0
21.337924542352837,4.075243399484787,0.0,0.0,0.0,0.0
23.236225116854836,4.4377921033722005,0.0,0.0,0.0,0.0
25.33317205451473,4.838279468008182,0.0,0.0,0.0,0.0
27.687030758012465,5.287833365610036,0.0,0.0,0.0,0.0
30.38149878351648,5.802438851924464,0.0,0.0,0.0,0.0
33.53535188821137,6.40478042560196,0.0,0.0,0.0,0.0
37.31468098371433,7.126579114146341,0.0,0.0,0.0,0.0
41.91952869711706,8.006040245074487,0.0,0.0,0.0,0.0
47.49812147893486,9.071472985142172,0.0,0.0,0.0,0.0
53.97435304608331,10.30834210496551,0.0,0.0,0.0,0.0
61.02339717251564,11.654610365119025,0.0,0.0,0.0,0.0
68.32021378515832,13.048199684403594,0.0,0.0,0.0,0.0
75.69506559115027,14.456692627796167,0.0,0.0,0.0,0.0
83.0893597115809,15.868898779726413,0.0,0.0,0.0,0.0
90.48766632527423,17.28187126142092,0.0,0.0,0.0,0.0
97.88667109316708,18.6949770807457,0.0,0.0,0.0,0.0
105.28577887416732,20.10810257412477,0.0,0.0,0.0,0.0
112.68489957111241,21.521230534267605,0.0,0.0,0.0,0.0
120.08402164501817,22.934358757390555,0.0,0.0,0.0,0.0
127.48314384380697,24.347487004364407,0.0,0.0,0.0,0.0
134.8822660522342,25.760615253179065,0.0,0.0,0.0,0.0
142.28138826129478,27.173743502114682,0.0,0.0,0.0,0.0
149.68051047039106,28.58687175105712,0.0,0.0,0.0,0.0
157.07963267948946,29.999999999999964,0.0,0.0,0.0,0.0
