contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,-0.8863758159415194,-0.6023234308829906,-0.3602791920544396
inner,-29.250000000000064,249.99999999999994,-0.6091452135568479,-0.4201106972839686,-0.2875576824141506
inner,-28.50000000000006,249.99999999999997,-0.28841079605376957,-0.2283979801411516,-0.19996640414492284
inner,-27.750000000000156,249.99999999999997,-0.2105068118650056,-0.18108749310823075,-0.17905138448293323
inner,-27.000000000000153,249.99999999999994,-0.1470732185406211,-0.13028028821683155,-0.17798069818294482
inner,-26.25000000000025,249.99999999999994,-0.10595921441153071,-0.09512611103751797,-0.18394582149438266
inner,-25.500000000000245,249.99999999999994,-0.07371826079933864,-0.06648127546756148,-0.19350877014855206
inner,-24.75000000000024,249.99999999999994,-0.04826105458095288,-0.04340021017736443,-0.20553188687356444
inner,-24.000000000000288,249.99999999999997,-0.027425261095479506,-0.0242288627413636,-0.21974720688597654
inner,-23.250000000000334,249.99999999999997,-0.010277698335059718,-0.008219427389616382,-0.23622317560843542
inner,-22.50000000000033,249.99999999999997,0.0036764984223185,0.0050823902634926366,-0.25520328763945543
inner,-21.750000000000377,249.99999999999997,0.01450038770032068,0.015807775698265886,-0.277020942932378
inner,-21.000000000000423,249.99999999999997,0.021899724432609097,0.02382758440925073,-0.30204370012096904
inner,-20.25000000000042,250.00000000000003,0.02520900774300644,0.02874739656303882,-0.3306126631645764
inner,-19.500000000000465,250.00000000000003,0.02336522316029732,0.029891418809765286,-0.3629596933687376
inner,-18.75000000000051,250.0,0.01498156346394211,0.02634318229846877,-0.3991117157908993
inner,-18.000000000000508,250.00000000000003,-0.0013905644733358258,0.017108504405088792,-0.43883685116909593
inner,-17.250000000000554,250.00000000000003,-0.02700483520152519,0.0012797176391560472,-0.48166931253651557
inner,-16.5000000000006,250.00000000000003,-0.06287557788618,-0.021938030647043527,-0.5269685090878922
inner,-15.7500000000007,250.00000000000003,-0.10984526298288846,-0.053278519148135306,-0.5739522568818332
inner,-15.000000000000645,250.00000000000003,-0.16860644903331812,-0.09344249784587133,-0.6216997253199831
inner,-14.25000000000064,250.00000000000003,-0.2396706462422732,-0.14309305528391392,-0.6691469348275272
inner,-13.500000000000636,250.00000000000006,-0.32332027940703073,-0.20283540849146087,-0.7150883087380976
inner,-12.750000000000632,250.00000000000003,-0.41955907484574756,-0.27318603639620187,-0.7581876836540249
inner,-12.000000000000627,250.00000000000003,-0.5280653483362243,-0.35453039361824673,-0.7969992431558317
