radius_мм,relative_angle_deg,sigma_rr_mpa,sigma_tt_mpa,radial_displacement_мм
249.99999999999997,-4.579998741307465e-13,-2.340008304932165,-2.0737070092913017,-0.0
251.22188166194047,-4.579998741307465e-13,-2.3587008444949094,-2.0081372584848722,-0.032850535005648086
252.4417269452024,-4.579998741307465e-13,-2.393847604614974,-1.8822754131141233,-0.07792641612105945
253.6575329869864,-4.579998741307465e-13,-2.4248728606032213,-1.766616828836314,-0.13387988187364636
254.86736324063804,-4.579998741307465e-13,-2.452433475303483,-1.6604795215173442,-0.19945520147748164
256.06937565187303,-4.579998741307465e-13,-2.477087418180839,-1.5632238188692487,-0.2734850807442308
257.2618487752099,-4.579998741307465e-13,-2.4993082470628605,-1.4742491708167935,-0.3548879934158482
258.443200884959,-4.579998741307465e-13,-2.51949719145027,-1.3929920487322853,-0.4426657429772028
259.6120057067602,-4.579998741307465e-13,-2.5379933585781567,-1.3189244874248636,-0.5359011499386217
260.7670018148509,-4.0711099922733015e-13,-2.555082427380211,-1.2515529930099767,-0.6337554559102923
261.90709503436995,-4.0711099922733015e-13,-2.571004119477804,-1.1904175743792624,-0.7354651922106038
263.0313612770457,-4.0711099922733015e-13,-2.5859586593639468,-1.1350907259768257,-0.8403390753006039
264.1390394715111,-4.0711099922733015e-13,-2.600112354388036,-1.0851763840406332,-0.9477539997089417
265.22952273288445,-4.0711099922733015e-13,-2.6136024440011014,-1.040308715132206,-1.0571507859095188
266.3023532401337,-4.0711099922733015e-13,-2.626541317876459,-1.0001507261298372,-1.168030310556151
267.3572050591915,-4.0711099922733015e-13,-2.6390201536035756,-0.9643928150901566,-1.2799484652287672
268.39387511414844,-4.0711099922733015e-13,-2.651112059205715,-0.9327512217921918,-1.3925119865309166
269.4122646641059,-4.0711099922733015e-13,-2.6628747961075963,-0.9049663606324327,-1.505373376424887
270.41237516433773,-3.562221243239139e-13,-2.674353134383769,-0.8808011048326625,-1.6182275135964783
271.3942880938072,-3.562221243239139e-13,-2.685580847716938,-0.8600391370460844,-1.73080665944743
272.35815306443567,-3.562221243239139e-13,-2.696582430720351,-0.8424832783607342,-1.8428765057037213
273.3041839997729,-3.562221243239139e-13,-2.707374588640083,-0.8279538306382039,-1.9542333505105653
274.2326383714426,-3.562221243239139e-13,-2.7179674822136537,-0.8162870273487473,-2.064699477339582
275.143816294743,-3.562221243239139e-13,-2.7283658228701544,-0.807333508413453,-2.1741210206803983
276.03805315091637,-3.562221243239139e-13,-2.7385698013717223,-0.8009569005789311,-2.282365269501076
276.91570136310753,-3.053332494204976e-13,-2.748575858405077,-0.7970324967109704,-2.3893168040530024
277.7771379446195,-3.053332494204976e-13,-2.758377399143696,-0.7954459856278973,-2.494876904054642
278.6227522839233,-3.053332494204976e-13,-2.7679653938055613,-0.7960922976862286,-2.59896072031412
279.4529408848375,-3.053332494204976e-13,-2.7773288817599404,-0.7988745420381825,-2.7014954149390125
280.2681060111209,-3.053332494204976e-13,-2.786455443533726,-0.8037030221182124,-2.802418911010912
281.0686516979253,-2.5444437451708134e-13,-2.7953316082812454,-0.8104943374079643,-2.9016784352384652
281.85497865019653,-2.5444437451708134e-13,-2.8039432201710097,-0.8191705726797085,-2.9992290257132375
282.6274872678427,-2.5444437451708134e-13,-2.8122757827278977,-0.8296585797631715,-3.095033143301594
283.38657205538414,-2.5444437451708134e-13,-2.8203147495896372,-0.8418893150649278,-3.1890593002898346
284.13261858323847,-2.5444437451708134e-13,-2.8280457954007643,-0.855797260117643,-3.2812810835199127
284.86600821749505,-2.5444437451708134e-13,-2.8354550790850293,-0.8713199362263837,-3.37167720781259
285.58711253149676,-2.0355549961366507e-13,-2.842529453212416,-0.8883974353888617,-3.4602303527193663
286.29629085157603,-2.0355549961366507e-13,-2.849256657057158,-0.9069720158392809,-3.546926448053747
286.99389441534925,-2.0355549961366507e-13,-2.8556255196534512,-0.9269878378285773,-3.63175481893864
287.6802684864932,-2.0355549961366507e-13,-2.861626105577722,-0.9483906934635935,-3.7147081098467845
288.35574310756084,-2.0355549961366507e-13,-2.8672498172801166,-0.9711277079203738,-3.795780872452071
289.0206388933403,-2.0355549961366507e-13,-2.8724895070846403,-0.995147172128059,-3.8749700173783785
289.6752678715385,-1.526666247102488e-13,-2.87733955335037,-1.0203984018366303,-3.952274682147741
290.31992981674114,-1.526666247102488e-13,-2.8817959020070782,-1.0468315695976704,-4.027695592842909
290.9549154456001,-1.526666247102488e-13,-2.8858560956198738,-1.0743975939958248,-4.101235263627075
291.58050529814085,-1.526666247102488e-13,-2.889519277117703,-1.1030480306876749,-4.172897703151441
292.19696986418074,-1.526666247102488e-13,-2.8927861805768376,-1.1327349713535693,-4.242688287971761
292.8045709086909,-1.0177774980683254e-13,-2.8956591105225846,-1.1634109706632247,-4.310613785833519
293.403561409205,-1.0177774980683254e-13,-2.8981418970811927,-1.1950288929086885,-4.376682231488257
293.99418133590086,-1.0177774980683254e-13,-2.900239879006161,-1.227541837274978,-4.440902368937189
294.57666755343416,-1.0177774980683254e-13,-2.9019598599583545,-1.2609030785410518,-4.503284650943273
295.1512428932955,-1.0177774980683254e-13,-2.9033100833931513,-1.2950659857657374,-4.56383997594369
295.71812896585146,-1.0177774980683254e-13,-2.9043001944327136,-1.3299839387419639,-4.6225809898620405
296.2775332923274,-5.088887490341627e-14,-2.904941210325163,-1.365610175089185,-4.679520672286089
296.8296593831326,-5.088887490341627e-14,-2.905245512729549,-1.401897706017676,-4.73467334770559
297.37470036065207,-5.088887490341627e-14,-2.9052268292256977,-1.4387992750147134,-4.788053998372178
297.91284597422845,-5.088887490341627e-14,-2.904900215840976,-1.476267291846989,-4.839678934599935
298.4442770883336,-5.088887490341627e-14,-2.904282026936917,-1.5142536915939502,-4.889565226986565
298.9691684020349,0.0,-2.9033899144070494,-1.552709843977556,-4.937730963367222
299.4876889533198,0.0,-2.9022427876973023,-1.5915864396487562,-4.984195285265684
300.0,0.0,-2.9016079116693083,-1.6111236356418344,-5.028978200289657
