facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,4737,0,0,0,-63.09505483724314,-293.27629516752222,-60.694041201553127,-301.70881102472379,0,1,1,5.667009051581716,0,5.667009051581716,0,0.29118897527615673,0,0,0,0
1,4738,0,0,0,-57.544046767232146,-294.41578411196366,-54.837208809952777,-301.97354223369609,0,1,1,5.6670088717805269,0,5.6670088717805269,0,0.026457766303877861,0,0,0,0
2,4739,0,1,2,-51.972508213591745,-295.45021519734087,-48.923159280783665,-302.00371975027832,0,1,1,5.6670026762271677,5.6670026762271677,5.6670026762271677,5.6670026762271677,-0.003719750278378342,0.003719750278378342,0.0043832208785943294,10.539917391233409,1.8598751391891712
3,4740,0,1,2,-46.382500015385318,-296.37920875026509,-42.88544354510779,-302.00328943758808,0,1,1,5.6668555264933627,5.6668555264933627,5.6668555264933627,5.6668555264933627,-0.0032894375881085125,0.0032894375881085125,0.0037044670407340163,9.32038378761386,1.644718794054256
4,4741,0,1,2,-40.777206134552969,-297.20228457110954,-36.779347792850153,-302.00419888428468,0,1,1,5.6644525148973104,5.6644525148973104,5.6644525148973104,5.6644525148973104,-0.0041988842846478747,0.0041988842846478747,0.0043089241270308776,11.892190322968224,2.0994421423239373
5,4742,0,1,2,-35.171789341328953,-297.91777208683732,-30.638475566059547,-302.00467074848399,0,1,1,5.6378397793534951,5.6378397793534951,5.6378397793534951,5.6378397793534951,-0.0046707484839316757,0.0046707484839316757,0.0048331395639706898,13.166465801032512,2.3353742419658374
6,4743,0,1,2,-29.659946202822628,-298.51776838242779,-24.568369145254479,-302.00511789652995,0,1,1,5.4514406245835199,5.4514406245835199,5.4514406245835199,5.4514406245835199,-0.0051178965299243373,0.0051178965299243373,0.0052136664945692246,13.949954527822278,2.5589482649621682
7,4744,0,1,2,-24.569542711258009,-298.98268229992993,-18.939445630147809,-302.00535171276817,0,1,1,4.7721088415209811,4.7721088415209811,4.7721088415209811,4.7721088415209811,-0.0053517127682027885,0.0053517127682027885,0.0053909366716311524,12.769477909210623,2.6758563841013938
8,4745,0,1,2,-20.361908301554791,-299.30257228435619,-14.274425118618808,-302.00548553456144,0,1,1,3.6676500851827285,3.6676500851827285,3.6676500851827285,3.6676500851827285,-0.0054855345613873396,0.0054855345613873396,0.0055235727062949991,10.059510650672539,2.7427672806936698
9,4746,0,1,2,-17.172766816942591,-299.50499434800952,-10.733419375274309,-302.00562134297189,0,1,1,2.7235568286210583,2.7235568286210583,2.7235568286210583,2.7235568286210583,-0.0056213429719207397,0.0056213429719207397,0.0056617138494061692,7.6550235185978623,2.8106714859603699
10,4747,0,1,2,-14.759744498300364,-299.63484015704466,-8.0515546771038782,-302.00574286286462,0,1,1,2.1095083855509627,2.1095083855509627,2.1095083855509627,2.1095083855509627,-0.0057428628646789548,0.0057428628646789548,0.0057726515299805214,6.0573086850547391,2.8714314323394774
11,4748,0,1,2,-12.846374029975385,-299.72358915994516,-5.9232142464630044,-302.00583171397312,0,1,1,1.7213661579020056,1.7213661579020056,1.7213661579020056,1.7213661579020056,-0.0058317139730945655,0.0058317139730945655,0.0058532235191819382,5.0192575379246165,2.9158569865472828
12,4749,0,1,2,-11.253888009442537,-299.78794598302107,-4.1505256636846521,-302.00589595894712,0,1,1,1.4662168355020611,1.4662168355020611,1.4662168355020611,1.4662168355020611,-0.0058959589471498939,0.0058959589471498939,0.0059115412541359547,4.3223771348700897,2.9479794735749465
13,4750,0,1,2,-9.8770180763650828,-299.83667048905374,-2.61694864101944,-302.00594346923509,0,1,1,1.2892539824398586,1.2892539824398586,1.2892539824398586,1.2892539824398586,-0.0059434692350635032,0.0059434692350635032,0.0059553170056005911,3.8313206904072006,2.9717346175317516
14,4751,0,1,2,-8.6517492428578073,-299.87465615346883,-1.2515862606231956,-302.00597974805555,0,1,1,1.1624661329768256,1.1624661329768256,1.1624661329768256,1.1624661329768256,-0.0059797480555232587,0.0059797480555232587,0.005988845871797821,3.4756272991399078,2.9898740277616298
15,4752,0,1,2,-7.5368963733001983,-299.90483491416489,-0.008802997455703121,-302.00600802760277,0,1,1,1.0680602336653493,1.0680602336653493,1.0680602336653493,1.0680602336653493,-0.0060080276027463233,0.0060080276027463233,0.0060152569906790632,3.2084676826285534,3.0040138013731617
16,4753,0,1,2,-6.5048279804293969,-299.92905642192591,1.1420340043923698,-302.00603055023663,0,1,1,0.99664797847551811,0.99664797847551811,0.99664797847551811,0.99664797847551811,-0.0060305502366304609,0.0060305502366304609,0.0060363242974403875,3.0051678512164033,3.0152751183152309
17,4754,0,1,2,-5.5356874011803932,-299.94855277341316,2.2229515650200806,-302.00604856135885,0,1,1,0.94202787948668354,0.94202787948668354,0.94202787948668354,0.94202787948668354,-0.0060485613588525675,0.0060485613588525675,0.0060531860243600022,2.8489567154124882,3.0242806794262833
18,4755,0,1,2,-4.6148115539938175,-299.96416622408447,3.2502239993099025,-302.00606296563222,0,1,1,0.89999069095146889,0.89999069095146889,0.89999069095146889,0.89999069095146889,-0.0060629656322248593,0.0060629656322248593,0.0060666572778700356,2.7283063142805304,3.0314828161124296
19,4756,0,1,2,-3.73092560732601,-299.9764855079859,4.2363713972110313,-302.00607433576363,0,1,1,0.86795481388952234,0.86795481388952234,0.86795481388952234,0.86795481388952234,-0.0060743357635999473,0.0060743357635999473,0.0060772086663973823,2.6361244835989308,3.0371678817999737
20,4757,0,1,2,-2.8750933556178859,-299.98592605657296,5.1913213575162365,-302.00608308083036,0,1,1,0.84381556477649255,0.84381556477649255,0.84381556477649255,0.84381556477649255,-0.0060830808303649073,0.0060830808303649073,0.0060852568942095786,2.5664991432277091,3.0415404151824532
21,4758,0,1,2,-2.039777413071544,-299.99278054292495,6.1234517855920743,-302.00608945847398,0,1,1,0.82687418534381452,0.82687418534381452,0.82687418534381452,0.82687418534381452,-0.0060894584739799038,0.0060894584739799038,0.0060909645444553462,2.5176080074285601,3.0447292369899519
22,4759,0,1,2,-1.2184259930857659,-299.99724837647989,7.0400480453741494,-302.00609361713498,0,1,1,0.81585449689860201,0.81585449689860201,0.81585449689860201,0.81585449689860201,-0.006093617134951046,0.006093617134951046,0.006094512068500535,2.4857524709640932,3.046808567475523
23,4760,0,1,2,-0.40525105453192561,-299.99945257094373,7.947547809949711,-302.00609567796459,0,1,1,0.81050284855152444,0.81050284855152444,0.81050284855152444,0.81050284855152444,-0.0060956779645664483,0.0060956779645664483,0.0060959728515399547,2.4702821770669323,3.0478389822832237
24,4761,0,1,2,0.40525105453124571,-299.99945257094373,8.8520739115783247,-302.00609567796459,0,1,1,0.81050284855152444,0.81050284855152444,0.81050284855152444,0.81050284855152444,-0.0060956779645664474,0.0060956779645664474,0.0060959728515399547,2.4702821770669323,3.0478389822832237
25,4762,0,1,2,1.2184259930850863,-299.99724837647989,9.7595736761538827,-302.00609361713498,0,1,1,0.81585449689860223,0.81585449689860223,0.81585449689860223,0.81585449689860223,-0.006093617134951046,0.006093617134951046,0.006094512068500535,2.4857524709640937,3.046808567475523
26,4763,0,1,2,2.0397774130707313,-299.99278054292495,10.676169935935796,-302.00608945847398,0,1,1,0.82687418534354784,0.82687418534354784,0.82687418534354784,0.82687418534354784,-0.0060894584739799021,0.0060894584739799021,0.0060909645444553462,2.5176080074277483,3.0447292369899515
27,4764,0,1,2,2.87509335561694,-299.98592605657302,11.608300364011498,-302.00608308083036,0,1,1,0.84381556477649244,0.84381556477649244,0.84381556477649244,0.84381556477649244,-0.0060830808303080621,0.0060830808303080621,0.0060852568941527352,2.5664991432037265,3.0415404151540315
