contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,0.20607482933575802,0.1405894193514597,0.0993360202269635
inner,-29.250000000000064,249.99999999999994,0.15582095232461182,0.11406611983883178,0.07871679367803097
inner,-28.50000000000006,249.99999999999997,0.09250325166808293,0.08345388713564766,0.050834638660382486
inner,-27.750000000000156,249.99999999999997,0.07395655750248957,0.0721018022930306,0.03888567844995314
inner,-27.000000000000153,249.99999999999994,0.062198049870344246,0.061218462407642005,0.032226102281721264
inner,-26.25000000000025,249.99999999999994,0.05386959795973009,0.050781997128441475,0.02744125265220608
inner,-25.500000000000245,249.99999999999994,0.04693610823800544,0.040404087632690766,0.02350417695246237
inner,-24.75000000000024,249.99999999999994,0.040347632532990674,0.030057091912333047,0.019882139780623316
inner,-24.000000000000288,249.99999999999997,0.033256523961685304,0.01973687958921736,0.016218438498529168
inner,-23.250000000000334,249.99999999999997,0.024890152921940294,0.009491276627006039,0.01222374142915708
inner,-22.50000000000033,249.99999999999997,0.014453890603477201,-0.0005866242301861588,0.0076394619570505015
inner,-21.750000000000377,249.99999999999997,0.0010814998946109856,-0.01034921261229574,0.0022200725155047574
inner,-21.000000000000423,249.99999999999997,-0.016200361081964692,-0.01958391126742879,-0.004274844511458507
inner,-20.25000000000042,250.00000000000003,-0.038497318686960186,-0.028000148326124893,-0.012082901937786253
inner,-19.500000000000465,250.00000000000003,-0.0670641287370734,-0.035215792317817,-0.021436562564599873
inner,-18.75000000000051,250.0,-0.1033105257530982,-0.040745233764613364,-0.032556007430338
inner,-18.000000000000508,250.00000000000003,-0.1487897716970257,-0.04399365726008324,-0.04563677580797784
inner,-17.250000000000554,250.00000000000003,-0.20514301973208648,-0.04425596916698646,-0.06082953580446219
inner,-16.5000000000006,250.00000000000003,-0.2740058598300156,-0.04085121992706768,-0.07817616362024397
inner,-15.7500000000007,250.00000000000003,-0.356759150310716,-0.03332918138381904,-0.09750819308412947
inner,-15.000000000000645,250.00000000000003,-0.45415812626856644,-0.021543741193740445,-0.11838582888693279
inner,-14.25000000000064,250.00000000000003,-0.5660975033659227,-0.005632561240934458,-0.14011182731917218
inner,-13.500000000000636,250.00000000000006,-0.6915507340560639,0.013969038918036972,-0.16177426359231856
inner,-12.750000000000632,250.00000000000003,-0.8285851930955194,0.03636602578373436,-0.18226259575811027
inner,-12.000000000000627,250.00000000000003,-0.9743577215033695,0.060414736349168885,-0.20039227294270995
inner,-11.250000000000675,250.00000000000003,-1.1256126975887297,0.08536079800629244,-0.2151905984811863
inner,-10.50000000000067,250.00000000000003,-1.279689658938865,0.11080010676546953,-0.22600150334952643
inner,-9.750000000000563,250.00000000000003,-1.434637003247357,0.1362880397066099,-0.23235565904285682
inner,-9.00000000000056,249.99999999999997,-1.5886131865474573,0.16132686907876526,-0.23388195409089257
inner,-8.250000000000556,249.99999999999994,-1.7396698298630902,0.1854106266040405,-0.23030444925510538
inner,-7.500000000000552,249.99999999999997,-1.8857806312622398,0.20804633732602243,-0.2214625022025158
inner,-6.750000000000547,249.99999999999997,-2.0248971338875577,0.22878143364623668,-0.20732785623886563
inner,-6.000000000000543,249.99999999999997,-2.1550074270580835,0.24723321623434652,-0.18801485189946046
